head	relation	tail	time
China	Consult	France	2012-04-15
China	Consult	South Korea	2010-05-07
China	Consult	Japan	2010-05-07
China	Consult	Majid Takht Ravanchi	2014-11-21
China	Consult	Head of Government (Taiwan)	2014-02-18
China	Consult	Rodrigo Rivera Salazar	2010-09-06
China	Consult	Kazakhstan	2007-04-15
China	Consult	South Africa	2009-07-09
China	Consult	South Africa	2013-10-29
China	Consult	South Korea	2007-07-16
China	Consult	South Korea	2009-06-28
China	Consult	Henry M. Paulson	2007-07-29
China	Consult	Cambodia	2015-05-04
China	Consult	South Korea	2006-08-08
China	Consult	South Korea	2010-05-24
China	Consult	Japan	2005-01-24
China	Consult	Dmitry Anatolyevich Medvedev	2009-06-18
China	Consult	South Korea	2006-10-13
China	Consult	Japan	2015-09-30
China	Consult	South Korea	2009-04-15
China	Consult	Japan	2005-07-29
China	Consult	France	2007-06-20
China	Consult	Xi Jinping	2014-12-25
China	Consult	Japan	2006-05-18
China	Consult	Education Ministry (China)	2009-10-27
China	Consult	Cambodia	2007-02-06
China	Consult	United Arab Emirates	2010-10-04
China	Consult	Japan	2005-10-17
China	Consult	Sudan	2007-07-19
China	Consult	South Africa	2009-07-08
China	Consult	Japan	2007-11-26
China	Consult	Maldives	2008-03-06
China	Consult	South Korea	2007-01-15
China	Consult	South Korea	2015-03-12
China	Consult	South Korea	2013-12-18
China	Consult	Henry Chimunthu Banda	2010-12-20
China	Consult	Japan	2010-05-17
China	Consult	Wen Jiabao	2011-08-19
China	Consult	Association of Southeast Asian Nations	2015-11-25
China	Consult	Shivraj Patil	2006-11-15
China	Consult	South Africa	2015-06-08
China	Consult	Thailand	2006-01-13
China	Consult	South Korea	2015-07-09
China	Consult	South Africa	2015-09-09
China	Consult	Dmitry Anatolyevich Medvedev	2009-09-24
China	Consult	Wen Jiabao	2008-02-21
China	Consult	Vietnam	2007-11-02
China	Consult	South Korea	2014-06-01
China	Consult	South Africa	2005-07-13
China	Consult	Head of Government (Uruguay)	2006-05-30
China	Consult	South Korea	2006-11-22
China	Consult	Iran	2011-06-14
China	Consult	Japan	2008-08-17
China	Consult	Iran	2015-10-30
China	Consult	Roza Otunbayeva	2011-04-26
China	Consult	South Korea	2008-09-08
China	Consult	Japan	2007-10-28
China	Consult	Japan	2005-12-10
China	Consult	Kazakhstan	2007-05-16
China	Consult	Yemen	2005-11-22
China	Consult	South Korea	2007-06-04
China	Consult	Japan	2005-12-12
China	Consult	Japan	2006-02-10
China	Consult	Japan	2005-03-18
China	Consult	South Korea	2005-09-21
China	Consult	Henry M. Paulson	2007-07-31
China	Consult	South Africa	2007-06-09
China	Consult	Aigars Kalvitis	2007-09-13
China	Consult	Kazakhstan	2007-08-15
China	Consult	South Korea	2012-12-17
China	Consult	Agustín Carstens	2011-06-17
China	Consult	France	2008-11-17
China	Consult	South Korea	2011-03-20
China	Consult	Yemen	2005-12-14
China	Consult	South Korea	2005-09-13
China	Consult	South Korea	2015-04-24
China	Consult	Iran	2006-01-31
China	Consult	Japan	2007-08-16
China	Consult	Korean Workers Party	2009-02-25
China	Consult	South Korea	2005-08-04
China	Consult	South Korea	2015-03-21
China	Consult	South Korea	2009-09-28
China	Consult	France	2010-01-08
China	Consult	South Korea	2011-01-16
China	Consult	South Korea	2015-03-31
China	Consult	France	2006-11-13
China	Consult	South Korea	2014-06-17
China	Consult	South Korea	2015-09-05
China	Consult	South Africa	2013-03-22
China	Consult	South Korea	2014-04-05
China	Consult	Japan	2007-08-06
China	Consult	Iran	2010-12-08
China	Consult	Lee Myung Bak	2009-10-09
China	Consult	South Korea	2012-12-06
China	Consult	Association of Southeast Asian Nations	2011-05-05
China	Consult	France	2006-05-31
China	Consult	South Korea	2005-06-13
China	Consult	Foreign Affairs (India)	2015-02-23
China	Consult	South Korea	2013-05-22
China	Consult	Kazakhstan	2006-03-29
China	Consult	Criminal (China)	2015-05-25
China	Consult	Yemen	2009-12-22
China	Consult	Japan	2009-03-02
China	Consult	Yemen	2009-04-19
China	Consult	South Africa	2013-08-27
China	Consult	France	2013-09-26
China	Consult	Japan	2008-07-18
China	Consult	Jacob J. Lew	2013-03-24
China	Consult	Japan	2007-10-30
China	Consult	South Korea	2015-06-25
China	Consult	Japan	2012-10-25
China	Consult	Rupiah Banda	2011-04-17
China	Consult	France	2009-10-02
China	Consult	Japan	2007-03-22
China	Consult	Japan	2014-11-06
China	Consult	Association of Southeast Asian Nations	2015-10-29
China	Consult	Iran	2011-05-27
China	Consult	South Korea	2008-10-31
China	Consult	France	2005-09-01
China	Consult	Japan	2013-09-28
China	Consult	Yoshihiko Noda	2011-12-26
China	Consult	Joon Young Woo	2006-03-10
China	Consult	Japan	2008-12-13
China	Consult	South Korea	2006-01-20
China	Consult	Aigars Kalvitis	2006-09-20
China	Consult	Shivshankar Menon	2010-07-07
China	Consult	Japan	2008-12-11
China	Consult	Head of Government (Pakistan)	2008-10-26
China	Consult	Japan	2006-01-11
China	Consult	France	2013-09-27
China	Consult	South Africa	2012-03-28
China	Consult	Mauritania	2010-11-19
China	Consult	Foreign Affairs (Italy)	2011-07-20
China	Consult	France	2014-04-08
China	Consult	Japan	2007-06-26
China	Consult	Japan	2005-04-11
China	Consult	Japan	2015-10-19
China	Consult	Angola	2009-05-01
China	Consult	Association of Southeast Asian Nations	2006-07-18
China	Consult	Head of Government (South Korea)	2006-10-09
China	Consult	Wen Jiabao	2005-04-07
China	Consult	South Korea	2006-01-05
China	Consult	South Africa	2014-07-13
China	Consult	South Korea	2009-04-12
China	Consult	Japan	2007-01-24
China	Consult	Japan	2006-02-14
China	Consult	Dmitry Anatolyevich Medvedev	2013-10-28
China	Consult	Japan	2009-04-08
China	Consult	Prachanda	2010-09-12
China	Consult	Ricardo Alarcón de Quesada	2010-11-24
China	Consult	Associated Press	2005-05-05
China	Consult	Wen Jiabao	2006-12-16
China	Consult	France	2008-05-03
China	Consult	Wen Jiabao	2008-10-30
China	Consult	Japan	2005-04-27
China	Consult	Kazakhstan	2009-03-27
China	Consult	South Korea	2009-09-29
China	Consult	France	2006-10-10
China	Consult	Kazakhstan	2009-11-19
China	Consult	South Korea	2014-11-16
China	Consult	Mikhail Yefimovich Fradkov	2005-07-03
China	Consult	Japan	2006-03-22
China	Consult	Laos	2008-03-31
China	Consult	Association of Southeast Asian Nations	2006-11-03
China	Consult	Japan	2013-06-30
China	Consult	City Mayor (Greece)	2013-03-31
China	Consult	Japan	2010-08-20
China	Consult	Japan	2006-08-02
China	Consult	South Korea	2007-06-07
Media Personnel (International)	Consult	Wen Jiabao	2008-03-18
Media Personnel (International)	Consult	Media Personnel (Iran)	2007-06-17
Media Personnel (International)	Consult	Mahmoud Ahmadinejad	2006-05-21
Media Personnel (International)	Consult	Iran	2008-05-13
Media Personnel (International)	Consult	Mahmoud Ahmadinejad	2006-09-07
Media Personnel (International)	Consult	Benjamin Netanyahu	2011-01-12
Media Personnel (International)	Consult	Benjamin Netanyahu	2010-01-21
Media Personnel (International)	Consult	Barack Obama	2009-11-19
Media Personnel (International)	Consult	Abdullah Gül	2010-05-12
Iran	Make statement	Royal Administration (Iran)	2008-05-14
Iran	Make statement	Business (Iran)	2005-01-31
Iran	Make statement	Iraq	2008-02-17
Iran	Make statement	Quds Force	2012-01-28
Iran	Make statement	Barack Obama	2013-05-11
Iran	Make statement	Mostafa Ahmadi Roshan	2012-01-12
Iran	Make statement	Mexico	2010-12-03
Iran	Make statement	UN Security Council	2007-04-26
Iran	Make statement	Education (Iran)	2009-02-27
Iran	Make statement	Armed Rebel (Yemen)	2015-04-06
Iran	Make statement	France	2011-01-16
Iran	Make statement	Air Force (Iran)	2012-02-08
Iran	Make statement	Mahmoud Ahmadinejad	2007-03-24
Iran	Make statement	Ministry (Iran)	2014-01-14
Iran	Make statement	France	2008-08-04
Iran	Make statement	UN Security Council	2008-03-05
Iran	Make statement	Student (Iran)	2013-05-27
Iran	Make statement	Naval (United States)	2008-01-11
Iran	Make statement	Yemen	2015-05-15
Iran	Make statement	Business (Iran)	2012-12-18
Iran	Make statement	Agence France-Presse	2008-07-23
Iran	Make statement	Mahmoud Ahmadinejad	2009-02-08
Iran	Make statement	Iraq	2014-06-14
Iran	Make statement	Mahmoud Ahmadinejad	2006-05-04
Iran	Make statement	France	2008-07-19
Iran	Make statement	Iraq	2015-10-10
Iran	Make statement	Mahmoud Ahmadinejad	2005-11-07
Iran	Make statement	Ministry (Iran)	2012-07-23
Iran	Make statement	Ministry (Iran)	2014-09-06
Iran	Make statement	Refugee (Afghanistan)	2014-12-26
Iran	Make statement	Yemen	2014-05-05
Iran	Make statement	Benjamin Netanyahu	2013-10-02
Iran	Make statement	China	2006-05-03
Iran	Make statement	Barack Obama	2008-12-10
Iran	Make statement	Mahmoud Ahmadinejad	2012-09-24
Iran	Make statement	UN Security Council	2006-09-05
Iran	Make statement	Iraq	2009-07-10
Iran	Make statement	Media Personnel (Iran)	2008-01-30
Iran	Make statement	Mahmoud Ahmadinejad	2005-10-29
Iran	Make statement	Government (France)	2011-03-29
Iran	Make statement	Quds Force	2007-09-24
Iran	Make statement	Mahmoud Ahmadinejad	2009-06-13
Iran	Make statement	China	2015-11-11
Iran	Make statement	Iraq	2010-07-13
Iran	Make statement	Education (Iran)	2013-05-28
Iran	Make statement	Newspaper (United Kingdom)	2006-06-23
Iran	Make statement	Nonaligned Movement	2012-09-04
Iran	Make statement	France	2005-09-05
Iran	Make statement	Islamic Republic of Iran Broadcasting	2010-01-27
Iran	Make statement	France	2015-09-19
Iran	Make statement	Barack Obama	2014-11-10
Iran	Make statement	Edgars Rinkevics	2014-08-11
Iran	Make statement	Mahmoud Ahmadinejad	2010-10-21
Iran	Make statement	Media Personnel (Iran)	2015-06-30
Iran	Make statement	Iraq	2005-10-07
Iran	Make statement	UN Security Council	2006-10-31
Iran	Make statement	UN Security Council	2010-04-23
Iran	Make statement	Media Personnel (International)	2012-01-05
China	Investigate	Maithripala Sirisena	2015-02-16
China	Investigate	Kazakhstan	2006-08-29
China	Investigate	Dissident (Australia)	2005-06-21
China	Investigate	Japan	2009-07-21
China	Investigate	South Korea	2006-03-10
China	Investigate	Religion (China)	2005-06-09
Angela Merkel	Consult	Dmitry Anatolyevich Medvedev	2008-08-18
Angela Merkel	Consult	Dmitry Anatolyevich Medvedev	2011-08-01
Angela Merkel	Consult	Head of Government (Ukraine)	2015-09-19
Angela Merkel	Consult	Dmitry Anatolyevich Medvedev	2008-08-13
Angela Merkel	Consult	Georgios Papandreou	2010-03-08
Angela Merkel	Consult	Head of Government (Cyprus)	2013-03-18
Angela Merkel	Consult	Dmitry Anatolyevich Medvedev	2008-03-07
Angela Merkel	Consult	Tony Blair	2005-11-23
Angela Merkel	Consult	Wen Jiabao	2010-10-12
Angela Merkel	Consult	Salil Shetty	2014-03-18
Angela Merkel	Consult	Antonis Samaras	2012-10-09
Angela Merkel	Consult	Mahmoud Abbas	2012-01-19
Angela Merkel	Consult	Iran	2006-07-13
Angela Merkel	Consult	Haaretz	2005-09-14
Angela Merkel	Consult	Dmitry Anatolyevich Medvedev	2010-07-15
Angela Merkel	Consult	Benjamin Netanyahu	2011-05-13
Angela Merkel	Consult	Party President (Germany)	2015-06-29
Angela Merkel	Consult	Conservative Party (Germany)	2005-12-05
Angela Merkel	Consult	Alexander Stubb	2015-04-02
Angela Merkel	Consult	Iran	2006-04-26
Angela Merkel	Consult	Head of Government (South Korea)	2006-09-11
Angela Merkel	Consult	Barack Obama	2010-05-23
Angela Merkel	Consult	János Áder	2013-03-13
Angela Merkel	Consult	Jens Stoltenberg	2015-01-14
Angela Merkel	Consult	Abdullah Gül	2005-11-24
Angela Merkel	Consult	Benjamin Netanyahu	2009-04-08
Angela Merkel	Consult	Barack Obama	2011-11-04
Angela Merkel	Consult	Klaus Johannis	2015-02-26
Angela Merkel	Consult	Gerhard Schröder	2005-10-05
Angela Merkel	Consult	Barack Obama	2011-11-07
Angela Merkel	Consult	Mario Monti	2012-06-22
Angela Merkel	Consult	Werner Faymann	2015-09-14
Angela Merkel	Consult	Indigenous People (Moldova)	2012-08-22
Angela Merkel	Consult	Barack Obama	2015-07-07
Angela Merkel	Consult	Dmitry Anatolyevich Medvedev	2011-09-23
Angela Merkel	Consult	Dmitry Anatolyevich Medvedev	2008-08-14
Angela Merkel	Consult	Wen Jiabao	2006-09-15
Angela Merkel	Consult	Wen Jiabao	2006-05-23
Angela Merkel	Consult	France	2010-11-15
Angela Merkel	Consult	Georgios Papandreou	2011-10-04
Angela Merkel	Consult	Mario Monti	2013-11-27
Angela Merkel	Consult	Barack Obama	2011-10-31
Angela Merkel	Consult	Wen Jiabao	2012-02-13
Angela Merkel	Consult	Benjamin Netanyahu	2011-01-31
Angela Merkel	Consult	Tony Tan Keng Yam	2014-08-20
Angela Merkel	Consult	Head of Government (Ukraine)	2014-07-15
Angela Merkel	Consult	Head of Government (Greece)	2012-10-09
Angela Merkel	Consult	Benjamin Netanyahu	2010-01-22
Angela Merkel	Consult	Herman Van Rompuy	2012-08-31
Angela Merkel	Consult	Barack Obama	2015-06-29
Angela Merkel	Consult	Dmitry Anatolyevich Medvedev	2009-07-08
Angela Merkel	Consult	Cabinet / Council of Ministers / Advisors (United States)	2015-10-24
Angela Merkel	Consult	Tony Blair	2007-12-18
Angela Merkel	Consult	Mahmoud Abbas	2008-03-14
Benjamin Netanyahu	Consult	Barack Obama	2009-11-25
Benjamin Netanyahu	Consult	Barack Obama	2008-12-04
Benjamin Netanyahu	Consult	Barack Obama	2010-06-01
Benjamin Netanyahu	Consult	Barack Obama	2010-05-05
Benjamin Netanyahu	Consult	Barack Obama	2013-02-06
Benjamin Netanyahu	Consult	Tony Blair	2012-11-07
Benjamin Netanyahu	Consult	Cabinet / Council of Ministers / Advisors (United States)	2010-08-14
Benjamin Netanyahu	Consult	Barack Obama	2012-01-12
Benjamin Netanyahu	Consult	Mahmoud Abbas	2015-07-17
Benjamin Netanyahu	Consult	Mahmoud Abbas	2010-08-20
Benjamin Netanyahu	Consult	Barack Obama	2009-05-05
Benjamin Netanyahu	Consult	Cabinet / Council of Ministers / Advisors (United States)	2013-07-01
Benjamin Netanyahu	Consult	Barack Obama	2015-11-08
Benjamin Netanyahu	Consult	Mahmoud Abbas	2014-08-29
Benjamin Netanyahu	Consult	Barack Obama	2015-04-04
Benjamin Netanyahu	Consult	Barack Obama	2013-03-23
Benjamin Netanyahu	Consult	Cabinet / Council of Ministers / Advisors (United States)	2010-09-17
Benjamin Netanyahu	Consult	Barack Obama	2014-07-28
Benjamin Netanyahu	Consult	Barack Obama	2012-02-26
Benjamin Netanyahu	Consult	Barack Obama	2015-09-02
Benjamin Netanyahu	Consult	Barack Obama	2010-03-23
Benjamin Netanyahu	Consult	Barack Obama	2008-07-24
Benjamin Netanyahu	Consult	Cabinet / Council of Ministers / Advisors (United States)	2015-10-16
Benjamin Netanyahu	Consult	Israeli Defense Forces	2011-10-19
Benjamin Netanyahu	Consult	Angela Merkel	2014-02-24
Benjamin Netanyahu	Consult	Mahmoud Abbas	2014-01-16
Benjamin Netanyahu	Consult	Mario Monti	2012-04-09
Benjamin Netanyahu	Consult	Cabinet / Council of Ministers / Advisors (United States)	2010-10-04
Benjamin Netanyahu	Consult	Police (Israel)	2014-06-14
Benjamin Netanyahu	Consult	Federica Mogherini	2015-05-27
Benjamin Netanyahu	Consult	Dmitry Anatolyevich Medvedev	2010-12-04
Benjamin Netanyahu	Consult	Angela Merkel	2011-01-31
Benjamin Netanyahu	Consult	Mahmoud Abbas	2010-07-19
Benjamin Netanyahu	Consult	Barack Obama	2009-05-07
Benjamin Netanyahu	Consult	Israeli Defense Forces	2011-10-18
Benjamin Netanyahu	Consult	Mahmoud Abbas	2012-02-12
Benjamin Netanyahu	Consult	Congress (United States)	2014-03-05
Benjamin Netanyahu	Consult	Mahmoud Abbas	2012-04-04
Benjamin Netanyahu	Consult	Media Personnel (International)	2012-12-11
Benjamin Netanyahu	Consult	Cabinet / Council of Ministers / Advisors (United States)	2013-09-15
Benjamin Netanyahu	Consult	Head of Government (Egypt)	2012-11-19
Benjamin Netanyahu	Consult	Barack Obama	2010-04-16
Benjamin Netanyahu	Consult	Xi Jinping	2013-05-10
Benjamin Netanyahu	Consult	Angela Merkel	2011-04-06
Benjamin Netanyahu	Consult	Barack Obama	2015-08-13
Benjamin Netanyahu	Consult	Alexis Tsipras	2015-11-25
Benjamin Netanyahu	Consult	Barack Obama	2013-10-05
Benjamin Netanyahu	Consult	Mahmoud Abbas	2010-07-15
Benjamin Netanyahu	Consult	Angela Merkel	2011-04-08
Benjamin Netanyahu	Consult	Barack Obama	2011-05-17
Benjamin Netanyahu	Consult	Envoy (United States)	2009-02-02
Benjamin Netanyahu	Consult	Omar Suleiman	2010-11-08
Benjamin Netanyahu	Consult	Cabinet / Council of Ministers / Advisors (United States)	2013-12-19
Benjamin Netanyahu	Consult	Cabinet / Council of Ministers / Advisors (United States)	2010-09-15
Benjamin Netanyahu	Consult	Likud	2015-11-03
Benjamin Netanyahu	Consult	Shimon Peres	2012-02-15
Benjamin Netanyahu	Consult	Barack Obama	2015-11-20
Benjamin Netanyahu	Consult	Dmitry Anatolyevich Medvedev	2010-02-14
Benjamin Netanyahu	Consult	Barack Obama	2015-11-07
Benjamin Netanyahu	Consult	Eli Yishai	2010-03-12
Benjamin Netanyahu	Consult	Mitch McConnell	2015-03-30
Benjamin Netanyahu	Consult	Barack Obama	2013-03-24
Benjamin Netanyahu	Consult	Yair Lapid	2013-03-10
Benjamin Netanyahu	Consult	John Brennan	2015-06-09
Benjamin Netanyahu	Consult	Terje Roed Larsen	2009-12-08
Benjamin Netanyahu	Consult	Cabinet / Council of Ministers / Advisors (United States)	2014-01-02
Benjamin Netanyahu	Consult	Chen Deming	2011-03-02
Admiral (Iran)	Make statement	Iran	2014-10-10
Admiral (Iran)	Make statement	Iran	2013-12-07
Admiral (Iran)	Make statement	Iran	2012-09-20
Admiral (Iran)	Make statement	Iran	2013-02-26
Admiral (Iran)	Make statement	Iran	2013-05-24
Admiral (Iran)	Make statement	Tasnim news agency	2015-03-11
Admiral (Iran)	Make statement	Iran	2007-11-24
Admiral (Iran)	Make statement	Iran	2009-12-12
Admiral (Iran)	Make statement	Iran	2007-04-16
Admiral (Iran)	Make statement	Iran	2014-03-09
Admiral (Iran)	Make statement	Iran	2011-10-17
Attacker (Afghanistan)	Use unconventional violence	Military Personnel - Special (Afghanistan)	2010-10-23
Attacker (Afghanistan)	Use unconventional violence	Military Personnel - Special (Afghanistan)	2011-06-02
Attacker (Afghanistan)	Use unconventional violence	Military Personnel - Special (Afghanistan)	2015-12-12
Attacker (Afghanistan)	Use unconventional violence	Foreign Affairs (India)	2014-05-23
Attacker (Afghanistan)	Use unconventional violence	Military Personnel - Special (Afghanistan)	2015-05-14
Attacker (Afghanistan)	Use unconventional violence	Military Personnel - Special (Afghanistan)	2011-11-03
Attacker (Afghanistan)	Use unconventional violence	Military Personnel - Special (Afghanistan)	2011-08-20
Media Personnel (Thailand)	Express intent to meet or negotiate	Citizen (Thailand)	2006-08-02
Armed Band (Brazil)	Return, release person(s)	Citizen (Brazil)	2013-02-13
Armed Band (Brazil)	Return, release person(s)	Criminal (Brazil)	2008-01-23
Tariq Aziz	Accuse	Iraq	2008-05-21
Tariq Aziz	Accuse	Business (Iraq)	2008-04-27
Oman	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2014-11-09
Oman	Host a visit	U.S. Marine Forces Central Command	2014-05-21
Oman	Host a visit	Youssef Al-Ibrahim	2008-12-06
Oman	Host a visit	Vietnam	2008-04-22
Oman	Host a visit	Abu Bakr Abdullah al-Qirbi	2010-11-10
Oman	Host a visit	Catherine Ashton	2014-11-10
Oman	Host a visit	Barack Obama	2008-11-11
Oman	Host a visit	Ahmad bin Abdul-Nabi Mekki	2005-07-04
Oman	Host a visit	Kim Hwang Sik	2012-01-20
Oman	Host a visit	China	2010-10-29
Oman	Host a visit	Shaukat Aziz	2005-03-16
Oman	Host a visit	Mahmoud Ahmadinejad	2007-06-02
Oman	Host a visit	Iran	2007-06-08
Oman	Host a visit	Ministry (Iran)	2008-09-24
Oman	Host a visit	Abdullah Gül	2010-04-14
Oman	Host a visit	Shura Council	2014-12-08
Oman	Host a visit	Ali Abdullah Saleh	2012-01-23
Oman	Host a visit	Iran	2014-11-09
Governor (Thailand)	Demand	Citizen (Thailand)	2013-11-21
Governor (Thailand)	Demand	Student (Thailand)	2012-06-14
Governor (Thailand)	Demand	Citizen (Thailand)	2007-02-22
Governor (Thailand)	Demand	Citizen (Thailand)	2005-04-08
Governor (Thailand)	Demand	Citizen (Thailand)	2005-09-20
Governor (Thailand)	Demand	Citizen (Thailand)	2011-06-28
Governor (Thailand)	Demand	Citizen (Thailand)	2010-04-30
Governor (Thailand)	Demand	Thailand	2006-06-08
Governor (Thailand)	Demand	Citizen (Thailand)	2010-10-19
Governor (Thailand)	Demand	Citizen (Thailand)	2005-04-06
South Sudan	Arrest, detain, or charge with legal action	Detainee (South Sudan)	2013-12-18
South Sudan	Arrest, detain, or charge with legal action	High Ranking Military Personnel (Sudan)	2012-01-06
South Sudan	Arrest, detain, or charge with legal action	Citizen (Sudan)	2012-03-19
Barack Obama	Bring lawsuit against	China	2012-02-02
Barack Obama	Bring lawsuit against	China	2012-10-24
Edwin Lacierda	Make statement	Alan Purisima	2015-02-05
Edwin Lacierda	Make statement	Justice Department/Ministery (Philippines)	2014-03-03
Edwin Lacierda	Make statement	China	2015-04-02
Al-Shabaab	Threaten with military force	Cabinet / Council of Ministers / Advisors (Somalia)	2010-11-16
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Mahmoud Abbas	2010-08-31
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	China	2009-06-02
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Lee Myung Bak	2009-04-23
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Angela Merkel	2009-06-26
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Sudan	2011-07-18
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Dmitry Anatolyevich Medvedev	2009-07-06
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Iran	2015-09-29
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	China	2010-12-08
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Ireland	2013-06-16
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Iran	2009-01-27
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Macky Sall	2013-03-19
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Dmitry Anatolyevich Medvedev	2009-05-20
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	France	2012-05-06
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Iran	2009-03-25
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Jens Stoltenberg	2011-10-20
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Japan	2011-05-26
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	South Korea	2009-10-21
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Xi Jinping	2015-09-24
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Colombia	2010-12-01
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Angela Merkel	2011-04-04
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Other Authorities / Officials (Mexico)	2009-04-16
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Julia Gillard	2010-09-07
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Xi Jinping	2013-06-09
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Dmitry Anatolyevich Medvedev	2009-07-13
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Lee Myung Bak	2008-11-11
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	China	2009-05-06
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Japan	2008-11-05
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Nuri al-Maliki	2011-10-21
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Jakaya Mrisho Kikwete	2009-05-20
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	China	2009-07-10
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	France	2010-01-15
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	UN Security Council	2009-05-26
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Iran	2009-01-12
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	China	2013-05-28
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	South Korea	2010-12-07
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	China	2013-09-11
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Dmitry Anatolyevich Medvedev	2010-04-02
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Benjamin Netanyahu	2010-11-16
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	China	2009-01-13
Barack Obama	Express intent to engage in diplomatic cooperation (such as policy support)	Iran	2009-03-04
Japan	Criticize or denounce	China	2013-06-29
Japan	Criticize or denounce	South Korea	2010-06-28
Japan	Criticize or denounce	Agence France-Presse	2011-12-03
Japan	Criticize or denounce	China	2006-03-07
Japan	Criticize or denounce	Lee Myung Bak	2012-08-26
Japan	Criticize or denounce	Dmitry Anatolyevich Medvedev	2012-07-03
Japan	Criticize or denounce	China	2006-01-26
Japan	Criticize or denounce	China	2012-07-31
Japan	Criticize or denounce	China	2013-11-25
Japan	Criticize or denounce	China	2009-11-19
Japan	Criticize or denounce	China	2006-10-24
Japan	Criticize or denounce	South Korea	2005-07-13
Japan	Criticize or denounce	Iran	2006-01-12
Japan	Criticize or denounce	China	2008-03-03
Japan	Criticize or denounce	South Korea	2014-11-15
Japan	Criticize or denounce	China	2005-04-13
Japan	Criticize or denounce	South Korea	2006-08-28
Japan	Criticize or denounce	China	2008-01-06
Japan	Criticize or denounce	South Korea	2012-08-31
Japan	Criticize or denounce	China	2014-01-21
Japan	Criticize or denounce	China	2006-07-04
Japan	Criticize or denounce	China	2013-04-11
Japan	Criticize or denounce	Iran	2007-12-17
Japan	Criticize or denounce	China	2012-12-13
Japan	Criticize or denounce	China	2007-12-09
Japan	Criticize or denounce	China	2010-05-17
Japan	Criticize or denounce	China	2010-12-02
Japan	Criticize or denounce	China	2010-09-25
Japan	Criticize or denounce	China	2005-01-22
Japan	Criticize or denounce	China	2009-02-28
Japan	Criticize or denounce	China	2006-05-26
Japan	Criticize or denounce	South Korea	2012-09-04
Japan	Criticize or denounce	China	2014-12-20
Japan	Criticize or denounce	China	2010-04-01
Japan	Criticize or denounce	China	2007-02-05
Japan	Criticize or denounce	China	2011-08-29
Japan	Criticize or denounce	Iran	2006-04-12
Japan	Criticize or denounce	Citizen (North Korea)	2006-07-27
Japan	Criticize or denounce	China	2012-08-24
High Commission for Refugees	Provide aid	Indigenous People (Ecuador)	2012-08-02
High Commission for Refugees	Provide aid	Government (Pakistan)	2005-03-03
Thailand	Express intent to cooperate	Cambodia	2005-12-19
Thailand	Express intent to cooperate	Cambodia	2011-05-25
Thailand	Express intent to cooperate	China	2011-05-07
Thailand	Express intent to cooperate	Laos	2007-08-22
Thailand	Express intent to cooperate	Cambodia	2014-12-24
Thailand	Express intent to cooperate	Malaysia	2005-11-24
Thailand	Express intent to cooperate	Cambodia	2009-10-20
Thailand	Express intent to cooperate	Laos	2008-04-02
Thailand	Express intent to cooperate	Cambodia	2011-02-15
