relation i,relation j,#temporal inverse,#rel_i,P one direction,P two direction
Occupy territory,Make empathetic comment,0,208,0.0,0.0
Make empathetic comment,Occupy territory,0,232,0.0,0.0
Occupy territory,Sexually assault,0,208,0.0,0.0
Sexually assault,Occupy territory,0,112,0.0,0.0
Occupy territory,Express intent to cooperate,0,208,0.0,0.0
Express intent to cooperate,Occupy territory,0,1265,0.0,0.0
Occupy territory,Appeal for diplomatic cooperation (such as policy support),0,208,0.0,0.0
Appeal for diplomatic cooperation (such as policy support),Occupy territory,0,380,0.0,0.0
Occupy territory,"Defy norms, law",0,208,0.0,0.0
"Defy norms, law",Occupy territory,0,57,0.0,0.0
Occupy territory,Threaten,1,208,0.004807692307692308,0.0026560424966799467
Threaten,Occupy territory,1,545,0.001834862385321101,0.0026560424966799467
Occupy territory,Threaten with military force,0,208,0.0,0.0
Threaten with military force,Occupy territory,0,91,0.0,0.0
Occupy territory,"Ease economic sanctions, boycott, embargo",0,208,0.0,0.0
"Ease economic sanctions, boycott, embargo",Occupy territory,0,21,0.0,0.0
Occupy territory,Kill by physical assault,0,208,0.0,0.0
Kill by physical assault,Occupy territory,0,80,0.0,0.0
Occupy territory,"Impose embargo, boycott, or sanctions",0,208,0.0,0.0
"Impose embargo, boycott, or sanctions",Occupy territory,0,98,0.0,0.0
Occupy territory,Make optimistic comment,0,208,0.0,0.0
Make optimistic comment,Occupy territory,0,634,0.0,0.0
Occupy territory,"Reject proposal to meet, discuss, or negotiate",0,208,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Occupy territory,0,92,0.0,0.0
Occupy territory,Appeal for de-escalation of military engagement,1,208,0.004807692307692308,0.008264462809917356
Appeal for de-escalation of military engagement,Occupy territory,1,34,0.029411764705882353,0.008264462809917356
Occupy territory,Sign formal agreement,0,208,0.0,0.0
Sign formal agreement,Occupy territory,0,1068,0.0,0.0
Occupy territory,Meet at a 'third' location,0,208,0.0,0.0
Meet at a 'third' location,Occupy territory,0,434,0.0,0.0
Occupy territory,Express intent to provide economic aid,0,208,0.0,0.0
Express intent to provide economic aid,Occupy territory,0,70,0.0,0.0
Occupy territory,Investigate,0,208,0.0,0.0
Investigate,Occupy territory,0,824,0.0,0.0
Occupy territory,Halt negotiations,0,208,0.0,0.0
Halt negotiations,Occupy territory,0,27,0.0,0.0
Occupy territory,Physically assault,0,208,0.0,0.0
Physically assault,Occupy territory,0,191,0.0,0.0
Occupy territory,Engage in symbolic act,0,208,0.0,0.0
Engage in symbolic act,Occupy territory,0,426,0.0,0.0
Occupy territory,Expel or deport individuals,0,208,0.0,0.0
Expel or deport individuals,Occupy territory,0,138,0.0,0.0
Occupy territory,fight with small arms and light weapons,0,208,0.0,0.0
fight with small arms and light weapons,Occupy territory,0,696,0.0,0.0
Occupy territory,"Abduct, hijack, or take hostage",0,208,0.0,0.0
"Abduct, hijack, or take hostage",Occupy territory,0,483,0.0,0.0
Occupy territory,"Conduct suicide, car, or other non-military bombing",0,208,0.0,0.0
"Conduct suicide, car, or other non-military bombing",Occupy territory,0,69,0.0,0.0
Occupy territory,Give ultimatum,0,208,0.0,0.0
Give ultimatum,Occupy territory,0,52,0.0,0.0
Occupy territory,"Reject plan, agreement to settle dispute",0,208,0.0,0.0
"Reject plan, agreement to settle dispute",Occupy territory,0,55,0.0,0.0
Occupy territory,Demand de-escalation of military engagement,0,208,0.0,0.0
Demand de-escalation of military engagement,Occupy territory,0,12,0.0,0.0
Occupy territory,Coerce,0,208,0.0,0.0
Coerce,Occupy territory,0,95,0.0,0.0
Occupy territory,Express accord,0,208,0.0,0.0
Express accord,Occupy territory,0,79,0.0,0.0
Occupy territory,"Declare truce, ceasefire",0,208,0.0,0.0
"Declare truce, ceasefire",Occupy territory,0,23,0.0,0.0
Occupy territory,Complain officially,0,208,0.0,0.0
Complain officially,Occupy territory,0,109,0.0,0.0
Occupy territory,"Return, release person(s)",0,208,0.0,0.0
"Return, release person(s)",Occupy territory,0,357,0.0,0.0
Occupy territory,Refuse to yield,0,208,0.0,0.0
Refuse to yield,Occupy territory,0,37,0.0,0.0
Occupy territory,Reduce relations,0,208,0.0,0.0
Reduce relations,Occupy territory,0,188,0.0,0.0
Occupy territory,Bring lawsuit against,0,208,0.0,0.0
Bring lawsuit against,Occupy territory,0,142,0.0,0.0
Occupy territory,Engage in mass expulsion,0,208,0.0,0.0
Engage in mass expulsion,Occupy territory,0,1,0.0,0.0
Occupy territory,Impose restrictions on political freedoms,0,208,0.0,0.0
Impose restrictions on political freedoms,Occupy territory,0,54,0.0,0.0
Occupy territory,"Obstruct passage, block",0,208,0.0,0.0
"Obstruct passage, block",Occupy territory,0,58,0.0,0.0
Occupy territory,Rally opposition against,0,208,0.0,0.0
Rally opposition against,Occupy territory,0,68,0.0,0.0
Occupy territory,Appeal for humanitarian aid,0,208,0.0,0.0
Appeal for humanitarian aid,Occupy territory,0,7,0.0,0.0
Occupy territory,Torture,0,208,0.0,0.0
Torture,Occupy territory,0,30,0.0,0.0
Occupy territory,Express intent to release persons or property,0,208,0.0,0.0
Express intent to release persons or property,Occupy territory,0,61,0.0,0.0
Occupy territory,Consider policy option,0,208,0.0,0.0
Consider policy option,Occupy territory,0,90,0.0,0.0
Occupy territory,fight with artillery and tanks,0,208,0.0,0.0
fight with artillery and tanks,Occupy territory,0,32,0.0,0.0
Occupy territory,Engage in material cooperation,0,208,0.0,0.0
Engage in material cooperation,Occupy territory,0,83,0.0,0.0
Occupy territory,Violate ceasefire,0,208,0.0,0.0
Violate ceasefire,Occupy territory,0,4,0.0,0.0
Occupy territory,Provide economic aid,0,208,0.0,0.0
Provide economic aid,Occupy territory,0,71,0.0,0.0
Occupy territory,Confiscate property,0,208,0.0,0.0
Confiscate property,Occupy territory,0,138,0.0,0.0
Occupy territory,Cooperate economically,0,208,0.0,0.0
Cooperate economically,Occupy territory,0,117,0.0,0.0
Occupy territory,Provide humanitarian aid,0,208,0.0,0.0
Provide humanitarian aid,Occupy territory,0,252,0.0,0.0
Occupy territory,Appeal for release of persons or property,0,208,0.0,0.0
Appeal for release of persons or property,Occupy territory,0,30,0.0,0.0
Occupy territory,Provide aid,0,208,0.0,0.0
Provide aid,Occupy territory,0,158,0.0,0.0
Occupy territory,Appeal for change in leadership,0,208,0.0,0.0
Appeal for change in leadership,Occupy territory,0,49,0.0,0.0
Occupy territory,Appeal for economic aid,0,208,0.0,0.0
Appeal for economic aid,Occupy territory,0,23,0.0,0.0
Occupy territory,Retreat or surrender militarily,0,208,0.0,0.0
Retreat or surrender militarily,Occupy territory,0,55,0.0,0.0
Occupy territory,Rally support on behalf of,0,208,0.0,0.0
Rally support on behalf of,Occupy territory,0,96,0.0,0.0
Occupy territory,Express intent to cooperate economically,0,208,0.0,0.0
Express intent to cooperate economically,Occupy territory,0,93,0.0,0.0
Occupy territory,Express intent to provide material aid,0,208,0.0,0.0
Express intent to provide material aid,Occupy territory,0,77,0.0,0.0
Occupy territory,Demand diplomatic cooperation (such as policy support),0,208,0.0,0.0
Demand diplomatic cooperation (such as policy support),Occupy territory,0,66,0.0,0.0
Occupy territory,Express intent to de-escalate military engagement,0,208,0.0,0.0
Express intent to de-escalate military engagement,Occupy territory,0,31,0.0,0.0
Occupy territory,Cooperate militarily,0,208,0.0,0.0
Cooperate militarily,Occupy territory,0,96,0.0,0.0
Occupy territory,Express intent to settle dispute,0,208,0.0,0.0
Express intent to settle dispute,Occupy territory,0,54,0.0,0.0
Occupy territory,Express intent to engage in material cooperation,0,208,0.0,0.0
Express intent to engage in material cooperation,Occupy territory,0,10,0.0,0.0
Occupy territory,Appeal for material cooperation,0,208,0.0,0.0
Appeal for material cooperation,Occupy territory,0,10,0.0,0.0
Occupy territory,Engage in judicial cooperation,0,208,0.0,0.0
Engage in judicial cooperation,Occupy territory,0,10,0.0,0.0
Occupy territory,Assassinate,0,208,0.0,0.0
Assassinate,Occupy territory,0,44,0.0,0.0
Occupy territory,Accuse of war crimes,0,208,0.0,0.0
Accuse of war crimes,Occupy territory,0,7,0.0,0.0
Occupy territory,Appeal to engage in or accept mediation,0,208,0.0,0.0
Appeal to engage in or accept mediation,Occupy territory,0,33,0.0,0.0
Occupy territory,Appeal for intelligence,0,208,0.0,0.0
Appeal for intelligence,Occupy territory,0,75,0.0,0.0
Occupy territory,Impose administrative sanctions,0,208,0.0,0.0
Impose administrative sanctions,Occupy territory,0,133,0.0,0.0
Occupy territory,"Demand meeting, negotiation",0,208,0.0,0.0
"Demand meeting, negotiation",Occupy territory,0,15,0.0,0.0
Occupy territory,Grant diplomatic recognition,0,208,0.0,0.0
Grant diplomatic recognition,Occupy territory,0,53,0.0,0.0
Occupy territory,Appeal for aid,0,208,0.0,0.0
Appeal for aid,Occupy territory,0,22,0.0,0.0
Occupy territory,Express intent to provide humanitarian aid,0,208,0.0,0.0
Express intent to provide humanitarian aid,Occupy territory,0,48,0.0,0.0
Occupy territory,Carry out suicide bombing,0,208,0.0,0.0
Carry out suicide bombing,Occupy territory,0,76,0.0,0.0
Occupy territory,Mobilize or increase armed forces,0,208,0.0,0.0
Mobilize or increase armed forces,Occupy territory,0,169,0.0,0.0
Occupy territory,Apologize,0,208,0.0,0.0
Apologize,Occupy territory,0,33,0.0,0.0
Occupy territory,Attempt to assassinate,0,208,0.0,0.0
Attempt to assassinate,Occupy territory,0,11,0.0,0.0
Occupy territory,Yield,0,208,0.0,0.0
Yield,Occupy territory,0,93,0.0,0.0
Occupy territory,Appeal for economic cooperation,0,208,0.0,0.0
Appeal for economic cooperation,Occupy territory,0,15,0.0,0.0
Occupy territory,Employ aerial weapons,1,208,0.004807692307692308,0.006802721088435374
Employ aerial weapons,Occupy territory,1,86,0.011627906976744186,0.006802721088435374
Occupy territory,Accede to demands for rights,0,208,0.0,0.0
Accede to demands for rights,Occupy territory,0,6,0.0,0.0
Occupy territory,Appeal for rights,0,208,0.0,0.0
Appeal for rights,Occupy territory,0,9,0.0,0.0
Occupy territory,Appeal for military aid,0,208,0.0,0.0
Appeal for military aid,Occupy territory,0,26,0.0,0.0
Occupy territory,Accuse of human rights abuses,0,208,0.0,0.0
Accuse of human rights abuses,Occupy territory,0,39,0.0,0.0
Occupy territory,Demand material aid,0,208,0.0,0.0
Demand material aid,Occupy territory,0,1,0.0,0.0
Occupy territory,Appeal to others to settle dispute,0,208,0.0,0.0
Appeal to others to settle dispute,Occupy territory,0,12,0.0,0.0
Occupy territory,Express intent to cooperate militarily,0,208,0.0,0.0
Express intent to cooperate militarily,Occupy territory,0,14,0.0,0.0
Occupy territory,"Threaten with sanctions, boycott, embargo",0,208,0.0,0.0
"Threaten with sanctions, boycott, embargo",Occupy territory,0,6,0.0,0.0
Occupy territory,Share intelligence or information,0,208,0.0,0.0
Share intelligence or information,Occupy territory,0,38,0.0,0.0
Occupy territory,Ease administrative sanctions,0,208,0.0,0.0
Ease administrative sanctions,Occupy territory,0,146,0.0,0.0
Occupy territory,Veto,0,208,0.0,0.0
Veto,Occupy territory,0,6,0.0,0.0
Occupy territory,Acknowledge or claim responsibility,0,208,0.0,0.0
Acknowledge or claim responsibility,Occupy territory,0,62,0.0,0.0
Occupy territory,Appeal to others to meet or negotiate,0,208,0.0,0.0
Appeal to others to meet or negotiate,Occupy territory,0,28,0.0,0.0
Occupy territory,Demand release of persons or property,0,208,0.0,0.0
Demand release of persons or property,Occupy territory,0,5,0.0,0.0
Occupy territory,Express intent to provide military protection or peacekeeping,0,208,0.0,0.0
Express intent to provide military protection or peacekeeping,Occupy territory,0,6,0.0,0.0
Occupy territory,"Express intent to ease economic sanctions, boycott, or embargo",0,208,0.0,0.0
"Express intent to ease economic sanctions, boycott, or embargo",Occupy territory,0,18,0.0,0.0
Occupy territory,Appeal for judicial cooperation,0,208,0.0,0.0
Appeal for judicial cooperation,Occupy territory,0,23,0.0,0.0
Occupy territory,Refuse to de-escalate military engagement,0,208,0.0,0.0
Refuse to de-escalate military engagement,Occupy territory,0,4,0.0,0.0
Occupy territory,"Impose blockade, restrict movement",0,208,0.0,0.0
"Impose blockade, restrict movement",Occupy territory,0,18,0.0,0.0
Occupy territory,Threaten with repression,0,208,0.0,0.0
Threaten with repression,Occupy territory,0,5,0.0,0.0
Occupy territory,Impose state of emergency or martial law,0,208,0.0,0.0
Impose state of emergency or martial law,Occupy territory,0,12,0.0,0.0
Occupy territory,Increase military alert status,0,208,0.0,0.0
Increase military alert status,Occupy territory,0,27,0.0,0.0
Occupy territory,Provide military aid,0,208,0.0,0.0
Provide military aid,Occupy territory,0,88,0.0,0.0
Occupy territory,Demonstrate military or police power,0,208,0.0,0.0
Demonstrate military or police power,Occupy territory,0,30,0.0,0.0
Occupy territory,Demand judicial cooperation,0,208,0.0,0.0
Demand judicial cooperation,Occupy territory,0,4,0.0,0.0
Occupy territory,Express intent to provide military aid,0,208,0.0,0.0
Express intent to provide military aid,Occupy territory,0,92,0.0,0.0
Occupy territory,Threaten non-force,0,208,0.0,0.0
Threaten non-force,Occupy territory,0,10,0.0,0.0
Occupy territory,Conduct strike or boycott,0,208,0.0,0.0
Conduct strike or boycott,Occupy territory,0,32,0.0,0.0
Occupy territory,Expel or withdraw peacekeepers,0,208,0.0,0.0
Expel or withdraw peacekeepers,Occupy territory,0,4,0.0,0.0
Occupy territory,"Demand change in institutions, regime",0,208,0.0,0.0
"Demand change in institutions, regime",Occupy territory,0,8,0.0,0.0
Occupy territory,"Accede to demands for change in institutions, regime",0,208,0.0,0.0
"Accede to demands for change in institutions, regime",Occupy territory,0,3,0.0,0.0
Occupy territory,"Appeal for easing of economic sanctions, boycott, or embargo",0,208,0.0,0.0
"Appeal for easing of economic sanctions, boycott, or embargo",Occupy territory,0,1,0.0,0.0
Occupy territory,Express intent to mediate,0,208,0.0,0.0
Express intent to mediate,Occupy territory,0,14,0.0,0.0
Occupy territory,Decline comment,0,208,0.0,0.0
Decline comment,Occupy territory,0,22,0.0,0.0
Occupy territory,"Refuse to ease economic sanctions, boycott, or embargo",0,208,0.0,0.0
"Refuse to ease economic sanctions, boycott, or embargo",Occupy territory,0,4,0.0,0.0
Occupy territory,Reject judicial cooperation,0,208,0.0,0.0
Reject judicial cooperation,Occupy territory,0,1,0.0,0.0
Occupy territory,"Return, release property",0,208,0.0,0.0
"Return, release property",Occupy territory,0,10,0.0,0.0
Occupy territory,Express intent to accept mediation,0,208,0.0,0.0
Express intent to accept mediation,Occupy territory,0,8,0.0,0.0
Occupy territory,Accuse of aggression,0,208,0.0,0.0
Accuse of aggression,Occupy territory,0,7,0.0,0.0
Occupy territory,Investigate human rights abuses,0,208,0.0,0.0
Investigate human rights abuses,Occupy territory,0,3,0.0,0.0
Occupy territory,"Accuse of crime, corruption",0,208,0.0,0.0
"Accuse of crime, corruption",Occupy territory,0,64,0.0,0.0
Occupy territory,Demonstrate for leadership change,0,208,0.0,0.0
Demonstrate for leadership change,Occupy territory,0,27,0.0,0.0
Occupy territory,Demand change in leadership,0,208,0.0,0.0
Demand change in leadership,Occupy territory,0,64,0.0,0.0
Occupy territory,Reject material cooperation,0,208,0.0,0.0
Reject material cooperation,Occupy territory,0,3,0.0,0.0
Occupy territory,"Investigate crime, corruption",0,208,0.0,0.0
"Investigate crime, corruption",Occupy territory,0,28,0.0,0.0
Occupy territory,"Appeal for change in institutions, regime",0,208,0.0,0.0
"Appeal for change in institutions, regime",Occupy territory,0,20,0.0,0.0
Occupy territory,Express intent to ease administrative sanctions,0,208,0.0,0.0
Express intent to ease administrative sanctions,Occupy territory,0,7,0.0,0.0
Occupy territory,Receive inspectors,0,208,0.0,0.0
Receive inspectors,Occupy territory,0,2,0.0,0.0
Occupy territory,Increase police alert status,0,208,0.0,0.0
Increase police alert status,Occupy territory,0,25,0.0,0.0
Occupy territory,Defend verbally,0,208,0.0,0.0
Defend verbally,Occupy territory,0,25,0.0,0.0
Occupy territory,Threaten to halt negotiations,0,208,0.0,0.0
Threaten to halt negotiations,Occupy territory,0,1,0.0,0.0
Occupy territory,Reduce or stop military assistance,0,208,0.0,0.0
Reduce or stop military assistance,Occupy territory,0,8,0.0,0.0
Occupy territory,Demand settling of dispute,0,208,0.0,0.0
Demand settling of dispute,Occupy territory,0,5,0.0,0.0
Occupy territory,Conduct hunger strike,0,208,0.0,0.0
Conduct hunger strike,Occupy territory,0,3,0.0,0.0
Occupy territory,Demand intelligence cooperation,0,208,0.0,0.0
Demand intelligence cooperation,Occupy territory,0,15,0.0,0.0
Occupy territory,Demand mediation,0,208,0.0,0.0
Demand mediation,Occupy territory,0,3,0.0,0.0
Occupy territory,Express intent to cooperate on intelligence,0,208,0.0,0.0
Express intent to cooperate on intelligence,Occupy territory,0,8,0.0,0.0
Praise or endorse,"Threaten with political dissent, protest",0,2912,0.0,0.0
"Threaten with political dissent, protest",Praise or endorse,0,5,0.0,0.0
Praise or endorse,Demand,7,2912,0.002403846153846154,0.0034448818897637795
Demand,Praise or endorse,7,1152,0.006076388888888889,0.0034448818897637795
Praise or endorse,Accuse,3,2912,0.0010302197802197802,0.001195457262402869
Accuse,Praise or endorse,3,2107,0.0014238253440911248,0.001195457262402869
Praise or endorse,Discuss by telephone,17,2912,0.005837912087912088,0.009201623815967524
Discuss by telephone,Praise or endorse,17,783,0.021711366538952746,0.009201623815967524
Praise or endorse,Reduce or break diplomatic relations,2,2912,0.0006868131868131869,0.001314060446780552
Reduce or break diplomatic relations,Praise or endorse,2,132,0.015151515151515152,0.001314060446780552
Praise or endorse,"Arrest, detain, or charge with legal action",1,2912,0.00034340659340659343,0.00032706459525756336
"Arrest, detain, or charge with legal action",Praise or endorse,1,3203,0.00031220730565095225,0.00032706459525756336
Praise or endorse,Make empathetic comment,1,2912,0.00034340659340659343,0.0006361323155216285
Make empathetic comment,Praise or endorse,1,232,0.004310344827586207,0.0006361323155216285
Praise or endorse,Sexually assault,0,2912,0.0,0.0
Sexually assault,Praise or endorse,0,112,0.0,0.0
Praise or endorse,Express intent to cooperate,15,2912,0.005151098901098901,0.007182188173330141
Express intent to cooperate,Praise or endorse,15,1265,0.011857707509881422,0.007182188173330141
Praise or endorse,Appeal for diplomatic cooperation (such as policy support),2,2912,0.0006868131868131869,0.001215066828675577
Appeal for diplomatic cooperation (such as policy support),Praise or endorse,2,380,0.005263157894736842,0.001215066828675577
Praise or endorse,"Defy norms, law",0,2912,0.0,0.0
"Defy norms, law",Praise or endorse,0,57,0.0,0.0
Praise or endorse,Threaten,4,2912,0.0013736263736263737,0.0023141452126120912
Threaten,Praise or endorse,4,545,0.007339449541284404,0.0023141452126120912
Praise or endorse,Threaten with military force,0,2912,0.0,0.0
Threaten with military force,Praise or endorse,0,91,0.0,0.0
Praise or endorse,"Ease economic sanctions, boycott, embargo",0,2912,0.0,0.0
"Ease economic sanctions, boycott, embargo",Praise or endorse,0,21,0.0,0.0
Praise or endorse,Kill by physical assault,0,2912,0.0,0.0
Kill by physical assault,Praise or endorse,0,80,0.0,0.0
Praise or endorse,"Impose embargo, boycott, or sanctions",0,2912,0.0,0.0
"Impose embargo, boycott, or sanctions",Praise or endorse,0,98,0.0,0.0
Praise or endorse,Make optimistic comment,6,2912,0.0020604395604395605,0.00338409475465313
Make optimistic comment,Praise or endorse,6,634,0.00946372239747634,0.00338409475465313
Praise or endorse,"Reject proposal to meet, discuss, or negotiate",1,2912,0.00034340659340659343,0.0006657789613848203
"Reject proposal to meet, discuss, or negotiate",Praise or endorse,1,92,0.010869565217391304,0.0006657789613848203
Praise or endorse,Appeal for de-escalation of military engagement,1,2912,0.00034340659340659343,0.0006788866259334691
Appeal for de-escalation of military engagement,Praise or endorse,1,34,0.029411764705882353,0.0006788866259334691
Praise or endorse,Sign formal agreement,15,2912,0.005151098901098901,0.007537688442211055
Sign formal agreement,Praise or endorse,15,1068,0.014044943820224719,0.007537688442211055
Praise or endorse,Meet at a 'third' location,6,2912,0.0020604395604395605,0.0035863717872086074
Meet at a 'third' location,Praise or endorse,6,434,0.013824884792626729,0.0035863717872086074
Praise or endorse,Express intent to provide economic aid,2,2912,0.0006868131868131869,0.0013413816230717639
Express intent to provide economic aid,Praise or endorse,2,70,0.02857142857142857,0.0013413816230717639
Praise or endorse,Investigate,3,2912,0.0010302197802197802,0.0016059957173447537
Investigate,Praise or endorse,3,824,0.0036407766990291263,0.0016059957173447537
Praise or endorse,Halt negotiations,0,2912,0.0,0.0
Halt negotiations,Praise or endorse,0,27,0.0,0.0
Praise or endorse,Physically assault,0,2912,0.0,0.0
Physically assault,Praise or endorse,0,191,0.0,0.0
Praise or endorse,Engage in symbolic act,4,2912,0.0013736263736263737,0.002396644697423607
Engage in symbolic act,Praise or endorse,4,426,0.009389671361502348,0.002396644697423607
Praise or endorse,Expel or deport individuals,0,2912,0.0,0.0
Expel or deport individuals,Praise or endorse,0,138,0.0,0.0
Praise or endorse,fight with small arms and light weapons,0,2912,0.0,0.0
fight with small arms and light weapons,Praise or endorse,0,696,0.0,0.0
Praise or endorse,"Abduct, hijack, or take hostage",0,2912,0.0,0.0
"Abduct, hijack, or take hostage",Praise or endorse,0,483,0.0,0.0
Praise or endorse,"Conduct suicide, car, or other non-military bombing",0,2912,0.0,0.0
"Conduct suicide, car, or other non-military bombing",Praise or endorse,0,69,0.0,0.0
Praise or endorse,Give ultimatum,1,2912,0.00034340659340659343,0.0006747638326585695
Give ultimatum,Praise or endorse,1,52,0.019230769230769232,0.0006747638326585695
Praise or endorse,"Reject plan, agreement to settle dispute",0,2912,0.0,0.0
"Reject plan, agreement to settle dispute",Praise or endorse,0,55,0.0,0.0
Praise or endorse,Demand de-escalation of military engagement,0,2912,0.0,0.0
Demand de-escalation of military engagement,Praise or endorse,0,12,0.0,0.0
Praise or endorse,Coerce,0,2912,0.0,0.0
Coerce,Praise or endorse,0,95,0.0,0.0
Praise or endorse,Express accord,0,2912,0.0,0.0
Express accord,Praise or endorse,0,79,0.0,0.0
Praise or endorse,"Declare truce, ceasefire",0,2912,0.0,0.0
"Declare truce, ceasefire",Praise or endorse,0,23,0.0,0.0
Praise or endorse,Complain officially,0,2912,0.0,0.0
Complain officially,Praise or endorse,0,109,0.0,0.0
Praise or endorse,"Return, release person(s)",2,2912,0.0006868131868131869,0.001223615784643622
"Return, release person(s)",Praise or endorse,2,357,0.0056022408963585435,0.001223615784643622
Praise or endorse,Refuse to yield,0,2912,0.0,0.0
Refuse to yield,Praise or endorse,0,37,0.0,0.0
Praise or endorse,Reduce relations,0,2912,0.0,0.0
Reduce relations,Praise or endorse,0,188,0.0,0.0
Praise or endorse,Bring lawsuit against,0,2912,0.0,0.0
Bring lawsuit against,Praise or endorse,0,142,0.0,0.0
Praise or endorse,Engage in mass expulsion,0,2912,0.0,0.0
Engage in mass expulsion,Praise or endorse,0,1,0.0,0.0
Praise or endorse,Impose restrictions on political freedoms,0,2912,0.0,0.0
Impose restrictions on political freedoms,Praise or endorse,0,54,0.0,0.0
Praise or endorse,"Obstruct passage, block",1,2912,0.00034340659340659343,0.0006734006734006734
"Obstruct passage, block",Praise or endorse,1,58,0.017241379310344827,0.0006734006734006734
Praise or endorse,Rally opposition against,0,2912,0.0,0.0
Rally opposition against,Praise or endorse,0,68,0.0,0.0
Praise or endorse,Appeal for humanitarian aid,0,2912,0.0,0.0
Appeal for humanitarian aid,Praise or endorse,0,7,0.0,0.0
Praise or endorse,Torture,0,2912,0.0,0.0
Torture,Praise or endorse,0,30,0.0,0.0
Praise or endorse,Express intent to release persons or property,0,2912,0.0,0.0
Express intent to release persons or property,Praise or endorse,0,61,0.0,0.0
Praise or endorse,Consider policy option,0,2912,0.0,0.0
Consider policy option,Praise or endorse,0,90,0.0,0.0
Praise or endorse,fight with artillery and tanks,0,2912,0.0,0.0
fight with artillery and tanks,Praise or endorse,0,32,0.0,0.0
Praise or endorse,Engage in material cooperation,0,2912,0.0,0.0
Engage in material cooperation,Praise or endorse,0,83,0.0,0.0
Praise or endorse,Violate ceasefire,0,2912,0.0,0.0
Violate ceasefire,Praise or endorse,0,4,0.0,0.0
Praise or endorse,Provide economic aid,0,2912,0.0,0.0
Provide economic aid,Praise or endorse,0,71,0.0,0.0
Praise or endorse,Confiscate property,1,2912,0.00034340659340659343,0.0006557377049180328
Confiscate property,Praise or endorse,1,138,0.007246376811594203,0.0006557377049180328
Praise or endorse,Cooperate economically,1,2912,0.00034340659340659343,0.0006602839220864972
Cooperate economically,Praise or endorse,1,117,0.008547008547008548,0.0006602839220864972
Praise or endorse,Provide humanitarian aid,1,2912,0.00034340659340659343,0.0006321112515802782
Provide humanitarian aid,Praise or endorse,1,252,0.003968253968253968,0.0006321112515802782
Praise or endorse,Appeal for release of persons or property,0,2912,0.0,0.0
Appeal for release of persons or property,Praise or endorse,0,30,0.0,0.0
Praise or endorse,Provide aid,3,2912,0.0010302197802197802,0.001954397394136808
Provide aid,Praise or endorse,3,158,0.0189873417721519,0.001954397394136808
Praise or endorse,Appeal for change in leadership,0,2912,0.0,0.0
Appeal for change in leadership,Praise or endorse,0,49,0.0,0.0
Praise or endorse,Appeal for economic aid,0,2912,0.0,0.0
Appeal for economic aid,Praise or endorse,0,23,0.0,0.0
Praise or endorse,Retreat or surrender militarily,2,2912,0.0006868131868131869,0.0013481631277384564
Retreat or surrender militarily,Praise or endorse,2,55,0.03636363636363636,0.0013481631277384564
Praise or endorse,Rally support on behalf of,0,2912,0.0,0.0
Rally support on behalf of,Praise or endorse,0,96,0.0,0.0
Praise or endorse,Express intent to cooperate economically,2,2912,0.0006868131868131869,0.0013311148086522463
Express intent to cooperate economically,Praise or endorse,2,93,0.021505376344086023,0.0013311148086522463
Praise or endorse,Express intent to provide material aid,1,2912,0.00034340659340659343,0.0006691201070592171
Express intent to provide material aid,Praise or endorse,1,77,0.012987012987012988,0.0006691201070592171
Praise or endorse,Demand diplomatic cooperation (such as policy support),0,2912,0.0,0.0
Demand diplomatic cooperation (such as policy support),Praise or endorse,0,66,0.0,0.0
Praise or endorse,Express intent to de-escalate military engagement,1,2912,0.00034340659340659343,0.0006795786612300374
Express intent to de-escalate military engagement,Praise or endorse,1,31,0.03225806451612903,0.0006795786612300374
Praise or endorse,Cooperate militarily,1,2912,0.00034340659340659343,0.0006648936170212766
Cooperate militarily,Praise or endorse,1,96,0.010416666666666666,0.0006648936170212766
Praise or endorse,Express intent to settle dispute,1,2912,0.00034340659340659343,0.0006743088334457181
Express intent to settle dispute,Praise or endorse,1,54,0.018518518518518517,0.0006743088334457181
Praise or endorse,Express intent to engage in material cooperation,0,2912,0.0,0.0
Express intent to engage in material cooperation,Praise or endorse,0,10,0.0,0.0
Praise or endorse,Appeal for material cooperation,1,2912,0.00034340659340659343,0.0006844626967830253
Appeal for material cooperation,Praise or endorse,1,10,0.1,0.0006844626967830253
Praise or endorse,Engage in judicial cooperation,0,2912,0.0,0.0
Engage in judicial cooperation,Praise or endorse,0,10,0.0,0.0
Praise or endorse,Assassinate,0,2912,0.0,0.0
Assassinate,Praise or endorse,0,44,0.0,0.0
Praise or endorse,Accuse of war crimes,0,2912,0.0,0.0
Accuse of war crimes,Praise or endorse,0,7,0.0,0.0
Praise or endorse,Appeal to engage in or accept mediation,0,2912,0.0,0.0
Appeal to engage in or accept mediation,Praise or endorse,0,33,0.0,0.0
Praise or endorse,Appeal for intelligence,0,2912,0.0,0.0
Appeal for intelligence,Praise or endorse,0,75,0.0,0.0
Praise or endorse,Impose administrative sanctions,0,2912,0.0,0.0
Impose administrative sanctions,Praise or endorse,0,133,0.0,0.0
Praise or endorse,"Demand meeting, negotiation",1,2912,0.00034340659340659343,0.0006832934745473181
"Demand meeting, negotiation",Praise or endorse,1,15,0.06666666666666667,0.0006832934745473181
Praise or endorse,Grant diplomatic recognition,1,2912,0.00034340659340659343,0.0006745362563237774
