head,relation,tail,time
Angela Merkel,Make a visit,New Zealand,2014-11-14
Angela Merkel,Express intent to meet or negotiate,New Zealand,2014-11-05
Angela Merkel,Make pessimistic comment,North Atlantic Treaty Organization,2014-10-12
Angela Merkel,Host a visit,North Atlantic Treaty Organization,2014-09-04
Angela Merkel,Make statement,North Atlantic Treaty Organization,2014-09-03
Angela Merkel,Make optimistic comment,North Atlantic Treaty Organization,2014-07-02
Angela Merkel,Make statement,North Atlantic Treaty Organization,2014-09-04
Angela Merkel,Make an appeal or request,Other Authorities / Officials (Russia),2014-06-25
Angela Merkel,Make an appeal or request,Other Authorities / Officials (Russia),2014-07-10
Angela Merkel,Express intent to meet or negotiate,Poland,2014-03-12
Angela Merkel,Make a visit,Poland,2014-11-20
Angela Merkel,Express intent to meet or negotiate,Poland,2014-03-11
Angela Merkel,Reduce or break diplomatic relations,Poland,2014-01-06
Angela Merkel,Reduce or break diplomatic relations,Poland,2014-01-07
Angela Merkel,Praise or endorse,Protester (Hong Kong),2014-10-11
Angela Merkel,Praise or endorse,Protester (Hong Kong),2014-10-12
Angela Merkel,Express intent to cooperate,Vitali Klitschko,2014-02-17
Angela Merkel,Consult,Vitali Klitschko,2014-02-17
Angela Merkel,Host a visit,Vitali Klitschko,2014-02-18
Angela Merkel,Consult,Xi Jinping,2014-03-10
Angela Merkel,Engage in negotiation,Xi Jinping,2014-03-09
Angela Merkel,Reject,Xi Jinping,2014-03-05
Angela Merkel,Consult,Xi Jinping,2014-07-07
Angela Merkel,Consult,Xi Jinping,2014-03-09
Angela Merkel,Consult,Xi Jinping,2014-07-08
Angela Merkel,Consult,Xi Jinping,2014-07-20
Angela Merkel,Express intent to cooperate,Xi Jinping,2014-03-10
Angela Merkel,Consult,Xi Jinping,2014-03-28
Angela Merkel,Demand,Yulia Tymoshenko,2014-02-23
Angela Merkel,Express intent to cooperate,Yulia Tymoshenko,2014-02-23
Angela Merkel,Make an appeal or request,Yulia Tymoshenko,2014-02-23
Angela Merkel,Discuss by telephone,Yulia Tymoshenko,2014-02-23
Angela Merkel,Appeal for diplomatic cooperation (such as policy support),Yulia Tymoshenko,2014-02-23
Angela Merkel,Consult,Yulia Tymoshenko,2014-02-23
Angola,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-12-17
Angola,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-05-06
Angola,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-04-29
Angola,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-05-05
Angola,Consult,Cape Verde,2014-05-21
Angola,Sign formal agreement,Cape Verde,2014-05-06
Angola,Consult,Cape Verde,2014-06-06
Angola,Make a visit,China,2014-06-06
Angola,Host a visit,China,2014-05-09
Angola,Express intent to cooperate,China,2014-05-10
Angola,Host a visit,China,2014-06-06
Angola,Make a visit,China,2014-06-23
Angola,Appeal for diplomatic cooperation (such as policy support),China,2014-06-17
Angola,Engage in diplomatic cooperation,China,2014-05-10
Angola,Host a visit,China,2014-05-10
Angola,Make statement,Congo,2014-03-25
Angola,Make statement,Congo,2014-03-26
Angola,Express intent to meet or negotiate,Congo,2014-03-23
Angola,Engage in diplomatic cooperation,Congo,2014-03-26
Angola,Consult,Congo,2014-04-26
Angola,Consult,Congo,2014-03-18
Angola,Make statement,Government (Angola),2014-11-29
Angola,Make statement,Government (Angola),2014-03-18
Angola,Make statement,Government (Angola),2014-11-28
Angola,Consult,Governor (Angola),2014-08-18
Angola,Consult,Governor (Angola),2014-05-15
Angola,Sign formal agreement,Governor (Angola),2014-01-23
Angola,Engage in diplomatic cooperation,Guinea,2014-05-28
Angola,Praise or endorse,Guinea,2014-09-04
Angola,Engage in diplomatic cooperation,Iraq,2014-02-17
Angola,Make a visit,Iraq,2014-02-21
Angola,Host a visit,John Kerry,2014-06-03
Angola,Host a visit,John Kerry,2014-05-06
Angola,Host a visit,John Kerry,2014-08-05
Angola,Consult,John Kerry,2014-05-06
Angola,Host a visit,John Kerry,2014-05-05
Angola,Host a visit,John Kerry,2014-05-04
Angola,Host a visit,Jose Luis de Matos,2014-06-17
Angola,Host a visit,Jose Luis de Matos,2014-11-27
Angola,Host a visit,Jose Luis de Matos,2014-12-18
Angola,Host a visit,Mark Simmonds,2014-06-25
Angola,Host a visit,Mark Simmonds,2014-06-23
Angola,Make an appeal or request,Ministry (Angola),2014-04-25
Angola,Sign formal agreement,Ministry (Angola),2014-01-20
Angola,Sign formal agreement,Ministry (Angola),2014-06-23
Angola,Host a visit,Mulatu Teshome,2014-03-06
Angola,Host a visit,Mulatu Teshome,2014-03-05
Angola,Host a visit,Paul Kagame,2014-01-15
Angola,Host a visit,Paul Kagame,2014-12-18
Angola,Engage in diplomatic cooperation,Portugal,2014-12-01
Angola,Engage in diplomatic cooperation,Portugal,2014-01-20
Angola,Consult,Portugal,2014-05-21
Angola,Host a visit,Rosa Pacavira,2014-07-16
Angola,Host a visit,Rosa Pacavira,2014-02-18
Angola,Host a visit,Rosa Pacavira,2014-03-27
Angola,Express intent to meet or negotiate,South Africa,2014-03-23
Angola,Engage in diplomatic cooperation,South Africa,2014-10-15
Angola,Express intent to meet or negotiate,South Africa,2014-03-07
Angola,Consult,South Africa,2014-08-22
Angola,Consult,South Africa,2014-04-25
Angola,Engage in diplomatic cooperation,Tanzania,2014-11-13
Angola,Express intent to engage in diplomatic cooperation (such as policy support),Tanzania,2014-05-12
Angola,Express intent to engage in diplomatic cooperation (such as policy support),Tanzania,2014-05-11
Angola,Cooperate economically,Vietnam,2014-04-21
Angola,Make optimistic comment,Vietnam,2014-07-24
Angola,Sign formal agreement,Vietnam,2014-10-25
Angolan Armed Forces,Make statement,Angola,2014-12-23
Angolan Armed Forces,Make statement,Angola,2014-03-03
Anifah Aman,Express intent to meet or negotiate,Iran,2014-05-03
Anifah Aman,Make a visit,Iran,2014-05-03
Anifah Aman,Make statement,Malaysia,2014-10-16
Anifah Aman,Make statement,Malaysia,2014-08-30
Anifah Aman,Make statement,Malaysia,2014-12-11
Anifah Aman,Make statement,Malaysia,2014-09-26
Anifah Aman,Make statement,Malaysia,2014-03-18
Anifah Aman,Consult,Mohammad Javad Zarif,2014-07-30
Anifah Aman,Discuss by telephone,Mohammad Javad Zarif,2014-07-30
Anifah Aman,Consult,Mohammad Javad Zarif,2014-07-31
Annick Girardin,Make statement,France,2014-09-13
Annick Girardin,Make statement,France,2014-09-14
Annick Girardin,Make statement,France,2014-06-17
Annick Girardin,Express intent to meet or negotiate,Guinea,2014-09-13
Annick Girardin,Make a visit,Guinea,2014-09-15
Ansar ash-Shari'a,Make statement,Militant (Yemen),2014-08-17
Ansar ash-Shari'a,Make statement,Militant (Yemen),2014-12-09
Anson Chan,Make a visit,Canada,2014-04-20
Anson Chan,Make a visit,Canada,2014-04-14
Anson Chan,Make pessimistic comment,China,2014-07-16
Anson Chan,Make statement,China,2014-06-19
Anson Chan,Consult,Hugo Swire,2014-07-17
Anson Chan,Consult,Hugo Swire,2014-07-16
Anti Defamation League,Criticize or denounce,Joseph Robinette Biden,2014-09-21
Anti Defamation League,Praise or endorse,Joseph Robinette Biden,2014-09-17
Antonio Saca,Engage in negotiation,Salvador Sánchez Cerén,2014-02-06
Antonio Saca,Discuss by telephone,Salvador Sánchez Cerén,2014-02-03
Antonis Samaras,Express intent to cooperate,Abdel Fattah Al-Sisi,2014-11-08
Antonis Samaras,Consult,Abdel Fattah Al-Sisi,2014-11-08
Antonis Samaras,Consult,Abdel Fattah Al-Sisi,2014-11-07
Antonis Samaras,Host a visit,Adli Mansour,2014-01-20
Antonis Samaras,Consult,Adli Mansour,2014-01-21
Antonis Samaras,Express intent to meet or negotiate,Alexis Tsipras,2014-11-19
Antonis Samaras,Accuse,Alexis Tsipras,2014-05-06
Antonis Samaras,Criticize or denounce,Alexis Tsipras,2014-05-23
Antonis Samaras,Accuse,Alexis Tsipras,2014-05-19
Antonis Samaras,Accuse,Alexis Tsipras,2014-05-23
Antonis Samaras,Accuse,Alexis Tsipras,2014-05-16
Antonis Samaras,Accuse,Alexis Tsipras,2014-05-10
Antonis Samaras,Consult,Angela Merkel,2014-09-24
Antonis Samaras,Consult,Angela Merkel,2014-04-11
Antonis Samaras,Consult,Angela Merkel,2014-09-25
Antonis Samaras,Express intent to meet or negotiate,Angela Merkel,2014-09-17
Antonis Samaras,Praise or endorse,Angela Merkel,2014-06-27
Antonis Samaras,Express intent to meet or negotiate,Angela Merkel,2014-03-07
Antonis Samaras,Make a visit,China,2014-06-21
Antonis Samaras,Make statement,China,2014-11-19
Antonis Samaras,Host a visit,China,2014-11-18
Antonis Samaras,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-10-16
Antonis Samaras,Make a visit,China,2014-06-18
Antonis Samaras,Make an appeal or request,Citizen (Greece),2014-05-12
Antonis Samaras,Express intent to meet or negotiate,Citizen (Greece),2014-07-22
Antonis Samaras,Make an appeal or request,Citizen (Greece),2014-05-25
Antonis Samaras,Make an appeal or request,Citizen (Greece),2014-05-23
Antonis Samaras,Express intent to meet or negotiate,Citizen (Greece),2014-05-13
Antonis Samaras,Demand,Citizen (Greece),2014-01-28
Antonis Samaras,Make an appeal or request,Citizen (Greece),2014-09-01
Antonis Samaras,Make empathetic comment,Citizen (Greece),2014-06-13
Antonis Samaras,Praise or endorse,Citizen (Greece),2014-04-10
Antonis Samaras,Criticize or denounce,Citizen (Greece),2014-12-02
Antonis Samaras,Make empathetic comment,Citizen (Greece),2014-08-23
Antonis Samaras,Express intent to meet or negotiate,Citizen (Greece),2014-12-08
Antonis Samaras,Make statement,Coalition of the Radical Left,2014-05-25
Antonis Samaras,Make an appeal or request,Coalition of the Radical Left,2014-12-28
Antonis Samaras,Consult,Dimitrios Avramopoulos,2014-07-14
Antonis Samaras,Praise or endorse,Dimitrios Avramopoulos,2014-10-02
Antonis Samaras,Express intent to meet or negotiate,Dimitrios Avramopoulos,2014-09-02
Antonis Samaras,Praise or endorse,Dimitrios Avramopoulos,2014-09-10
Antonis Samaras,Reduce or break diplomatic relations,European Parliament,2014-01-06
Antonis Samaras,Discuss by telephone,European Parliament,2014-01-06
Antonis Samaras,Consult,Evangelos Venizelos,2014-12-23
Antonis Samaras,Consult,Evangelos Venizelos,2014-10-29
Antonis Samaras,Consult,Evangelos Venizelos,2014-12-05
Antonis Samaras,Consult,Evangelos Venizelos,2014-02-25
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-11-04
Antonis Samaras,Consult,Evangelos Venizelos,2014-12-17
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-01-23
Antonis Samaras,Consult,Evangelos Venizelos,2014-10-02
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-08-25
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-12-23
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-10-21
Antonis Samaras,Consult,Evangelos Venizelos,2014-01-25
Antonis Samaras,Engage in negotiation,Evangelos Venizelos,2014-05-06
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-11-27
Antonis Samaras,Express intent to cooperate,Evangelos Venizelos,2014-10-03
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-09-02
Antonis Samaras,Consult,Evangelos Venizelos,2014-11-10
Antonis Samaras,Halt negotiations,Evangelos Venizelos,2014-11-28
Antonis Samaras,Express intent to cooperate,Evangelos Venizelos,2014-09-30
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-01-10
Antonis Samaras,Make a visit,Evangelos Venizelos,2014-09-04
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-04-04
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-02-21
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-10-29
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-03-31
Antonis Samaras,Consult,Evangelos Venizelos,2014-05-29
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-11-10
Antonis Samaras,Discuss by telephone,Evangelos Venizelos,2014-09-30
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-09-14
Antonis Samaras,Express intent to meet or negotiate,Evangelos Venizelos,2014-05-06
Antonis Samaras,Express intent to meet or negotiate,Head of Government (Cyprus),2014-11-06
Antonis Samaras,Make statement,Head of Government (Cyprus),2014-02-07
Antonis Samaras,Make statement,Head of Government (Germany),2014-09-24
Antonis Samaras,Consult,Head of Government (Germany),2014-09-24
Antonis Samaras,Host a visit,Head of Government (Germany),2014-04-11
Antonis Samaras,Express intent to meet or negotiate,Head of Government (Greece),2014-11-27
Antonis Samaras,Consult,Head of Government (Greece),2014-01-12
Antonis Samaras,Consult,Head of Government (Greece),2014-04-01
Antonis Samaras,Make a visit,Head of Government (Greece),2014-11-04
Antonis Samaras,Make statement,Head of Government (Greece),2014-12-09
Antonis Samaras,Make a visit,Head of Government (Greece),2014-05-29
Antonis Samaras,Make a visit,Head of Government (Greece),2014-11-03
Antonis Samaras,Consult,Head of Government (Greece),2014-03-31
Antonis Samaras,Praise or endorse,Hellenic Armed Forces,2014-10-02
Antonis Samaras,Express intent to meet or negotiate,Hellenic Armed Forces,2014-07-22
Antonis Samaras,Make a visit,Indigenous People (Greece),2014-02-16
Antonis Samaras,Express intent to meet or negotiate,Indigenous People (Greece),2014-02-15
Antonis Samaras,Consult,Jens Stoltenberg,2014-10-31
Antonis Samaras,Consult,Jens Stoltenberg,2014-10-30
Antonis Samaras,Consult,Joseph Robinette Biden,2014-04-04
Antonis Samaras,Discuss by telephone,Joseph Robinette Biden,2014-04-03
Antonis Samaras,Discuss by telephone,Joseph Robinette Biden,2014-07-15
Antonis Samaras,Consult,Jyrki Katainen,2014-03-07
Antonis Samaras,Consult,Jyrki Katainen,2014-02-28
Antonis Samaras,Make an appeal or request,Lawmaker (Greece),2014-12-11
Antonis Samaras,Make an appeal or request,Lawmaker (Greece),2014-12-29
Antonis Samaras,Threaten,Lawmaker (Greece),2014-12-27
Antonis Samaras,Make an appeal or request,Lawmaker (Greece),2014-12-27
Antonis Samaras,Expel or deport individuals,Lawmaker (Greece),2014-03-30
Antonis Samaras,Make an appeal or request,Lawmaker (Greece),2014-12-21
Antonis Samaras,Make an appeal or request,Legislature (Greece),2014-12-30
Antonis Samaras,Make an appeal or request,Legislature (Greece),2014-10-11
Antonis Samaras,Make statement,Legislature (Greece),2014-12-31
Antonis Samaras,Make statement,Legislature (Greece),2014-12-30
Antonis Samaras,Accuse,Main Opposition (Greece),2014-05-03
Antonis Samaras,Criticize or denounce,Main Opposition (Greece),2014-05-19
Antonis Samaras,Accuse,Main Opposition (Greece),2014-09-27
Antonis Samaras,Criticize or denounce,Main Opposition (Greece),2014-12-31
Antonis Samaras,Criticize or denounce,Main Opposition (Greece),2014-05-16
Antonis Samaras,Criticize or denounce,Main Opposition (Greece),2014-12-30
Antonis Samaras,Express intent to meet or negotiate,New Democracy,2014-02-19
Antonis Samaras,Make empathetic comment,New Democracy,2014-06-13
Antonis Samaras,Make statement,New Democracy,2014-06-16
Antonis Samaras,Consult,New Democracy,2014-02-28
Antonis Samaras,Meet at a 'third' location,New Democracy,2014-02-19
Antonis Samaras,Express intent to cooperate,Nicos Anastasiades,2014-09-03
Antonis Samaras,Consult,Nicos Anastasiades,2014-11-07
Antonis Samaras,Consult,Nicos Anastasiades,2014-11-10
Antonis Samaras,Consult,Nicos Anastasiades,2014-10-06
Antonis Samaras,Consult,Nicos Anastasiades,2014-07-28
Antonis Samaras,Discuss by telephone,Nicos Anastasiades,2014-10-06
Antonis Samaras,Express intent to meet or negotiate,Nicos Anastasiades,2014-07-28
Antonis Samaras,Meet at a 'third' location,Nicos Anastasiades,2014-11-07
Antonis Samaras,Make an appeal or request,Police (Greece),2014-06-19
Antonis Samaras,Make an appeal or request,Police (Greece),2014-02-03
Antonis Samaras,Make an appeal or request,Police (Greece),2014-12-27
Antonis Samaras,Make an appeal or request,Police (Greece),2014-12-23
Antonis Samaras,Express intent to meet or negotiate,Police (Greece),2014-07-22
Antonis Samaras,Reduce relations,Police (Greece),2014-03-30
Antonis Samaras,Praise or endorse,Police (Greece),2014-07-22
Antonis Samaras,Consult,Yannis Stournaras,2014-02-08
Antonis Samaras,Consult,Yannis Stournaras,2014-01-30
Antonis Samaras,Express intent to meet or negotiate,Yannis Stournaras,2014-03-17
Antonis Samaras,Consult,Yannis Stournaras,2014-01-24
Antonis Samaras,Consult,Yannis Stournaras,2014-06-13
Antonis Samaras,Consult,Yannis Stournaras,2014-05-23
Anupong Paochinda,Make an appeal or request,Governor (Thailand),2014-11-24
Anupong Paochinda,Demand,Governor (Thailand),2014-09-13
Anupong Paochinda,Consult,Governor (Thailand),2014-09-15
Anupong Paochinda,Make statement,Governor (Thailand),2014-11-24
Anupong Paochinda,Consult,Governor (Thailand),2014-09-13
Anupong Paochinda,Make statement,National Council for Peace and Order of Thailand,2014-10-01
Anupong Paochinda,Make statement,National Council for Peace and Order of Thailand,2014-09-15
Anupong Paochinda,Make statement,National Council for Peace and Order of Thailand,2014-11-13
Appeals Court (Greece),Refuse to ease administrative sanctions,Citizen (Greece),2014-10-01
Appeals Court (Greece),Ease administrative sanctions,Citizen (Greece),2014-07-30
Appeals Court (Greece),"Arrest, detain, or charge with legal action",Citizen (Greece),2014-11-11
Appeals Court (Greece),Ease administrative sanctions,Citizen (Greece),2014-10-29
Appeals Court (Sweden),Reject,Julian Paul Assange,2014-11-21
Appeals Court (Sweden),Reject,Julian Paul Assange,2014-11-20
Archbishop (Australia),Make statement,Lawyer/Attorney (Australia),2014-12-16
Archbishop (Australia),Make statement,Lawyer/Attorney (Australia),2014-08-21
Archbishop (India),Provide humanitarian aid,Citizen (India),2014-09-11
Archbishop (India),Make an appeal or request,Citizen (India),2014-10-09
Archbishop (India),Make an appeal or request,Citizen (India),2014-03-22
Argentine Episcopal Conference,Express intent to meet or negotiate,Cristina Fernández de Kirchner,2014-12-21
Argentine Episcopal Conference,Express intent to meet or negotiate,Cristina Fernández de Kirchner,2014-12-18
Arkady Dvorkovich,Praise or endorse,Business (Russia),2014-09-16
Arkady Dvorkovich,Make optimistic comment,Business (Russia),2014-01-29
Arkady Dvorkovich,Praise or endorse,Business (Russia),2014-01-29
Arkady Dvorkovich,Make a visit,China,2014-04-14
Arkady Dvorkovich,Make statement,China,2014-04-14
Armed Band (Afghanistan),Use unconventional violence,Afghanistan,2014-08-17
Armed Band (Afghanistan),fight with small arms and light weapons,Afghanistan,2014-02-19
Armed Band (Afghanistan),fight with small arms and light weapons,Afghanistan,2014-08-03
Armed Band (Afghanistan),fight with small arms and light weapons,Afghanistan,2014-12-10
Armed Band (Afghanistan),Use unconventional violence,Afghanistan,2014-07-17
Armed Band (Afghanistan),Use unconventional violence,Afghanistan,2014-07-13
Armed Band (Afghanistan),Use unconventional violence,Afghanistan,2014-11-14
Armed Band (Afghanistan),Use unconventional violence,Afghanistan,2014-03-25
Armed Band (Afghanistan),"Abduct, hijack, or take hostage",Afghanistan,2014-08-16
Armed Band (Afghanistan),Use unconventional violence,Afghanistan,2014-10-07
Armed Band (Afghanistan),Use unconventional violence,Employee (Afghanistan),2014-07-10
Armed Band (Afghanistan),"Abduct, hijack, or take hostage",Employee (Afghanistan),2014-08-18
Armed Band (Afghanistan),"Abduct, hijack, or take hostage",Employee (Afghanistan),2014-01-21
Armed Band (Afghanistan),"Abduct, hijack, or take hostage",Employee (Afghanistan),2014-08-25
Armed Band (Afghanistan),"Abduct, hijack, or take hostage",Employee (Afghanistan),2014-04-15
Armed Band (Afghanistan),Use unconventional violence,Employee (Afghanistan),2014-04-15
Armed Band (Afghanistan),"Abduct, hijack, or take hostage",Party Member (Afghanistan),2014-02-08
Armed Band (Afghanistan),Use unconventional violence,Party Member (Afghanistan),2014-02-08
Armed Band (Afghanistan),"Abduct, hijack, or take hostage",Professor (Afghanistan),2014-06-10
Armed Band (Afghanistan),"Abduct, hijack, or take hostage",Professor (Afghanistan),2014-06-11
Armed Band (Afghanistan),"Abduct, hijack, or take hostage",Women (Afghanistan),2014-01-14
Armed Band (Afghanistan),Use unconventional violence,Women (Afghanistan),2014-04-24
Armed Band (Afghanistan),Use unconventional violence,Women (Afghanistan),2014-04-23
Armed Band (Argentina),Threaten,Men (Argentina),2014-04-08
Armed Band (Argentina),Use unconventional violence,Men (Argentina),2014-08-05
Armed Band (Brazil),Use unconventional violence,Citizen (Brazil),2014-01-25
Armed Band (Brazil),Demand,Citizen (Brazil),2014-02-03
Armed Band (Brazil),Use unconventional violence,Citizen (Brazil),2014-02-05
Armed Band (Brazil),Use unconventional violence,Citizen (Brazil),2014-02-04
Armed Band (Central African Republic),Use unconventional violence,Military (Central African Republic),2014-03-26
Armed Band (Central African Republic),Use unconventional violence,Military (Central African Republic),2014-04-14
Armed Band (Central African Republic),Use unconventional violence,Military (Central African Republic),2014-03-24
Armed Band (Central African Republic),Use unconventional violence,Military (Central African Republic),2014-03-30
Armed Band (Democratic Republic of Congo),Use unconventional violence,Population (Democratic Republic of Congo),2014-02-15
Armed Band (Democratic Republic of Congo),Use unconventional violence,Population (Democratic Republic of Congo),2014-02-13
Armed Band (Democratic Republic of Congo),Use unconventional violence,Population (Democratic Republic of Congo),2014-04-10
Armed Band (India),Use unconventional violence,Citizen (India),2014-03-22
Armed Band (India),fight with small arms and light weapons,Citizen (India),2014-04-06
Armed Band (India),Use unconventional violence,Citizen (India),2014-07-13
Armed Band (India),Threaten,Citizen (India),2014-04-26
Armed Band (India),Use unconventional violence,Citizen (India),2014-04-18
Armed Band (India),fight with small arms and light weapons,Citizen (India),2014-10-05
Armed Band (India),Use unconventional violence,Citizen (India),2014-12-15
Armed Band (India),Use unconventional violence,Citizen (India),2014-07-15
Armed Band (India),Physically assault,Citizen (India),2014-04-18
Armed Band (India),Physically assault,Citizen (India),2014-07-19
Armed Band (India),"Abduct, hijack, or take hostage",Citizen (India),2014-10-15
Armed Band (India),fight with small arms and light weapons,Citizen (India),2014-06-08
Armed Band (India),"Abduct, hijack, or take hostage",Citizen (India),2014-08-15
Armed Band (India),Use unconventional violence,Citizen (India),2014-12-16
Armed Band (India),"Abduct, hijack, or take hostage",Citizen (India),2014-04-30
Armed Band (India),Use unconventional violence,Citizen (India),2014-05-02
Armed Band (India),"Abduct, hijack, or take hostage",Company - Owner or Operator (India),2014-05-06
Armed Band (India),"Abduct, hijack, or take hostage",Company - Owner or Operator (India),2014-05-07
Armed Band (India),Use unconventional violence,Employee (India),2014-11-27
Armed Band (India),"Abduct, hijack, or take hostage",Employee (India),2014-02-18
Armed Band (Iran),"Return, release person(s)",Reserve Personnel (Iran),2014-04-04
Armed Band (Iran),"Return, release person(s)",Reserve Personnel (Iran),2014-04-05
Armed Band (Iran),"Abduct, hijack, or take hostage",Reserve Personnel (Iran),2014-03-27
Armed Band (Lebanon),Use unconventional violence,Military (Lebanon),2014-10-25
Armed Band (Lebanon),Use unconventional violence,Military (Lebanon),2014-03-01
Armed Band (Lebanon),"Abduct, hijack, or take hostage",Military (Lebanon),2014-11-22
Armed Band (Lebanon),Use unconventional violence,Military (Lebanon),2014-04-08
Armed Band (Lebanon),Use unconventional violence,Military (Lebanon),2014-12-04
Armed Band (Lebanon),fight with small arms and light weapons,Military (Lebanon),2014-10-17
Armed Band (Lebanon),Use unconventional violence,Military (Lebanon),2014-12-03
Armed Band (Lebanon),Use unconventional violence,Military (Lebanon),2014-12-02
Armed Band (Lebanon),Use unconventional violence,Military (Lebanon),2014-02-28
Armed Band (Philippines),Use unconventional violence,City Mayor (Philippines),2014-06-10
Armed Band (Philippines),fight with small arms and light weapons,City Mayor (Philippines),2014-04-21
Armed Band (Philippines),fight with small arms and light weapons,Military (Philippines),2014-10-01
Armed Band (Philippines),Use unconventional violence,Military (Philippines),2014-05-01
Armed Band (Philippines),Investigate,Philippines,2014-01-29
Armed Band (Philippines),"Abduct, hijack, or take hostage",Philippines,2014-11-21
Armed Band (Philippines),Threaten with military force,Police (Philippines),2014-01-24
Armed Band (Philippines),fight with small arms and light weapons,Police (Philippines),2014-05-21
Armed Band (Philippines),Use unconventional violence,Police (Philippines),2014-02-21
Armed Band (Philippines),fight with small arms and light weapons,Police (Philippines),2014-03-13
Armed Band (South Africa),fight with small arms and light weapons,Men (South Africa),2014-06-23
Armed Band (South Africa),Use unconventional violence,Men (South Africa),2014-08-13
Armed Band (South Africa),Use unconventional violence,South Africa,2014-10-30
Armed Band (South Africa),Use unconventional violence,South Africa,2014-10-28
Armed Band (South Africa),Use unconventional violence,South Africa,2014-05-02
Armed Band (South Africa),Use unconventional violence,South Africa,2014-08-22
Armed Band (Syria),Sign formal agreement,Government (Syria),2014-05-11
Armed Band (Syria),Use unconventional violence,Government (Syria),2014-07-14
Armed Band (Syria),Criticize or denounce,Government (Syria),2014-07-03
Armed Band (Syria),Use unconventional violence,Government (Syria),2014-03-11
Armed Forces of the Republic of Armenia,Mobilize or increase armed forces,Armenia,2014-12-02
Armed Forces of the Republic of Armenia,Consult,Armenia,2014-08-11
Armed Forces of the Republic of Armenia,Consult,Seyran Ohanyan,2014-08-15
Armed Forces of the Republic of Armenia,Host a visit,Seyran Ohanyan,2014-03-22
Armed Forces of the Republic of Armenia,Consult,Seyran Ohanyan,2014-12-11
Armed Forces of the Republic of Armenia,Host a visit,Seyran Ohanyan,2014-09-27
Armed Gang (Afghanistan),Use unconventional violence,Abdullah Abdullah,2014-06-07
Armed Gang (Afghanistan),Carry out suicide bombing,Abdullah Abdullah,2014-06-07
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan,2014-02-21
Armed Gang (Afghanistan),"Conduct suicide, car, or other non-military bombing",Afghanistan,2014-12-18
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan,2014-03-12
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan,2014-04-28
Armed Gang (Afghanistan),Occupy territory,Afghanistan,2014-05-24
Armed Gang (Afghanistan),Carry out suicide bombing,Afghanistan,2014-03-19
Armed Gang (Afghanistan),Carry out suicide bombing,Afghanistan,2014-04-11
Armed Gang (Afghanistan),Carry out suicide bombing,Afghanistan,2014-12-12
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan,2014-09-04
Armed Gang (Afghanistan),Carry out suicide bombing,Afghanistan,2014-08-30
Armed Gang (Afghanistan),Occupy territory,Afghanistan,2014-07-17
Armed Gang (Afghanistan),Carry out suicide bombing,Afghanistan,2014-03-31
Armed Gang (Afghanistan),Carry out suicide bombing,Afghanistan,2014-01-18
Armed Gang (Afghanistan),Carry out suicide bombing,Afghanistan,2014-03-18
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan,2014-07-27
Armed Gang (Afghanistan),Carry out suicide bombing,Afghanistan,2014-01-17
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan,2014-11-09
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan,2014-06-09
Armed Gang (Afghanistan),"Conduct suicide, car, or other non-military bombing",Afghanistan,2014-07-16
Armed Gang (Afghanistan),Carry out suicide bombing,Afghanistan,2014-03-29
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan,2014-07-16
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan,2014-05-12
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan,2014-11-19
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan,2014-02-01
Armed Gang (Afghanistan),Carry out suicide bombing,Afghanistan,2014-12-13
Armed Gang (Afghanistan),Carry out suicide bombing,Afghanistan,2014-06-02
Armed Gang (Afghanistan),Carry out suicide bombing,Afghanistan,2014-11-25
