relation i,relation j,#evolve,#rel_i,P one direction,P two direction
"Reject proposal to meet, discuss, or negotiate","Accuse of espionage, treason",0,92,0.0,0.0
"Accuse of espionage, treason","Reject proposal to meet, discuss, or negotiate",0,14,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Receive inspectors,0,92,0.0,0.0
Receive inspectors,"Reject proposal to meet, discuss, or negotiate",0,2,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Increase military alert status,0,92,0.0,0.0
Increase military alert status,"Reject proposal to meet, discuss, or negotiate",0,27,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Attempt to assassinate,0,92,0.0,0.0
Attempt to assassinate,"Reject proposal to meet, discuss, or negotiate",0,11,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Refuse to yield,0,92,0.0,0.007751937984496124
Refuse to yield,"Reject proposal to meet, discuss, or negotiate",1,37,0.02702702702702703,0.007751937984496124
"Reject proposal to meet, discuss, or negotiate",Veto,0,92,0.0,0.0
Veto,"Reject proposal to meet, discuss, or negotiate",0,6,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Complain officially,3,92,0.03260869565217391,0.04975124378109453
Complain officially,"Reject proposal to meet, discuss, or negotiate",7,109,0.06422018348623854,0.04975124378109453
"Reject proposal to meet, discuss, or negotiate",Reduce or stop economic assistance,0,92,0.0,0.0
Reduce or stop economic assistance,"Reject proposal to meet, discuss, or negotiate",0,8,0.0,0.0
"Reject proposal to meet, discuss, or negotiate","Impose blockade, restrict movement",0,92,0.0,0.0
"Impose blockade, restrict movement","Reject proposal to meet, discuss, or negotiate",0,18,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Express intent to provide military protection or peacekeeping,0,92,0.0,0.0
Express intent to provide military protection or peacekeeping,"Reject proposal to meet, discuss, or negotiate",0,6,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Halt mediation,1,92,0.010869565217391304,0.010752688172043012
Halt mediation,"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.010752688172043012
"Reject proposal to meet, discuss, or negotiate",Demand intelligence cooperation,0,92,0.0,0.0
Demand intelligence cooperation,"Reject proposal to meet, discuss, or negotiate",0,15,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Demonstrate for leadership change,0,92,0.0,0.0
Demonstrate for leadership change,"Reject proposal to meet, discuss, or negotiate",0,27,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Conduct hunger strike,0,92,0.0,0.0
Conduct hunger strike,"Reject proposal to meet, discuss, or negotiate",0,3,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Demand mediation,0,92,0.0,0.0
Demand mediation,"Reject proposal to meet, discuss, or negotiate",0,3,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Demand economic aid,0,92,0.0,0.0
Demand economic aid,"Reject proposal to meet, discuss, or negotiate",0,10,0.0,0.0
"Reject proposal to meet, discuss, or negotiate","Demand meeting, negotiation",1,92,0.010869565217391304,0.009345794392523364
"Demand meeting, negotiation","Reject proposal to meet, discuss, or negotiate",0,15,0.0,0.009345794392523364
"Reject proposal to meet, discuss, or negotiate",Appeal for military aid,0,92,0.0,0.0
Appeal for military aid,"Reject proposal to meet, discuss, or negotiate",0,26,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Demand material cooperation,0,92,0.0,0.0
Demand material cooperation,"Reject proposal to meet, discuss, or negotiate",0,9,0.0,0.0
"Reject proposal to meet, discuss, or negotiate","Return, release property",6,92,0.06521739130434782,0.06862745098039216
"Return, release property","Reject proposal to meet, discuss, or negotiate",1,10,0.1,0.06862745098039216
"Reject proposal to meet, discuss, or negotiate",Express intent to engage in material cooperation,0,92,0.0,0.0
Express intent to engage in material cooperation,"Reject proposal to meet, discuss, or negotiate",0,10,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Demand policy change,0,92,0.0,0.0
Demand policy change,"Reject proposal to meet, discuss, or negotiate",0,2,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Reject economic cooperation,0,92,0.0,0.0
Reject economic cooperation,"Reject proposal to meet, discuss, or negotiate",0,2,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Appeal for humanitarian aid,0,92,0.0,0.0
Appeal for humanitarian aid,"Reject proposal to meet, discuss, or negotiate",0,7,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Demand judicial cooperation,0,92,0.0,0.0
Demand judicial cooperation,"Reject proposal to meet, discuss, or negotiate",0,4,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Express intent to ease administrative sanctions,0,92,0.0,0.0
Express intent to ease administrative sanctions,"Reject proposal to meet, discuss, or negotiate",0,7,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Accede to requests or demands for political reform,0,92,0.0,0.0
Accede to requests or demands for political reform,"Reject proposal to meet, discuss, or negotiate",0,2,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Demand rights,0,92,0.0,0.0
Demand rights,"Reject proposal to meet, discuss, or negotiate",0,2,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Appeal to yield,1,92,0.010869565217391304,0.010101010101010102
Appeal to yield,"Reject proposal to meet, discuss, or negotiate",0,7,0.0,0.010101010101010102
"Reject proposal to meet, discuss, or negotiate",Demand humanitarian aid,0,92,0.0,0.0
Demand humanitarian aid,"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Demand political reform,0,92,0.0,0.0
Demand political reform,"Reject proposal to meet, discuss, or negotiate",0,2,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Ease curfew,0,92,0.0,0.0
Ease curfew,"Reject proposal to meet, discuss, or negotiate",0,5,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Appeal for policy change,0,92,0.0,0.0
Appeal for policy change,"Reject proposal to meet, discuss, or negotiate",0,12,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Express intent to cooperate on intelligence,2,92,0.021739130434782608,0.02
Express intent to cooperate on intelligence,"Reject proposal to meet, discuss, or negotiate",0,8,0.0,0.02
"Reject proposal to meet, discuss, or negotiate",Demobilize armed forces,0,92,0.0,0.0
Demobilize armed forces,"Reject proposal to meet, discuss, or negotiate",0,3,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Reduce or stop material aid,0,92,0.0,0.0
Reduce or stop material aid,"Reject proposal to meet, discuss, or negotiate",0,3,0.0,0.0
"Reject proposal to meet, discuss, or negotiate","Threaten with sanctions, boycott, embargo",0,92,0.0,0.0
"Threaten with sanctions, boycott, embargo","Reject proposal to meet, discuss, or negotiate",0,6,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Reduce or stop humanitarian assistance,0,92,0.0,0.0
Reduce or stop humanitarian assistance,"Reject proposal to meet, discuss, or negotiate",0,4,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Refuse to release persons or property,0,92,0.0,0.0
Refuse to release persons or property,"Reject proposal to meet, discuss, or negotiate",0,19,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Destroy property,0,92,0.0,0.0
Destroy property,"Reject proposal to meet, discuss, or negotiate",0,3,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Appeal for military protection or peacekeeping,0,92,0.0,0.0
Appeal for military protection or peacekeeping,"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Ban political parties or politicians,0,92,0.0,0.0
Ban political parties or politicians,"Reject proposal to meet, discuss, or negotiate",0,7,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Grant asylum,0,92,0.0,0.0
Grant asylum,"Reject proposal to meet, discuss, or negotiate",0,7,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Investigate war crimes,0,92,0.0,0.0
Investigate war crimes,"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Accede to demands for rights,3,92,0.03260869565217391,0.07142857142857142
Accede to demands for rights,"Reject proposal to meet, discuss, or negotiate",4,6,0.6666666666666666,0.07142857142857142
"Reject proposal to meet, discuss, or negotiate",Increase police alert status,2,92,0.021739130434782608,0.02564102564102564
Increase police alert status,"Reject proposal to meet, discuss, or negotiate",1,25,0.04,0.02564102564102564
"Reject proposal to meet, discuss, or negotiate",Threaten to reduce or break relations,0,92,0.0,0.0
Threaten to reduce or break relations,"Reject proposal to meet, discuss, or negotiate",0,4,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Threaten with repression,0,92,0.0,0.0
Threaten with repression,"Reject proposal to meet, discuss, or negotiate",0,5,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Violate ceasefire,0,92,0.0,0.0
Violate ceasefire,"Reject proposal to meet, discuss, or negotiate",0,4,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Reject request for military aid,0,92,0.0,0.0
Reject request for military aid,"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate","Use chemical, biological, or radiological weapons",0,92,0.0,0.0
"Use chemical, biological, or radiological weapons","Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Demand material aid,0,92,0.0,0.0
Demand material aid,"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Express intent to change leadership,0,92,0.0,0.0
Express intent to change leadership,"Reject proposal to meet, discuss, or negotiate",0,6,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Reject material cooperation,0,92,0.0,0.0
Reject material cooperation,"Reject proposal to meet, discuss, or negotiate",0,3,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Appeal for target to allow international involvement (non-mediation),0,92,0.0,0.0
Appeal for target to allow international involvement (non-mediation),"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate","Express intent to change institutions, regime",0,92,0.0,0.0
"Express intent to change institutions, regime","Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Demand military aid,0,92,0.0,0.0
Demand military aid,"Reject proposal to meet, discuss, or negotiate",0,2,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Seize or damage property,0,92,0.0,0.0
Seize or damage property,"Reject proposal to meet, discuss, or negotiate",0,8,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Appeal for rights,1,92,0.010869565217391304,0.019801980198019802
Appeal for rights,"Reject proposal to meet, discuss, or negotiate",1,9,0.1111111111111111,0.019801980198019802
"Reject proposal to meet, discuss, or negotiate",Reject request for military protection or peacekeeping,0,92,0.0,0.0
Reject request for military protection or peacekeeping,"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Reject military cooperation,1,92,0.010869565217391304,0.021052631578947368
Reject military cooperation,"Reject proposal to meet, discuss, or negotiate",1,3,0.3333333333333333,0.021052631578947368
"Reject proposal to meet, discuss, or negotiate",Threaten to reduce or stop aid,0,92,0.0,0.0
Threaten to reduce or stop aid,"Reject proposal to meet, discuss, or negotiate",0,4,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Demand release of persons or property,0,92,0.0,0.0
Demand release of persons or property,"Reject proposal to meet, discuss, or negotiate",0,5,0.0,0.0
"Reject proposal to meet, discuss, or negotiate","Threaten with political dissent, protest",0,92,0.0,0.0
"Threaten with political dissent, protest","Reject proposal to meet, discuss, or negotiate",0,5,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Carry out car bombing,0,92,0.0,0.0
Carry out car bombing,"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Carry out roadside bombing,0,92,0.0,0.0
Carry out roadside bombing,"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Use as human shield,0,92,0.0,0.0
Use as human shield,"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Threaten to halt mediation,0,92,0.0,0.0
Threaten to halt mediation,"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Express intent to institute political reform,0,92,0.0,0.0
Express intent to institute political reform,"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Forgive,0,92,0.0,0.0
Forgive,"Reject proposal to meet, discuss, or negotiate",0,3,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Investigate human rights abuses,0,92,0.0,0.0
Investigate human rights abuses,"Reject proposal to meet, discuss, or negotiate",0,3,0.0,0.0
"Reject proposal to meet, discuss, or negotiate","Appeal for easing of economic sanctions, boycott, or embargo",3,92,0.03260869565217391,0.043010752688172046
"Appeal for easing of economic sanctions, boycott, or embargo","Reject proposal to meet, discuss, or negotiate",1,1,1.0,0.043010752688172046
"Reject proposal to meet, discuss, or negotiate",Threaten to halt negotiations,5,92,0.05434782608695652,0.053763440860215055
Threaten to halt negotiations,"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.053763440860215055
"Reject proposal to meet, discuss, or negotiate",Engage in judicial cooperation,0,92,0.0,0.0
Engage in judicial cooperation,"Reject proposal to meet, discuss, or negotiate",0,10,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Expel or withdraw,0,92,0.0,0.0
Expel or withdraw,"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Engage in mass expulsion,0,92,0.0,0.0
Engage in mass expulsion,"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Engage in violent protest for rights,0,92,0.0,0.0
Engage in violent protest for rights,"Reject proposal to meet, discuss, or negotiate",0,1,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Ease military blockade,0,92,0.0,0.0
Ease military blockade,"Reject proposal to meet, discuss, or negotiate",0,3,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Demonstrate for policy change,0,92,0.0,0.0
Demonstrate for policy change,"Reject proposal to meet, discuss, or negotiate",0,4,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Obstruct passage to demand leadership change,0,92,0.0,0.0
Obstruct passage to demand leadership change,"Reject proposal to meet, discuss, or negotiate",0,2,0.0,0.0
"Reject proposal to meet, discuss, or negotiate",Reject judicial cooperation,1,92,0.010869565217391304,0.021505376344086023
Reject judicial cooperation,"Reject proposal to meet, discuss, or negotiate",1,1,1.0,0.021505376344086023
Use conventional military force,Appeal to engage in or accept mediation,0,1644,0.0,0.0
Appeal to engage in or accept mediation,Use conventional military force,0,33,0.0,0.0
Use conventional military force,Praise or endorse,62,1644,0.037712895377128956,0.027216856892010536
Praise or endorse,Use conventional military force,62,2912,0.021291208791208792,0.027216856892010536
Use conventional military force,Express intent to engage in diplomatic cooperation (such as policy support),35,1644,0.021289537712895375,0.030434782608695653
Express intent to engage in diplomatic cooperation (such as policy support),Use conventional military force,49,1116,0.04390681003584229,0.030434782608695653
Use conventional military force,Discuss by telephone,0,1644,0.0,0.0
Discuss by telephone,Use conventional military force,0,783,0.0,0.0
Use conventional military force,Meet at a 'third' location,4,1644,0.0024330900243309003,0.0019249278152069298
Meet at a 'third' location,Use conventional military force,0,434,0.0,0.0019249278152069298
Use conventional military force,Host a visit,17,1644,0.010340632603406326,0.008681925808997633
Host a visit,Use conventional military force,27,3424,0.007885514018691588,0.008681925808997633
Use conventional military force,Make a visit,20,1644,0.012165450121654502,0.010123064708217546
Make a visit,Use conventional military force,31,3394,0.009133765468473777,0.010123064708217546
Use conventional military force,Accede to demands for change in leadership,1,1644,0.0006082725060827251,0.0005977286312014345
Accede to demands for change in leadership,Use conventional military force,0,29,0.0,0.0005977286312014345
Use conventional military force,Express intent to settle dispute,9,1644,0.005474452554744526,0.007067137809187279
Express intent to settle dispute,Use conventional military force,3,54,0.05555555555555555,0.007067137809187279
Use conventional military force,Express intent to cooperate,39,1644,0.023722627737226276,0.028532141629425918
Express intent to cooperate,Use conventional military force,44,1265,0.034782608695652174,0.028532141629425918
Use conventional military force,Make optimistic comment,52,1644,0.031630170316301706,0.03204565408252853
Make optimistic comment,Use conventional military force,21,634,0.033123028391167195,0.03204565408252853
Use conventional military force,Yield,2,1644,0.0012165450121654502,0.0017271157167530224
Yield,Use conventional military force,1,93,0.010752688172043012,0.0017271157167530224
Use conventional military force,Consider policy option,5,1644,0.0030413625304136255,0.004036908881199538
Consider policy option,Use conventional military force,2,90,0.022222222222222223,0.004036908881199538
Use conventional military force,Halt negotiations,1,1644,0.0006082725060827251,0.0011968880909634949
Halt negotiations,Use conventional military force,1,27,0.037037037037037035,0.0011968880909634949
Use conventional military force,Appeal for economic cooperation,0,1644,0.0,0.0
Appeal for economic cooperation,Use conventional military force,0,15,0.0,0.0
Use conventional military force,Appeal for diplomatic cooperation (such as policy support),19,1644,0.011557177615571776,0.017786561264822136
Appeal for diplomatic cooperation (such as policy support),Use conventional military force,17,380,0.04473684210526316,0.017786561264822136
Use conventional military force,Appeal for change in leadership,1,1644,0.0006082725060827251,0.0011813349084465446
Appeal for change in leadership,Use conventional military force,1,49,0.02040816326530612,0.0011813349084465446
Use conventional military force,Acknowledge or claim responsibility,61,1644,0.03710462287104623,0.04630715123094959
Acknowledge or claim responsibility,Use conventional military force,18,62,0.2903225806451613,0.04630715123094959
Use conventional military force,Make pessimistic comment,133,1644,0.08090024330900243,0.07839388145315487
Make pessimistic comment,Use conventional military force,31,448,0.06919642857142858,0.07839388145315487
Use conventional military force,Conduct strike or boycott,0,1644,0.0,0.0
Conduct strike or boycott,Use conventional military force,0,32,0.0,0.0
Use conventional military force,"Declare truce, ceasefire",8,1644,0.004866180048661801,0.00599880023995201
"Declare truce, ceasefire",Use conventional military force,2,23,0.08695652173913043,0.00599880023995201
Use conventional military force,Reduce or break diplomatic relations,0,1644,0.0,0.0011261261261261261
Reduce or break diplomatic relations,Use conventional military force,2,132,0.015151515151515152,0.0011261261261261261
Use conventional military force,Demonstrate or rally,1,1644,0.0006082725060827251,0.0009315323707498836
Demonstrate or rally,Use conventional military force,1,503,0.0019880715705765406,0.0009315323707498836
Use conventional military force,Appeal for intelligence,39,1644,0.023722627737226276,0.027341477603257707
Appeal for intelligence,Use conventional military force,8,75,0.10666666666666667,0.027341477603257707
Use conventional military force,Expel or withdraw peacekeepers,0,1644,0.0,0.0
Expel or withdraw peacekeepers,Use conventional military force,0,4,0.0,0.0
Use conventional military force,"Impose embargo, boycott, or sanctions",0,1644,0.0,0.0
"Impose embargo, boycott, or sanctions",Use conventional military force,0,98,0.0,0.0
Use conventional military force,"Reject plan, agreement to settle dispute",3,1644,0.0018248175182481751,0.005885815185403178
"Reject plan, agreement to settle dispute",Use conventional military force,7,55,0.12727272727272726,0.005885815185403178
Use conventional military force,Appeal to others to meet or negotiate,1,1644,0.0006082725060827251,0.0005980861244019139
Appeal to others to meet or negotiate,Use conventional military force,0,28,0.0,0.0005980861244019139
Use conventional military force,Make empathetic comment,33,1644,0.020072992700729927,0.021321961620469083
Make empathetic comment,Use conventional military force,7,232,0.03017241379310345,0.021321961620469083
Use conventional military force,Demand change in leadership,1,1644,0.0006082725060827251,0.00117096018735363
Demand change in leadership,Use conventional military force,1,64,0.015625,0.00117096018735363
Use conventional military force,Bring lawsuit against,4,1644,0.0024330900243309003,0.005599104143337066
Bring lawsuit against,Use conventional military force,6,142,0.04225352112676056,0.005599104143337066
Use conventional military force,Occupy territory,145,1644,0.08819951338199514,0.0988120950323974
Occupy territory,Use conventional military force,38,208,0.18269230769230768,0.0988120950323974
Use conventional military force,Use unconventional violence,108,1644,0.06569343065693431,0.03498460677301987
Use unconventional violence,Use conventional military force,17,1929,0.008812856402280975,0.03498460677301987
Use conventional military force,"Return, release person(s)",169,1644,0.10279805352798053,0.11044477761119441
"Return, release person(s)",Use conventional military force,52,357,0.14565826330532214,0.11044477761119441
Use conventional military force,fight with small arms and light weapons,264,1644,0.16058394160583941,0.1794871794871795
fight with small arms and light weapons,Use conventional military force,156,696,0.22413793103448276,0.1794871794871795
Use conventional military force,Threaten with military force,14,1644,0.00851581508515815,0.013256484149855908
Threaten with military force,Use conventional military force,9,91,0.0989010989010989,0.013256484149855908
Use conventional military force,"Abduct, hijack, or take hostage",165,1644,0.10036496350364964,0.11706629055007052
"Abduct, hijack, or take hostage",Use conventional military force,84,483,0.17391304347826086,0.11706629055007052
Use conventional military force,Demand de-escalation of military engagement,1,1644,0.0006082725060827251,0.0012077294685990338
Demand de-escalation of military engagement,Use conventional military force,1,12,0.08333333333333333,0.0012077294685990338
Use conventional military force,"Arrest, detain, or charge with legal action",243,1644,0.1478102189781022,0.11099649267588199
"Arrest, detain, or charge with legal action",Use conventional military force,295,3203,0.09210115516703091,0.11099649267588199
Use conventional military force,"Obstruct passage, block",0,1644,0.0,0.0
"Obstruct passage, block",Use conventional military force,0,58,0.0,0.0
Use conventional military force,Refuse to de-escalate military engagement,0,1644,0.0,0.0
Refuse to de-escalate military engagement,Use conventional military force,0,4,0.0,0.0
Use conventional military force,Rally support on behalf of,1,1644,0.0006082725060827251,0.0022988505747126436
Rally support on behalf of,Use conventional military force,3,96,0.03125,0.0022988505747126436
Use conventional military force,Provide aid,64,1644,0.038929440389294405,0.041620421753607105
Provide aid,Use conventional military force,11,158,0.06962025316455696,0.041620421753607105
Use conventional military force,Investigate,151,1644,0.09184914841849148,0.13249594813614263
Investigate,Use conventional military force,176,824,0.21359223300970873,0.13249594813614263
Use conventional military force,Express intent to provide material aid,9,1644,0.005474452554744526,0.010459035444509006
Express intent to provide material aid,Use conventional military force,9,77,0.11688311688311688,0.010459035444509006
Use conventional military force,Employ aerial weapons,56,1644,0.0340632603406326,0.05202312138728324
Employ aerial weapons,Use conventional military force,34,86,0.3953488372093023,0.05202312138728324
Use conventional military force,Cooperate militarily,8,1644,0.004866180048661801,0.008045977011494253
Cooperate militarily,Use conventional military force,6,96,0.0625,0.008045977011494253
Use conventional military force,Express intent to release persons or property,109,1644,0.06630170316301703,0.0686217008797654
Express intent to release persons or property,Use conventional military force,8,61,0.13114754098360656,0.0686217008797654
Use conventional military force,Use tactics of violent repression,75,1644,0.04562043795620438,0.10102095647501344
Use tactics of violent repression,Use conventional military force,113,217,0.5207373271889401,0.10102095647501344
Use conventional military force,Ease administrative sanctions,7,1644,0.004257907542579075,0.006145251396648044
Ease administrative sanctions,Use conventional military force,4,146,0.0273972602739726,0.006145251396648044
Use conventional military force,Receive deployment of peacekeepers,4,1644,0.0024330900243309003,0.0029904306220095694
Receive deployment of peacekeepers,Use conventional military force,1,28,0.03571428571428571,0.0029904306220095694
Use conventional military force,Mediate,0,1644,0.0,0.0
Mediate,Use conventional military force,0,15,0.0,0.0
Use conventional military force,Provide military protection or peacekeeping,8,1644,0.004866180048661801,0.0065986802639472104
Provide military protection or peacekeeping,Use conventional military force,3,23,0.13043478260869565,0.0065986802639472104
Use conventional military force,Give ultimatum,30,1644,0.01824817518248175,0.01945754716981132
Give ultimatum,Use conventional military force,3,52,0.057692307692307696,0.01945754716981132
Use conventional military force,Deny responsibility,11,1644,0.006690997566909975,0.012141280353200883
Deny responsibility,Use conventional military force,11,168,0.06547619047619048,0.012141280353200883
Use conventional military force,fight with artillery and tanks,27,1644,0.016423357664233577,0.02386634844868735
fight with artillery and tanks,Use conventional military force,13,32,0.40625,0.02386634844868735
Use conventional military force,Demand diplomatic cooperation (such as policy support),0,1644,0.0,0.0005847953216374269
Demand diplomatic cooperation (such as policy support),Use conventional military force,1,66,0.015151515151515152,0.0005847953216374269
Use conventional military force,Engage in mass killings,129,1644,0.07846715328467153,0.08031400966183574
Engage in mass killings,Use conventional military force,4,12,0.3333333333333333,0.08031400966183574
Use conventional military force,Torture,99,1644,0.060218978102189784,0.06511350059737156
Torture,Use conventional military force,10,30,0.3333333333333333,0.06511350059737156
Use conventional military force,Appeal to others to settle dispute,0,1644,0.0,0.0
Appeal to others to settle dispute,Use conventional military force,0,12,0.0,0.0
Use conventional military force,Cooperate economically,4,1644,0.0024330900243309003,0.003975014196479273
Cooperate economically,Use conventional military force,3,117,0.02564102564102564,0.003975014196479273
Use conventional military force,Impose restrictions on political freedoms,6,1644,0.0036496350364963502,0.004711425206124852
Impose restrictions on political freedoms,Use conventional military force,2,54,0.037037037037037035,0.004711425206124852
Use conventional military force,"Investigate crime, corruption",32,1644,0.019464720194647202,0.02332535885167464
"Investigate crime, corruption",Use conventional military force,7,28,0.25,0.02332535885167464
Use conventional military force,"Appeal for change in institutions, regime",0,1644,0.0,0.0
"Appeal for change in institutions, regime",Use conventional military force,0,20,0.0,0.0
Use conventional military force,Appeal for release of persons or property,0,1644,0.0,0.0
Appeal for release of persons or property,Use conventional military force,0,30,0.0,0.0
Use conventional military force,Accuse of war crimes,0,1644,0.0,0.0
Accuse of war crimes,Use conventional military force,0,7,0.0,0.0
Use conventional military force,Appeal for easing of administrative sanctions,0,1644,0.0,0.0
Appeal for easing of administrative sanctions,Use conventional military force,0,13,0.0,0.0
Use conventional military force,Demand easing of administrative sanctions,1,1644,0.0006082725060827251,0.0006067961165048543
Demand easing of administrative sanctions,Use conventional military force,0,4,0.0,0.0006067961165048543
Use conventional military force,Accuse of human rights abuses,2,1644,0.0012165450121654502,0.0017825311942959
Accuse of human rights abuses,Use conventional military force,1,39,0.02564102564102564,0.0017825311942959
Use conventional military force,Appeal for political reform,0,1644,0.0,0.0
Appeal for political reform,Use conventional military force,0,3,0.0,0.0
Use conventional military force,Provide military aid,8,1644,0.004866180048661801,0.011547344110854504
Provide military aid,Use conventional military force,12,88,0.13636363636363635,0.011547344110854504
Use conventional military force,Refuse to ease administrative sanctions,0,1644,0.0,0.0
Refuse to ease administrative sanctions,Use conventional military force,0,8,0.0,0.0
Use conventional military force,Provide humanitarian aid,85,1644,0.05170316301703163,0.07172995780590717
Provide humanitarian aid,Use conventional military force,51,252,0.20238095238095238,0.07172995780590717
Use conventional military force,Physically assault,83,1644,0.05048661800486618,0.06103542234332425
Physically assault,Use conventional military force,29,191,0.1518324607329843,0.06103542234332425
Use conventional military force,Mobilize or increase armed forces,44,1644,0.0267639902676399,0.061224489795918366
Mobilize or increase armed forces,Use conventional military force,67,169,0.39644970414201186,0.061224489795918366
Use conventional military force,Carry out suicide bombing,0,1644,0.0,0.0
Carry out suicide bombing,Use conventional military force,0,76,0.0,0.0
Use conventional military force,"Conduct suicide, car, or other non-military bombing",58,1644,0.03527980535279805,0.037361354349095155
"Conduct suicide, car, or other non-military bombing",Use conventional military force,6,69,0.08695652173913043,0.037361354349095155
Use conventional military force,"Protest violently, riot",1,1644,0.0006082725060827251,0.0010416666666666667
"Protest violently, riot",Use conventional military force,1,276,0.0036231884057971015,0.0010416666666666667
Use conventional military force,Assassinate,28,1644,0.0170316301703163,0.02014218009478673
Assassinate,Use conventional military force,6,44,0.13636363636363635,0.02014218009478673
Use conventional military force,Kill by physical assault,0,1644,0.0,0.001160092807424594
Kill by physical assault,Use conventional military force,2,80,0.025,0.001160092807424594
Use conventional military force,Impose administrative sanctions,41,1644,0.024939172749391728,0.03376477208778841
Impose administrative sanctions,Use conventional military force,19,133,0.14285714285714285,0.03376477208778841
Use conventional military force,Confiscate property,82,1644,0.049878345498783457,0.07519640852974187
Confiscate property,Use conventional military force,52,138,0.37681159420289856,0.07519640852974187
Use conventional military force,Express accord,10,1644,0.006082725060827251,0.00812536273940801
Express accord,Use conventional military force,4,79,0.05063291139240506,0.00812536273940801
Use conventional military force,Retreat or surrender militarily,18,1644,0.010948905109489052,0.0164802825191289
Retreat or surrender militarily,Use conventional military force,10,55,0.18181818181818182,0.0164802825191289
