relation i,relation j,#implication,#rel_i,P one direction,P two direction
Express intent to engage in diplomatic cooperation (such as policy support),Engage in diplomatic cooperation,421,1116,0.3772401433691756,0.439873417721519
Engage in diplomatic cooperation,Express intent to engage in diplomatic cooperation (such as policy support),552,1096,0.5036496350364964,0.439873417721519
Express intent to engage in diplomatic cooperation (such as policy support),Make optimistic comment,261,1116,0.23387096774193547,0.23257142857142857
Make optimistic comment,Express intent to engage in diplomatic cooperation (such as policy support),146,634,0.2302839116719243,0.23257142857142857
Express intent to engage in diplomatic cooperation (such as policy support),Torture,0,1116,0.0,0.0
Torture,Express intent to engage in diplomatic cooperation (such as policy support),0,30,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Refuse to yield,30,1116,0.026881720430107527,0.031222896790980052
Refuse to yield,Express intent to engage in diplomatic cooperation (such as policy support),6,37,0.16216216216216217,0.031222896790980052
Express intent to engage in diplomatic cooperation (such as policy support),Cooperate militarily,42,1116,0.03763440860215054,0.0462046204620462
Cooperate militarily,Express intent to engage in diplomatic cooperation (such as policy support),14,96,0.14583333333333334,0.0462046204620462
Express intent to engage in diplomatic cooperation (such as policy support),Mobilize or increase armed forces,33,1116,0.02956989247311828,0.0669260700389105
Mobilize or increase armed forces,Express intent to engage in diplomatic cooperation (such as policy support),53,169,0.3136094674556213,0.0669260700389105
Express intent to engage in diplomatic cooperation (such as policy support),fight with small arms and light weapons,47,1116,0.042114695340501794,0.04856512141280353
fight with small arms and light weapons,Express intent to engage in diplomatic cooperation (such as policy support),41,696,0.05890804597701149,0.04856512141280353
Express intent to engage in diplomatic cooperation (such as policy support),Ease administrative sanctions,20,1116,0.017921146953405017,0.026148969889064975
Ease administrative sanctions,Express intent to engage in diplomatic cooperation (such as policy support),13,146,0.08904109589041095,0.026148969889064975
Express intent to engage in diplomatic cooperation (such as policy support),Appeal for political reform,0,1116,0.0,0.0
Appeal for political reform,Express intent to engage in diplomatic cooperation (such as policy support),0,3,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),"Return, release person(s)",20,1116,0.017921146953405017,0.034623217922606926
"Return, release person(s)",Express intent to engage in diplomatic cooperation (such as policy support),31,357,0.08683473389355742,0.034623217922606926
Express intent to engage in diplomatic cooperation (such as policy support),Discuss by telephone,46,1116,0.04121863799283154,0.1395471300684571
Discuss by telephone,Express intent to engage in diplomatic cooperation (such as policy support),219,783,0.2796934865900383,0.1395471300684571
Express intent to engage in diplomatic cooperation (such as policy support),Demonstrate for leadership change,1,1116,0.0008960573476702509,0.0017497812773403325
Demonstrate for leadership change,Express intent to engage in diplomatic cooperation (such as policy support),1,27,0.037037037037037035,0.0017497812773403325
Express intent to engage in diplomatic cooperation (such as policy support),Impose restrictions on political freedoms,20,1116,0.017921146953405017,0.021367521367521368
Impose restrictions on political freedoms,Express intent to engage in diplomatic cooperation (such as policy support),5,54,0.09259259259259259,0.021367521367521368
Express intent to engage in diplomatic cooperation (such as policy support),"Investigate crime, corruption",0,1116,0.0,0.0
"Investigate crime, corruption",Express intent to engage in diplomatic cooperation (such as policy support),0,28,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Engage in material cooperation,68,1116,0.06093189964157706,0.06255212677231026
Engage in material cooperation,Express intent to engage in diplomatic cooperation (such as policy support),7,83,0.08433734939759036,0.06255212677231026
Express intent to engage in diplomatic cooperation (such as policy support),Appeal to others to meet or negotiate,16,1116,0.014336917562724014,0.017482517482517484
Appeal to others to meet or negotiate,Express intent to engage in diplomatic cooperation (such as policy support),4,28,0.14285714285714285,0.017482517482517484
Express intent to engage in diplomatic cooperation (such as policy support),Provide humanitarian aid,68,1116,0.06093189964157706,0.0891812865497076
Provide humanitarian aid,Express intent to engage in diplomatic cooperation (such as policy support),54,252,0.21428571428571427,0.0891812865497076
Express intent to engage in diplomatic cooperation (such as policy support),Appeal for change in leadership,0,1116,0.0,0.0
Appeal for change in leadership,Express intent to engage in diplomatic cooperation (such as policy support),0,49,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Use tactics of violent repression,1,1116,0.0008960573476702509,0.0015003750937734434
Use tactics of violent repression,Express intent to engage in diplomatic cooperation (such as policy support),1,217,0.004608294930875576,0.0015003750937734434
Express intent to engage in diplomatic cooperation (such as policy support),Occupy territory,39,1116,0.03494623655913978,0.0377643504531722
Occupy territory,Express intent to engage in diplomatic cooperation (such as policy support),11,208,0.052884615384615384,0.0377643504531722
Express intent to engage in diplomatic cooperation (such as policy support),Demand humanitarian aid,0,1116,0.0,0.0
Demand humanitarian aid,Express intent to engage in diplomatic cooperation (such as policy support),0,1,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Reject,147,1116,0.13172043010752688,0.14680851063829786
Reject,Express intent to engage in diplomatic cooperation (such as policy support),129,764,0.168848167539267,0.14680851063829786
Express intent to engage in diplomatic cooperation (such as policy support),Threaten non-force,11,1116,0.00985663082437276,0.011545293072824156
Threaten non-force,Express intent to engage in diplomatic cooperation (such as policy support),2,10,0.2,0.011545293072824156
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to cooperate economically,141,1116,0.12634408602150538,0.15301902398676592
Express intent to cooperate economically,Express intent to engage in diplomatic cooperation (such as policy support),44,93,0.4731182795698925,0.15301902398676592
Express intent to engage in diplomatic cooperation (such as policy support),"Conduct suicide, car, or other non-military bombing",2,1116,0.0017921146953405018,0.004219409282700422
"Conduct suicide, car, or other non-military bombing",Express intent to engage in diplomatic cooperation (such as policy support),3,69,0.043478260869565216,0.004219409282700422
Express intent to engage in diplomatic cooperation (such as policy support),"Demand meeting, negotiation",1,1116,0.0008960573476702509,0.0017683465959328027
"Demand meeting, negotiation",Express intent to engage in diplomatic cooperation (such as policy support),1,15,0.06666666666666667,0.0017683465959328027
Express intent to engage in diplomatic cooperation (such as policy support),Deny responsibility,65,1116,0.05824372759856631,0.07087227414330217
Deny responsibility,Express intent to engage in diplomatic cooperation (such as policy support),26,168,0.15476190476190477,0.07087227414330217
Express intent to engage in diplomatic cooperation (such as policy support),"Express intent to change institutions, regime",20,1116,0.017921146953405017,0.018800358102059087
"Express intent to change institutions, regime",Express intent to engage in diplomatic cooperation (such as policy support),1,1,1.0,0.018800358102059087
Express intent to engage in diplomatic cooperation (such as policy support),Appeal for judicial cooperation,8,1116,0.007168458781362007,0.010535557506584723
Appeal for judicial cooperation,Express intent to engage in diplomatic cooperation (such as policy support),4,23,0.17391304347826086,0.010535557506584723
Express intent to engage in diplomatic cooperation (such as policy support),Share intelligence or information,32,1116,0.02867383512544803,0.036395147313691506
Share intelligence or information,Express intent to engage in diplomatic cooperation (such as policy support),10,38,0.2631578947368421,0.036395147313691506
Express intent to engage in diplomatic cooperation (such as policy support),Expel or deport individuals,22,1116,0.01971326164874552,0.02631578947368421
Expel or deport individuals,Express intent to engage in diplomatic cooperation (such as policy support),11,138,0.07971014492753623,0.02631578947368421
Express intent to engage in diplomatic cooperation (such as policy support),Confiscate property,11,1116,0.00985663082437276,0.01036682615629984
Confiscate property,Express intent to engage in diplomatic cooperation (such as policy support),2,138,0.014492753623188406,0.01036682615629984
Express intent to engage in diplomatic cooperation (such as policy support),Accuse of aggression,0,1116,0.0,0.0
Accuse of aggression,Express intent to engage in diplomatic cooperation (such as policy support),0,7,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Reduce relations,80,1116,0.07168458781362007,0.09202453987730061
Reduce relations,Express intent to engage in diplomatic cooperation (such as policy support),40,188,0.2127659574468085,0.09202453987730061
Express intent to engage in diplomatic cooperation (such as policy support),Physically assault,15,1116,0.013440860215053764,0.02448355011476664
Physically assault,Express intent to engage in diplomatic cooperation (such as policy support),17,191,0.08900523560209424,0.02448355011476664
Express intent to engage in diplomatic cooperation (such as policy support),Retreat or surrender militarily,10,1116,0.008960573476702509,0.028181041844577284
Retreat or surrender militarily,Express intent to engage in diplomatic cooperation (such as policy support),23,55,0.41818181818181815,0.028181041844577284
Express intent to engage in diplomatic cooperation (such as policy support),Demand diplomatic cooperation (such as policy support),22,1116,0.01971326164874552,0.028764805414551606
Demand diplomatic cooperation (such as policy support),Express intent to engage in diplomatic cooperation (such as policy support),12,66,0.18181818181818182,0.028764805414551606
Express intent to engage in diplomatic cooperation (such as policy support),Veto,11,1116,0.00985663082437276,0.0106951871657754
Veto,Express intent to engage in diplomatic cooperation (such as policy support),1,6,0.16666666666666666,0.0106951871657754
Express intent to engage in diplomatic cooperation (such as policy support),Kill by physical assault,2,1116,0.0017921146953405018,0.004180602006688963
Kill by physical assault,Express intent to engage in diplomatic cooperation (such as policy support),3,80,0.0375,0.004180602006688963
Express intent to engage in diplomatic cooperation (such as policy support),"Appeal for change in institutions, regime",5,1116,0.004480286738351254,0.008802816901408451
"Appeal for change in institutions, regime",Express intent to engage in diplomatic cooperation (such as policy support),5,20,0.25,0.008802816901408451
Express intent to engage in diplomatic cooperation (such as policy support),Forgive,0,1116,0.0,0.0
Forgive,Express intent to engage in diplomatic cooperation (such as policy support),0,3,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),"Reject proposal to meet, discuss, or negotiate",43,1116,0.03853046594982079,0.055463576158940396
"Reject proposal to meet, discuss, or negotiate",Express intent to engage in diplomatic cooperation (such as policy support),24,92,0.2608695652173913,0.055463576158940396
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to provide humanitarian aid,45,1116,0.04032258064516129,0.05670103092783505
Express intent to provide humanitarian aid,Express intent to engage in diplomatic cooperation (such as policy support),21,48,0.4375,0.05670103092783505
Express intent to engage in diplomatic cooperation (such as policy support),"Ease economic sanctions, boycott, embargo",6,1116,0.005376344086021506,0.014951627088830254
"Ease economic sanctions, boycott, embargo",Express intent to engage in diplomatic cooperation (such as policy support),11,21,0.5238095238095238,0.014951627088830254
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to cooperate militarily,26,1116,0.023297491039426525,0.02920353982300885
Express intent to cooperate militarily,Express intent to engage in diplomatic cooperation (such as policy support),7,14,0.5,0.02920353982300885
Express intent to engage in diplomatic cooperation (such as policy support),Cooperate economically,132,1116,0.11827956989247312,0.1467964314679643
Cooperate economically,Express intent to engage in diplomatic cooperation (such as policy support),49,117,0.4188034188034188,0.1467964314679643
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to provide economic aid,41,1116,0.036738351254480286,0.050590219224283306
Express intent to provide economic aid,Express intent to engage in diplomatic cooperation (such as policy support),19,70,0.2714285714285714,0.050590219224283306
Express intent to engage in diplomatic cooperation (such as policy support),Mobilize or increase police power,2,1116,0.0017921146953405018,0.0052585451358457495
Mobilize or increase police power,Express intent to engage in diplomatic cooperation (such as policy support),4,25,0.16,0.0052585451358457495
Express intent to engage in diplomatic cooperation (such as policy support),Conduct strike or boycott,4,1116,0.0035842293906810036,0.0078397212543554
Conduct strike or boycott,Express intent to engage in diplomatic cooperation (such as policy support),5,32,0.15625,0.0078397212543554
Express intent to engage in diplomatic cooperation (such as policy support),Employ aerial weapons,26,1116,0.023297491039426525,0.03410981697171381
Employ aerial weapons,Express intent to engage in diplomatic cooperation (such as policy support),15,86,0.1744186046511628,0.03410981697171381
Express intent to engage in diplomatic cooperation (such as policy support),Demonstrate military or police power,44,1116,0.03942652329749104,0.049738219895287955
Demonstrate military or police power,Express intent to engage in diplomatic cooperation (such as policy support),13,30,0.43333333333333335,0.049738219895287955
Express intent to engage in diplomatic cooperation (such as policy support),Provide military aid,72,1116,0.06451612903225806,0.08970099667774087
Provide military aid,Express intent to engage in diplomatic cooperation (such as policy support),36,88,0.4090909090909091,0.08970099667774087
Express intent to engage in diplomatic cooperation (such as policy support),"Reject plan, agreement to settle dispute",71,1116,0.06362007168458782,0.08283518360375747
"Reject plan, agreement to settle dispute",Express intent to engage in diplomatic cooperation (such as policy support),26,55,0.4727272727272727,0.08283518360375747
Express intent to engage in diplomatic cooperation (such as policy support),Yield,34,1116,0.03046594982078853,0.043010752688172046
Yield,Express intent to engage in diplomatic cooperation (such as policy support),18,93,0.1935483870967742,0.043010752688172046
Express intent to engage in diplomatic cooperation (such as policy support),"Obstruct passage, block",2,1116,0.0017921146953405018,0.00596252129471891
"Obstruct passage, block",Express intent to engage in diplomatic cooperation (such as policy support),5,58,0.08620689655172414,0.00596252129471891
Express intent to engage in diplomatic cooperation (such as policy support),Mediate,1,1116,0.0008960573476702509,0.0017683465959328027
Mediate,Express intent to engage in diplomatic cooperation (such as policy support),1,15,0.06666666666666667,0.0017683465959328027
Express intent to engage in diplomatic cooperation (such as policy support),Apologize,10,1116,0.008960573476702509,0.012184508268059183
Apologize,Express intent to engage in diplomatic cooperation (such as policy support),4,33,0.12121212121212122,0.012184508268059183
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to release persons or property,12,1116,0.010752688172043012,0.01784197111299915
Express intent to release persons or property,Express intent to engage in diplomatic cooperation (such as policy support),9,61,0.14754098360655737,0.01784197111299915
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to de-escalate military engagement,4,1116,0.0035842293906810036,0.01918047079337402
Express intent to de-escalate military engagement,Express intent to engage in diplomatic cooperation (such as policy support),18,31,0.5806451612903226,0.01918047079337402
Express intent to engage in diplomatic cooperation (such as policy support),Accede to demands for rights,18,1116,0.016129032258064516,0.020499108734402853
Accede to demands for rights,Express intent to engage in diplomatic cooperation (such as policy support),5,6,0.8333333333333334,0.020499108734402853
Express intent to engage in diplomatic cooperation (such as policy support),Demand economic aid,0,1116,0.0,0.0
Demand economic aid,Express intent to engage in diplomatic cooperation (such as policy support),0,10,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Impose state of emergency or martial law,0,1116,0.0,0.0
Impose state of emergency or martial law,Express intent to engage in diplomatic cooperation (such as policy support),0,12,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Receive deployment of peacekeepers,6,1116,0.005376344086021506,0.007867132867132868
Receive deployment of peacekeepers,Express intent to engage in diplomatic cooperation (such as policy support),3,28,0.10714285714285714,0.007867132867132868
Express intent to engage in diplomatic cooperation (such as policy support),Demand de-escalation of military engagement,4,1116,0.0035842293906810036,0.0062056737588652485
Demand de-escalation of military engagement,Express intent to engage in diplomatic cooperation (such as policy support),3,12,0.25,0.0062056737588652485
Express intent to engage in diplomatic cooperation (such as policy support),"Declare truce, ceasefire",6,1116,0.005376344086021506,0.007901668129938543
"Declare truce, ceasefire",Express intent to engage in diplomatic cooperation (such as policy support),3,23,0.13043478260869565,0.007901668129938543
Express intent to engage in diplomatic cooperation (such as policy support),Reduce or stop humanitarian assistance,0,1116,0.0,0.0
Reduce or stop humanitarian assistance,Express intent to engage in diplomatic cooperation (such as policy support),0,4,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Appeal to others to settle dispute,5,1116,0.004480286738351254,0.007978723404255319
Appeal to others to settle dispute,Express intent to engage in diplomatic cooperation (such as policy support),4,12,0.3333333333333333,0.007978723404255319
Express intent to engage in diplomatic cooperation (such as policy support),Reject request for military aid,0,1116,0.0,0.0
Reject request for military aid,Express intent to engage in diplomatic cooperation (such as policy support),0,1,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),"Threaten with political dissent, protest",0,1116,0.0,0.0
"Threaten with political dissent, protest",Express intent to engage in diplomatic cooperation (such as policy support),0,5,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Acknowledge or claim responsibility,2,1116,0.0017921146953405018,0.003395585738539898
Acknowledge or claim responsibility,Express intent to engage in diplomatic cooperation (such as policy support),2,62,0.03225806451612903,0.003395585738539898
Express intent to engage in diplomatic cooperation (such as policy support),"Express intent to ease economic sanctions, boycott, or embargo",11,1116,0.00985663082437276,0.024691358024691357
"Express intent to ease economic sanctions, boycott, or embargo",Express intent to engage in diplomatic cooperation (such as policy support),17,18,0.9444444444444444,0.024691358024691357
Express intent to engage in diplomatic cooperation (such as policy support),Coerce,12,1116,0.010752688172043012,0.014037985136251032
Coerce,Express intent to engage in diplomatic cooperation (such as policy support),5,95,0.05263157894736842,0.014037985136251032
Express intent to engage in diplomatic cooperation (such as policy support),fight with artillery and tanks,9,1116,0.008064516129032258,0.02003484320557491
fight with artillery and tanks,Express intent to engage in diplomatic cooperation (such as policy support),14,32,0.4375,0.02003484320557491
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to cooperate on intelligence,18,1116,0.016129032258064516,0.021352313167259787
Express intent to cooperate on intelligence,Express intent to engage in diplomatic cooperation (such as policy support),6,8,0.75,0.021352313167259787
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to settle dispute,107,1116,0.09587813620071685,0.12393162393162394
Express intent to settle dispute,Express intent to engage in diplomatic cooperation (such as policy support),38,54,0.7037037037037037,0.12393162393162394
Express intent to engage in diplomatic cooperation (such as policy support),Express accord,13,1116,0.011648745519713262,0.0200836820083682
Express accord,Express intent to engage in diplomatic cooperation (such as policy support),11,79,0.13924050632911392,0.0200836820083682
Express intent to engage in diplomatic cooperation (such as policy support),Decline comment,7,1116,0.0062724014336917565,0.008787346221441126
Decline comment,Express intent to engage in diplomatic cooperation (such as policy support),3,22,0.13636363636363635,0.008787346221441126
Express intent to engage in diplomatic cooperation (such as policy support),Rally opposition against,6,1116,0.005376344086021506,0.010135135135135136
Rally opposition against,Express intent to engage in diplomatic cooperation (such as policy support),6,68,0.08823529411764706,0.010135135135135136
Express intent to engage in diplomatic cooperation (such as policy support),Rally support on behalf of,29,1116,0.025985663082437275,0.026402640264026403
Rally support on behalf of,Express intent to engage in diplomatic cooperation (such as policy support),3,96,0.03125,0.026402640264026403
Express intent to engage in diplomatic cooperation (such as policy support),Halt negotiations,13,1116,0.011648745519713262,0.015748031496062992
Halt negotiations,Express intent to engage in diplomatic cooperation (such as policy support),5,27,0.18518518518518517,0.015748031496062992
Express intent to engage in diplomatic cooperation (such as policy support),Appeal for military aid,11,1116,0.00985663082437276,0.01838879159369527
Appeal for military aid,Express intent to engage in diplomatic cooperation (such as policy support),10,26,0.38461538461538464,0.01838879159369527
Express intent to engage in diplomatic cooperation (such as policy support),Threaten with military force,16,1116,0.014336917562724014,0.02236951118475559
Threaten with military force,Express intent to engage in diplomatic cooperation (such as policy support),11,91,0.12087912087912088,0.02236951118475559
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to provide military protection or peacekeeping,4,1116,0.0035842293906810036,0.0071301247771836
Express intent to provide military protection or peacekeeping,Express intent to engage in diplomatic cooperation (such as policy support),4,6,0.6666666666666666,0.0071301247771836
Express intent to engage in diplomatic cooperation (such as policy support),Assassinate,0,1116,0.0,0.0
Assassinate,Express intent to engage in diplomatic cooperation (such as policy support),0,44,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),"Threaten with sanctions, boycott, embargo",1,1116,0.0008960573476702509,0.00267379679144385
"Threaten with sanctions, boycott, embargo",Express intent to engage in diplomatic cooperation (such as policy support),2,6,0.3333333333333333,0.00267379679144385
Express intent to engage in diplomatic cooperation (such as policy support),Demand change in leadership,5,1116,0.004480286738351254,0.006779661016949152
Demand change in leadership,Express intent to engage in diplomatic cooperation (such as policy support),3,64,0.046875,0.006779661016949152
Express intent to engage in diplomatic cooperation (such as policy support),Appeal for economic aid,9,1116,0.008064516129032258,0.013169446883230905
Appeal for economic aid,Express intent to engage in diplomatic cooperation (such as policy support),6,23,0.2608695652173913,0.013169446883230905
Express intent to engage in diplomatic cooperation (such as policy support),Refuse to de-escalate military engagement,1,1116,0.0008960573476702509,0.0017857142857142857
Refuse to de-escalate military engagement,Express intent to engage in diplomatic cooperation (such as policy support),1,4,0.25,0.0017857142857142857
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to provide military aid,34,1116,0.03046594982078853,0.057119205298013245
Express intent to provide military aid,Express intent to engage in diplomatic cooperation (such as policy support),35,92,0.3804347826086957,0.057119205298013245
Express intent to engage in diplomatic cooperation (such as policy support),Refuse to release persons or property,0,1116,0.0,0.0
Refuse to release persons or property,Express intent to engage in diplomatic cooperation (such as policy support),0,19,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Increase police alert status,6,1116,0.005376344086021506,0.006134969325153374
Increase police alert status,Express intent to engage in diplomatic cooperation (such as policy support),1,25,0.04,0.006134969325153374
Express intent to engage in diplomatic cooperation (such as policy support),"Return, release property",16,1116,0.014336917562724014,0.016873889875666074
"Return, release property",Express intent to engage in diplomatic cooperation (such as policy support),3,10,0.3,0.016873889875666074
Express intent to engage in diplomatic cooperation (such as policy support),Ease military blockade,0,1116,0.0,0.0
Ease military blockade,Express intent to engage in diplomatic cooperation (such as policy support),0,3,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Appeal for material cooperation,8,1116,0.007168458781362007,0.009769094138543518
Appeal for material cooperation,Express intent to engage in diplomatic cooperation (such as policy support),3,10,0.3,0.009769094138543518
Express intent to engage in diplomatic cooperation (such as policy support),Appeal for economic cooperation,15,1116,0.013440860215053764,0.015915119363395226
Appeal for economic cooperation,Express intent to engage in diplomatic cooperation (such as policy support),3,15,0.2,0.015915119363395226
Express intent to engage in diplomatic cooperation (such as policy support),Give ultimatum,14,1116,0.012544802867383513,0.014554794520547944
Give ultimatum,Express intent to engage in diplomatic cooperation (such as policy support),3,52,0.057692307692307696,0.014554794520547944
Express intent to engage in diplomatic cooperation (such as policy support),Demand settling of dispute,1,1116,0.0008960573476702509,0.001784121320249777
Demand settling of dispute,Express intent to engage in diplomatic cooperation (such as policy support),1,5,0.2,0.001784121320249777
Express intent to engage in diplomatic cooperation (such as policy support),"Accuse of crime, corruption",12,1116,0.010752688172043012,0.01694915254237288
"Accuse of crime, corruption",Express intent to engage in diplomatic cooperation (such as policy support),8,64,0.125,0.01694915254237288
Express intent to engage in diplomatic cooperation (such as policy support),Defend verbally,23,1116,0.02060931899641577,0.024539877300613498
Defend verbally,Express intent to engage in diplomatic cooperation (such as policy support),5,25,0.2,0.024539877300613498
Express intent to engage in diplomatic cooperation (such as policy support),Accuse of human rights abuses,0,1116,0.0,0.0
Accuse of human rights abuses,Express intent to engage in diplomatic cooperation (such as policy support),0,39,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Provide military protection or peacekeeping,31,1116,0.027777777777777776,0.03775241439859526
Provide military protection or peacekeeping,Express intent to engage in diplomatic cooperation (such as policy support),12,23,0.5217391304347826,0.03775241439859526
Express intent to engage in diplomatic cooperation (such as policy support),"Accuse of espionage, treason",2,1116,0.0017921146953405018,0.0035398230088495575
"Accuse of espionage, treason",Express intent to engage in diplomatic cooperation (such as policy support),2,14,0.14285714285714285,0.0035398230088495575
Express intent to engage in diplomatic cooperation (such as policy support),Seize or damage property,0,1116,0.0,0.0
Seize or damage property,Express intent to engage in diplomatic cooperation (such as policy support),0,8,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Accede to requests or demands for political reform,0,1116,0.0,0.0
Accede to requests or demands for political reform,Express intent to engage in diplomatic cooperation (such as policy support),0,2,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),"Appeal for easing of economic sanctions, boycott, or embargo",6,1116,0.005376344086021506,0.006266786034019696
"Appeal for easing of economic sanctions, boycott, or embargo",Express intent to engage in diplomatic cooperation (such as policy support),1,1,1.0,0.006266786034019696
Express intent to engage in diplomatic cooperation (such as policy support),Appeal to yield,9,1116,0.008064516129032258,0.01157613535173642
Appeal to yield,Express intent to engage in diplomatic cooperation (such as policy support),4,7,0.5714285714285714,0.01157613535173642
Express intent to engage in diplomatic cooperation (such as policy support),Demand military aid,0,1116,0.0,0.0
Demand military aid,Express intent to engage in diplomatic cooperation (such as policy support),0,2,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Threaten to reduce or stop aid,0,1116,0.0,0.0
Threaten to reduce or stop aid,Express intent to engage in diplomatic cooperation (such as policy support),0,4,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Refuse to ease administrative sanctions,0,1116,0.0,0.0
Refuse to ease administrative sanctions,Express intent to engage in diplomatic cooperation (such as policy support),0,8,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Demand release of persons or property,0,1116,0.0,0.0
Demand release of persons or property,Express intent to engage in diplomatic cooperation (such as policy support),0,5,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Accede to demands for change in leadership,7,1116,0.0062724014336917565,0.008733624454148471
Accede to demands for change in leadership,Express intent to engage in diplomatic cooperation (such as policy support),3,29,0.10344827586206896,0.008733624454148471
Express intent to engage in diplomatic cooperation (such as policy support),"Demand change in institutions, regime",1,1116,0.0008960573476702509,0.0017793594306049821
"Demand change in institutions, regime",Express intent to engage in diplomatic cooperation (such as policy support),1,8,0.125,0.0017793594306049821
Express intent to engage in diplomatic cooperation (such as policy support),Appeal for easing of administrative sanctions,5,1116,0.004480286738351254,0.006200177147918512
Appeal for easing of administrative sanctions,Express intent to engage in diplomatic cooperation (such as policy support),2,13,0.15384615384615385,0.006200177147918512
Express intent to engage in diplomatic cooperation (such as policy support),Appeal for release of persons or property,11,1116,0.00985663082437276,0.013961605584642234
Appeal for release of persons or property,Express intent to engage in diplomatic cooperation (such as policy support),5,30,0.16666666666666666,0.013961605584642234
Express intent to engage in diplomatic cooperation (such as policy support),Demonstrate for policy change,0,1116,0.0,0.0
Demonstrate for policy change,Express intent to engage in diplomatic cooperation (such as policy support),0,4,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Appeal for aid,6,1116,0.005376344086021506,0.006151142355008787
Appeal for aid,Express intent to engage in diplomatic cooperation (such as policy support),1,22,0.045454545454545456,0.006151142355008787
Express intent to engage in diplomatic cooperation (such as policy support),Appeal for rights,20,1116,0.017921146953405017,0.020444444444444446
Appeal for rights,Express intent to engage in diplomatic cooperation (such as policy support),3,9,0.3333333333333333,0.020444444444444446
Express intent to engage in diplomatic cooperation (such as policy support),Appeal to engage in or accept mediation,10,1116,0.008960573476702509,0.014795474325500435
Appeal to engage in or accept mediation,Express intent to engage in diplomatic cooperation (such as policy support),7,33,0.21212121212121213,0.014795474325500435
Express intent to engage in diplomatic cooperation (such as policy support),Engage in judicial cooperation,2,1116,0.0017921146953405018,0.0026642984014209592
Engage in judicial cooperation,Express intent to engage in diplomatic cooperation (such as policy support),1,10,0.1,0.0026642984014209592
Express intent to engage in diplomatic cooperation (such as policy support),Engage in violent protest for rights,0,1116,0.0,0.0
Engage in violent protest for rights,Express intent to engage in diplomatic cooperation (such as policy support),0,1,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Express intent to mediate,6,1116,0.005376344086021506,0.007964601769911504
Express intent to mediate,Express intent to engage in diplomatic cooperation (such as policy support),3,14,0.21428571428571427,0.007964601769911504
Express intent to engage in diplomatic cooperation (such as policy support),Expel or withdraw peacekeepers,0,1116,0.0,0.0
Expel or withdraw peacekeepers,Express intent to engage in diplomatic cooperation (such as policy support),0,4,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Appeal for military protection or peacekeeping,0,1116,0.0,0.0
Appeal for military protection or peacekeeping,Express intent to engage in diplomatic cooperation (such as policy support),0,1,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Accuse of war crimes,0,1116,0.0,0.0
Accuse of war crimes,Express intent to engage in diplomatic cooperation (such as policy support),0,7,0.0,0.0
Express intent to engage in diplomatic cooperation (such as policy support),Reject military cooperation,6,1116,0.005376344086021506,0.006255585344057194
Reject military cooperation,Express intent to engage in diplomatic cooperation (such as policy support),1,3,0.3333333333333333,0.006255585344057194
Express intent to engage in diplomatic cooperation (such as policy support),Threaten to halt negotiations,6,1116,0.005376344086021506,0.006266786034019696
Threaten to halt negotiations,Express intent to engage in diplomatic cooperation (such as policy support),1,1,1.0,0.006266786034019696
Express intent to engage in diplomatic cooperation (such as policy support),Ban political parties or politicians,0,1116,0.0,0.0
