,head,relation,tail,time
463,Middle East,Make optimistic comment,Cabinet / Council of Ministers / Advisors (United States),2007-02-18
464,Cabinet / Council of Ministers / Advisors (United States),Make a visit,Middle East,2007-02-18
465,UN Security Council,Demand,Iran,2007-02-22
466,Iran,Reject,UN Security Council,2007-02-22
467,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2007-02-27
468,Citizen (Australia),Share intelligence or information,Police (Australia),2007-02-27
469,Citizen (Australia),Accuse,Police (Australia),2007-03-01
470,Police (Australia),Investigate,Citizen (Australia),2007-03-01
471,Citizen (Uganda),Demonstrate or rally,Police (Uganda),2007-03-06
472,Police (Uganda),fight with small arms and light weapons,Citizen (Uganda),2007-03-06
473,Foreign Affairs (Belgium),Make a visit,Middle East,2007-03-09
474,Middle East,Host a visit,Foreign Affairs (Belgium),2007-03-09
475,Citizen (Australia),Demonstrate or rally,Police (Australia),2007-03-10
476,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2007-03-10
477,Saud bin Faisal bin Abdul-Aziz,Engage in symbolic act,Javier Solana,2007-03-13
478,Javier Solana,Express intent to meet or negotiate,Saud bin Faisal bin Abdul-Aziz,2007-03-13
479,Angela Merkel,Discuss by telephone,Wen Jiabao,2007-03-20
480,Japan,Consult,China,2007-03-20
481,China,Express intent to meet or negotiate,Japan,2007-03-20
482,Wen Jiabao,Consult,Angela Merkel,2007-03-20
483,Citizen (Australia),Criticize or denounce,Police (Australia),2007-03-29
484,Police (Australia),Provide humanitarian aid,Citizen (Australia),2007-03-29
485,Roh Moo Hyun,Make a visit,Kuwait,2007-04-03
486,Kuwait,Host a visit,Roh Moo Hyun,2007-04-03
487,China,Engage in diplomatic cooperation,Japan,2007-04-05
488,Japan,Consult,China,2007-04-05
489,Japan,Express intent to meet or negotiate,China,2007-04-05
490,Men (South Africa),Physically assault,Police (South Africa),2007-04-09
491,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2007-04-09
492,Japan,Express intent to cooperate,China,2007-04-11
493,China,Demand,Japan,2007-04-11
494,Japan,Engage in diplomatic cooperation,China,2007-04-11
495,China,Make a visit,Japan,2007-04-11
496,China,Make a visit,South Korea,2007-04-11
497,South Korea,Engage in diplomatic cooperation,China,2007-04-11
498,China,Reject,Japan,2007-04-12
499,Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2007-04-12
500,China,"Ease economic sanctions, boycott, embargo",Japan,2007-04-12
501,Japan,Sign formal agreement,China,2007-04-13
502,China,Accuse,Japan,2007-04-13
503,Umaru Musa Yar'Adua,Criticize or denounce,Citizen (Nigeria),2007-04-23
504,Citizen (Nigeria),Demand,Umaru Musa Yar'Adua,2007-04-23
505,Foreign Affairs (Syria),Engage in symbolic act,Pervez Musharraf,2007-05-17
506,Pervez Musharraf,Consult,Foreign Affairs (Syria),2007-05-17
507,United Self-Defense Forces of Colombia,Accuse,Head of Government (Colombia),2007-05-17
508,Head of Government (Colombia),Make an appeal or request,United Self-Defense Forces of Colombia,2007-05-17
509,China,Host a visit,Hui Liangyu,2007-05-19
510,Hui Liangyu,Make a visit,China,2007-05-19
511,Tony Blair,Make a visit,Nuri al-Maliki,2007-05-19
512,Nuri al-Maliki,Host a visit,Tony Blair,2007-05-19
513,Javier Solana,Consult,Tzipi Livni,2007-05-21
514,Tzipi Livni,Engage in negotiation,Javier Solana,2007-05-21
515,Somsavat Lengsava,Make a visit,China,2007-05-24
516,China,Host a visit,Somsavat Lengsava,2007-05-24
517,South Africa,Make statement,Vietnam,2007-05-28
518,Vietnam,Sign formal agreement,South Africa,2007-05-28
519,China,Consult,Japan,2007-05-29
520,Sudan,Express intent to engage in diplomatic cooperation (such as policy support),China,2007-05-29
521,China,Provide military protection or peacekeeping,Sudan,2007-05-29
522,China,Make an appeal or request,Japan,2007-05-29
523,Japan,Appeal for intelligence,China,2007-05-29
524,Trinidad and Tobago,Host a visit,Abdul Kadir,2007-06-05
525,Abdul Kadir,Make a visit,Trinidad and Tobago,2007-06-05
526,Citizen (Thailand),Accuse,Insurgent (Thailand),2007-06-07
527,Insurgent (Thailand),fight with small arms and light weapons,Citizen (Thailand),2007-06-07
528,China,Host a visit,Jusuf Kalla,2007-06-08
529,Jusuf Kalla,Make statement,China,2007-06-08
530,Citizen (Australia),Use unconventional violence,Police (Australia),2007-06-09
531,Police (Australia),Use conventional military force,Citizen (Australia),2007-06-09
532,South Africa,Host a visit,Movement for Democratic Change,2007-06-20
533,Movement for Democratic Change,Make a visit,South Africa,2007-06-20
534,Kazakhstan,Consult,Iran,2007-06-21
535,Iran,Express intent to meet or negotiate,Kazakhstan,2007-06-21
536,Mahmoud Abbas,Make a visit,United Arab Emirates,2007-06-26
537,United Arab Emirates,Host a visit,Mahmoud Abbas,2007-06-26
538,Daniel Scioli,Make a visit,France,2007-07-02
539,France,Host a visit,Daniel Scioli,2007-07-02
540,Joon Young Woo,Make a visit,China,2007-07-05
541,China,Host a visit,Joon Young Woo,2007-07-05
542,Iraq,Make an appeal or request,Iran,2007-07-08
543,Iran,Host a visit,Iraq,2007-07-08
544,Laos,Engage in diplomatic cooperation,Vietnam,2007-07-11
545,Vietnam,Express intent to cooperate,Laos,2007-07-11
546,Gurbanguly Berdymukhammedov,Make a visit,China,2007-07-19
547,China,Host a visit,Gurbanguly Berdymukhammedov,2007-07-19
548,Japan,Express intent to meet or negotiate,China,2007-08-06
549,China,Consult,Japan,2007-08-06
550,Japan,Express intent to cooperate,China,2007-08-06
551,Angela Merkel,Make a visit,Japan,2007-08-07
552,Japan,Host a visit,Angela Merkel,2007-08-07
553,Benazir Bhutto,Demand,Pervez Musharraf,2007-08-16
554,Benazir Bhutto,Make an appeal or request,Pervez Musharraf,2007-08-16
555,Pervez Musharraf,Consult,Benazir Bhutto,2007-08-16
556,Laos,Consult,Thailand,2007-08-22
557,Thailand,Express intent to cooperate,Laos,2007-08-22
558,Pervez Musharraf,Engage in negotiation,Benazir Bhutto,2007-08-31
559,Benazir Bhutto,Demand,Pervez Musharraf,2007-08-31
560,Tony Blair,Make a visit,Middle East,2007-09-04
561,Middle East,Host a visit,Tony Blair,2007-09-04
562,Police (Tanzania),Use conventional military force,Criminal (Tanzania),2007-09-06
563,Criminal (Tanzania),fight with small arms and light weapons,Police (Tanzania),2007-09-06
564,Ethiopia,Make a visit,The Hague,2007-09-10
565,The Hague,Consult,Ethiopia,2007-09-10
566,China,Engage in diplomatic cooperation,South Korea,2007-09-14
567,South Korea,Express intent to cooperate,China,2007-09-14
568,Mahmoud Ahmadinejad,Make statement,Iran,2007-09-15
569,Iran,Host a visit,Mahmoud Ahmadinejad,2007-09-15
570,Agriculture / Fishing / Forestry Ministry (Vietnam),Make a visit,China,2007-09-17
571,China,Host a visit,Agriculture / Fishing / Forestry Ministry (Vietnam),2007-09-17
572,Vietnam,Consult,Cambodia,2007-09-21
573,Cambodia,Host a visit,Vietnam,2007-09-21
574,Romania,Host a visit,Patricio Walker,2007-09-25
575,Patricio Walker,Make a visit,Romania,2007-09-25
576,Protester (Myanmar),Demonstrate or rally,Military (Myanmar),2007-09-29
577,Military (Myanmar),fight with small arms and light weapons,Protester (Myanmar),2007-09-29
578,Citizen (Australia),Express accord,Lawyer/Attorney (Australia),2007-10-04
579,Lawyer/Attorney (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2007-10-04
580,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2007-10-18
581,Citizen (Australia),Accuse,Police (Australia),2007-10-18
582,Portugal,Host a visit,New Democracy,2007-10-20
583,New Democracy,Make a visit,Portugal,2007-10-20
584,China,Consult,Japan,2007-10-28
585,Japan,Make statement,China,2007-10-28
586,Japan,Host a visit,Ma Ying Jeou,2007-10-29
587,Ma Ying Jeou,Express intent to meet or negotiate,Japan,2007-10-29
588,China,Engage in negotiation,Tzipi Livni,2007-10-30
589,Tzipi Livni,Make statement,China,2007-10-30
590,China,Engage in symbolic act,Defense / Security Ministry (United States),2007-11-05
591,Umaru Musa Yar'Adua,Criticize or denounce,Citizen (Nigeria),2007-11-05
592,Citizen (Nigeria),Make an appeal or request,Umaru Musa Yar'Adua,2007-11-05
593,Defense / Security Ministry (United States),Host a visit,China,2007-11-05
594,China,Host a visit,European Central Bank,2007-11-13
595,European Central Bank,Make a visit,China,2007-11-13
596,Portugal,Host a visit,Aguinaldo Jaime,2007-11-13
597,Aguinaldo Jaime,Make a visit,Portugal,2007-11-13
598,Ethiopia,Use conventional military force,Armed Rebel (Somalia),2007-11-13
599,Armed Rebel (Somalia),Use unconventional violence,Ethiopia,2007-11-13
600,Pervez Musharraf,Engage in negotiation,Benazir Bhutto,2007-11-14
601,Benazir Bhutto,Make statement,Pervez Musharraf,2007-11-14
602,Citizen (Australia),Use unconventional violence,Police (Australia),2007-11-19
603,Police (Australia),Engage in material cooperation,Citizen (Australia),2007-11-19
604,Yasuo Fukuda,Express intent to engage in diplomatic cooperation (such as policy support),Roh Moo Hyun,2007-11-21
605,Roh Moo Hyun,Meet at a 'third' location,Yasuo Fukuda,2007-11-21
606,Protester (India),"Protest violently, riot",Police (Malaysia),2007-11-25
607,Police (Malaysia),Use tactics of violent repression,Protester (India),2007-11-25
608,South Korea,Host a visit,China,2007-11-26
609,China,Express intent to cooperate economically,South Korea,2007-11-26
610,Middle East,Host a visit,Saud bin Faisal bin Abdul-Aziz,2007-11-27
611,Saud bin Faisal bin Abdul-Aziz,Make a visit,Middle East,2007-11-27
612,Samsung,Deny responsibility,Lawyer/Attorney (South Korea),2007-11-28
613,Lawyer/Attorney (South Korea),Investigate,Samsung,2007-11-28
614,Pervez Musharraf,Criticize or denounce,Opposition Supporter (Pakistan),2007-11-29
615,Opposition Supporter (Pakistan),Praise or endorse,Pervez Musharraf,2007-11-29
616,China,Express intent to cooperate,Japan,2007-12-03
617,Japan,Consult,China,2007-12-03
618,China,Make statement,Japan,2007-12-03
619,China,Engage in diplomatic cooperation,Japan,2007-12-06
620,Japan,Express intent to cooperate,China,2007-12-06
621,Japan,Praise or endorse,China,2007-12-09
622,Japan,Criticize or denounce,China,2007-12-09
623,China,Host a visit,Japan,2007-12-09
624,Bolivia,Host a visit,Evo Morales,2007-12-22
625,Evo Morales,Make a visit,Bolivia,2007-12-22
626,African Union,Make a visit,Sudan,2007-12-24
627,Sudan,Engage in diplomatic cooperation,African Union,2007-12-24
628,Thailand,Host a visit,Anupong Paochinda,2007-12-25
629,Anupong Paochinda,Make a visit,Thailand,2007-12-25
630,Yasuo Fukuda,Express intent to engage in diplomatic cooperation (such as policy support),Wen Jiabao,2007-12-28
631,Wen Jiabao,Make statement,Yasuo Fukuda,2007-12-28
632,Yasuo Fukuda,Engage in negotiation,Wen Jiabao,2007-12-28
633,Wen Jiabao,Engage in negotiation,Yasuo Fukuda,2007-12-28
634,Yasuo Fukuda,Make a visit,South Korea,2008-01-07
635,South Korea,Host a visit,Yasuo Fukuda,2008-01-07
636,Malawi,Engage in diplomatic cooperation,China,2008-01-16
637,China,Engage in negotiation,Malawi,2008-01-16
638,Sudan,Host a visit,African Union,2008-01-17
639,African Union,Make a visit,Sudan,2008-01-17
640,Georgios Papandreou,Make an appeal or request,Head of Government (Greece),2008-01-18
641,Head of Government (Greece),Make statement,Georgios Papandreou,2008-01-18
642,Rupiah Banda,Make a visit,Angola,2008-01-28
643,Angola,Host a visit,Rupiah Banda,2008-01-28
644,China,Consult,South Korea,2008-01-31
645,South Korea,Sign formal agreement,China,2008-01-31
646,Women (Australia),Threaten,Police (Australia),2008-01-31
647,Police (Australia),Investigate,Women (Australia),2008-01-31
648,Armed Opposition (Mauritania),Use unconventional violence,Foreign Affairs (Israel),2008-02-01
649,Foreign Affairs (Israel),Make statement,Armed Opposition (Mauritania),2008-02-01
650,Citizen (Thailand),Reject,Party Member (Thailand),2008-02-08
651,Party Member (Thailand),Criticize or denounce,Citizen (Thailand),2008-02-08
652,Police (Australia),Accuse,Citizen (Australia),2008-02-16
653,Citizen (Australia),Use unconventional violence,Police (Australia),2008-02-16
654,Abdullah Gül,Express intent to meet or negotiate,Abdoulaye Wade,2008-02-19
655,Abdoulaye Wade,Make a visit,Abdullah Gül,2008-02-19
656,Police (Australia),fight with small arms and light weapons,Citizen (Australia),2008-02-20
657,Citizen (Australia),Use unconventional violence,Police (Australia),2008-02-20
658,China,Make a visit,Sudan,2008-02-25
659,Lee Myung Bak,Praise or endorse,Yasuo Fukuda,2008-02-25
660,Yasuo Fukuda,Express intent to cooperate economically,Lee Myung Bak,2008-02-25
661,Sudan,Host a visit,China,2008-02-25
662,Yasuo Fukuda,Engage in symbolic act,Lee Myung Bak,2008-02-25
663,Japan,Consult,China,2008-02-26
664,China,Engage in diplomatic cooperation,Japan,2008-02-26
665,Iran,Cooperate economically,Iraq,2008-03-03
666,Iraq,Engage in negotiation,Mahmoud Ahmadinejad,2008-03-03
667,Mahmoud Ahmadinejad,Make a visit,Iraq,2008-03-03
668,Iraq,Engage in diplomatic cooperation,Iran,2008-03-03
669,Iraq,Host a visit,Mahmoud Ahmadinejad,2008-03-03
670,China,Make optimistic comment,Japan,2008-03-04
671,Rafael Correa,Make statement,Colombia,2008-03-04
672,Rafael Correa,Make a visit,Colombia,2008-03-04
673,Colombia,Make statement,Rafael Correa,2008-03-04
674,Japan,Engage in diplomatic cooperation,China,2008-03-04
675,Colombia,Host a visit,Rafael Correa,2008-03-04
676,Iran,Express intent to engage in diplomatic cooperation (such as policy support),Iraq,2008-03-05
677,Iraq,Host a visit,Iran,2008-03-05
678,Colombia,Host a visit,Rafael Correa,2008-03-07
679,Rafael Correa,Criticize or denounce,Colombia,2008-03-07
680,Rafael Correa,Make a visit,Colombia,2008-03-07
681,Richard Boucher,Make a visit,Iraq,2008-04-02
682,Iraq,Host a visit,Richard Boucher,2008-04-02
683,Angola,Grant diplomatic recognition,Vietnam,2008-04-07
684,Vietnam,Make a visit,Angola,2008-04-07
685,Yasuo Fukuda,Express accord,Head of Government (South Korea),2008-04-21
686,Head of Government (South Korea),Consult,Yasuo Fukuda,2008-04-21
687,Japan,Host a visit,Head of Government (South Korea),2008-04-23
688,Head of Government (South Korea),Make a visit,Japan,2008-04-23
689,United Arab Emirates,Host a visit,Ruling Coalition (Pakistan),2008-04-30
690,Ruling Coalition (Pakistan),Make a visit,United Arab Emirates,2008-04-30
691,China,Engage in diplomatic cooperation,Japan,2008-05-06
692,Japan,Express intent to meet or negotiate,China,2008-05-06
693,Japan,Host a visit,China,2008-05-06
694,Yemen,Host a visit,Pervez Musharraf,2008-05-07
695,Pervez Musharraf,Make statement,Yemen,2008-05-07
696,Iran,Host a visit,UN Security Council,2008-05-08
697,UN Security Council,"Impose embargo, boycott, or sanctions",Iran,2008-05-08
698,China,Host a visit,South Korea,2008-05-13
699,Citizen (Sudan),Express intent to meet or negotiate,Sudan,2008-05-13
700,Sudan,Make an appeal or request,Citizen (Sudan),2008-05-13
701,South Korea,Express intent to provide humanitarian aid,China,2008-05-13
702,China,Host a visit,Dmitry Anatolyevich Medvedev,2008-05-21
703,Dmitry Anatolyevich Medvedev,Make statement,China,2008-05-21
704,African Union,Make a visit,Ethiopia,2008-05-22
705,Ethiopia,Host a visit,African Union,2008-05-22
706,South Korea,Host a visit,Lee Myung Bak,2008-05-26
707,Lee Myung Bak,Make a visit,South Korea,2008-05-26
708,Lee Myung Bak,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2008-06-02
709,Japan,Engage in negotiation,Lee Myung Bak,2008-06-02
710,João Baptista Kussumua,Make a visit,Angola,2008-06-11
711,Angola,Host a visit,João Baptista Kussumua,2008-06-11
712,Javier Solana,Express intent to meet or negotiate,Iran,2008-06-14
713,Iran,Host a visit,Javier Solana,2008-06-14
714,China,Express intent to cooperate,Japan,2008-06-16
715,Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2008-06-16
716,South Korea,Express intent to cooperate,Japan,2008-06-16
717,Iran,Host a visit,Ahmed Abdallah Sambi,2008-06-16
718,Japan,Make optimistic comment,South Korea,2008-06-16
719,Japan,Express intent to settle dispute,China,2008-06-16
720,Ahmed Abdallah Sambi,Make a visit,Iran,2008-06-16
721,Xi Jinping,Make a visit,Qatar,2008-06-18
722,Qatar,Host a visit,Xi Jinping,2008-06-18
723,China,Make a visit,Maldives,2008-06-26
724,Maldives,Host a visit,China,2008-06-26
725,Iraq,Host a visit,Barack Obama,2008-06-29
726,Barack Obama,Express intent to meet or negotiate,Iraq,2008-06-29
727,Ingrid Betancourt Pulecio,Make a visit,Ricardo Alarcón de Quesada,2008-07-02
728,Ricardo Alarcón de Quesada,Host a visit,Ingrid Betancourt Pulecio,2008-07-02
729,Japan,Host a visit,Yasuo Fukuda,2008-07-04
730,Yasuo Fukuda,Make a visit,Japan,2008-07-04
731,France,Host a visit,Ingrid Betancourt Pulecio,2008-07-06
732,Ingrid Betancourt Pulecio,Make statement,France,2008-07-06
733,China,Demand,South Korea,2008-07-12
734,South Korea,Make statement,China,2008-07-12
735,Ruhakana Rugunda,Appeal for diplomatic cooperation (such as policy support),Citizen (Uganda),2008-07-16
736,Citizen (Uganda),Make an appeal or request,Ruhakana Rugunda,2008-07-16
737,Ma Ying Jeou,Express intent to meet or negotiate,China,2008-07-17
738,China,Engage in negotiation,Ma Ying Jeou,2008-07-17
739,Straits Exchange Foundation,Make a visit,China,2008-07-18
740,China,Host a visit,Straits Exchange Foundation,2008-07-18
741,Japan,Make an appeal or request,China,2008-07-22
742,China,Consult,Japan,2008-07-22
743,Japan,Express intent to cooperate,China,2008-07-22
744,China,Express intent to cooperate,Japan,2008-07-22
745,Thailand,Consult,Cambodia,2008-07-23
746,Cambodia,Rally opposition against,Thailand,2008-07-23
747,Cambodia,Reduce relations,Thailand,2008-07-23
748,Police (Australia),Accuse,Citizen (Australia),2008-08-05
749,Citizen (Australia),Use unconventional violence,Police (Australia),2008-08-05
750,Police (Australia),Make an appeal or request,Citizen (Australia),2008-08-05
751,Thailand,Express intent to meet or negotiate,Cambodia,2008-08-06
752,Cambodia,Express intent to cooperate,Thailand,2008-08-06
753,Police (Australia),Accuse,Women (Australia),2008-08-07
754,Women (Australia),Use unconventional violence,Police (Australia),2008-08-07
755,Thailand,Express intent to meet or negotiate,Cambodia,2008-08-12
756,Cambodia,Reject,Thailand,2008-08-12
757,Ma Ying Jeou,Make a visit,Dominican Republic,2008-08-13
758,Dominican Republic,Host a visit,Ma Ying Jeou,2008-08-13
759,Abdullah Gül,Engage in symbolic act,Mahmoud Ahmadinejad,2008-08-14
760,Mahmoud Ahmadinejad,Express intent to meet or negotiate,Abdullah Gül,2008-08-14
761,Angela Merkel,Consult,Dmitry Anatolyevich Medvedev,2008-08-14
762,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Angela Merkel,2008-08-14
763,Citizen (Sudan),Make an appeal or request,Sudan,2008-08-24
764,Sudan,Express intent to meet or negotiate,Citizen (Sudan),2008-08-24
765,Islam Karimov,Make a visit,South Korea,2008-08-27
766,South Korea,Host a visit,Islam Karimov,2008-08-27
767,Jakaya Mrisho Kikwete,Make a visit,Sudan,2008-09-08
768,Sudan,Host a visit,Jakaya Mrisho Kikwete,2008-09-08
769,Sudan,Consult,Jakaya Mrisho Kikwete,2008-09-08
770,Jack Straw,Host a visit,Media Personnel (Pakistan),2008-09-17
771,Media Personnel (Pakistan),Make a visit,Jack Straw,2008-09-17
772,Oman,Host a visit,Ministry (Iran),2008-09-24
773,Ministry (Iran),Engage in negotiation,Oman,2008-09-24
774,Japan,Host a visit,Naval (United States),2008-09-27
775,Naval (United States),Make a visit,Japan,2008-09-27
776,China,Express intent to meet or negotiate,Japan,2008-10-05
777,Japan,Express intent to cooperate,China,2008-10-05
778,Sudan,Host a visit,High Commission for Refugees,2008-10-07
779,High Commission for Refugees,Make a visit,Sudan,2008-10-07
780,Abu Sayyaf,Use conventional military force,Police (Philippines),2008-10-12
781,Police (Philippines),Make statement,Abu Sayyaf,2008-10-12
782,Ian Paisley,Make a visit,Bertie Ahern,2008-10-13
783,Bertie Ahern,Host a visit,Ian Paisley,2008-10-13
784,Japan,Engage in diplomatic cooperation,South Korea,2008-10-21
785,South Korea,Express intent to meet or negotiate,Japan,2008-10-21
786,Japan,Engage in negotiation,South Korea,2008-10-21
787,South Korea,Express intent to meet or negotiate,China,2008-11-02
788,China,Consult,South Korea,2008-11-02
789,Barack Obama,Retreat or surrender militarily,Iraq,2008-11-05
790,Iraq,Praise or endorse,Barack Obama,2008-11-05
791,China,Consult,Ma Ying Jeou,2008-11-06
792,Ma Ying Jeou,Make statement,China,2008-11-06
793,Kuwait,Express intent to meet or negotiate,Mohamed Ould Abdel Aziz,2008-11-11
794,Lee Myung Bak,Express intent to engage in diplomatic cooperation (such as policy support),Barack Obama,2008-11-11
795,Mohamed Ould Abdel Aziz,Make a visit,Kuwait,2008-11-11
796,Barack Obama,Discuss by telephone,Lee Myung Bak,2008-11-11
797,Carlos Alberto Pires Tiny,Make a visit,Antonio Paulo Kassoma,2008-11-14
798,Antonio Paulo Kassoma,Host a visit,Carlos Alberto Pires Tiny,2008-11-14
799,China,Consult,Japan,2008-11-21
800,Japan,Express intent to meet or negotiate,China,2008-11-21
801,Thailand,Host a visit,Association of Southeast Asian Nations,2008-11-27
802,Association of Southeast Asian Nations,Make a visit,Thailand,2008-11-27
803,Citizen (Australia),Threaten,Police (Australia),2008-11-28
804,Police (Australia),Accuse,Citizen (Australia),2008-11-28
805,Citizen (Australia),Make optimistic comment,Police (Australia),2008-11-28
806,Ingrid Betancourt Pulecio,Make a visit,Cristina Fernández de Kirchner,2008-12-04
807,Cristina Fernández de Kirchner,Host a visit,Ingrid Betancourt Pulecio,2008-12-04
808,Oman,Host a visit,Youssef Al-Ibrahim,2008-12-06
809,Henry M. Paulson,Make a visit,China,2008-12-06
810,Youssef Al-Ibrahim,Make a visit,Oman,2008-12-06
811,China,Host a visit,Henry M. Paulson,2008-12-06
812,Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2008-12-11
813,China,Consult,Japan,2008-12-11
814,China,Express intent to cooperate,Japan,2008-12-12
815,Japan,Consult,China,2008-12-12
816,Japan,Sign formal agreement,China,2008-12-13
817,China,Consult,Japan,2008-12-13
818,South Africa,Make statement,Police (South Africa),2008-12-22
819,Police (South Africa),Impose administrative sanctions,South Africa,2008-12-22
820,Nuri al-Maliki,Make a visit,Ministry (Iran),2009-01-03
821,Ministry (Iran),Praise or endorse,Nuri al-Maliki,2009-01-03
822,Tony Blair,Make a visit,Mahmoud Abbas,2009-01-05
823,Mahmoud Abbas,Host a visit,Tony Blair,2009-01-05
824,Japan,Consult,China,2009-01-07
825,Thailand,Reject,Citizen (Thailand),2009-01-07
826,China,Express intent to cooperate,Japan,2009-01-07
827,Citizen (Thailand),Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2009-01-07
828,Citizen (Thailand),Demonstrate or rally,Thailand,2009-01-07
829,Association of Southeast Asian Nations,Make a visit,Thailand,2009-01-08
830,Thailand,Host a visit,Association of Southeast Asian Nations,2009-01-08
831,Police (Egypt),Physically assault,Protester (Egypt),2009-01-12
832,Protester (Egypt),Demonstrate or rally,Police (Egypt),2009-01-12
833,Colombia,Express intent to meet or negotiate,Mexico,2009-01-16
834,Mexico,Express intent to engage in diplomatic cooperation (such as policy support),Colombia,2009-01-16
835,Ethiopia,Host a visit,African Union,2009-01-28
836,African Union,Make a visit,Ethiopia,2009-01-28
837,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2009-01-30
838,South Korea,Consult,Japan,2009-01-30
839,Abdullah Gül,Engage in symbolic act,Dmitry Anatolyevich Medvedev,2009-02-13
840,Dmitry Anatolyevich Medvedev,Express intent to engage in diplomatic cooperation (such as policy support),Abdullah Gül,2009-02-13
841,Jakaya Mrisho Kikwete,Express intent to cooperate,M.R. Sharma,2009-02-20
842,M.R. Sharma,Consult,Jakaya Mrisho Kikwete,2009-02-20
843,Thailand,Host a visit,Laos,2009-02-21
844,Laos,Make a visit,Thailand,2009-02-21
845,South Korea,Express intent to meet or negotiate,Japan,2009-02-22
846,Japan,Meet at a 'third' location,South Korea,2009-02-22
847,Jack Lang,Make a visit,Raúl Castro,2009-02-26
848,Raúl Castro,Consult,Jack Lang,2009-02-26
849,Japan,Criticize or denounce,China,2009-02-28
850,China,Express intent to cooperate,Japan,2009-02-28
851,Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2009-02-28
852,Iran,Host a visit,Rehman Malik,2009-03-01
853,Rehman Malik,Make a visit,Iran,2009-03-01
854,Information / Communication / Transparency Ministry (Russia),Make a visit,South Korea,2009-03-02
855,South Korea,Host a visit,Information / Communication / Transparency Ministry (Russia),2009-03-02
856,Economic Cooperation Organization,Make a visit,Iran,2009-03-04
857,Iran,Host a visit,Economic Cooperation Organization,2009-03-04
858,Kazakhstan,Engage in diplomatic cooperation,Vietnam,2009-03-16
859,Vietnam,Consider policy option,Kazakhstan,2009-03-16
860,China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2009-03-20
861,Japan,Make an appeal or request,China,2009-03-20
862,China,Express intent to engage in diplomatic cooperation (such as policy support),Vietnam,2009-03-20
863,Vietnam,Express intent to cooperate,China,2009-03-20
864,Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2009-03-25
865,Iran,Consult,Barack Obama,2009-03-25
866,Barack Obama,Consult,Dmitry Anatolyevich Medvedev,2009-03-26
867,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Barack Obama,2009-03-26
868,Mahmoud Ahmadinejad,Make a visit,Iran,2009-04-01
869,Iran,Host a visit,Mahmoud Ahmadinejad,2009-04-01
870,Dmitry Anatolyevich Medvedev,Express intent to cooperate,Barack Obama,2009-04-02
871,Dmitry Anatolyevich Medvedev,Praise or endorse,Barack Obama,2009-04-02
872,Dmitry Anatolyevich Medvedev,Express intent to cooperate,Mahmoud Abbas,2009-04-02
873,Mahmoud Abbas,Express intent to meet or negotiate,Dmitry Anatolyevich Medvedev,2009-04-02
874,Dmitry Anatolyevich Medvedev,Consult,Barack Obama,2009-04-02
875,Dmitry Anatolyevich Medvedev,Express intent to engage in diplomatic cooperation (such as policy support),Barack Obama,2009-04-02
876,Barack Obama,Express intent to meet or negotiate,Dmitry Anatolyevich Medvedev,2009-04-02
877,Japan,Make an appeal or request,South Korea,2009-04-03
878,South Korea,Engage in diplomatic cooperation,Japan,2009-04-03
879,Sudan,Host a visit,Envoy (United States),2009-04-04
880,Envoy (United States),Make statement,Sudan,2009-04-04
881,Dmitry Anatolyevich Medvedev,Sign formal agreement,Head of Government (Chile),2009-04-04
882,Head of Government (Chile),Make statement,Dmitry Anatolyevich Medvedev,2009-04-04
883,Abdullah Gül,Express intent to meet or negotiate,Barack Obama,2009-04-06
884,Iraq,Host a visit,Mahmoud Abbas,2009-04-06
885,Mahmoud Abbas,Consult,Iraq,2009-04-06
886,Barack Obama,Engage in negotiation,Abdullah Gül,2009-04-06
887,Mahmoud Ahmadinejad,Make a visit,Kazakhstan,2009-04-07
888,Kazakhstan,Engage in negotiation,Mahmoud Ahmadinejad,2009-04-07
889,Barack Obama,Make statement,Iraq,2009-04-08
890,Iraq,Host a visit,Barack Obama,2009-04-08
891,China,Halt negotiations,Association of Southeast Asian Nations,2009-04-11
892,South Korea,Engage in diplomatic cooperation,Japan,2009-04-11
893,Association of Southeast Asian Nations,Express intent to cooperate economically,China,2009-04-11
894,Japan,Engage in negotiation,South Korea,2009-04-11
895,South Korea,Express intent to cooperate,China,2009-04-12
896,China,Consult,South Korea,2009-04-12
897,Iran,Host a visit,Ministry (Oman),2009-04-13
898,Ministry (Oman),Make a visit,Iran,2009-04-13
