,head,relation,tail,time
432,Head of Government (Egypt),Engage in symbolic act,Head of Government (Cyprus),2015-04-29
433,Seyoum Mesfin,Make an appeal or request,Ethiopia,2007-01-29
434,Foreign Affairs (South Korea),Make an appeal or request,Iran,2005-10-20
435,Mohamed Ould Abdel Aziz,Halt negotiations,China,2011-09-19
436,Wen Jiabao,Demand,China,2005-04-21
437,Japan,Make optimistic comment,UN Security Council,2006-10-04
438,Lee Myung Bak,Give ultimatum,Ministry (South Korea),2008-03-10
439,Xi Jinping,Make a visit,China,2014-07-07
440,Royal Administration (Nigeria),Praise or endorse,Citizen (Nigeria),2015-04-06
441,China,Engage in diplomatic cooperation,Japan,2005-06-28
442,Japan,Engage in negotiation,South Korea,2015-03-16
443,Dmitry Anatolyevich Medvedev,Consult,Yasuo Fukuda,2008-07-08
444,Dmitry Anatolyevich Medvedev,Sign formal agreement,Barack Obama,2010-06-25
445,Kuomintang,Make statement,Tu Cheng-sheng,2007-08-24
446,Sudan,Accuse,South Sudan,2012-06-09
447,South Korea,Engage in negotiation,Japan,2005-11-11
448,Head of Government (Mongolia),Consult,Wen Jiabao,2010-04-28
449,China,Sign formal agreement,South Korea,2008-01-31
450,Mahmoud Ahmadinejad,Express intent to meet or negotiate,Iran,2005-07-31
451,China,Express intent to meet or negotiate,Japan,2005-06-28
452,Vietnam,Praise or endorse,China,2010-08-25
453,Police (Australia),Make an appeal or request,Citizen (Australia),2006-06-24
454,Malaysia,Express intent to de-escalate military engagement,Timor-Leste,2006-08-08
455,China,Express intent to cooperate,France,2009-04-02
456,Gurbanguly Berdymukhammedov,Engage in negotiation,Dmitry Anatolyevich Medvedev,2008-07-05
457,Iran,Provide military aid,Iraq,2008-05-06
458,Somsavat Lengsava,Make optimistic comment,Laos,2006-03-21
459,China,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2011-11-01
460,Tsai Ing-wen,Consult,Japan,2015-10-09
461,Congress (United States),Accuse,Foreign Affairs (Israel),2010-02-17
462,Evo Morales,Reject,Bolivia,2007-03-08
463,South Korea,Express intent to meet or negotiate,Japan,2014-09-04
464,Barack Obama,Consult,Benjamin Netanyahu,2015-07-14
465,South Korea,"Declare truce, ceasefire",China,2007-01-14
466,Cambodia,Express intent to cooperate,Thailand,2005-07-05
467,Men (South Africa),Make an appeal or request,Police (South Africa),2012-02-14
468,China,Host a visit,South Korea,2005-09-13
469,Police (Bulgaria),Use conventional military force,Citizen (Bulgaria),2008-07-31
470,South Korea,Express intent to engage in diplomatic cooperation (such as policy support),China,2011-05-22
471,China,"Reject proposal to meet, discuss, or negotiate",Japan,2006-09-27
472,Foreign Affairs (Israel),Make statement,Benjamin Netanyahu,2012-12-11
473,Raúl Castro,Engage in negotiation,Barack Obama,2015-04-15
474,Navy Personnel (Rwanda),Make statement,Police (Rwanda),2014-05-05
475,Mahmoud Abbas,Make a visit,Tony Blair,2006-12-19
476,Ministry of Public Security (China),Impose administrative sanctions,China,2009-01-08
477,Barack Obama,Make a visit,South Africa,2013-07-02
478,China,Express intent to cooperate,Japan,2007-10-30
479,Lawyer/Attorney (Sweden),"Investigate crime, corruption",Julian Paul Assange,2011-02-09
480,Mahmoud Ahmadinejad,Make statement,Iran,2008-01-30
481,South Korea,Consult,Japan,2015-11-10
482,Police (South Africa),fight with small arms and light weapons,Men (South Africa),2011-06-03
483,Foreign Affairs (Israel),Criticize or denounce,Benjamin Netanyahu,2012-12-11
484,Japan,Make optimistic comment,China,2006-10-10
485,Police (Australia),Accuse,Citizen (Australia),2009-05-14
486,Wen Jiabao,Make statement,China,2008-02-04
487,Dimeji Bankole,Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2009-03-05
488,Yoshihiko Noda,Make a visit,China,2011-12-26
489,Antonio Paulo Kassoma,Host a visit,Dmitry Anatolyevich Medvedev,2009-06-26
490,Revolutionary Socialist Party,Express intent to meet or negotiate,A.K. Antony,2008-05-05
491,Japan,Complain officially,China,2005-09-21
492,Iraq,Engage in negotiation,Mahmoud Ahmadinejad,2008-03-03
493,Thailand,Sign formal agreement,Malaysia,2005-10-26
494,South Korea,Engage in diplomatic cooperation,Japan,2014-09-04
495,Iran,Provide aid,Citizen (United Kingdom),2007-04-04
496,South Korea,Meet at a 'third' location,Japan,2005-04-14
497,South Korea,Accuse,Japan,2005-08-26
498,Thailand,"Declare truce, ceasefire",Citizen (Thailand),2006-11-10
499,Opposition Supporter (Pakistan),Make a visit,Abdullah Gül,2007-12-03
500,Police (Uganda),Physically assault,Citizen (Uganda),2008-09-02
501,Japan,Consult,China,2009-06-07
502,Julia Gillard,Make an appeal or request,Citizen (Australia),2011-01-12
503,Thailand,Make statement,Japan,2006-06-01
504,Barack Obama,Threaten,Benjamin Netanyahu,2014-03-03
505,Japan,Make statement,South Korea,2010-07-22
506,France,Express intent to meet or negotiate,China,2006-01-30
507,Police (Australia),Investigate,Citizen (Australia),2009-07-23
508,State Security Service,"Arrest, detain, or charge with legal action",Citizen (Nigeria),2007-09-28
509,Benjamin Netanyahu,Consult,Barack Obama,2010-03-23
510,Barack Obama,Criticize or denounce,Xi Jinping,2015-09-25
511,Envoy (United States),Criticize or denounce,South Korea,2006-10-18
512,Barack Obama,Host a visit,Xi Jinping,2015-09-16
513,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2010-05-11
514,Cabinet / Council of Ministers / Advisors (United States),Consult,Mahmoud Abbas,2013-03-04
515,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Barack Obama,2010-06-25
516,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2006-03-06
517,Police (Australia),Accuse,Citizen (Australia),2008-08-05
518,Barack Obama,Make optimistic comment,Benjamin Netanyahu,2009-05-29
519,Government (Burundi),Express intent to cooperate,Rebel Group (Burundi),2005-05-12
520,Benjamin Netanyahu,Express intent to meet or negotiate,Dmitry Anatolyevich Medvedev,2010-02-14
521,China,Engage in negotiation,Japan,2008-05-16
522,South Korea,Consult,China,2005-07-26
523,Japan,Express intent to cooperate,China,2007-04-11
524,Dmitry Anatolyevich Medvedev,Engage in negotiation,Barack Obama,2010-06-25
525,City Mayor (Australia),Make an appeal or request,Citizen (Australia),2013-06-04
526,Sudan,Accuse of aggression,South Sudan,2012-04-13
527,Cambodia,Express intent to settle dispute,Vietnam,2005-08-24
528,Sudan,Sign formal agreement,South Sudan,2012-07-26
529,China,Engage in diplomatic cooperation,Japan,2006-12-07
530,Police (South Africa),Use conventional military force,Men (South Africa),2015-03-10
531,Japan,Meet at a 'third' location,South Korea,2005-05-25
532,George Yeo,Make a visit,South Korea,2007-06-04
533,South Korea,Reduce or break diplomatic relations,Japan,2005-03-15
534,China,Make an appeal or request,France,2009-04-02
535,Media Personnel (Pakistan),Consult,Cabinet / Council of Ministers / Advisors (United States),2009-08-20
536,Donald Rumsfeld,Halt negotiations,Japan,2005-10-06
537,Sudan,Sign formal agreement,South Sudan,2012-10-08
538,Barack Obama,Praise or endorse,Benjamin Netanyahu,2009-05-18
539,Vietnam,Engage in diplomatic cooperation,China,2006-03-23
540,South Korea,Threaten to reduce or break relations,Japan,2005-11-11
541,Cambodia,Accuse,Thailand,2009-11-06
542,Japan,Demand,South Korea,2006-07-05
543,Media (Africa),Make statement,Police (Kenya),2008-06-23
544,Government (Nigeria),Express intent to provide material aid,Citizen (Nigeria),2012-11-05
545,China,Express intent to cooperate,Japan,2007-12-03
546,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2009-07-03
547,China,Criticize or denounce,Japan,2014-05-08
548,Police (Australia),Make an appeal or request,Citizen (Australia),2011-02-04
549,China,Consult,Japan,2005-12-06
550,Government (Nigeria),Express intent to cooperate,Citizen (Nigeria),2011-08-02
551,Thailand,Express intent to cooperate,Japan,2005-06-30
552,China,Make an appeal or request,Japan,2013-01-31
553,Government (Nigeria),Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2014-05-02
554,Philip Hammond,Engage in negotiation,Iran,2015-08-23
555,Police (Australia),Use conventional military force,Citizen (Australia),2005-03-11
556,Dmitry Anatolyevich Medvedev,Make statement,Barack Obama,2014-11-13
557,Police (Australia),Impose administrative sanctions,Citizen (Australia),2008-05-20
558,Yasuo Fukuda,Make statement,Lee Myung Bak,2008-04-21
559,South Korea,Express intent to meet or negotiate,China,2006-12-06
560,Benjamin Netanyahu,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2010-11-11
561,China,Consult,Japan,2006-05-23
562,Wen Jiabao,Express intent to meet or negotiate,Lee Myung Bak,2008-12-13
563,Police (Australia),Make an appeal or request,Citizen (Australia),2005-03-09
564,Somsavat Lengsava,Make a visit,Vietnam,2006-05-04
565,Police (Australia),Investigate,Citizen (Australia),2007-10-31
566,Mahmoud Ahmadinejad,Make a visit,Iran,2007-05-24
567,Alexis Tsipras,Accuse,Citizen (Greece),2015-06-29
568,Lawyer/Attorney (Australia),Ease administrative sanctions,Medical Personnel (India),2007-07-28
569,Barack Obama,Halt negotiations,Malaysia,2013-10-04
570,Japan,Express intent to cooperate,China,2008-07-22
571,Japan,Express intent to cooperate,China,2007-12-01
572,Sudan,Use conventional military force,South Sudan,2012-04-19
573,China,Grant diplomatic recognition,Japan,2012-09-24
574,Barack Obama,Praise or endorse,Benjamin Netanyahu,2015-05-08
575,Police (Uganda),"Arrest, detain, or charge with legal action",Citizen (Uganda),2007-04-30
576,Barack Obama,Consult,Benjamin Netanyahu,2010-07-06
577,Ireland,Engage in diplomatic cooperation,China,2010-09-27
578,Lawyer/Attorney (Australia),"Return, release person(s)",Citizen (Australia),2015-08-21
579,Citizen (Australia),Use unconventional violence,Police (Australia),2010-02-16
580,Valdas Adamkus,Consult,Foreign Affairs (India),2009-05-18
581,Laos,Make a visit,Vietnam,2007-09-04
582,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2012-11-09
583,Japan,Consult,South Korea,2008-10-03
584,Military Personnel - Special (India),Use conventional military force,Protester (India),2010-06-26
585,Yasuo Fukuda,Express intent to engage in diplomatic cooperation (such as policy support),Abdullah Gül,2008-06-06
586,Portugal,Make statement,Angola,2013-02-13
587,Military (Madagascar),Mobilize or increase armed forces,Madagascar,2009-03-17
588,Police (Australia),Make an appeal or request,Citizen (Australia),2012-06-20
589,Jack Straw,Consult,Abdullah Gül,2005-10-03
590,China,Consult,South Korea,2005-11-17
591,Iran,Make an appeal or request,Qatar,2012-08-05
592,Javier Solana,Engage in negotiation,Iran,2008-07-04
593,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2009-11-23
594,Iran,Consult,Barack Obama,2013-09-17
595,Police (Australia),Accuse,Citizen (Australia),2008-04-29
596,Citizen (Nigeria),Express intent to engage in diplomatic cooperation (such as policy support),Muhammadu Buhari,2015-08-12
597,Yoshihiko Noda,Express intent to cooperate,Barack Obama,2012-04-30
598,Government (Nigeria),Sign formal agreement,Boko Haram,2014-10-27
599,South Korea,Engage in negotiation,China,2011-05-22
600,Police (Australia),Investigate,Citizen (Australia),2008-02-26
601,Police (Australia),Investigate,Citizen (Australia),2015-10-07
602,Lee Myung Bak,Make statement,Japan,2007-12-20
603,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2011-08-24
604,Japan,"Reject plan, agreement to settle dispute",China,2006-03-08
605,Government (Pakistan),Accuse,Benazir Bhutto,2007-12-29
606,Yemen,Engage in negotiation,Mahmoud Abbas,2013-02-19
607,Iran,Reduce relations,National Transitional Council,2011-10-25
608,Police (Australia),"Return, release person(s)",Citizen (Australia),2013-10-10
609,Bertie Ahern,Host a visit,Ian Paisley,2007-04-26
610,Angela Merkel,Make an appeal or request,Romania,2010-10-12
611,China,Express intent to meet or negotiate,Japan,2006-02-07
612,Rafael Correa,Criticize or denounce,Colombia,2008-03-07
613,Head of Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-10-06
614,Qatar,Meet at a 'third' location,Sudan,2009-07-09
615,Iran,Express intent to engage in diplomatic cooperation (such as policy support),Oman,2014-03-12
616,China,Consult,South Korea,2008-01-31
617,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-06-12
618,Javier Solana,Make pessimistic comment,Iran,2006-07-05
619,Ma Ying Jeou,Make statement,China,2006-03-26
620,Barack Obama,Demand,Iran,2008-11-07
621,Police (Australia),Accuse,Citizen (Australia),2013-04-24
622,Supreme Court of Chile,Ease administrative sanctions,Augusto Pinochet,2005-09-16
623,Xi Jinping,Express intent to meet or negotiate,China,2014-07-07
624,Cambodia,Express intent to cooperate,South Korea,2006-03-22
625,UN Security Council,"Threaten with sanctions, boycott, embargo",Iran,2007-03-21
626,Muhammadu Buhari,Make an appeal or request,Citizen (Nigeria),2015-08-10
627,China,Make an appeal or request,Japan,2005-04-19
628,France,Make statement,Iran,2007-10-05
629,Police (Australia),Use conventional military force,Citizen (Australia),2013-03-26
630,China,Appeal for diplomatic cooperation (such as policy support),Japan,2012-09-24
631,China,Express intent to cooperate,South Korea,2005-11-17
632,Cambodia,Engage in judicial cooperation,Vietnam,2006-12-18
633,China,Threaten,Vietnam,2011-06-14
634,Massoud Barzani,Consider policy option,Iraq,2015-03-04
635,Police (Sweden),"Arrest, detain, or charge with legal action",Men (Sweden),2010-11-01
636,China,Praise or endorse,South Africa,2008-06-12
637,Israeli Defense Forces,Use unconventional violence,al-Aqsa Martyrs' Brigades,2006-08-31
638,France,Host a visit,Romania,2010-08-27
639,Benjamin Netanyahu,Engage in negotiation,Barack Obama,2014-10-01
640,Barack Obama,"Impose embargo, boycott, or sanctions",Iran,2009-03-13
641,Armed Gang (Thailand),fight with small arms and light weapons,Citizen (Thailand),2005-04-25
642,Court Judge (United Kingdom),Demand,Citizen (United Kingdom),2007-09-19
643,Thongsing Thammavong,Make a visit,Vietnam,2011-03-01
644,Foreign Affairs (South Korea),Make optimistic comment,Iraq,2005-10-26
645,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),Middle East,2007-04-26
646,Tzipi Livni,Make an appeal or request,France,2006-07-29
647,Insurgent (Thailand),Use unconventional violence,Villager (Thailand),2006-12-27
648,Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Mahmoud Abbas,2013-03-04
649,Citizen (Nigeria),Express intent to engage in diplomatic cooperation (such as policy support),Government (Nigeria),2015-09-16
650,Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2008-06-16
651,Lee Myung Bak,Demand diplomatic cooperation (such as policy support),Japan,2007-12-20
652,Colombia,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2015-11-18
653,Abhisit Vejjajiva,Make a visit,Thailand,2010-11-09
654,France,Host a visit,Benjamin Netanyahu,2009-11-12
655,Sudan,Express intent to engage in diplomatic cooperation (such as policy support),South Sudan,2013-10-24
656,Government (Nigeria),Make empathetic comment,Citizen (Nigeria),2015-07-08
657,Mahmoud Ahmadinejad,Criticize or denounce,Iran,2010-04-29
658,China,Host a visit,Japan,2012-09-24
659,Sudan,Express intent to meet or negotiate,South Sudan,2013-10-24
660,Barack Obama,Express intent to mediate,Mahmoud Abbas,2010-08-31
661,United Arab Emirates,"Return, release person(s)",Qatar,2014-11-25
662,Shaukat Aziz,Express intent to meet or negotiate,Iran,2005-02-24
663,Police (Australia),Investigate,Citizen (Australia),2010-02-25
664,State Security Service,Investigate,Citizen (Nigeria),2007-09-28
665,Mikhail Yefimovich Fradkov,Appeal for economic cooperation,Japan,2007-02-27
666,South Korea,Engage in diplomatic cooperation,Japan,2015-11-06
667,Government (Nigeria),Demand,Citizen (Nigeria),2012-11-20
668,Police (Croatia),Investigate,Citizen (Croatia),2009-02-06
669,Mahmoud Abbas,Make an appeal or request,Barack Obama,2010-06-02
670,China,Express intent to cooperate,Vietnam,2007-12-11
671,Nicos Anastasiades,Discuss by telephone,Angela Merkel,2015-06-18
672,Ministry (Nigeria),Criticize or denounce,Government (Nigeria),2013-02-26
673,UN Security Council,Coerce,Iran,2007-01-03
674,Japan,Express intent to meet or negotiate,China,2006-11-29
675,Mekong River Commission,Make a visit,Vietnam,2014-04-05
676,Nabih Berri,Engage in negotiation,Iran,2013-11-26
677,Mahmoud Ahmadinejad,Engage in negotiation,Bolivia,2012-06-20
678,Head of Government (Egypt),Make a visit,Iran,2012-08-23
679,Yasuo Fukuda,Sign formal agreement,Abdullah Gül,2008-06-06
680,Envoy (United States),Rally support on behalf of,China,2008-01-18
681,Thailand,Reduce or break diplomatic relations,Cambodia,2009-11-10
682,Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2006-06-28
683,Xi Jinping,Express intent to settle dispute,Barack Obama,2013-06-08
684,China,Make optimistic comment,UN Security Council,2014-05-22
685,China,Criticize or denounce,Japan,2012-10-12
686,China,Engage in diplomatic cooperation,South Korea,2007-10-31
687,Police (Australia),Make an appeal or request,Citizen (Australia),2007-01-01
688,South Korea,Express intent to cooperate,China,2006-10-04
689,China,Sign formal agreement,Association of Southeast Asian Nations,2014-11-13
690,Abhisit Vejjajiva,"Reject plan, agreement to settle dispute",Citizen (Thailand),2010-03-29
691,Dmitry Anatolyevich Medvedev,Praise or endorse,Barack Obama,2009-07-10
692,Raul Hernandez,Make an appeal or request,China,2012-06-27
693,Government (Nigeria),"Arrest, detain, or charge with legal action",Charles Taylor,2006-03-28
694,Fahed al-Jasem el-Freij,Express intent to meet or negotiate,Iran,2015-04-28
695,Japan,Express intent to provide material aid,Iraq,2006-02-10
696,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Shimon Peres,2009-08-18
697,China,Engage in diplomatic cooperation,Kazakhstan,2007-11-08
698,China,Praise or endorse,Vietnam,2015-11-06
699,South Korea,Express intent to engage in diplomatic cooperation (such as policy support),China,2010-10-28
700,Lawyer/Attorney (Australia),Express intent to meet or negotiate,The Hague,2012-07-03
701,Yasuo Fukuda,Express intent to meet or negotiate,South Korea,2013-08-21
702,Japan,Express intent to cooperate,South Korea,2007-05-04
703,Sudan,Express intent to meet or negotiate,South Sudan,2012-06-09
704,South Korea,Express intent to meet or negotiate,Japan,2009-04-14
705,China,Host a visit,Thailand,2011-10-31
706,Kazakhstan,Express intent to engage in diplomatic cooperation (such as policy support),China,2009-03-30
707,Association of Southeast Asian Nations,Express intent to cooperate,China,2009-04-10
708,Vietnam,Consult,Laos,2007-05-17
709,China,Sign formal agreement,Japan,2005-04-18
710,Mahmoud Ahmadinejad,Make statement,Iran,2007-01-05
711,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2006-01-22
712,Mahmoud Abbas,Express intent to meet or negotiate,China,2013-05-05
713,Mohamed Ould Abdel Aziz,Express intent to meet or negotiate,China,2011-09-19
714,Thailand,Provide humanitarian aid,Citizen (Thailand),2010-05-18
715,Sudan,Expel or withdraw peacekeepers,Doctors Without Borders,2008-06-26
716,Tsai Ing-wen,Express intent to meet or negotiate,Ma Ying Jeou,2011-10-21
717,Barack Obama,Appeal for diplomatic cooperation (such as policy support),Citizen (International),2013-09-06
718,Court Judge (United Kingdom),Criticize or denounce,Citizen (United Kingdom),2010-04-29
719,Japan,Express intent to meet or negotiate,China,2007-02-15
720,France,Make a visit,Romania,2010-08-19
721,Head of Government (Ghana),Make a visit,China,2010-09-20
722,China,Host a visit,Iran,2010-06-10
723,Japan,Express intent to cooperate,South Korea,2006-06-13
724,John Brennan,Make a visit,Ali Abdullah Saleh,2011-07-12
725,Grand National Party,Praise or endorse,Lee Myung Bak,2007-08-28
726,Mahmoud Ahmadinejad,Make a visit,Iran,2007-01-05
727,Japan,Consult,China,2006-12-06
728,China,"Impose embargo, boycott, or sanctions",Iran,2007-03-26
729,Prachanda,Engage in negotiation,Shivshankar Menon,2009-02-18
730,Supreme Court of Chile,Express intent to release persons or property,Augusto Pinochet,2005-09-16
731,Laos,Host a visit,Vietnam,2007-02-05
732,Antonio Paulo Kassoma,Praise or endorse,Dmitry Anatolyevich Medvedev,2009-06-26
733,Laos,Express intent to meet or negotiate,Vietnam,2008-11-06
734,Japan,Consult,South Korea,2007-05-04
735,South Korea,Express intent to meet or negotiate,China,2005-09-01
736,Mahmoud Abbas,Make a visit,Barack Obama,2010-06-08
737,Lee Myung Bak,Appeal for diplomatic cooperation (such as policy support),South Korea,2010-01-04
738,Citizen (Australia),Yield,Police (Australia),2009-06-15
739,Rapid Action Battalion,Accuse,Citizen (Bangladesh),2005-12-10
740,Police (Indonesia),Use conventional military force,Men (Indonesia),2005-10-29
741,Japan,Praise or endorse,China,2007-12-09
742,France,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2006-06-22
743,Police (Australia),Make an appeal or request,Citizen (Australia),2010-02-25
744,Japan,Engage in diplomatic cooperation,South Korea,2006-07-05
745,Nicos Anastasiades,Make an appeal or request,Angela Merkel,2015-06-18
746,South Korea,Express intent to meet or negotiate,Japan,2014-04-16
747,Japan,Occupy territory,China,2005-04-23
748,Police (Australia),Accuse,Citizen (Australia),2009-07-03
749,Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2012-08-22
750,Police (Australia),Express intent to meet or negotiate,Citizen (Australia),2009-02-03
751,Japan,Consult,UN Security Council,2006-10-11
752,Japan,Engage in negotiation,South Korea,2008-10-21
753,Benjamin Netanyahu,Express intent to meet or negotiate,Cabinet / Council of Ministers / Advisors (United States),2010-11-11
754,Iran,Consult,Oman,2014-03-12
755,China,Criticize or denounce,Japan,2005-11-15
756,China,Express intent to cooperate,South Korea,2006-01-20
757,Militant (Nigeria),Make an appeal or request,Citizen (Nigeria),2008-01-02
758,Citizen (Nigeria),Criticize or denounce,Bukola Saraki,2015-05-11
759,South Korea,Sign formal agreement,Japan,2007-03-15
760,Governor (Thailand),Demand,Citizen (Thailand),2010-04-30
761,Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Jens Stoltenberg,2011-10-20
762,Police (Egypt),fight with small arms and light weapons,Protester (Egypt),2011-02-07
763,Police (Indonesia),Investigate,Men (Indonesia),2005-10-03
764,Barack Obama,Express intent to settle dispute,Sudan,2009-10-19
765,Mexico,"Arrest, detain, or charge with legal action",Jorge Hank Rhon,2011-06-15
766,United Arab Emirates,Engage in diplomatic cooperation,Qatar,2014-11-25
767,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2005-03-09
768,Police (Australia),Accuse,Citizen (Australia),2015-03-20
769,Cabinet / Council of Ministers / Advisors (United States),Threaten,China,2010-02-01
770,South Korea,Cooperate militarily,China,2010-05-14
771,Police (Australia),Make an appeal or request,Citizen (Australia),2008-02-26
772,Japan,Make pessimistic comment,China,2006-05-18
773,Police (Australia),Use conventional military force,Citizen (Australia),2005-06-06
774,Ashraf Ghani Ahmadzai,Make statement,Iran,2015-04-19
775,Barack Obama,Engage in negotiation,Dmitry Anatolyevich Medvedev,2010-04-08
776,Muhammadu Buhari,Demand,Citizen (Nigeria),2015-08-14
777,Head of Government (Egypt),Express intent to meet or negotiate,Iran,2012-08-23
778,Barack Obama,Demand,Citizen (International),2013-09-06
779,Wen Jiabao,Make a visit,Japan,2006-10-08
780,Police (Australia),Express intent to meet or negotiate,Citizen (Australia),2006-01-22
781,Cabinet / Council of Ministers / Advisors (United States),Praise or endorse,Benjamin Netanyahu,2015-03-18
782,Georgios Papandreou,Accuse,Citizen (Greece),2007-09-13
783,Citizen (Nigeria),Accuse,Umaru Musa Yar'Adua,2010-01-05
784,Chuck Hagel,Praise or endorse,Ismaïl Omar Guelleh,2014-05-09
785,Government (Nigeria),Accuse,Citizen (Nigeria),2012-11-05
786,South Korea,Make an appeal or request,China,2015-01-06
787,Thailand,Criticize or denounce,Cambodia,2009-11-16
788,Japan,Engage in diplomatic cooperation,China,2005-04-23
789,Police (Australia),Express intent to meet or negotiate,Citizen (Australia),2006-07-26
790,China,Engage in negotiation,Japan,2005-04-19
791,Navy Personnel (Rwanda),Demand,Police (Rwanda),2014-05-05
792,Foreign Affairs (South Korea),Make statement,Iraq,2005-10-26
793,South Korea,Consult,China,2007-01-14
794,Roh Moo Hyun,Sign formal agreement,Oluṣẹgun Ọbasanjọ,2006-11-06
795,Japan,Sign formal agreement,China,2015-03-22
796,Citizen (Australia),Give ultimatum,Police (Australia),2013-03-15
797,Angela Merkel,Host a visit,Wen Jiabao,2006-05-23
798,Lien Chan,Express intent to engage in diplomatic cooperation (such as policy support),China,2005-04-16
799,Japan,Consult,South Korea,2014-09-11
800,Citizen (Australia),Yield,Police (Australia),2013-03-15
801,Barack Obama,Demand,Mahmoud Abbas,2014-03-18
802,Dmitry Anatolyevich Medvedev,Consult,Barack Obama,2014-11-13
803,Foreign Affairs (Israel),Accuse,Iran,2007-01-17
804,China,Sign formal agreement,Japan,2006-06-08
805,Mexico,"Return, release person(s)",Jorge Hank Rhon,2011-06-15
806,Barack Obama,Make a visit,France,2015-11-17
807,Dmitry Anatolyevich Medvedev,Sign formal agreement,Barack Obama,2010-12-23
808,China,Make statement,South Korea,2011-07-15
809,Sudan,Host a visit,Jakaya Mrisho Kikwete,2008-09-08
810,Donald Rumsfeld,Express intent to cooperate militarily,China,2005-10-20
811,Police (Australia),Investigate,Citizen (Australia),2006-05-03
812,Barack Obama,Express intent to cooperate,Cristina Fernández de Kirchner,2010-04-13
813,Mahmoud Abbas,Engage in negotiation,Barack Obama,2009-05-28
814,Police (Australia),Make an appeal or request,Citizen (Australia),2014-01-28
815,Lawyer/Attorney (Sweden),Investigate,Julian Paul Assange,2015-08-07
816,Abhisit Vejjajiva,Investigate,Citizen (Thailand),2009-10-06
817,Angela Merkel,Reject material cooperation,Government (Germany),2005-07-17
818,Dmitry Anatolyevich Medvedev,Express intent to cooperate,Angela Merkel,2008-07-07
819,Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Xi Jinping,2015-09-24
820,Barack Obama,Engage in negotiation,Lee Myung Bak,2011-10-14
821,Angela Merkel,Consult,Gerhard Schröder,2005-10-05
822,Cristina Fernández de Kirchner,Praise or endorse,Wen Jiabao,2012-06-25
823,China,Make optimistic comment,Iran,2006-06-22
824,Media Personnel (Pakistan),Praise or endorse,Cabinet / Council of Ministers / Advisors (United States),2009-08-20
825,Abhisit Vejjajiva,Make statement,Protester (Thailand),2009-04-10
826,Benjamin Netanyahu,Engage in negotiation,Barack Obama,2010-03-24
827,Cristina Fernández de Kirchner,Host a visit,Wen Jiabao,2012-06-25
828,France,Engage in judicial cooperation,Romania,2010-08-19
829,China,Demand,Japan,2007-04-11
830,Benjamin Netanyahu,Engage in negotiation,Mahmoud Abbas,2010-09-17
831,Benjamin Netanyahu,Host a visit,Mahmoud Abbas,2010-09-17
832,Mahmoud Ahmadinejad,"Impose embargo, boycott, or sanctions",Iran,2007-03-15
833,Cambodia,Refuse to yield,Thailand,2009-11-17
834,China,Consider policy option,South Korea,2005-10-27
835,Lawyer/Attorney (Belgium),"Arrest, detain, or charge with legal action",Men (Belgium),2015-12-24
836,China,Make statement,Vietnam,2009-09-30
837,Yoshihiko Noda,Engage in negotiation,Barack Obama,2012-04-30
838,Vietnam,Grant diplomatic recognition,Middle East,2007-04-26
839,Mikhail Yefimovich Fradkov,Make an appeal or request,Japan,2007-02-27
840,Japan,Express intent to provide material aid,Vietnam,2009-02-24
841,Police (Australia),Accuse,Citizen (Australia),2009-01-30
842,Oluṣẹgun Ọbasanjọ,Consult,Roh Moo Hyun,2006-11-06
843,Antonis Samaras,Express intent to engage in diplomatic cooperation (such as policy support),Angela Merkel,2012-10-09
844,Japan,Demand,UN Security Council,2006-10-11
845,Government (Nigeria),Impose restrictions on political freedoms,Citizen (Nigeria),2011-08-02
846,Cabinet / Council of Ministers / Advisors (United States),Demand material cooperation,China,2010-02-01
847,Thailand,Demand,Malaysia,2005-10-26
848,Japan,Express intent to cooperate,China,2005-09-21
