head	relation	tail	time
Vietnam	Engage in diplomatic cooperation	Cambodia	2014-12-18
Eric Chu	Consult	Yu Zhengsheng	2015-05-03
Presidential Candidate (Afghanistan)	Consult	Cabinet / Council of Ministers / Advisors (United States)	2014-07-14
Dalbir Singh	Consult	Admiral (Israel)	2015-08-24
Yannis Stournaras	Consult	Antonis Samaras	2013-03-19
Laos	Consult	Vietnam	2007-03-06
Lawyer/Attorney (Argentina)	Consult	Defense Attorney (Argentina)	2006-01-26
Wang Yi	Consult	Cabinet / Council of Ministers / Advisors (United States)	2011-07-31
Laos	Engage in diplomatic cooperation	Cambodia	2010-09-13
Evo Morales	Consult	Rafael Correa	2008-05-17
Ondrej Liska	Consult	Jan Fischer	2010-02-10
Japan	Engage in negotiation	Lee Myung Bak	2010-05-30
Villager (Sudan)	Consult	Media (Africa)	2014-05-14
Barack Obama	Express intent to cooperate	Xi Jinping	2015-12-11
Israeli Defense Forces	Consult	Benjamin Netanyahu	2011-10-19
Royal Administration (Jordan)	Consult	Iraq	2006-11-29
Vietnam	Consult	Laos	2006-12-06
Thailand	Consult	Laos	2012-01-27
Ali Abdullah Saleh	Engage in negotiation	Mahmoud Abbas	2006-08-06
Barack Obama	Engage in negotiation	Benjamin Netanyahu	2010-03-29
China	Engage in diplomatic cooperation	South Korea	2011-03-19
China	Express intent to cooperate	South Korea	2011-05-04
China	Consult	Japan	2015-03-20
Raúl Castro	Consult	Daniel Ortega	2009-04-03
Foreign Affairs (Italy)	Consult	Government (Italy)	2007-01-02
Christine Lagarde	Consult	Laurent Wauquiez	2008-04-18
Head of Government (Pakistan)	Consult	Scholar (Pakistan)	2007-07-09
Abdelilah Benkirane	Consult	Wen Jiabao	2012-06-20
Head of Government (Kenya)	Consult	Daniel Arap Moi	2006-08-29
Al Sharq al Awsat	Discuss by telephone	High Ranking Military Personnel (Syria)	2012-04-17
Japan	Consult	China	2005-10-17
Kazakhstan	Consult	South Korea	2011-11-16
South Korea	Sign formal agreement	Japan	2011-12-25
South Korea	Consult	China	2014-06-17
Cabinet / Council of Ministers / Advisors (United States)	Consult	Mao Zedong	2012-06-24
Thailand	Express intent to cooperate	Cambodia	2008-05-13
Barack Obama	Express intent to cooperate	Yoshihiko Noda	2012-04-30
Japan	Engage in negotiation	China	2010-05-23
Head of Government (Egypt)	Consult	Mahmoud Abbas	2011-01-24
Elizabeth II	Consult	Royal Administration (Australia)	2011-10-25
South Korea	Sign formal agreement	Japan	2009-03-06
Barack Obama	Express intent to cooperate	Dmitry Anatolyevich Medvedev	2009-04-02
Pervez Musharraf	Engage in negotiation	Gazprom	2005-10-08
Council for National Security	Consult	Cabinet / Council of Ministers / Advisors (Thailand)	2006-10-10
Wen Jiabao	Consult	Japan	2007-04-28
Juan José Álvarez	Consult	Alberto Fernández	2005-01-18
China	Sign formal agreement	Thailand	2006-01-02
Kazakhstan	Engage in diplomatic cooperation	Iran	2012-06-25
Bertie Ahern	Engage in negotiation	Tony Blair	2009-04-24
Georgios Papandreou	Consult	Angela Merkel	2010-03-08
Wen Jiabao	Consult	A.P. Sharma	2010-01-21
Japan	Engage in negotiation	Association of Southeast Asian Nations	2006-08-23
United Arab Emirates	Sign formal agreement	France	2008-01-17
Miguel d' Escoto Brockmann	Consult	George Yeo	2008-09-30
Robert Wexler	Consult	Abdullah Gül	2006-04-11
Kazakhstan	Sign formal agreement	China	2006-10-31
China	Consult	Iran	2014-09-25
South Korea	Engage in diplomatic cooperation	Iran	2015-02-16
Iran	Engage in negotiation	Rafiq Hariri	2010-11-29
Finance / Economy / Commerce / Trade Ministry (India)	Consult	Finance / Economy / Commerce / Trade Ministry (South Africa)	2011-04-13
Villager (Nicaragua)	Consult	Daniel Ortega	2006-11-02
Bolivia	Express intent to cooperate	Evo Morales	2007-12-28
China	Engage in diplomatic cooperation	Association of Southeast Asian Nations	2008-08-28
Malawi	Sign formal agreement	Tanzania	2014-03-12
Georgios Papandreou	Consult	Mahmoud Abbas	2010-12-08
Head of Government (Ukraine)	Consult	Christine Lagarde	2015-06-10
Abdullah Gül	Consult	Justice and Development Party	2005-04-04
Mark Simmonds	Consult	Foreign Affairs (Ethiopia)	2014-08-04
Evangelos Meimarakis	Consult	Court of Audit	2014-02-06
Military (Ukraine)	Declare truce, ceasefire	Armed Rebel (Ukraine)	2015-02-06
Linda Lingle	Sign formal agreement	Ferdinand Marcos	2005-02-02
Angela Merkel	Consult	Benjamin Netanyahu	2011-04-06
Togo	Consult	Swaziland	2010-05-21
Cabinet / Council of Ministers / Advisors (Japan)	Consult	Lawmaker (Japan)	2006-08-15
Cambodia	Engage in diplomatic cooperation	Thailand	2012-04-26
Royal Administration (Saudi Arabia)	Consult	Mahmoud Abbas	2007-12-03
Head of Government (Egypt)	Discuss by telephone	Mahmoud Abbas	2006-06-29
Iraq	Engage in negotiation	Morteza Sarmadi	2015-04-02
Barack Obama	Discuss by telephone	Dmitry Anatolyevich Medvedev	2010-03-26
Mahmoud Ahmadinejad	Consult	Pervez Musharraf	2007-03-08
Barack Obama	Consult	Benjamin Netanyahu	2012-02-26
Thailand	Express intent to cooperate	Laos	2005-03-31
Mahmoud Abbas	Consult	Tony Blair	2005-08-16
Henry M. Paulson	Consult	China	2007-07-31
France	Sign formal agreement	Iran	2005-05-27
China	Consult	Mexico	2008-04-23
Donald Rumsfeld	Consult	Nuri al-Maliki	2006-07-13
Barack Obama	Consult	Lee Myung Bak	2010-04-22
Cambodia	Sign formal agreement	Thailand	2010-11-18
Media Personnel (International)	Consult	Benjamin Netanyahu	2012-12-11
Seyran Ohanyan	Consult	Irakli Alasania	2013-07-17
Mexico	Sign formal agreement	China	2005-09-12
Vincent C. Siew	Consult	Xi Jinping	2013-10-08
Iran	Engage in diplomatic cooperation	United Arab Emirates	2013-08-13
Abhisit Vejjajiva	Meet at a 'third' location	Thailand	2010-11-05
Ministry of Public Security (Hong Kong)	Consult	Police (Hong Kong)	2010-02-02
Head of Government (Nigeria)	Consult	Daily Trust	2011-04-11
Head of Government (Belarus)	Consult	Dmitry Anatolyevich Medvedev	2009-01-27
Cambodia	Engage in diplomatic cooperation	China	2011-02-22
South Korea	Express intent to cooperate	Japan	2010-01-20
Mahmoud Abbas	Consult	Juan Carlos I	2005-10-19
Representatives (Bulgaria)	Consult	Solomon Passy	2005-01-11
Association of Southeast Asian Nations	Consult	China	2011-05-05
Chart Thai	Express intent to cooperate	Abhisit Vejjajiva	2005-05-28
United Arab Emirates	Sign formal agreement	Iran	2015-01-20
Ethiopia	Engage in diplomatic cooperation	Sudan	2013-11-05
Kazakhstan	Consult	China	2009-03-27
Yemen	Engage in negotiation	United Arab Emirates	2007-11-21
UN Security Council	Consult	Staffan de Mistura	2015-11-11
Inquirer	Discuss by telephone	Alan Peter Cayetano	2008-09-05
Business (Belgium)	Consult	Party Member (Belgium)	2015-03-12
Head of Government (Botswana)	Consult	Government (Botswana)	2005-08-12
Vlado Buckovski	Consult	France Cukjati	2005-04-29
Barack Obama	Consult	Xi Jinping	2013-06-11
Laos	Sign formal agreement	Japan	2008-02-12
South Korea	Consult	Japan	2006-10-10
Laos	Engage in diplomatic cooperation	Vietnam	2005-03-04
Mahmoud Abbas	Meet at a 'third' location	Tzipi Livni	2006-05-21
Japan	Consult	France	2006-08-28
Mahmoud Ahmadinejad	Discuss by telephone	Dmitry Anatolyevich Medvedev	2011-01-18
Thongsing Thammavong	Consult	Wen Jiabao	2008-03-26
South Korea	Consult	Japan	2013-05-05
Ministry (Nigeria)	Consult	Daily Trust	2010-06-21
Mexico	Consult	Colombia	2014-02-12
Japan	Consult	South Korea	2005-12-12
Thailand	Consult	Vietnam	2009-07-24
Vietnam	Consult	Julia Gillard	2010-10-31
Japan	Sign formal agreement	China	2006-04-03
Georgios Papandreou	Consult	Head of Government (Qatar)	2011-04-03
South Korea	Consult	China	2013-05-02
Eritrea	Engage in diplomatic cooperation	Sudan	2006-06-11
Foreign Affairs (Belarus)	Consult	Béla Bugár	2006-03-31
Ma Ying Jeou	Sign formal agreement	China	2010-05-07
Umaru Musa Yar'Adua	Engage in negotiation	Dmitry Anatolyevich Medvedev	2009-06-24
Nabih Berri	Consult	Lawmaker (Lebanon)	2009-11-19
Sudan	Engage in diplomatic cooperation	Iran	2014-02-19
Associated Press	Discuss by telephone	Ministry (Sudan)	2008-01-21
Cabinet / Council of Ministers / Advisors (United States)	Consult	Ismaïl Omar Guelleh	2011-02-03
Terje Roed Larsen	Engage in negotiation	Royal Administration (Saudi Arabia)	2006-03-20
Associated Press	Discuss by telephone	Media Personnel (Honduras)	2007-12-27
Dmitry Anatolyevich Medvedev	Consult	Rashid Gumarovich Nurgaliyev	2011-03-01
Shaukat Aziz	Consult	Pervez Musharraf	2006-02-02
Radoslaw Sikorski	Consult	Nabih Berri	2012-06-22
Catherine Ashton	Consult	Freedom and Justice Party	2013-07-17
Media (Africa)	Consult	Displaced Families (Sudan)	2014-05-21
Cristina Fernández de Kirchner	Consult	Segolene Royal	2007-02-05
Ministry (Nigeria)	Consult	Media (Nigeria)	2009-10-14
UN Security Council	Consult	Bernardino Leon	2015-07-16
Foreign Affairs (South Korea)	Consult	Karl Erjavec	2015-03-13
Japan	Engage in negotiation	China	2015-08-06
Angola	Consult	Catherine Ashton	2009-02-11
China	Express intent to cooperate	UN Security Council	2011-11-10
African Union	Sign formal agreement	Aminata Touré	2012-08-23
UN Security Council	Sign formal agreement	Iran	2014-03-09
Government Official (Rwanda)	Consult	Burundi	2005-10-13
Ivan Gasparovic	Engage in negotiation	Abdullah Gül	2013-08-20
Jakaya Mrisho Kikwete	Consult	Sudan	2008-09-08
Evo Morales	Engage in negotiation	Military (Bolivia)	2012-08-06
Iran	Express intent to cooperate	Muhammadiyah	2006-05-12
Radoslaw Sikorski	Meet at a 'third' location	Wang Yi	2013-09-28
Cambodia	Engage in diplomatic cooperation	Vietnam	2015-01-02
Al-Shabaab	Sign formal agreement	Media Personnel (Somalia)	2010-02-05
Iran	Sign formal agreement	Iraq	2008-08-13
Head of Government (Qatar)	Engage in negotiation	Sheikh Hamad bin Khalifa al-Thani	2013-04-11
Royal Administration (Spain)	Consult	Abdel Fattah Al-Sisi	2015-05-01
Yuriy Yekhanurov	Consult	Frantisek Kasický	2008-02-01
High Commission for Refugees	Engage in diplomatic cooperation	Romania	2010-05-28
Sudan	Consult	South Sudan	2012-06-04
Mexico	Express intent to cooperate on intelligence	Colombia	2014-02-09
China	Consult	Wen Jiabao	2008-01-29
Luis Villafuerte	Discuss by telephone	Inquirer	2009-06-03
Ministry of Communication (Iran)	Consult	Government Affiliated Bank (Indonesia)	2015-05-23
Mexico	Consult	Colombia	2005-07-12
Iran	Sign formal agreement	China	2015-07-18
China	Express intent to cooperate	South Korea	2013-11-18
China	Express intent to cooperate militarily	Donald Rumsfeld	2005-10-20
Dimeji Bankole	Consult	Congress (United States)	2008-06-30
African Union	Sign formal agreement	Government (Sudan)	2006-05-16
Japan	Engage in negotiation	China	2006-10-17
Barack Obama	Consult	Wen Jiabao	2011-01-22
Political Parties (Nepal)	Consult	Prachanda	2006-07-22
Laos	Sign formal agreement	Thailand	2007-12-28
Angola	Consult	South Africa	2008-10-27
South Africa	Sign formal agreement	Japan	2007-11-17
Citizen (Australia)	Consult	Police (Australia)	2008-10-31
Gurbanguly Berdymukhammedov	Discuss by telephone	Mahmoud Ahmadinejad	2010-04-17
Education (Pakistan)	Consult	Government (Pakistan)	2015-12-11
China	Express intent to cooperate	South Korea	2011-06-10
Japan	Express intent to cooperate	China	2009-05-05
China	Consult	Kazakhstan	2008-05-14
Iraq	Sign formal agreement	Iran	2012-07-01
Fan Changlong	Engage in negotiation	Japan	2015-06-13
Wen Jiabao	Discuss by telephone	Abhisit Vejjajiva	2009-04-11
Philippe Couillard	Consult	Business (Canada)	2015-06-10
Associated Press	Discuss by telephone	Prime Minister Qarase	2006-05-17
South Korea	Consult	China	2006-11-22
South Korea	Engage in negotiation	Association of Southeast Asian Nations	2005-06-15
Farouk al-Sharaa	Consult	Mahmoud Abbas	2007-06-17
China	Sign formal agreement	Iran	2008-01-23
Iran	Consult	Iraq	2009-01-16
Milo Djukanovic	Consult	Congress (United States)	2010-06-02
Javier Solana	Consult	Media Personnel (Iran)	2008-12-10
Cristina Fernández de Kirchner	Engage in negotiation	Head of Government (Uruguay)	2012-07-06
Ibrahim Saidi Rashidi Msabaha	Consult	Jakaya Mrisho Kikwete	2006-02-23
Evo Morales	Engage in negotiation	Cristina Fernández de Kirchner	2012-07-15
Governor (Thailand)	Consult	Anupong Paochinda	2014-09-13
Iran	Engage in diplomatic cooperation	Iraq	2013-09-30
Treasury/Finance Ministry (Macedonia)	Consult	Military (Macedonia)	2009-11-04
Police (South Africa)	Consult	South African National Defence Force	2008-05-22
China	Sign formal agreement	Colombia	2008-11-23
Dmitry Anatolyevich Medvedev	Consult	Abdullah Gül	2010-01-31
Director General (India)	Consult	Secretary of State for the Home Department	2005-10-06
United Arab Emirates	Consult	Qatar	2007-12-02
Boko Haram	Sign formal agreement	Government (Nigeria)	2014-10-20
Kuwait	Consult	Head of Government (Egypt)	2015-01-06
Yasuo Fukuda	Consult	Bureaucrat (Japan)	2007-09-27
Head of Government (Egypt)	Consult	Ministry (Egypt)	2015-10-08
International Monetary Fund	Consult	Nicos Anastasiades	2013-03-25
Member of Parliament (Australia)	Consult	Julia Gillard	2010-09-07
Dominican Republic	Consult	Mexico	2005-12-21
International Government Organizations	Consult	Association of Southeast Asian Nations	2005-01-05
Ministry (Iran)	Engage in negotiation	Eni S.p.a.	2015-05-04
China	Engage in diplomatic cooperation	Portugal	2007-04-12
Vietnam	Sign formal agreement	France	2006-05-19
China	Express intent to cooperate	South Korea	2005-11-10
Massoud Barzani	Meet at a 'third' location	Head of Government (Egypt)	2015-05-25
Education Ministry (Tanzania)	Consult	Student (Tanzania)	2009-08-25
Japan	Consult	China	2008-12-13
Laos	Engage in diplomatic cooperation	Vietnam	2015-02-16
South Korea	Sign formal agreement	Iran	2009-01-14
Xi Jinping	Consult	Alexis Tsipras	2015-09-29
Barack Obama	Consult	Mahmoud Abbas	2010-07-09
Benjamin Netanyahu	Consult	Agence France-Presse	2011-04-16
Sergey Bagapsh	Engage in negotiation	Irakli Alasania	2008-05-13
Head of Government (India)	Consult	Labor Union (India)	2005-11-29
Representatives (Kyrgyzstan)	Consult	Ombudsman (Kyrgyzstan)	2012-06-09
Xi Jinping	Consult	Head of Government (Belarus)	2014-01-22
Congress (United States)	Consult	Pervez Musharraf	2008-07-15
Alexander Valterovich Litvinenko	Consult	Businessperson (United Kingdom)	2006-12-09
Armando Loaiza	Sign formal agreement	Rafael Antonio Bielsa	2005-11-03
Mahmoud Abbas	Consult	Envoy (United States)	2011-09-09
UN Security Council	Consult	Terje Roed Larsen	2008-10-30
South Sudan	Consult	Sudan	2011-12-05
South African National Defence Force	Consult	Police (South Africa)	2013-04-13
China	Sign formal agreement	Ma Ying Jeou	2010-01-30
Vietnam	Engage in diplomatic cooperation	Laos	2005-01-07
Government (Nigeria)	Consult	Head of Government (Nigeria)	2009-11-18
Laos	Consult	Vietnam	2014-11-13
China	Engage in diplomatic cooperation	Japan	2015-03-22
Cabinet / Council of Ministers / Advisors (United States)	Consult	Grigol Vashadze	2012-06-05
Antonis Samaras	Discuss by telephone	Democratic Left	2013-04-06
Islam Karimov	Consult	Roh Moo Hyun	2005-05-13
Arsen Avakov	Engage in negotiation	Foreign Affairs (Italy)	2015-05-18
Labor Union (Mexico)	Consult	Farm Worker (Mexico)	2008-01-19
Head of Government (Turkmenistan)	Consult	Rashid Gumarovich Nurgaliyev	2009-10-20
Lee Myung Bak	Engage in negotiation	Xi Jinping	2009-12-17
Japan	Sign formal agreement	Malaysia	2005-11-18
Evo Morales	Consult	Eshaq Jahangiri	2014-06-14
South Korea	Express intent to cooperate	Japan	2014-09-12
Cambodia	Sign formal agreement	Thailand	2009-11-10
William Ruto	Engage in negotiation	Head of Government (Kenya)	2010-02-20
Foreign Affairs (France)	Consult	Sedki Sobhi	2015-07-25
Malaysia	Consult	Thailand	2007-01-13
South Africa	Consult	Iran	2006-01-19
Okada Katsuya	Consult	Cabinet / Council of Ministers / Advisors (United States)	2009-09-21
Verkhovna Rada	Consult	Police (Ukraine)	2007-05-29
Werner Faymann	Consult	Angela Merkel	2015-09-14
Vietnam	Engage in negotiation	Military Personnel (India)	2007-12-18
Frank Bainimarama	Engage in negotiation	Julie Bishop	2014-02-18
Julie Bishop	Engage in negotiation	Cabinet / Council of Ministers / Advisors (Australia)	2014-08-11
Barack Obama	Consult	Xi Jinping	2015-11-24
China	Consult	France	2006-06-08
Mexico	Express intent to cooperate	Colombia	2008-12-18
Japan	Sign formal agreement	South Korea	2012-05-14
Mahmoud Ahmadinejad	Discuss by telephone	Dmitry Anatolyevich Medvedev	2011-03-14
China	Sign formal agreement	France	2015-12-22
Head of Government (Uruguay)	Consult	China	2006-05-30
Association of Southeast Asian Nations	Consult	Cambodia	2012-05-27
Roza Otunbayeva	Consult	Office of the United Nations High Commissioner for Human Rights	2010-07-27
South Africa	Express intent to cooperate	Japan	2007-10-30
Fan Changlong	Engage in negotiation	Sergey Kuzhugetovich Shoygu	2015-05-11
Benedict XVI	Consult	Cristina Fernández de Kirchner	2009-11-27
Dmitry Anatolyevich Medvedev	Consult	Barack Obama	2009-09-03
Ed Royce	Consult	Tsai Ing-wen	2015-05-30
Carlos Raúl Morales	Express intent to cooperate	Guatemala	2014-09-19
Senate (Romania)	Consult	Legislature (Romania)	2015-09-08
High Commission (United Kingdom)	Discuss by telephone	Chaudhry Nisar Ali Khan	2015-03-20
Laos	Sign formal agreement	China	2015-10-07
Ashraf Ghani Ahmadzai	Consult	Business (Iran)	2015-04-20
Lee Myung Bak	Engage in negotiation	South Korea	2010-06-14
Lawmaker (United Kingdom)	Sign formal agreement	News Editor (United States)	2005-08-04
Al-Azhar University	Engage in diplomatic cooperation	Japan	2015-11-05
Barack Obama	Engage in negotiation	Mahmoud Abbas	2012-11-08
China	Engage in negotiation	Barclays PLC	2014-12-08
James Wolfensohn	Engage in negotiation	Mahmoud Abbas	2005-08-01
Laos	Consult	Representatives (Vietnam)	2008-03-06
Jens Stoltenberg	Consult	Tsakhiagiyn Elbegdorj	2012-10-08
Boris Vyacheslavovich Gryzlov	Consult	Mikhail Yefimovich Fradkov	2005-01-13
Abhisit Vejjajiva	Consult	Military Personnel (Thailand)	2009-03-12
UN Security Council	Engage in diplomatic cooperation	Peace and Security Council	2015-03-25
Ashraf Ghani Ahmadzai	Consult	Xi Jinping	2015-07-10
Kazakhstan	Engage in diplomatic cooperation	Kuwait	2013-06-03
Media (Latvia)	Discuss by telephone	Party Member (Latvia)	2014-05-27
Chen Zhili	Consult	Member of Legislative (Govt) (Kazakhstan)	2012-01-10
Head of Government (Greece)	Consult	Abdel Fattah Al-Sisi	2015-08-06
China	Sign formal agreement	Iran	2010-10-22
A.P. Sharma	Consult	Foreign Affairs (India)	2006-08-25
France	Engage in negotiation	Iran	2006-05-31
Thailand	Express intent to cooperate	Japan	2011-03-14
China	Express intent to cooperate	France	2008-04-27
Chen Zhili	Consult	Director General (China)	2005-11-28
China	Consult	Japan	2012-10-24
China	Engage in negotiation	Japan	2006-07-21
Mallam Isa Yuguda	Consult	Head of Government (Nigeria)	2012-12-04
Thailand	Sign formal agreement	Laos	2005-09-30
Cambodia	Consult	Laos	2010-04-03
Cristina Fernández de Kirchner	Consult	Luis Beder Herrera	2008-06-20
Agence France-Presse	Discuss by telephone	Police (Tanzania)	2005-06-01
Mehmet Agar	Express intent to cooperate	Democratic Party	2007-06-07
Vietnam	Engage in diplomatic cooperation	Laos	2007-07-25
Treasury/Finance Ministry (Japan)	Consult	Japan	2011-05-02
Thailand	Engage in diplomatic cooperation	Vietnam	2005-04-26
Malawi	Consult	South Africa	2007-05-21
Lee Myung Bak	Express intent to cooperate militarily	Barack Obama	2010-11-23
Dmitry Anatolyevich Medvedev	Consult	Alexei Miller	2014-03-04
Swaziland	Consult	Movement for Democratic Change	2008-10-27
France	Engage in negotiation	Iran	2005-09-15
Sudan	Consult	Eritrea	2014-05-08
France	Consult	Japan	2009-10-19
Head of Government (Pakistan)	Consult	Pervez Musharraf	2008-08-18
China	Engage in negotiation	South Korea	2014-11-06
Vietnam	Engage in diplomatic cooperation	Thailand	2012-02-17
Media (Nigeria)	Discuss by telephone	Citizen (Nigeria)	2013-06-14
Industry (Cuba)	Engage in diplomatic cooperation	Industrial / Textiles / Mining Ministry (Vietnam)	2007-11-13
Chen Deming	Sign formal agreement	Ministry (National Development and Reform Commission)	2007-09-17
Labor Party (United Kingdom)	Consult	Tony Blair	2006-09-24
Barack Obama	Express intent to cooperate	Angela Merkel	2014-08-23
Antanas Valionis	Consult	Valdas Adamkus	2005-06-20
Don McKinnon	Engage in negotiation	Mwai Kibaki	2007-01-24
Cambodia	Sign formal agreement	China	2007-04-01
Iraq	Consult	Jack Straw	2006-01-09
Ali Abdullah Saleh	Consult	Scholar (Yemen)	2010-09-07
Media Personnel (Pakistan)	Discuss by telephone	Agence France-Presse	2007-12-30
France	Sign formal agreement	China	2009-12-23
Japan	Engage in negotiation	South Korea	2014-04-16
Solomon Passy	Consult	Information / Communication / Transparency Ministry (Macedonia)	2006-09-14
China	Express intent to cooperate	Vietnam	2005-11-01
Rahm Israel Emanuel	Consult	Liu Yandong	2013-12-24
Barack Obama	Consult	Xi Jinping	2013-06-09
Japan	Sign formal agreement	South Korea	2012-05-08
Iran	Engage in diplomatic cooperation	Kazakhstan	2013-11-02
China	Sign formal agreement	France	2008-07-28
Majid Takht Ravanchi	Consult	Evo Morales	2014-01-23
China	Consult	France	2006-03-27
Roza Otunbayeva	Consult	International Government Organizations	2010-09-13
Cambodia	Sign formal agreement	Vietnam	2007-10-01
Trinidad and Tobago	Consult	Barack Obama	2009-04-18
Foreign Affairs (France)	Meet at a 'third' location	France	2015-09-21
Mahmoud Ahmadinejad	Consult	Nuri al-Maliki	2009-01-05
Angola	Engage in diplomatic cooperation	South Africa	2010-12-08
Catherine Ashton	Discuss by telephone	Radoslaw Sikorski	2013-12-10
Media (Africa)	Consult	Noureddine Zerhouni	2009-03-24
China	Consult	Japan	2007-10-23
Tahirul Qadri	Consult	Al Jazeera	2014-08-14
China	Consult	Japan	2007-07-19
South Korea	Declare truce, ceasefire	Japan	2015-03-16
Vietnam	Express intent to cooperate	China	2007-12-11
Abdel Fattah Al-Sisi	Consult	Envoy (Qatar)	2014-12-22
Vietnam	Engage in diplomatic cooperation	Laos	2015-02-14
Media (India)	Consult	A.K. Antony	2012-04-05
Nuri al-Maliki	Consult	Barack Obama	2008-12-04
Dmitry Anatolyevich Medvedev	Consult	Government Official (Russia)	2008-08-12
UN Security Council	Consult	Representative to the United Nations (Iran)	2014-07-27
Citizen (Sudan)	Sign formal agreement	Representatives (Sudan)	2013-07-26
China	Consult	Boediono	2010-07-23
Niger	Consult	Mauritania	2010-09-29
Foreign Affairs (Israel)	Consult	Nasser Judeh	2010-11-25
China	Consult	Islam Karimov	2009-06-29
United Arab Emirates	Sign formal agreement	Japan	2013-05-03
Foreign Affairs (Belgium)	Consult	Hamrokhon Zarifi	2009-07-07
Wen Jiabao	Consult	Mikhail Yefimovich Fradkov	2005-11-11
City Mayor (Greece)	Consult	China	2013-03-31
Angela Merkel	Consult	Abdullah Gül	2005-11-18
Japan	Engage in diplomatic cooperation	Iran	2008-02-11
Cabinet / Council of Ministers / Advisors (South Korea)	Consult	South Korea	2006-09-07
Japan	Consult	France	2005-08-16
Qatar	Engage in diplomatic cooperation	Iraq	2015-05-04
Georgios Papandreou	Discuss by telephone	Herman Van Rompuy	2011-08-07
Party Member (Czech Republic)	Sign formal agreement	Labor Party (Czech Republic)	2008-01-12
Muslim (Indonesia)	Consult	Christian (Indonesia)	2005-05-30
Japan	Sign formal agreement	South Korea	2008-10-02
Kuwait	Consult	Head of Government (Egypt)	2015-01-07
Media Personnel (International)	Consult	Mehdi Karrubi	2005-06-23
Jusuf Kalla	Consult	City Mayor (Indonesia)	2009-09-30
Malaysia	Express intent to cooperate	Vietnam	2015-08-10
Pervez Musharraf	Express intent to cooperate	Government (Pakistan)	2007-09-05
Abdullah Gül	Engage in negotiation	Barack Obama	2009-10-21
Thailand	Engage in diplomatic cooperation	Cambodia	2005-03-12
Vietnam	Consult	Laos	2008-02-05
Eimert van Middelkoop	Consult	Jaroslav Baska	2008-04-24
Yoshihiko Noda	Express intent to cooperate	Lee Myung Bak	2012-09-12
Barack Obama	Engage in negotiation	Angela Merkel	2009-07-10
Sudan	Express intent to cooperate	South Sudan	2013-04-25
Envoy (United States)	Engage in negotiation	Foreign Affairs (Lebanon)	2005-02-16
Military Personnel (Cote d'Ivoire)	Consult	Boureima Badini	2009-02-06
South Korea	Consult	China	2015-06-25
Malawi	Consult	Madagascar	2010-03-02
Japan	Express intent to cooperate	Thailand	2005-08-03
Rebel Group (Central African Republic)	Sign formal agreement	François Bozizé	2013-01-11
Sandinista National Liberation Front	Engage in negotiation	Government (Nicaragua)	2005-01-14
Wen Jiabao	Engage in negotiation	Abhisit Vejjajiva	2009-06-25
South Africa	Consult	Angola	2013-10-30
Iran	Engage in diplomatic cooperation	Djibouti	2008-11-05
Sheikh Hamad bin Khalifa al-Thani	Consult	Congress (Qatar)	2005-03-30
Tanzania	Consult	South Africa	2010-02-02
Benjamin Netanyahu	Consult	Barack Obama	2015-07-14
Catherine Ashton	Consult	Ministry (Poland)	2010-12-21
Angela Merkel	Consult	Barack Obama	2014-05-07
Benjamin Netanyahu	Consult	Catherine Ashton	2012-05-08
South Korea	Consult	Japan	2008-10-03
UN Security Council	Consult	Shaukat Aziz	2007-01-18
Colombia	Engage in negotiation	Mexico	2011-12-04
China	Consult	Japan	2007-03-19
France	Consult	Education Ministry (France)	2015-12-14
Thailand	Express intent to cooperate	Ireland	2006-09-15
Yasuo Fukuda	Consult	Xi Jinping	2014-08-27
Iran	Engage in diplomatic cooperation	China	2006-06-19
China	Sign formal agreement	South Korea	2008-12-25
China	Consult	Japan	2005-02-14
Xi Jinping	Discuss by telephone	Barack Obama	2013-03-15
Togo	Consult	International Monetary Fund	2015-11-15
African Union	Consult	Head of Government (Ghana)	2009-06-30
Iraq	Engage in diplomatic cooperation	Iran	2014-12-17
Kuwait	Consult	Qatar	2012-01-29
China	Engage in diplomatic cooperation	Japan	2005-12-11
African Union	Consult	UN Security Council	2006-06-07
Lien Chan	Consult	China	2007-04-30
China	Consult	Japan	2012-09-03
Iraq	Engage in diplomatic cooperation	Kuwait	2015-02-27
Mahmoud Abbas	Consult	Head of Government (Egypt)	2014-08-23
Dmitry Anatolyevich Medvedev	Consult	Barack Obama	2011-05-30
Antonis Samaras	Consult	Yannis Stournaras	2014-02-08
Ethiopia	Engage in negotiation	Djibouti	2013-12-20
Gurbanguly Berdymukhammedov	Consult	Alexander Stubb	2008-06-06
Japan	Engage in diplomatic cooperation	China	2014-12-01
Media Personnel (Colombia)	Consult	Agence France-Presse	2008-10-04
Antonis Samaras	Consult	Zhang Dejiang	2013-05-15
Vietnam	Engage in diplomatic cooperation	Cambodia	2007-11-12
Japan	Sign formal agreement	South Korea	2007-02-15
Sergei Ivanovich Shmatkó	Sign formal agreement	Kazakhstan	2009-09-11
Tzipi Livni	Meet at a 'third' location	Mahmoud Abbas	2011-12-01
Ronald Kirk	Engage in negotiation	Igor Ivanovich Shuvalov	2009-07-01
China	Consult	Association of Southeast Asian Nations	2005-06-13
Antonis Samaras	Consult	Yannis Stournaras	2013-04-10
John Faulkner	Consult	Ministry (Sri Lanka)	2010-06-07
Radio Rwanda	Consult	Jean Baptiste Rucibigango	2009-11-02
