,head,relation,tail,time
429,African Union,Consult,UN Security Council,2005-01-10
430,South Korea,Express intent to cooperate,Japan,2005-12-26
431,Yemen,Sign formal agreement,Djibouti,2006-05-09
432,Head of Government (Mongolia),Consult,Xiao Yang,2006-04-06
433,Boko Haram,Use conventional military force,Government (Nigeria),2015-10-14
434,Macky Sall,Make statement,Muhammad VI,2013-03-19
435,Japan,Express intent to cooperate,China,2005-09-05
436,Cambodia,Express intent to meet or negotiate,Laos,2006-12-01
437,China,Sign formal agreement,Japan,2008-11-04
438,Japan,Consult,China,2008-10-03
439,China,Engage in negotiation,Straits Exchange Foundation,2009-12-03
440,Xi Jinping,Discuss by telephone,Cristina Fernández de Kirchner,2014-10-29
441,China,Consult,South Korea,2007-07-16
442,Maldives,Sign formal agreement,China,2015-04-22
443,Sheikh Hamad bin Isa al Khalifah,Engage in negotiation,Mahmoud Abbas,2006-09-04
444,United Arab Emirates,Consult,Qatar,2014-08-25
445,China,Consult,Cambodia,2015-05-04
446,Government (Nigeria),Consult,Labor Union (Nigeria),2015-09-07
447,Radoslaw Sikorski,Consult,Ministry (Afghanistan),2008-07-14
448,William Ruto,Consult,Uhuru Muigai Kenyatta,2006-12-20
449,Media (Africa),Consult,Professor (France),2015-12-02
450,Laos,Express intent to cooperate,Cambodia,2007-01-22
451,Head of Government (India),Engage in negotiation,Tariq Aziz,2005-10-26
452,Lesotho,Consult,South Africa,2005-08-01
453,Head of Government (Ukraine),Consult,Angela Merkel,2015-09-19
454,Lawmaker (Japan),Consult,Zhang Dejiang,2014-05-06
455,Government Official (Taiwan),Consult,Businessperson (Taiwan),2006-07-28
456,Mahmoud Abbas,Consult,Catherine Ashton,2011-10-05
457,South Korea,Consult,China,2012-12-06
458,China,Express intent to cooperate,South Africa,2014-11-16
459,Qatar,Sign formal agreement,Thailand,2010-05-13
460,Mahmoud Ahmadinejad,Engage in negotiation,Bolivia,2012-06-20
461,Thailand,Consult,Cambodia,2005-07-04
462,Japan,Express intent to cooperate,Cambodia,2013-12-16
463,Colombia,Consult,Mexico,2013-05-23
464,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2012-05-11
465,Kuomintang,Engage in negotiation,Eric Chu,2015-05-08
466,Japan,Engage in negotiation,South Korea,2005-11-11
467,China,Sign formal agreement,Association of Southeast Asian Nations,2014-11-13
468,Abhisit Vejjajiva,"Reject plan, agreement to settle dispute",Citizen (Thailand),2010-03-29
469,South Korea,Consult,China,2010-05-07
470,Xi Jinping,Consult,South Korea,2009-05-05
471,Ethiopia,Accuse,Eritrea,2015-09-15
472,Media Personnel (Pakistan),Sign formal agreement,Government (Pakistan),2014-05-22
473,Angela Merkel,Consult,Abdullah Gül,2005-11-24
474,Angela Merkel,Engage in negotiation,Barack Obama,2013-06-11
475,Kazakhstan,Consult,Iran,2015-02-02
476,Foreign Affairs (India),Consult,Sher Bahadur Deuba,2015-09-19
477,Wang Yi,Consult,Foreign Affairs (Malaysia),2013-08-28
478,Foreign Affairs (Malaysia),Consult,Wang Yi,2013-08-28
479,Japan,Criticize or denounce,China,2005-04-13
480,Thailand,Consult,Laos,2012-07-01
481,Mahmoud Abbas,Consult,Tony Blair,2010-10-22
482,Benjamin Netanyahu,Engage in negotiation,Ali Abdullah Saleh,2009-10-04
483,Iraq,Express intent to meet or negotiate,Mahmoud Ahmadinejad,2008-02-25
484,Other Authorities / Officials (Nigeria),Consult,Daily Trust,2005-08-08
485,Japan,Express intent to meet or negotiate,China,2007-02-15
486,Eurasian Economic Community,Express intent to meet or negotiate,Head of Government (Belarus),2006-10-20
487,Noppadon Pattama,Consult,Charge D'affaires (Saudi Arabia),2008-03-07
488,Laos,Express intent to meet or negotiate,Thailand,2005-07-05
489,Envoy (United States),Engage in negotiation,Benjamin Netanyahu,2010-08-11
490,China,Sign formal agreement,Maldives,2015-04-22
491,Umar Farooq,Consult,Head of Government (Pakistan),2006-01-03
492,Government (Nigeria),Use conventional military force,Boko Haram,2015-10-14
493,Barack Obama,Engage in negotiation,Benjamin Netanyahu,2011-05-24
494,Japan,Criticize or denounce,South Korea,2006-08-28
495,Japan,Express intent to cooperate,China,2006-02-07
496,South Korea,Engage in negotiation,China,2014-10-21
497,China,Consult,Japan,2006-05-18
498,Foreign Affairs (India),Consult,China,2015-02-23
499,Shivshankar Menon,Consult,A.K. Antony,2009-04-23
500,South Korea,Sign formal agreement,Vietnam,2006-06-21
501,Tony Blair,Consult,The Sunday Times,2007-02-16
502,Nuri al-Maliki,Express intent to meet or negotiate,Iraq,2011-01-03
503,China,Engage in diplomatic cooperation,Japan,2006-11-18
504,Sanda Raskovic Ivic,Consult,United Nations Interim Administration in Kosovo,2005-09-21
505,Japan,Consult,Thanong Bidaya,2005-04-26
506,Oman,Engage in diplomatic cooperation,Middle East,2008-04-22
507,Justicialist Party,Express intent to cooperate,Cristina Fernández de Kirchner,2014-04-17
508,Angela Merkel,Express intent to cooperate,Barack Obama,2015-01-27
509,South Korea,Express intent to cooperate,China,2011-08-28
510,Democratic Party,Consult,Grand National Party,2009-12-23
511,Japan,Engage in diplomatic cooperation,China,2006-11-18
512,Associated Press,Discuss by telephone,China,2005-10-11
513,Pervez Musharraf,Express intent to cooperate,Shaukat Aziz,2005-07-30
514,South Africa,Consult,China,2008-07-09
515,Dmitry Anatolyevich Medvedev,Consult,United Russia,2010-06-23
516,Labor Union (Nigeria),Sign formal agreement,Government (Nigeria),2011-02-04
517,Iran,Consult,Oman,2014-03-12
518,Aceh,Express intent to meet or negotiate,Aceh,2005-05-16
519,Foreign Affairs (Nepal),Express intent to cooperate,Khandu Wangchuk,2005-09-08
520,Iran,Consult,Islamic Preacher (Iran),2013-11-13
521,Military (Cambodia),Use conventional military force,Thailand,2008-10-15
522,Planning Commission (India),Consult,Media (India),2009-05-19
523,Yerlan Idrisov,Consult,Envoy (United States),2012-10-04
524,Head of Government (Egypt),Consult,Benjamin Netanyahu,2012-11-19
525,Anna Fotyga,Engage in negotiation,Ministry (Poland),2008-07-04
526,Iran,Engage in diplomatic cooperation,Iraq,2014-02-19
527,Abdullah Gül,Sign formal agreement,Dmitry Anatolyevich Medvedev,2009-02-14
528,Japan,Express intent to meet or negotiate,Mexico,2012-01-27
529,Police (Syria),Consult,Al Jazeera,2011-09-06
530,African Union,Consult,Head of Government (Chad),2005-12-27
531,Japan,Engage in diplomatic cooperation,China,2014-11-11
532,Legislature (Romania),Consult,Senate (Romania),2015-11-16
533,China,Engage in diplomatic cooperation,Japan,2007-11-20
534,Thailand,Sign formal agreement,Malaysia,2013-01-10
535,Barack Obama,Express intent to cooperate,Royal Administration (Saudi Arabia),2010-07-01
536,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2011-07-04
537,Laos,Consult,Cambodia,2008-11-10
538,Benjamin Netanyahu,Consult,Police (Israel),2014-06-14
539,Giorgi Kvirikashvili,Consult,Edgars Rinkevics,2015-09-29
540,Cambodia,Engage in diplomatic cooperation,China,2012-05-28
541,Rashid Gumarovich Nurgaliyev,Express intent to meet or negotiate,Dmitry Anatolyevich Medvedev,2007-06-01
542,Vietnam,Engage in diplomatic cooperation,Iran,2013-04-15
543,Association of Southeast Asian Nations,Express intent to cooperate,China,2013-07-01
544,Labor Union (Nigeria),Sign formal agreement,Government (Nigeria),2013-08-12
545,South Korea,Consult,Defense / Security Ministry (United States),2006-10-18
546,Foreign Affairs (South Africa),Consult,Foreign Affairs (Israel),2012-12-07
547,Abdullah Gül,Consult,Mahmoud Abbas,2007-05-16
548,Vietnam,Consult,Japan,2005-12-02
549,China,Make statement,South Korea,2011-07-15
550,Al Jazeera,Consult,Media Personnel (China),2008-04-26
551,Other Authorities / Officials (Nigeria),Consult,Chevron,2010-08-04
552,The Chronicle,Consult,New Patriotic Party,2010-04-19
553,Ministry (Poland),Engage in negotiation,Anna Fotyga,2008-07-04
554,Association of Southeast Asian Nations,Sign formal agreement,China,2014-11-13
555,Yemen,Consult,China,2009-04-19
556,China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2010-12-11
557,Abdullah Gül,Consult,Qabus ibn Sa`id,2010-04-14
558,Iran,Meet at a 'third' location,Kuwait,2005-04-30
559,Japan,Consult,China,2010-05-07
560,Benjamin Netanyahu,Consult,Dmitry Anatolyevich Medvedev,2010-12-04
561,Envoy (United States),Consult,Pervez Musharraf,2007-09-13
562,Association of Southeast Asian Nations,Halt negotiations,China,2009-04-16
563,Colombia,Sign formal agreement,Guatemala,2007-08-13
564,Head of Government (Nigeria),Make an appeal or request,Oluṣẹgun Ọbasanjọ,2006-05-03
565,Jack Straw,Sign formal agreement,Abdullah Gül,2005-10-09
566,Grand National Party,Consult,Business (South Korea),2010-11-03
567,Uhuru Muigai Kenyatta,Consult,Xi Jinping,2013-08-20
568,South Korea,Express intent to meet or negotiate,China,2010-02-16
569,Umaru Musa Yar'Adua,Praise or endorse,Umaru Musa Yar'Adua,2009-02-19
570,Tony Blair,Engage in negotiation,Bertie Ahern,2007-03-10
571,Media Personnel (Japan),Consult,Japan,2006-07-04
572,South Korea,Engage in diplomatic cooperation,Japan,2009-05-03
573,Vietnam,Express intent to cooperate,Laos,2009-07-04
574,Jacob J. Lew,Discuss by telephone,Alexis Tsipras,2015-05-28
575,Thailand,Share intelligence or information,Head of Government (India),2013-05-31
576,Japan,Consult,China,2007-10-28
577,South Korea,Engage in negotiation,China,2010-05-14
578,Cabinet / Council of Ministers / Advisors (Jordan),Consult,Thailand,2005-04-25
579,Benjamin Netanyahu,Consult,Angela Merkel,2011-01-31
580,Businessperson (Taiwan),Consult,Government Official (Taiwan),2006-07-28
581,China,Criticize or denounce,Japan,2005-04-13
582,France,Express intent to meet or negotiate,China,2006-09-18
583,Main Opposition (Egypt),Sign formal agreement,National Democratic Party,2010-03-15
584,Iraq,Express intent to meet or negotiate,Nuri al-Maliki,2011-01-03
585,China,Consult,South Korea,2013-12-18
586,Democratic Party,Consult,Chung Sye Kyun,2010-11-03
587,Iran,Express intent to cooperate,Iraq,2007-07-25
588,Sheikh Ahmed Abdullah,Consult,Nabih Berri,2006-12-17
589,Iran,Sign formal agreement,UN Security Council,2015-09-28
590,China,Express intent to meet or negotiate,France,2006-09-18
591,Congress (United States),Consult,Arseniy Yatsenyuk,2015-06-10
592,Sudan,Consult,Ethiopia,2005-12-29
593,Party Member (Iraq),Consult,Nuri al-Maliki,2008-10-13
594,South Korea,Engage in negotiation,Association of Southeast Asian Nations,2010-12-30
595,South Korea,Criticize or denounce,Japan,2006-08-28
596,Dmitry Anatolyevich Medvedev,Sign formal agreement,Abdullah Gül,2009-02-14
597,UN Security Council,Meet at a 'third' location,Japan,2006-10-10
598,Adrian Cioroianu,Consult,France,2007-09-05
599,Al Sharq al Awsat,Discuss by telephone,National Liberation Army,2011-08-14
600,Barack Obama,Engage in negotiation,Abdullah Gül,2009-10-18
601,Terje Roed Larsen,Consult,Tzipi Livni,2006-08-21
602,Cambodia,Express intent to engage in diplomatic cooperation (such as policy support),China,2008-12-10
603,Tariq Aziz,Engage in negotiation,Head of Government (India),2005-10-26
604,South Korea,Make statement,China,2011-07-15
605,Laos,Sign formal agreement,Vietnam,2006-01-26
606,Paramount Ruler Sirajuddin,Consult,Emperor Akihito,2005-03-07
607,Malaysia,Sign formal agreement,Thailand,2013-01-10
608,China,Engage in diplomatic cooperation,France,2005-12-07
609,Ministry (Iran),Sign formal agreement,Mahmoud Ahmadinejad,2010-11-23
610,Ministry (Tanzania),Consult,Police (Tanzania),2010-12-15
611,Government (Nigeria),Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2014-07-29
612,Thongsing Thammavong,Consult,Lee Myung Bak,2012-07-04
613,Mexico,Express intent to meet or negotiate,Japan,2005-04-13
614,South Korea,Express intent to engage in diplomatic cooperation (such as policy support),Colombia,2011-05-31
615,Senate Armed Services Committee,Consult,Raheel Sharif,2014-11-20
616,Kazakhstan,Express intent to meet or negotiate,South Korea,2007-10-05
617,Barack Obama,Consult,Iran,2013-09-17
618,China,Engage in negotiation,South Korea,2010-05-14
619,Citizen (Thailand),"Reject plan, agreement to settle dispute",Abhisit Vejjajiva,2010-03-29
620,Mahmoud Ahmadinejad,Consult,Oman,2007-05-15
621,Ma Ying Jeou,Sign formal agreement,China,2010-04-28
622,South Korea,Sign formal agreement,China,2008-01-31
623,Yemen,Engage in diplomatic cooperation,Qatar,2014-03-30
624,China,Engage in diplomatic cooperation,Cambodia,2012-05-28
625,China,Engage in diplomatic cooperation,Japan,2008-06-30
626,Media Personnel (Uganda),Discuss by telephone,Daily Monitor,2011-05-28
627,Guatemala,Sign formal agreement,Colombia,2007-08-13
628,Chuck Hagel,Express intent to meet or negotiate,Association of Southeast Asian Nations,2014-03-14
629,Iran,Engage in negotiation,Rand Paul,2015-04-08
630,Cabinet / Council of Ministers / Advisors (United States),Consult,Head of Government (Egypt),2014-09-23
631,Envoy (United States),Consult,Kim Kye Gwan,2007-07-17
632,Colombia,Make statement,Rafael Correa,2008-03-04
633,Governor (Thailand),Consult,Boonrawd Somtat,2006-10-16
634,Government Official (Japan),Make statement,Lawmaker (Japan),2007-01-16
635,Sergey Vladilenovich Kiriyenko,Consult,Gholam Reza Aghazadeh,2006-12-11
636,Oluṣẹgun Ọbasanjọ,Consult,UN Security Council,2005-10-07
637,Japan,Consult,South Korea,2005-06-14
638,Malaysia,Consult,Cambodia,2006-09-13
639,China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2007-02-23
640,Cambodia,Express intent to cooperate,Laos,2008-01-16
641,France,Make statement,South Korea,2005-12-06
642,China,Express intent to cooperate,Defense / Security Ministry (Chile),2007-05-15
643,Mahmoud Abbas,Discuss by telephone,Benjamin Netanyahu,2015-07-18
644,France,Engage in diplomatic cooperation,Vietnam,2010-01-26
645,Gurbanguly Berdymukhammedov,Consult,Dmitry Anatolyevich Medvedev,2009-08-20
646,Amina Mohamed,Engage in negotiation,Sheikh Ahmed Abdullah,2015-06-09
647,Yasuo Fukuda,Consult,Head of Government (South Korea),2008-04-21
648,Herman Van Rompuy,Engage in negotiation,Angela Merkel,2010-02-11
649,Republic of South Ossetia,Express intent to meet or negotiate,Zurab Nogaideli,2005-10-28
650,Xi Jinping,Consult,Head of Government (India),2014-06-30
651,South Korea,Consult,Head of Government (Turkmenistan),2014-06-16
652,Cambodia,Express intent to meet or negotiate,Thailand,2005-07-05
653,China,Consult,Thailand,2006-01-13
654,Cristina Fernández de Kirchner,Express intent to cooperate,Angela Merkel,2013-01-27
655,Defense / Security Ministry (United States),Consult,South Korea,2006-10-18
656,Cristina Fernández de Kirchner,Express intent to cooperate,Justicialist Party,2014-04-17
657,Wang Yi,Engage in negotiation,Benjamin Netanyahu,2013-12-17
658,Benjamin Netanyahu,Express intent to meet or negotiate,Mahmoud Abbas,2010-09-03
659,Police (Indonesia),Engage in material cooperation,Business (Indonesia),2006-02-25
660,Iran,Engage in diplomatic cooperation,Iraq,2009-05-26
661,Head of Government (Cuba),Consult,Evo Morales,2009-10-22
662,Kuwait,Consult,Qatar,2015-10-01
663,Iran,Consult,Kazakhstan,2015-02-02
664,Qatar,Consult,Kuwait,2015-10-01
665,Wang Yi,Consult,Kim Kye Gwan,2013-06-21
666,Iran,Make pessimistic comment,Mexico,2015-12-03
667,Ashraf Ghani Ahmadzai,Sign formal agreement,Gurbanguly Berdymukhammedov,2015-01-22
668,Representatives (Sudan),Consult,Ministry (Sudan),2012-01-11
669,Agence France-Presse,Consult,Jack Straw,2006-01-07
670,China,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2014-12-25
671,China,Express intent to engage in diplomatic cooperation (such as policy support),Vietnam,2009-03-20
672,Bolivia,Engage in negotiation,Mahmoud Ahmadinejad,2012-06-20
673,Emmanuel Eweta Uduaghan,Consult,Ministry (Nigeria),2013-03-18
674,City Mayor (Philippines),Engage in negotiation,Police (Philippines),2014-01-31
675,Senate (Saudi Arabia),Consult,Umaru Musa Yar'Adua,2010-02-05
676,William Ruto,Express intent to meet or negotiate,Uhuru Muigai Kenyatta,2012-02-03
677,Mahmoud Ahmadinejad,Sign formal agreement,Ministry (Iran),2010-11-23
678,China,Express intent to cooperate,Association of Southeast Asian Nations,2013-07-01
679,Mohamed Ould Abdel Aziz,Engage in negotiation,Mahmoud Ahmadinejad,2010-01-26
680,Colombia,Cooperate economically,Japan,2012-09-25
681,Vietnam,Engage in diplomatic cooperation,Japan,2006-11-10
682,Benjamin Netanyahu,Consult,Head of Government (Egypt),2012-11-19
683,Haider Al-Abadi,Consult,Head of Government (Egypt),2015-12-07
684,China,"Declare truce, ceasefire",South Korea,2007-01-14
685,Iran,Sign formal agreement,Iraq,2005-10-05
686,Iraq,Engage in diplomatic cooperation,Iran,2008-06-09
687,Nabil Shaath,Consult,Saud bin Faisal bin Abdul-Aziz,2006-07-03
688,Cambodia,Consult,Japan,2007-04-03
689,Japan,Express intent to meet or negotiate,China,2006-11-15
690,Education Ministry (France),Consult,Education Ministry (Saudi Arabia),2008-03-26
691,Yemen,Engage in negotiation,Sudan,2007-02-19
692,Head of Government (Brazil),Consult,Ministry (Brazil),2014-10-23
693,Eric Chu,Engage in negotiation,Kuomintang,2015-05-08
694,Colombia,Sign formal agreement,South Korea,2015-04-18
695,Daily Monitor,Discuss by telephone,Media Personnel (Uganda),2011-05-28
696,Sudan,Engage in negotiation,Yemen,2007-02-19
697,Representatives (Algeria),Consult,Education Ministry (Algeria),2014-11-17
698,Mexico,Sign formal agreement,Japan,2006-03-20
699,Mahmoud Ahmadinejad,Engage in negotiation,Mohamed Ould Abdel Aziz,2010-01-26
700,Pervez Musharraf,Meet at a 'third' location,Benazir Bhutto,2007-08-11
701,Archbishop (Zambia),Consult,Michael Sata,2012-08-10
702,Arseniy Yatsenyuk,Consult,Dmitry Anatolyevich Medvedev,2014-03-01
703,Iran,Consult,Javier Solana,2008-03-15
704,Oluṣẹgun Ọbasanjọ,Consult,Government (Nigeria),2014-05-13
705,Prime Minister Chaudhry,Consult,Frank Bainimarama,2008-07-24
706,Cláudio Lembo,Consult,Ministry (Brazil),2006-07-07
707,France,Engage in diplomatic cooperation,China,2005-05-03
708,Thailand,Express intent to engage in diplomatic cooperation (such as policy support),Vietnam,2012-10-25
709,Javier Solana,Consult,Tzipi Livni,2009-06-12
710,Iraq,Engage in negotiation,Envoy (United States),2005-10-11
711,Daily Monitor,Discuss by telephone,Indigenous People (Uganda),2012-01-23
712,Government (Sudan),Express intent to meet or negotiate,Rebel Group (Tanzania),2007-07-19
713,Barack Obama,Discuss by telephone,Angela Merkel,2014-03-08
714,Envoy (United States),Consult,Mahmoud Abbas,2005-04-21
715,Wen Jiabao,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2005-08-01
716,Japan,Sign formal agreement,China,2008-11-04
717,Angela Merkel,Discuss by telephone,Benedict XVI,2009-02-08
718,South Korea,Express intent to meet or negotiate,Japan,2005-12-01
719,China,Engage in negotiation,Japan,2007-08-24
720,Benjamin Netanyahu,Engage in negotiation,Mahmoud Abbas,2015-10-23
721,Ministry (Brazil),Consult,Cláudio Lembo,2006-07-07
722,Cristina Fernández de Kirchner,Consult,Head of Government (Uruguay),2013-04-11
723,South Sudan,Consult,Sudan,2013-01-04
724,Iran,Meet at a 'third' location,Cabinet / Council of Ministers / Advisors (United States),2013-11-23
725,Royal Administration (South Africa),Consult,Government (South Africa),2012-05-31
726,Agriculture / Fishing / Forestry Ministry (Vietnam),Consult,Agriculture / Fishing / Forestry Ministry (Laos),2007-08-28
727,Barack Obama,Consult,Raúl Castro,2015-04-15
728,Royal Administration (Jordan),Engage in negotiation,Mahmoud Abbas,2005-10-18
729,China,Sign formal agreement,Japan,2009-05-22
730,China,Consult,Japan,2007-10-28
731,Defense / Security Ministry (Chile),Express intent to cooperate,China,2007-05-15
732,China,Accuse,Vietnam,2014-06-10
733,Oman,Consult,Mahmoud Ahmadinejad,2007-05-15
734,Guerrilla (Colombia),Make statement,National Liberation Army,2011-08-04
735,Ali Abdullah Saleh,Consult,Sheikh Hamad bin Khalifa al-Thani,2011-01-28
736,Chris Huhne,Make statement,Economist (Greece),2013-02-07
737,China,Make optimistic comment,Colombia,2009-02-15
738,South Africa,Consult,China,2012-03-28
739,National Transitional Council,Make statement,National Transitional Council,2012-07-02
740,Cambodia,Engage in diplomatic cooperation,Vietnam,2008-03-24
741,Catherine Ashton,Consult,Tony Blair,2012-01-24
742,Lee Myung Bak,Consult,Thongsing Thammavong,2012-07-04
743,Cristina Fernández de Kirchner,Consult,Japan,2014-01-31
744,Japan,Express intent to cooperate,China,2015-10-28
745,Kazakhstan,Consult,China,2006-11-22
746,Iraq,Make statement,City Mayor (Iraq),2014-02-22
747,France,Sign formal agreement,China,2015-07-27
748,China,Express intent to meet or negotiate,Japan,2005-05-27
749,China,Express intent to meet or negotiate,Japan,2007-02-15
750,Mahmoud Abbas,Consult,Abdullah Gül,2012-03-01
751,Cabinet / Council of Ministers / Advisors (United States),Consult,Saud bin Faisal bin Abdul-Aziz,2011-09-21
752,France,Express intent to cooperate,Mauritania,2009-10-15
753,Cabinet / Council of Ministers / Advisors (United States),Meet at a 'third' location,Iran,2013-11-23
754,Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Lee Myung Bak,2008-11-11
755,Cabinet / Council of Ministers / Advisors (United States),Engage in negotiation,African Union,2005-06-03
756,Toomas Hendrik Ilves,Engage in negotiation,Solomon Passy,2009-02-05
757,United Arab Emirates,Consult,Kuwait,2014-09-15
758,Oman,Sign formal agreement,Malaysia,2015-10-22
759,Education Ministry (Saudi Arabia),Consult,Education Ministry (France),2008-03-26
760,Laos,Express intent to cooperate,Japan,2007-05-16
761,Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Government (Nigeria),2014-07-29
762,Head of Government (Qatar),Engage in negotiation,Nuri al-Maliki,2011-10-30
763,Iran,Sign formal agreement,Barack Obama,2015-02-22
764,Yemen,Consult,Representatives (Yemen),2008-03-21
765,South Korea,Express intent to cooperate,Japan,2006-07-03
766,Angela Merkel,Consult,Wen Jiabao,2006-09-15
767,Japan,Engage in negotiation,China,2011-12-02
768,Daniel Scioli,Discuss by telephone,Cristina Fernández de Kirchner,2015-11-09
769,China,Engage in diplomatic cooperation,Vietnam,2015-05-20
770,South Korea,Sign formal agreement,Colombia,2012-07-16
771,Citizen (Australia),Express intent to cooperate,City Mayor (Australia),2015-02-23
772,France,Engage in diplomatic cooperation,China,2005-12-07
773,Foreign Affairs (Singapore),Consult,Saud bin Faisal bin Abdul-Aziz,2007-09-27
774,Foreign Affairs (Singapore),Consult,Foreign Affairs (Romania),2010-04-04
775,Labor Union (Nigeria),Consult,Government (Nigeria),2015-09-07
776,USAID,Sign formal agreement,Chevron,2011-03-02
777,China,Sign formal agreement,Association of Southeast Asian Nations,2009-07-09
778,Hui Liangyu,Consult,Andrzej Lepper,2006-11-30
779,WAM news agency,Consult,United Arab Emirates,2006-08-05
780,Cabinet / Council of Ministers / Advisors (Thailand),Express intent to meet or negotiate,Thailand,2015-05-26
781,Philip Hammond,Express intent to meet or negotiate,Daniel Mitov,2015-01-14
782,Police (Australia),Make an appeal or request,Citizen (Australia),2008-01-21
783,Citizen (Benin),Use unconventional violence,Oodua Peoples Congress,2014-12-23
784,Xiao Yang,Consult,Head of Government (Mongolia),2006-04-06
785,Jack Straw,Consult,Agence France-Presse,2006-01-07
786,South Korea,Sign formal agreement,China,2009-12-16
787,Japan,Express intent to cooperate,South Korea,2005-08-04
788,Japan,Engage in diplomatic cooperation,Yemen,2007-03-07
789,Yasuo Fukuda,Engage in negotiation,Wen Jiabao,2007-12-28
790,Arseniy Yatsenyuk,Consult,Congress (United States),2015-06-10
791,National Liberation Army,Discuss by telephone,Al Sharq al Awsat,2011-08-14
792,Ethiopia,Consult,South Sudan,2012-04-26
793,Japan,Consult,Cristina Fernández de Kirchner,2014-01-31
794,Thailand,Consult,Iran,2005-11-26
795,Cabinet / Council of Ministers / Advisors (United States),Consult,Angela Merkel,2015-10-24
796,China,Make an appeal or request,Japan,2007-01-17
797,Head of Government (Egypt),Meet at a 'third' location,Javier Solana,2009-01-27
798,Zurab Nogaideli,Express intent to meet or negotiate,Republic of South Ossetia,2005-10-28
799,Vietnam,Engage in diplomatic cooperation,China,2015-05-20
800,Citizen (Sudan),Consult,Media (Africa),2014-04-08
801,Thailand,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-12-25
802,Mikhail Yefimovich Fradkov,Meet at a 'third' location,Mikhail Yefimovich Fradkov,2005-07-06
803,Evo Morales,Consult,Head of Government (Cuba),2009-10-22
804,Member of Parliament (Brazil),Express intent to meet or negotiate,Citizen (Brazil),2012-03-01
805,Israeli Defense Forces,Make statement,Israeli Defense Forces,2007-03-16
806,Aceh,Provide aid,Aceh,2005-01-11
807,Vietnam,Engage in negotiation,Laos,2005-08-01
808,Ministry (Sudan),Consult,Representatives (Sudan),2012-01-11
809,Barack Obama,Sign formal agreement,Iran,2015-02-22
810,Mexico,Consult,South Korea,2015-08-11
811,Cristina Fernández de Kirchner,Discuss by telephone,Daniel Scioli,2015-11-09
812,Media Personnel (Uganda),Consult,Daily Monitor,2010-07-22
813,Colombia,Make optimistic comment,China,2009-02-15
814,Benjamin Netanyahu,Discuss by telephone,Mahmoud Abbas,2015-07-18
815,Japan,Express intent to cooperate,Laos,2007-05-16
816,Okada Katsuya,Consult,Toru Hashimoto,2015-08-31
817,Laos,Consult,Cambodia,2008-10-22
818,Mexico,Express intent to meet or negotiate,Japan,2012-01-27
819,South Africa,Consult,Lesotho,2005-08-01
820,Citizen (Australia),Make optimistic comment,Japan,2006-03-12
821,Bertie Ahern,Engage in negotiation,Tony Blair,2007-03-10
822,China,Consult,France,2008-11-17
823,South Korea,Express intent to meet or negotiate,Kazakhstan,2007-10-05
824,Wen Jiabao,Engage in negotiation,Yasuo Fukuda,2007-12-28
825,France,Consult,China,2010-01-08
826,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),China,2009-03-20
827,Kim Kye Gwan,Consult,Wang Yi,2013-06-21
828,Japan,Consult,Alberto Fujimori,2005-11-17
829,Iraq,Use conventional military force,Mahdi Army,2008-04-01
830,Rand Paul,Engage in negotiation,Iran,2015-04-08
831,Media Personnel (Iran),Consult,Media Personnel (International),2007-06-17
832,Japan,Express intent to meet or negotiate,South Korea,2011-06-28
833,Mehr News Agency,Consult,Mohammad Reza Naqdi,2009-11-30
834,James Baker,Consult,Association of Southeast Asian Nations,2005-07-29
835,City Mayor (Croatia),Consult,Hannes Swoboda,2014-05-20
836,Government (Pakistan),Sign formal agreement,Media Personnel (Pakistan),2014-05-22
837,Barack Obama,"Reject proposal to meet, discuss, or negotiate",Benjamin Netanyahu,2015-01-26
838,Japan,Make optimistic comment,Citizen (Australia),2006-03-12
839,Dmitry Anatolyevich Medvedev,Consult,Gurbanguly Berdymukhammedov,2009-08-20
840,Military Personnel - Special (India),fight with small arms and light weapons,Separatist (India),2015-09-10
841,Mahmoud Abbas,Express intent to meet or negotiate,Benjamin Netanyahu,2010-09-03
842,Media Personnel (China),Consult,Al Jazeera,2008-04-26
843,Iran,Consult,Barack Obama,2015-05-17
844,New Patriotic Party,Consult,The Chronicle,2010-04-19
845,Military (Cambodia),fight with small arms and light weapons,Thailand,2010-04-19
846,Cristina Fernández de Kirchner,Consult,Daniel Scioli,2015-11-23
847,Javier Solana,Meet at a 'third' location,Head of Government (Egypt),2009-01-27
848,Economist (Greece),Make statement,Chris Huhne,2013-02-07
849,Japan,Express intent to cooperate,South Korea,2005-12-26
850,Iran Khodro Company,Sign formal agreement,Head of Government (Turkmenistan),2007-06-16
851,Government Affiliated Bank (Singapore),Express intent to meet or negotiate,Citizen (Singapore),2006-09-08
