head	relation	tail	time
Police (Philippines)	Make statement	Secret Agent (Philippines)	2014-06-13
Police (Philippines)	Make statement	Criminal (Philippines)	2014-02-24
Police (Philippines)	Make statement	Philippines	2014-12-06
Police (Philippines)	Make statement	Criminal (Philippines)	2014-07-10
Police (Philippines)	Make statement	Military (Philippines)	2014-12-04
Police (Philippines)	Make statement	Philippines	2014-10-29
Police (Philippines)	Make statement	Criminal (Philippines)	2014-05-06
Police (Philippines)	Make statement	Philippines	2014-09-30
Police (Philippines)	Make statement	Criminal (Philippines)	2014-02-15
Police (Philippines)	Make statement	Criminal (Philippines)	2014-08-04
Police (Philippines)	Make statement	Military (Philippines)	2014-02-25
Police (Philippines)	Make statement	Criminal (Philippines)	2014-07-05
Police (Philippines)	Make statement	Employee (Philippines)	2014-03-02
Police (Philippines)	Make statement	Employee (Philippines)	2014-11-30
Armenia	Cooperate militarily	Separatist (Armenia)	2014-10-27
City Mayor (Iraq)	Make statement	Iraq	2014-10-12
City Mayor (Iraq)	Make statement	Iraq	2014-02-22
Vietnam	Engage in diplomatic cooperation	China	2014-10-28
Vietnam	Engage in diplomatic cooperation	Association of Southeast Asian Nations	2014-09-15
Vietnam	Engage in diplomatic cooperation	Japan	2014-05-16
Vietnam	Engage in diplomatic cooperation	Cambodia	2014-12-25
Vietnam	Engage in diplomatic cooperation	China	2014-10-29
Vietnam	Engage in diplomatic cooperation	China	2014-06-19
Vietnam	Engage in diplomatic cooperation	Tanzania	2014-10-28
Member of Parliament (Australia)	Make statement	Campbell Newman	2014-07-04
Member of Parliament (Australia)	Make statement	Cabinet / Council of Ministers / Advisors (Australia)	2014-04-03
Police (Sudan)	Make statement	Sudan	2014-05-18
Police (Sudan)	Make statement	Student (Sudan)	2014-03-17
Election Commission (India)	Accuse	Citizen (India)	2014-03-07
Election Commission (India)	Accuse	Citizen (India)	2014-07-13
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-27
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-21
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-01-12
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-07-05
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-03-01
Protester (Egypt)	Protest violently, riot	Abdel Fattah Al-Sisi	2014-03-28
Protester (Egypt)	Protest violently, riot	Police (Egypt)	2014-08-12
Foreign Affairs (Russia)	Make statement	North Atlantic Treaty Organization	2014-05-01
Foreign Affairs (Russia)	Make statement	Iraq	2014-02-20
Foreign Affairs (Russia)	Make statement	Other Authorities / Officials (Romania)	2014-05-18
Foreign Affairs (Russia)	Make statement	John Kerry	2014-04-13
Foreign Affairs (Russia)	Make statement	RIA Novosti	2014-08-23
Foreign Affairs (Russia)	Make statement	North Atlantic Treaty Organization	2014-11-19
Foreign Affairs (Russia)	Make statement	Afghanistan	2014-12-23
Foreign Affairs (Russia)	Make statement	Maldives	2014-07-08
Foreign Affairs (Russia)	Make statement	Office of the United Nations High Commissioner for Human Rights	2014-01-17
Foreign Affairs (Russia)	Make statement	Iraq	2014-07-02
Foreign Affairs (Russia)	Make statement	Sergey Viktorovich Lavrov	2014-04-23
Foreign Affairs (Russia)	Make statement	John Kerry	2014-07-29
Foreign Affairs (Russia)	Make statement	Other Authorities / Officials (Russia)	2014-08-14
Foreign Affairs (Russia)	Make statement	Edgars Rinkevics	2014-07-22
Foreign Affairs (Russia)	Make statement	Sergey Viktorovich Lavrov	2014-03-03
Foreign Affairs (Russia)	Make statement	North Atlantic Treaty Organization	2014-03-07
Foreign Affairs (Russia)	Make statement	China	2014-03-04
Amnesty International	Criticize or denounce	Royal Administration (Saudi Arabia)	2014-03-15
Catherine Ashton	Express intent to meet or negotiate	Iran	2014-01-13
Catherine Ashton	Express intent to meet or negotiate	Iran	2014-03-03
Catherine Ashton	Express intent to meet or negotiate	Mohammad Javad Zarif	2014-04-02
Catherine Ashton	Express intent to meet or negotiate	Sergey Viktorovich Lavrov	2014-03-03
Catherine Ashton	Express intent to meet or negotiate	Qatar	2014-01-16
Catherine Ashton	Express intent to meet or negotiate	Sergey Viktorovich Lavrov	2014-02-27
Catherine Ashton	Express intent to meet or negotiate	Mohammad Javad Zarif	2014-03-15
Catherine Ashton	Express intent to meet or negotiate	Serbia	2014-04-27
Catherine Ashton	Express intent to meet or negotiate	Mohammad Javad Zarif	2014-08-26
Catherine Ashton	Express intent to meet or negotiate	Mohammad Javad Zarif	2014-05-26
Catherine Ashton	Express intent to meet or negotiate	John Kerry	2014-10-10
Catherine Ashton	Express intent to meet or negotiate	Iran	2014-03-11
Catherine Ashton	Express intent to meet or negotiate	Iran	2014-01-15
Catherine Ashton	Express intent to meet or negotiate	Mohammad Javad Zarif	2014-03-11
Catherine Ashton	Express intent to meet or negotiate	Hashim Thaçi	2014-01-16
Militant (Taliban)	Use unconventional violence	Afghanistan	2014-07-17
Militant (Taliban)	Use unconventional violence	North Atlantic Treaty Organization	2014-01-20
Militant (Taliban)	Use unconventional violence	Afghanistan	2014-03-28
Citizen (Kenya)	Criticize or denounce	Government (Kenya)	2014-12-16
Citizen (Kenya)	Criticize or denounce	Government (Kenya)	2014-06-03
Citizen (Kenya)	Criticize or denounce	Government (Kenya)	2014-11-05
Citizen (Kenya)	Criticize or denounce	Governor (Kenya)	2014-08-22
Citizen (Kenya)	Criticize or denounce	Police (Kenya)	2014-11-28
Citizen (Kenya)	Criticize or denounce	Government (Kenya)	2014-02-04
Citizen (Kenya)	Criticize or denounce	Governor (Kenya)	2014-01-28
Citizen (Kenya)	Criticize or denounce	Police (Kenya)	2014-02-11
Farm Worker (Thailand)	Demand	Ministry (Thailand)	2014-02-10
Internal Security Operations Command	Make statement	Armed Gang (Thailand)	2014-02-14
Hezbollah	Praise or endorse	Riad Salameh	2014-06-16
Protester (Ukraine)	Protest violently, riot	Police (Ukraine)	2014-02-03
Protester (Ukraine)	Protest violently, riot	Police (Ukraine)	2014-03-05
Protester (Ukraine)	Protest violently, riot	Police (Ukraine)	2014-01-13
Protester (Ukraine)	Protest violently, riot	Police (Ukraine)	2014-03-17
Protester (Ukraine)	Protest violently, riot	Police (Ukraine)	2014-02-01
Protester (Ukraine)	Protest violently, riot	Police (Ukraine)	2014-01-19
Protester (Ukraine)	Protest violently, riot	Police (Ukraine)	2014-05-08
Protester (Ukraine)	Protest violently, riot	Police (Ukraine)	2014-04-14
Protester (Ukraine)	Protest violently, riot	Police (Ukraine)	2014-01-22
Protester (Ukraine)	Protest violently, riot	Police (Ukraine)	2014-02-25
Militant (Boko Haram)	Use unconventional violence	Citizen (Nigeria)	2014-10-18
Militant (Boko Haram)	Use unconventional violence	Citizen (Nigeria)	2014-11-20
Militant (Boko Haram)	Use unconventional violence	Citizen (Nigeria)	2014-06-06
Militant (Boko Haram)	Use unconventional violence	Citizen (Nigeria)	2014-09-19
Militant (Boko Haram)	Use unconventional violence	Citizen (Nigeria)	2014-02-24
Militant (Boko Haram)	Use unconventional violence	Citizen (Nigeria)	2014-11-12
Militant (Boko Haram)	Use unconventional violence	Education (Nigeria)	2014-05-12
Benjamin Netanyahu	Accuse	Iran	2014-04-28
Benjamin Netanyahu	Accuse	Cabinet / Council of Ministers / Advisors (Israel)	2014-12-03
Benjamin Netanyahu	Accuse	Hamas	2014-06-18
Benjamin Netanyahu	Accuse	Yair Lapid	2014-12-03
Benjamin Netanyahu	Accuse	Hamas	2014-09-05
Benjamin Netanyahu	Accuse	Hamas	2014-07-11
Nguyen Phu Trong	Make optimistic comment	Vietnam	2014-04-15
Iran	Cooperate militarily	Nuri al-Maliki	2014-02-19
Iran	Cooperate militarily	Hezbollah	2014-05-29
Myanmar	Sign formal agreement	Thailand	2014-05-02
Islam Karimov	Praise or endorse	Citizen (Kyrgyzstan)	2014-08-30
Islam Karimov	Praise or endorse	George Krol	2014-12-15
Bolivia	Consult	Tajikistan	2014-04-21
Media Personnel (Iran)	Criticize or denounce	Iran	2014-08-28
Media Personnel (Iran)	Criticize or denounce	Citizen (Australia)	2014-12-17
Employee (India)	Make an appeal or request	Citizen (India)	2014-04-04
Domestic Affairs (Yemen)	Make statement	Agence France-Presse	2014-11-27
Domestic Affairs (Yemen)	Make statement	Police (Yemen)	2014-09-09
Domestic Affairs (Yemen)	Make statement	Immigrants (Ethiopia)	2014-12-30
Domestic Affairs (Yemen)	Make statement	Nur Ahmad Nikbakht	2014-02-18
Citizen (Yemen)	Use unconventional violence	South Africa	2014-12-11
Citizen (Yemen)	Use unconventional violence	Party Member (Yemen)	2014-09-27
Citizen (Yemen)	Use unconventional violence	Separatist (Yemen)	2014-02-18
Citizen (Yemen)	Use unconventional violence	Armed Rebel (Yemen)	2014-06-28
Citizen (Yemen)	Use unconventional violence	Combatant (Houthis)	2014-11-11
Citizen (Yemen)	Use unconventional violence	Militant (Yemen)	2014-09-19
Citizen (Yemen)	Use unconventional violence	Militant (Yemen)	2014-09-01
Citizen (Yemen)	Use unconventional violence	Armed Rebel (Yemen)	2014-10-27
Citizen (Yemen)	Use unconventional violence	Armed Rebel (Yemen)	2014-10-22
Citizen (Yemen)	Use unconventional violence	Armed Rebel (Yemen)	2014-09-06
Citizen (Yemen)	Use unconventional violence	Combatant (Yemen)	2014-10-20
Children (Palestinian Territory, Occupied)	Physically assault	Israeli Defense Forces	2014-11-10
Children (Palestinian Territory, Occupied)	Physically assault	Israeli Defense Forces	2014-09-10
Militant (Iraq)	Occupy territory	Iraq	2014-08-08
Militant (Iraq)	Occupy territory	Iraq	2014-06-22
Militant (Iraq)	Occupy territory	Iraq	2014-09-30
Militant (Iraq)	Occupy territory	Iraq	2014-04-08
Militant (Iraq)	Occupy territory	Iraq	2014-03-21
Militant (Iraq)	Occupy territory	Iraq	2014-08-23
Militant (Iraq)	Occupy territory	Iraq	2014-11-22
High Commission for Refugees	Make statement	Ethiopia	2014-08-20
High Commission for Refugees	Make statement	Armed Band (Central African Republic)	2014-01-06
South Sudan	Express intent to meet or negotiate	Ethiopia	2014-05-07
South Sudan	Express intent to meet or negotiate	Ethiopia	2014-01-04
Barack Obama	Engage in negotiation	Iran	2014-05-15
Barack Obama	Engage in negotiation	Royal Administration (Saudi Arabia)	2014-02-03
Barack Obama	Engage in negotiation	Xi Jinping	2014-10-19
Barack Obama	Engage in negotiation	Iran	2014-01-10
Barack Obama	Engage in negotiation	Head of Government (India)	2014-09-30
Children (Israel)	Physically assault	Jew (Israel)	2014-11-05
Mexico	Arrest, detain, or charge with legal action	Criminal (Mexico)	2014-11-12
Mexico	Arrest, detain, or charge with legal action	Criminal (El Salvador)	2014-08-11
Mexico	Arrest, detain, or charge with legal action	Armed Gang (Mexico)	2014-02-08
Mexico	Arrest, detain, or charge with legal action	Student (Mexico)	2014-10-15
Japan	Sign formal agreement	France	2014-03-15
Japan	Sign formal agreement	South Korea	2014-12-29
Japan	Sign formal agreement	North Korea	2014-06-18
Ethiopia	Express intent to engage in diplomatic cooperation (such as policy support)	Sudan	2014-03-04
Thailand	Express intent to cooperate	Cambodia	2014-10-17
Thailand	Express intent to cooperate	Vietnam	2014-12-22
Thailand	Express intent to cooperate	Cambodia	2014-06-18
Thailand	Express intent to cooperate	Vietnam	2014-06-27
Prayuth Chan-ocha	Consult	Company - Owner or Operator (Thailand)	2014-08-18
Police (Japan)	Investigate	Men (Japan)	2014-09-24
Police (Japan)	Investigate	Men (Japan)	2014-09-25
Police (Japan)	Investigate	Women (China)	2014-11-12
Court Judge (Kenya)	Make an appeal or request	Uhuru Muigai Kenyatta	2014-06-18
Serbia	Host a visit	Head of Government (China)	2014-12-02
Serbia	Host a visit	Tomislav Nikolić	2014-03-25
Serbia	Host a visit	Head of Government (China)	2014-12-16
Serbia	Host a visit	Victor Ponta	2014-07-16
Serbia	Host a visit	John Baird	2014-09-03
Serbia	Host a visit	Sergey Viktorovich Lavrov	2014-06-16
Serbia	Host a visit	Viktor Orban	2014-07-01
Femi Falana	Make statement	Government (Nigeria)	2014-02-14
Femi Falana	Make statement	Government (Nigeria)	2014-07-08
Military (Thailand)	Cooperate militarily	Thailand	2014-05-22
Police (Japan)	Arrest, detain, or charge with legal action	Men (Japan)	2014-04-30
Police (Japan)	Arrest, detain, or charge with legal action	Women (China)	2014-11-13
Police (Japan)	Arrest, detain, or charge with legal action	Men (Japan)	2014-07-31
Armed Rebel (Syria)	Use unconventional violence	Militia (Syria)	2014-05-31
Armed Rebel (Syria)	Use unconventional violence	Government (Syria)	2014-04-23
Armed Rebel (Syria)	Use unconventional violence	Militant (Syria)	2014-11-20
Armed Rebel (Syria)	Use unconventional violence	Police (Syria)	2014-02-06
Armed Rebel (Syria)	Use unconventional violence	Military (Philippines)	2014-08-30
Radoslaw Sikorski	Consult	Sergey Viktorovich Lavrov	2014-06-08
Head of Government (Egypt)	Engage in negotiation	Mohamed Ould Abdel Aziz	2014-06-26
Head of Government (Egypt)	Engage in negotiation	John Kerry	2014-10-14
Iran	Engage in diplomatic cooperation	China	2014-06-24
Iran	Engage in diplomatic cooperation	China	2014-07-08
Iran	Engage in diplomatic cooperation	China	2014-06-22
Iran	Engage in diplomatic cooperation	Iraq	2014-12-29
Iran	Engage in diplomatic cooperation	Philippines	2014-07-11
Iran	Engage in diplomatic cooperation	Oman	2014-01-29
Iran	Engage in diplomatic cooperation	Business (Iran)	2014-10-11
Iran	Engage in diplomatic cooperation	Malaysia	2014-02-18
Iran	Engage in diplomatic cooperation	Afghanistan	2014-09-08
Iran	Engage in diplomatic cooperation	Armenia	2014-05-12
Iran	Engage in diplomatic cooperation	China	2014-07-11
Iran	Engage in diplomatic cooperation	Kuwait	2014-06-02
Iran	Engage in diplomatic cooperation	Mexico	2014-12-03
Iran	Engage in diplomatic cooperation	Iraq	2014-11-19
Iran	Engage in diplomatic cooperation	United Arab Emirates	2014-04-18
Iran	Engage in diplomatic cooperation	Kuwait	2014-11-27
Iran	Engage in diplomatic cooperation	Nonaligned Movement	2014-06-07
Iran	Engage in diplomatic cooperation	Armenia	2014-05-05
Iran	Engage in diplomatic cooperation	France	2014-02-10
Iran	Engage in diplomatic cooperation	Business (Iran)	2014-01-24
Iran	Engage in diplomatic cooperation	Malaysia	2014-06-17
Iran	Engage in diplomatic cooperation	China	2014-05-22
Iran	Engage in diplomatic cooperation	Mexico	2014-09-13
Domestic Affairs (Kenya)	Make statement	Criminal (Somalia)	2014-11-22
Fumio Kishida	Express intent to meet or negotiate	Cameroon	2014-05-02
Fumio Kishida	Express intent to meet or negotiate	Japan	2014-02-21
Fumio Kishida	Express intent to meet or negotiate	South Korea	2014-01-17
Sergey Viktorovich Lavrov	Make statement	Armenia	2014-12-05
Sergey Viktorovich Lavrov	Make statement	Defense / Security Ministry (Ukraine)	2014-09-17
Sergey Viktorovich Lavrov	Make statement	Joseph Robinette Biden	2014-04-25
Sergey Viktorovich Lavrov	Make statement	Medical Personnel (Russia)	2014-02-17
Sergey Viktorovich Lavrov	Make statement	Afghanistan	2014-08-04
Sergey Viktorovich Lavrov	Make statement	UN Security Council	2014-07-29
Sergey Viktorovich Lavrov	Make statement	Foreign Affairs (Ukraine)	2014-04-21
Sergey Viktorovich Lavrov	Make statement	Media (Russia)	2014-08-18
Sergey Viktorovich Lavrov	Make statement	ITAR TASS	2014-12-27
Sergey Viktorovich Lavrov	Make statement	ITAR TASS	2014-01-16
Sergey Viktorovich Lavrov	Make statement	ITAR TASS	2014-12-16
Sergey Viktorovich Lavrov	Make statement	Interfax	2014-04-10
Marziyeh Afkham	Make empathetic comment	Iran	2014-09-07
Marziyeh Afkham	Make empathetic comment	Citizen (Malaysia)	2014-07-21
Amnesty International	Make an appeal or request	Malaysia	2014-02-06
Amnesty International	Make an appeal or request	John Baird	2014-07-24
Amnesty International	Make an appeal or request	Qatar	2014-04-23
Amnesty International	Make an appeal or request	Other Authorities / Officials (Brazil)	2014-06-06
Amnesty International	Make an appeal or request	Barack Obama	2014-03-27
Court Judge (India)	Make an appeal or request	Citizen (India)	2014-10-26
Court Judge (India)	Make an appeal or request	Citizen (India)	2014-12-21
Court Judge (India)	Make an appeal or request	Citizen (India)	2014-07-10
Court Judge (India)	Make an appeal or request	Citizen (India)	2014-08-20
Court Judge (India)	Make an appeal or request	Member of Parliament (India)	2014-12-22
Court Judge (India)	Make an appeal or request	Citizen (India)	2014-12-01
Court Judge (India)	Make an appeal or request	Citizen (India)	2014-04-01
Court Judge (India)	Make an appeal or request	Citizen (India)	2014-07-09
Court Judge (India)	Make an appeal or request	Media (India)	2014-07-15
Sergey Viktorovich Lavrov	Make a visit	Iraq	2014-02-23
Sergey Viktorovich Lavrov	Make a visit	Sudan	2014-12-01
Sergey Viktorovich Lavrov	Make a visit	Kuwait	2014-02-20
Sergey Viktorovich Lavrov	Make a visit	Iran	2014-01-04
Sergey Viktorovich Lavrov	Make a visit	France	2014-10-14
Sergey Viktorovich Lavrov	Make a visit	Iraq	2014-02-21
Sergey Viktorovich Lavrov	Make a visit	Iraq	2014-06-27
Sergey Viktorovich Lavrov	Make a visit	Ethiopia	2014-09-22
Sergey Viktorovich Lavrov	Make a visit	France	2014-01-15
Sergey Viktorovich Lavrov	Make a visit	Iraq	2014-09-15
Sergey Viktorovich Lavrov	Make a visit	Iran	2014-01-16
Sheikh Hasina Wajed	Consult	Media (Japan)	2014-05-22
Sheikh Hasina Wajed	Consult	Ashraf Ghani Ahmadzai	2014-11-30
Sheikh Hasina Wajed	Consult	Head of Government (Bangladesh)	2014-06-26
Japan	Host a visit	Benjamin Netanyahu	2014-05-12
Japan	Host a visit	Barack Obama	2014-05-04
Japan	Host a visit	Benjamin Netanyahu	2014-05-13
Japan	Host a visit	Ministry of Tourism (Croatia)	2014-11-12
Japan	Host a visit	Barack Obama	2014-02-18
Japan	Host a visit	Barack Obama	2014-04-19
Japan	Host a visit	Sheikh Hasina Wajed	2014-05-16
Japan	Host a visit	Barack Obama	2014-04-27
Japan	Host a visit	Moro Islamic Liberation Front	2014-06-27
Japan	Host a visit	Ministry (Sahrawi people)	2014-04-28
Japan	Host a visit	Barack Obama	2014-04-17
Japan	Host a visit	Chuck Hagel	2014-04-05
The Hague	Host a visit	William Ruto	2014-01-20
The Hague	Host a visit	Rafiq Hariri	2014-01-21
The Hague	Host a visit	International Government Organizations	2014-03-25
Philippines	Criticize or denounce	China	2014-04-01
Philippines	Criticize or denounce	China	2014-11-13
Philippines	Criticize or denounce	China	2014-01-11
Philippines	Criticize or denounce	China	2014-05-16
Philippines	Criticize or denounce	China	2014-11-12
Joseph Robinette Biden	Express intent to cooperate	Massoud Barzani	2014-07-09
Police (Indonesia)	Arrest, detain, or charge with legal action	Men (Indonesia)	2014-02-12
Police (Indonesia)	Arrest, detain, or charge with legal action	Men (Indonesia)	2014-08-16
Police (Indonesia)	Arrest, detain, or charge with legal action	Citizen (Indonesia)	2014-07-19
Police (Indonesia)	Arrest, detain, or charge with legal action	Citizen (Indonesia)	2014-08-11
Police (Indonesia)	Arrest, detain, or charge with legal action	Citizen (Indonesia)	2014-08-27
Police (Indonesia)	Arrest, detain, or charge with legal action	Citizen (Indonesia)	2014-08-14
Police (Indonesia)	Arrest, detain, or charge with legal action	Citizen (Indonesia)	2014-04-17
Police (Indonesia)	Arrest, detain, or charge with legal action	Women (Australia)	2014-02-25
Police (Indonesia)	Arrest, detain, or charge with legal action	Citizen (Indonesia)	2014-09-14
Police (Indonesia)	Arrest, detain, or charge with legal action	Citizen (Indonesia)	2014-08-21
Police (Indonesia)	Arrest, detain, or charge with legal action	Men (Indonesia)	2014-12-29
Police (Indonesia)	Arrest, detain, or charge with legal action	Citizen (Turkey)	2014-09-15
Police (Indonesia)	Arrest, detain, or charge with legal action	Men (Indonesia)	2014-09-14
Police (Indonesia)	Arrest, detain, or charge with legal action	Men (Indonesia)	2014-05-09
Police (Indonesia)	Arrest, detain, or charge with legal action	Men (Indonesia)	2014-10-14
Police (Indonesia)	Arrest, detain, or charge with legal action	Citizen (Indonesia)	2014-07-06
Police (Indonesia)	Arrest, detain, or charge with legal action	Citizen (South Korea)	2014-07-19
Police (Indonesia)	Arrest, detain, or charge with legal action	Citizen (Indonesia)	2014-09-20
James Wani Igga	Consult	Foreign Affairs (Norway)	2014-12-19
City Mayor (Philippines)	Consult	Employee (Philippines)	2014-06-19
Head of Government (Tajikistan)	Consult	Xi Jinping	2014-09-20
Head of Government (Tajikistan)	Consult	Sergey Viktorovich Lavrov	2014-08-04
China	Provide economic aid	Mauritania	2014-05-05
Foreign Affairs (United States)	Make a visit	Middle East	2014-06-23
Foreign Affairs (United States)	Make a visit	Afghanistan	2014-01-15
Foreign Affairs (United States)	Make a visit	Morocco	2014-12-06
Foreign Affairs (United States)	Make a visit	China	2014-02-15
Foreign Affairs (United States)	Make a visit	Thailand	2014-09-18
Foreign Affairs (United States)	Make a visit	Foreign Affairs (Russia)	2014-09-19
Media (Pakistan)	Consult	Inspector General (Pakistan)	2014-12-29
Media (Pakistan)	Consult	Rehman Malik	2014-10-27
Media (Pakistan)	Consult	Shah Mehmood Qureshi	2014-08-27
Mohammad Javad Zarif	Consult	Wendy Sherman	2014-05-17
Mohammad Javad Zarif	Consult	Sergey Viktorovich Lavrov	2014-04-22
Mohammad Javad Zarif	Consult	Catherine Ashton	2014-01-26
Mohammad Javad Zarif	Consult	Catherine Ashton	2014-03-10
Mohammad Javad Zarif	Consult	China	2014-11-01
Mohammad Javad Zarif	Consult	Patrick Dewael	2014-09-02
Mohammad Javad Zarif	Consult	Catherine Ashton	2014-02-20
Mohammad Javad Zarif	Consult	Foreign Affairs (Singapore)	2014-02-25
Mohammad Javad Zarif	Consult	Hezbollah	2014-07-27
Mohammad Javad Zarif	Consult	Resistance Leader (Palestinian Territory, Occupied)	2014-01-17
Mohammad Javad Zarif	Consult	Member of Legislative (Govt) (Lebanon)	2014-01-13
Mohammad Javad Zarif	Consult	Iraq	2014-01-28
Mohammad Javad Zarif	Consult	Shivshankar Menon	2014-02-02
Mohammad Javad Zarif	Consult	Iraq	2014-08-26
Mohammad Javad Zarif	Consult	Cabinet / Council of Ministers / Advisors (United States)	2014-02-02
Mohammad Javad Zarif	Consult	Catherine Ashton	2014-11-30
Mohammad Javad Zarif	Consult	Organisation of Islamic Cooperation	2014-02-14
Mohammad Javad Zarif	Consult	Catherine Ashton	2014-11-20
Mohammad Javad Zarif	Consult	Sergey Viktorovich Lavrov	2014-01-13
Mohammad Javad Zarif	Consult	John Kerry	2014-07-13
Mohammad Javad Zarif	Consult	Sergey Viktorovich Lavrov	2014-04-23
Mohammad Javad Zarif	Consult	Catherine Ashton	2014-07-13
Mohammad Javad Zarif	Consult	Emma Bonino	2014-01-07
Mohammad Javad Zarif	Consult	Radoslaw Sikorski	2014-03-01
Police (Namibia)	fight with small arms and light weapons	Citizen (Namibia)	2014-08-29
Police (Namibia)	fight with small arms and light weapons	Children (Namibia)	2014-09-01
Police (Kenya)	Arrest, detain, or charge with legal action	Men (Kenya)	2014-10-09
Police (Kenya)	Arrest, detain, or charge with legal action	Citizen (Kenya)	2014-12-17
Police (Kenya)	Arrest, detain, or charge with legal action	Citizen (Kenya)	2014-03-31
Police (Kenya)	Arrest, detain, or charge with legal action	Citizen (Kenya)	2014-09-30
Police (Kenya)	Arrest, detain, or charge with legal action	Citizen (Kenya)	2014-06-19
Police (Kenya)	Arrest, detain, or charge with legal action	Citizen (Kenya)	2014-02-04
Police (Kenya)	Arrest, detain, or charge with legal action	Citizen (Kenya)	2014-06-17
Police (Kenya)	Arrest, detain, or charge with legal action	Citizen (Kenya)	2014-05-14
Police (Kenya)	Arrest, detain, or charge with legal action	Men (Kenya)	2014-05-26
Police (Kenya)	Arrest, detain, or charge with legal action	Citizen (Kenya)	2014-05-15
Head of Government (Egypt)	Consult	Hani Dahi	2014-08-25
Head of Government (Egypt)	Consult	News Editor (Egypt)	2014-08-24
Head of Government (Egypt)	Consult	François Hollande	2014-11-27
Head of Government (Egypt)	Consult	Barnaba Marial Benjamin	2014-03-13
Head of Government (Egypt)	Consult	Jean-Yves Le Drian	2014-11-26
Cleric (Iraq)	Make an appeal or request	Party Member (Iraq)	2014-08-01
Qatar	Consult	Abdel Fattah Al-Sisi	2014-12-21
Qatar	Consult	Vietnam	2014-04-21
Government (South Africa)	Criticize or denounce	China	2014-05-07
Government (South Africa)	Criticize or denounce	Education (South Africa)	2014-07-04
Government (South Africa)	Criticize or denounce	Patricia de Lille	2014-10-04
Oman	Meet at a 'third' location	Bahrain	2014-12-10
Marziyeh Afkham	Make statement	Iraq	2014-06-25
Marziyeh Afkham	Make statement	Iran	2014-08-20
Marziyeh Afkham	Make statement	France	2014-05-06
Marziyeh Afkham	Make statement	Iran	2014-09-23
Marziyeh Afkham	Make statement	Iran	2014-10-11
Marziyeh Afkham	Make statement	Iran	2014-08-09
Marziyeh Afkham	Make statement	Iran	2014-10-23
Marziyeh Afkham	Make statement	Iran	2014-04-12
Marziyeh Afkham	Make statement	Iran	2014-02-20
Marziyeh Afkham	Make statement	Iran	2014-10-24
Marziyeh Afkham	Make statement	Iran	2014-02-18
Marziyeh Afkham	Make statement	Iran	2014-11-04
Marziyeh Afkham	Make statement	Iran	2014-07-30
Marziyeh Afkham	Make statement	Iran	2014-08-07
Marziyeh Afkham	Make statement	Iran	2014-10-22
Envoy (United States)	Express intent to meet or negotiate	South Korea	2014-11-28
Envoy (United States)	Express intent to meet or negotiate	China	2014-01-24
Envoy (United States)	Express intent to meet or negotiate	South Korea	2014-12-03
Envoy (United States)	Express intent to meet or negotiate	South Korea	2014-03-31
Envoy (United States)	Express intent to meet or negotiate	China	2014-12-03
Envoy (United States)	Express intent to meet or negotiate	Iraq	2014-06-10
Envoy (United States)	Express intent to meet or negotiate	Japan	2014-12-02
Iran	Praise or endorse	Hamas	2014-08-04
Iran	Praise or endorse	Iraq	2014-08-28
Iran	Praise or endorse	Government (Syria)	2014-12-18
Iran	Praise or endorse	Afghanistan	2014-01-18
Iran	Praise or endorse	Government (Syria)	2014-02-17
Iran	Praise or endorse	Nabih Berri	2014-08-11
Iran	Praise or endorse	Middle East	2014-09-07
Iran	Praise or endorse	Government (Syria)	2014-09-30
Iran	Praise or endorse	Iraq	2014-12-30
Ishaq Dar	Consult	International Monetary Fund	2014-02-09
Ishaq Dar	Consult	Media (Pakistan)	2014-08-23
Military Personnel (Somalia)	Make statement	Al-Shabaab	2014-09-17
Military Personnel (Somalia)	Make statement	Militant (Somalia)	2014-11-27
Military Personnel (Somalia)	Make statement	Al-Shabaab	2014-02-04
Military Personnel (Somalia)	Make statement	Al-Shabaab	2014-08-13
Mukhtar Ramalan Yero	Make statement	Government (Nigeria)	2014-11-24
Afghanistan	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2014-08-09
Afghanistan	Host a visit	Chuck Hagel	2014-06-02
Afghanistan	Host a visit	Ashraf Ghani Ahmadzai	2014-08-04
Afghanistan	Host a visit	John Kerry	2014-08-14
Afghanistan	Host a visit	Barack Obama	2014-05-25
Afghanistan	Host a visit	John Kerry	2014-07-10
Afghanistan	Host a visit	Abdullah Abdullah	2014-07-17
Afghanistan	Host a visit	Military Personnel (United States)	2014-06-05
Afghanistan	Host a visit	Inter Service Intelligence (Pakistan)	2014-12-20
Afghanistan	Host a visit	Bismillah Khan Mohammadi	2014-07-07
Afghanistan	Host a visit	Chuck Hagel	2014-06-01
Afghanistan	Host a visit	Barack Obama	2014-05-27
Afghanistan	Host a visit	Government Official (United States)	2014-09-03
Afghanistan	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2014-09-02
Afghanistan	Host a visit	Jens Stoltenberg	2014-11-06
Afghanistan	Host a visit	Foreign Affairs (United States)	2014-01-15
