relation test,relation train,#inverse,#rel_test,percentage
Demand,Demand political reform,1,676,0.0014792899408284023
Demand,"Appeal for easing of economic sanctions, boycott, or embargo",2,676,0.0029585798816568047
Demand,Receive inspectors,19,676,0.028106508875739646
Demand,"Express intent to change institutions, regime",5,676,0.0073964497041420114
Demand,Reject request for change in leadership,1,676,0.0014792899408284023
Demand,Reject military cooperation,0,676,0.0
Demand,Reject mediation,3,676,0.004437869822485207
Demand,Appeal for target to allow international involvement (non-mediation),2,676,0.0029585798816568047
Demand,Threaten to impose curfew,0,676,0.0
Demand,Halt mediation,11,676,0.016272189349112426
Demand,Threaten to halt negotiations,4,676,0.005917159763313609
Demand,Reject request for humanitarian aid,4,676,0.005917159763313609
Demand,Demand easing of political dissent,0,676,0.0
Demand,Ease curfew,2,676,0.0029585798816568047
Demand,Threaten to halt international involvement (non-mediation),0,676,0.0
Demand,Reject request or demand for political reform,0,676,0.0
Demand,Reject request for policy change,0,676,0.0
Host a visit,Engage in diplomatic cooperation,564,2497,0.22587104525430515
Make statement,Engage in diplomatic cooperation,988,7736,0.12771458117890383
Engage in negotiation,Engage in diplomatic cooperation,449,1151,0.39009556907037357
Engage in diplomatic cooperation,"Use chemical, biological, or radiological weapons",38,922,0.04121475054229935
Make an appeal or request,Engage in diplomatic cooperation,506,2601,0.19454056132256825
Praise or endorse,Engage in diplomatic cooperation,376,1738,0.21634062140391255
Sign formal agreement,Engage in diplomatic cooperation,645,975,0.6615384615384615
Engage in diplomatic cooperation,Sign formal agreement,731,922,0.7928416485900217
Express intent to cooperate,Engage in diplomatic cooperation,673,999,0.6736736736736737
Engage in diplomatic cooperation,Express intent to cooperate,633,922,0.6865509761388287
Express intent to engage in diplomatic cooperation (such as policy support),Engage in diplomatic cooperation,618,976,0.6331967213114754
Engage in diplomatic cooperation,Express intent to engage in diplomatic cooperation (such as policy support),708,922,0.7678958785249458
Make optimistic comment,Engage in diplomatic cooperation,142,442,0.3212669683257919
Engage in diplomatic cooperation,Express intent to allow international involvement (non-mediation),1,922,0.0010845986984815619
Engage in diplomatic cooperation,Express intent to cooperate economically,449,922,0.48698481561822127
Cooperate economically,Engage in diplomatic cooperation,50,91,0.5494505494505495
Engage in diplomatic cooperation,Cooperate economically,507,922,0.5498915401301518
Engage in diplomatic cooperation,"Threaten with sanctions, boycott, embargo",43,922,0.046637744034707156
Engage in diplomatic cooperation,Express intent to settle dispute,369,922,0.4002169197396963
Engage in diplomatic cooperation,Halt negotiations,202,922,0.21908893709327548
Engage in diplomatic cooperation,Express intent to provide military protection or peacekeeping,13,922,0.014099783080260303
Engage in diplomatic cooperation,Demonstrate military or police power,191,922,0.20715835140997832
Engage in diplomatic cooperation,"Impose embargo, boycott, or sanctions",86,922,0.09327548806941431
Engage in diplomatic cooperation,Provide military protection or peacekeeping,86,922,0.09327548806941431
Engage in diplomatic cooperation,Receive deployment of peacekeepers,88,922,0.09544468546637744
Engage in diplomatic cooperation,Appeal for military aid,28,922,0.03036876355748373
Engage in diplomatic cooperation,Allow humanitarian access,0,922,0.0
Engage in diplomatic cooperation,Grant diplomatic recognition,339,922,0.3676789587852495
Engage in diplomatic cooperation,"Reject plan, agreement to settle dispute",298,922,0.3232104121475054
Engage in diplomatic cooperation,Reject judicial cooperation,36,922,0.039045553145336226
Engage in diplomatic cooperation,"Declare truce, ceasefire",268,922,0.29067245119305857
Engage in diplomatic cooperation,"Return, release property",61,922,0.06616052060737528
Engage in diplomatic cooperation,Express intent to cooperate militarily,225,922,0.2440347071583514
Engage in diplomatic cooperation,Reduce or stop economic assistance,153,922,0.16594360086767895
Engage in diplomatic cooperation,Veto,0,922,0.0
Engage in diplomatic cooperation,Threaten to reduce or stop aid,35,922,0.03796095444685466
Engage in diplomatic cooperation,Express intent to cooperate on intelligence,106,922,0.11496746203904555
Engage in diplomatic cooperation,Reject request for military protection or peacekeeping,4,922,0.004338394793926247
Engage in diplomatic cooperation,Reject economic cooperation,12,922,0.013015184381778741
Engage in diplomatic cooperation,Appeal for military cooperation,6,922,0.006507592190889371
Engage in diplomatic cooperation,"Express intent to change institutions, regime",16,922,0.01735357917570499
Engage in diplomatic cooperation,Reject military cooperation,0,922,0.0
Engage in diplomatic cooperation,Reject mediation,40,922,0.04338394793926247
Engage in diplomatic cooperation,Appeal for target to allow international involvement (non-mediation),0,922,0.0
Engage in diplomatic cooperation,Threaten to impose curfew,0,922,0.0
Engage in diplomatic cooperation,Halt mediation,3,922,0.0032537960954446853
Engage in diplomatic cooperation,Reject request for humanitarian aid,27,922,0.02928416485900217
Engage in diplomatic cooperation,Ease curfew,0,922,0.0
Engage in diplomatic cooperation,Threaten to halt international involvement (non-mediation),0,922,0.0
Engage in diplomatic cooperation,Reject request or demand for political reform,0,922,0.0
Make statement,Host a visit,1918,7736,0.24793174767321613
Host a visit,"Use chemical, biological, or radiological weapons",22,2497,0.00881057268722467
Host a visit,Sign formal agreement,488,2497,0.19543452142571086
Host a visit,Express intent to cooperate,513,2497,0.20544653584301162
Host a visit,Express intent to engage in diplomatic cooperation (such as policy support),798,2497,0.3195835002002403
Host a visit,Express intent to cooperate economically,274,2497,0.10973167801361634
Host a visit,Cooperate economically,291,2497,0.11653984781738086
Host a visit,Reduce or break diplomatic relations,315,2497,0.1261513816579896
Host a visit,"Threaten with sanctions, boycott, embargo",50,2497,0.020024028834601523
Host a visit,Meet at a 'third' location,369,2497,0.14777733279935923
Host a visit,Express intent to settle dispute,256,2497,0.10252302763315979
Host a visit,Retreat or surrender militarily,73,2497,0.02923508209851822
Host a visit,Defend verbally,84,2497,0.03364036844213056
Host a visit,Halt negotiations,132,2497,0.05286343612334802
Host a visit,Accede to demands for change in policy,87,2497,0.034841810172206646
Host a visit,Express intent to provide military protection or peacekeeping,42,2497,0.01682018422106528
Host a visit,Express intent to de-escalate military engagement,55,2497,0.022026431718061675
Host a visit,Demonstrate military or police power,143,2497,0.05726872246696035
Host a visit,"Impose embargo, boycott, or sanctions",117,2497,0.04685622747296756
Host a visit,Provide military protection or peacekeeping,85,2497,0.03404084901882259
Host a visit,"Ease economic sanctions, boycott, embargo",51,2497,0.02042450941129355
Host a visit,Allow humanitarian access,3,2497,0.0012014417300760913
Host a visit,Grant diplomatic recognition,166,2497,0.06647977573087706
Host a visit,"Reject plan, agreement to settle dispute",165,2497,0.06607929515418502
Host a visit,Reject judicial cooperation,15,2497,0.006007208650380457
Host a visit,"Declare truce, ceasefire",126,2497,0.05046055266319584
Host a visit,Mediate,89,2497,0.03564277132559071
Host a visit,Express intent to cooperate militarily,130,2497,0.052062474969963954
Host a visit,Reduce or stop economic assistance,98,2497,0.03924709651581898
Host a visit,Engage in judicial cooperation,31,2497,0.012414897877452943
Host a visit,Threaten to reduce or stop aid,24,2497,0.00961153384060873
Host a visit,Appeal to others to settle dispute,145,2497,0.05806968362034441
Host a visit,Express intent to change policy,31,2497,0.012414897877452943
Host a visit,"Refuse to ease economic sanctions, boycott, or embargo",22,2497,0.00881057268722467
Host a visit,Reduce or stop military assistance,16,2497,0.006407689227072487
Host a visit,Express intent to cooperate on intelligence,44,2497,0.01762114537444934
Host a visit,Demand material aid,11,2497,0.004405286343612335
Host a visit,"Express intent to ease economic sanctions, boycott, or embargo",29,2497,0.011613936724068883
Host a visit,Reject economic cooperation,20,2497,0.008009611533840609
Host a visit,Appeal for military cooperation,1,2497,0.00040048057669203043
Host a visit,Reject military cooperation,6,2497,0.0024028834601521826
Host a visit,Reject mediation,24,2497,0.00961153384060873
Host a visit,Appeal for target to allow international involvement (non-mediation),3,2497,0.0012014417300760913
Host a visit,Threaten to impose curfew,9,2497,0.003604325190228274
Host a visit,Demand rights,3,2497,0.0012014417300760913
Host a visit,Demand economic cooperation,6,2497,0.0024028834601521826
Host a visit,Reject request for humanitarian aid,19,2497,0.007609130957148579
Host a visit,Reject request for rights,0,2497,0.0
Make statement,Engage in negotiation,1924,7736,0.24870734229576008
Make statement,"Protest violently, riot",79,7736,0.010211995863495346
Make statement,"Use chemical, biological, or radiological weapons",11,7736,0.001421923474663909
Make statement,Sign formal agreement,1319,7736,0.1705015511892451
Make statement,Express intent to cooperate,933,7736,0.12060496380558428
Make statement,Express intent to engage in diplomatic cooperation (such as policy support),1285,7736,0.16610651499482937
Make statement,Confiscate property,207,7736,0.02675801447776629
Make statement,Express intent to allow international involvement (non-mediation),3,7736,0.00038779731127197516
Make statement,"Obstruct passage, block",5,7736,0.0006463288521199586
Make statement,Express intent to cooperate economically,244,7736,0.03154084798345398
Make statement,Cooperate militarily,182,7736,0.023526370217166494
Make statement,"Defy norms, law",232,7736,0.02998965873836608
Make statement,Cooperate economically,338,7736,0.043691830403309206
Make statement,Use tactics of violent repression,85,7736,0.010987590486039298
Make statement,Provide economic aid,350,7736,0.0452430196483971
Make statement,Reduce or break diplomatic relations,210,7736,0.027145811789038264
Make statement,Mobilize or increase armed forces,108,7736,0.013960703205791106
Make statement,"Threaten with sanctions, boycott, embargo",39,7736,0.005041365046535677
Make statement,Increase military alert status,29,7736,0.00374870734229576
Make statement,Meet at a 'third' location,764,7736,0.09875904860392969
Make statement,Express intent to settle dispute,178,7736,0.023009307135470527
Make statement,Retreat or surrender militarily,148,7736,0.019131334022750777
Make statement,Occupy territory,182,7736,0.023526370217166494
Make statement,Defend verbally,190,7736,0.02456049638055843
Make statement,"Reject proposal to meet, discuss, or negotiate",322,7736,0.041623578076525336
Make statement,Halt negotiations,158,7736,0.020423991726990692
Make statement,Accede to demands for change in policy,37,7736,0.004782833505687694
Make statement,Express intent to de-escalate military engagement,35,7736,0.00452430196483971
Make statement,Increase police alert status,28,7736,0.0036194415718717684
Make statement,Demonstrate military or police power,123,7736,0.015899689762150983
Make statement,"Impose embargo, boycott, or sanctions",109,7736,0.014089968976215098
Make statement,Provide military protection or peacekeeping,28,7736,0.0036194415718717684
Make statement,"Ease economic sanctions, boycott, embargo",45,7736,0.005816959669079628
Make statement,Consider policy option,315,7736,0.04071871768355739
Make statement,Receive deployment of peacekeepers,72,7736,0.009307135470527405
Make statement,Reduce or stop material aid,50,7736,0.006463288521199586
Make statement,Mobilize or increase police power,90,7736,0.011633919338159255
Make statement,Impose state of emergency or martial law,9,7736,0.0011633919338159256
Make statement,Share intelligence or information,233,7736,0.03011892450879007
Make statement,"Reject plan, agreement to settle dispute",326,7736,0.042140641158221304
Make statement,Reject judicial cooperation,16,7736,0.002068252326783868
Make statement,"Declare truce, ceasefire",225,7736,0.02908479834539814
Make statement,Mediate,67,7736,0.008660806618407445
Make statement,Express intent to cooperate militarily,135,7736,0.017450879007238882
Make statement,Reduce or stop economic assistance,116,7736,0.01499482936918304
Make statement,Engage in judicial cooperation,31,7736,0.004007238883143744
Make statement,fight with artillery and tanks,50,7736,0.006463288521199586
Make statement,Veto,3,7736,0.00038779731127197516
Make statement,"Demand change in institutions, regime",28,7736,0.0036194415718717684
Make statement,"Demand meeting, negotiation",222,7736,0.028697001034126163
Make statement,Demand material cooperation,68,7736,0.008790072388831437
Make statement,Seize or damage property,14,7736,0.0018097207859358842
Make statement,Threaten to reduce or stop aid,28,7736,0.0036194415718717684
Make statement,Express intent to engage in material cooperation,25,7736,0.003231644260599793
Make statement,Forgive,12,7736,0.0015511892450879006
Make statement,Violate ceasefire,9,7736,0.0011633919338159256
Make statement,Impose curfew,7,7736,0.0009048603929679421
Make statement,Expel or withdraw,1,7736,0.00012926577042399174
Make statement,Express intent to change policy,41,7736,0.005299896587383661
Make statement,"Refuse to ease economic sanctions, boycott, or embargo",29,7736,0.00374870734229576
Make statement,Accuse of aggression,13,7736,0.0016804550155118925
Make statement,Threaten to reduce or break relations,76,7736,0.00982419855222337
Make statement,Express intent to cooperate on intelligence,64,7736,0.008273009307135471
Make statement,Demand material aid,1,7736,0.00012926577042399174
Make statement,Engage in political dissent,5,7736,0.0006463288521199586
Make statement,Express intent to institute political reform,2,7736,0.0002585315408479835
Make statement,Demobilize armed forces,12,7736,0.0015511892450879006
Make statement,Reject request for military protection or peacekeeping,2,7736,0.0002585315408479835
Make statement,"Express intent to ease economic sanctions, boycott, or embargo",12,7736,0.0015511892450879006
Make statement,"Appeal for change in institutions, regime",3,7736,0.00038779731127197516
Make statement,Threaten with administrative sanctions,5,7736,0.0006463288521199586
Make statement,Ease military blockade,0,7736,0.0
Make statement,Reject economic cooperation,18,7736,0.002326783867631851
Make statement,Appeal for military cooperation,1,7736,0.00012926577042399174
Make statement,Accede to requests or demands for political reform,3,7736,0.00038779731127197516
Make statement,Reject material cooperation,7,7736,0.0009048603929679421
Make statement,Threaten with restrictions on political freedoms,0,7736,0.0
Make statement,Demand settling of dispute,23,7736,0.0029731127197518098
Make statement,Destroy property,14,7736,0.0018097207859358842
Make statement,Demand policy change,28,7736,0.0036194415718717684
Make statement,"Appeal for easing of economic sanctions, boycott, or embargo",3,7736,0.00038779731127197516
Make statement,Ease state of emergency or martial law,3,7736,0.00038779731127197516
Make statement,Receive inspectors,292,7736,0.037745604963805586
Make statement,Appeal for military protection or peacekeeping,2,7736,0.0002585315408479835
Make statement,"Express intent to change institutions, regime",7,7736,0.0009048603929679421
Make statement,Reject request for change in leadership,1,7736,0.00012926577042399174
Make statement,Reject military cooperation,2,7736,0.0002585315408479835
Make statement,Ease ban on political parties or politicians,1,7736,0.00012926577042399174
Make statement,Engage in violent protest for leadership change,11,7736,0.001421923474663909
Make statement,Reject mediation,14,7736,0.0018097207859358842
Make statement,Carry out roadside bombing,8,7736,0.001034126163391934
Make statement,Threaten to impose curfew,2,7736,0.0002585315408479835
Make statement,Demand rights,9,7736,0.0011633919338159256
Make statement,Demand economic cooperation,1,7736,0.00012926577042399174
Make statement,Threaten to halt negotiations,23,7736,0.0029731127197518098
Make statement,Demand military aid,30,7736,0.0038779731127197518
Make statement,Reject request for humanitarian aid,26,7736,0.003360910031023785
Make statement,"Reject request for change in institutions, regime",1,7736,0.00012926577042399174
Make statement,Reject request for economic aid,0,7736,0.0
Make statement,Threaten to halt international involvement (non-mediation),1,7736,0.00012926577042399174
Make statement,Reject request or demand for political reform,0,7736,0.0
Make statement,Engage in violent protest for policy change,0,7736,0.0
Make statement,Reject request for policy change,1,7736,0.00012926577042399174
Make statement,Threaten to impose state of emergency or martial law,2,7736,0.0002585315408479835
"Arrest, detain, or charge with legal action","Protest violently, riot",656,2201,0.2980463425715584
Make an appeal or request,"Arrest, detain, or charge with legal action",383,2601,0.14725105728565935
fight with small arms and light weapons,"Arrest, detain, or charge with legal action",105,526,0.19961977186311788
Use unconventional violence,"Arrest, detain, or charge with legal action",368,928,0.39655172413793105
"Arrest, detain, or charge with legal action","Obstruct passage, block",89,2201,0.040436165379373015
"Arrest, detain, or charge with legal action",Increase police alert status,16,2201,0.007269422989550204
"Arrest, detain, or charge with legal action",Mobilize or increase police power,19,2201,0.008632439800090867
"Arrest, detain, or charge with legal action","Impose blockade, restrict movement",283,2201,0.12857791912766925
"Arrest, detain, or charge with legal action",Acknowledge or claim responsibility,551,2201,0.2503407542026352
"Arrest, detain, or charge with legal action","Conduct suicide, car, or other non-military bombing",422,2201,0.19173103134938665
"Arrest, detain, or charge with legal action","Demand change in institutions, regime",11,2201,0.004997728305315766
"Arrest, detain, or charge with legal action",Seize or damage property,18,2201,0.00817810086324398
"Arrest, detain, or charge with legal action",Demobilize armed forces,3,2201,0.0013630168105406633
"Arrest, detain, or charge with legal action",Ease military blockade,62,2201,0.028169014084507043
"Arrest, detain, or charge with legal action",Conduct hunger strike,1,2201,0.00045433893684688776
"Arrest, detain, or charge with legal action","Express intent to change institutions, regime",66,2201,0.029986369831894594
"Arrest, detain, or charge with legal action",Carry out roadside bombing,0,2201,0.0
"Arrest, detain, or charge with legal action",Demand easing of political dissent,1,2201,0.00045433893684688776
"Arrest, detain, or charge with legal action",Ease curfew,61,2201,0.027714675147660156
"Arrest, detain, or charge with legal action",Engage in violent protest for policy change,0,2201,0.0
"Arrest, detain, or charge with legal action",Detonate nuclear weapons,13,2201,0.005906406179009541
Reject,"Use chemical, biological, or radiological weapons",2,443,0.004514672686230248
Make an appeal or request,Reject,1108,2601,0.4259900038446751
Reject,Express intent to cooperate,179,443,0.4040632054176072
Reject,Accede to demands for rights,6,443,0.013544018058690745
Reject,Confiscate property,7,443,0.01580135440180587
Reject,Express intent to allow international involvement (non-mediation),1,443,0.002257336343115124
Reject,"Obstruct passage, block",6,443,0.013544018058690745
Reject,"Defy norms, law",57,443,0.12866817155756208
Reject,"Threaten with sanctions, boycott, embargo",14,443,0.03160270880361174
Reject,Express intent to settle dispute,65,443,0.14672686230248308
Reject,Appeal for intelligence,68,443,0.15349887133182843
Reject,Halt negotiations,46,443,0.1038374717832957
Reject,Express intent to de-escalate military engagement,9,443,0.020316027088036117
Reject,"Impose embargo, boycott, or sanctions",40,443,0.09029345372460497
Reject,Provide military protection or peacekeeping,12,443,0.02708803611738149
Reject,Express intent to yield,24,443,0.05417607223476298
Reject,Receive deployment of peacekeepers,13,443,0.029345372460496615
Reject,Appeal for military aid,10,443,0.022573363431151242
Reject,Allow humanitarian access,0,443,0.0
Reject,Give ultimatum,71,443,0.16027088036117382
Reject,"Reject plan, agreement to settle dispute",71,443,0.16027088036117382
Reject,Reject judicial cooperation,10,443,0.022573363431151242
Reject,"Declare truce, ceasefire",53,443,0.11963882618510158
Reject,"Return, release property",27,443,0.060948081264108354
Reject,Reduce or stop economic assistance,36,443,0.08126410835214447
Reject,Refuse to yield,45,443,0.10158013544018059
Reject,Engage in mass killings,2,443,0.004514672686230248
Reject,"Demand change in institutions, regime",1,443,0.002257336343115124
Reject,Threaten to reduce or stop aid,8,443,0.01805869074492099
Reject,Demand intelligence cooperation,25,443,0.056433408577878104
Reject,Impose curfew,0,443,0.0
Reject,Appeal for aid,30,443,0.06772009029345373
Reject,"Refuse to ease economic sanctions, boycott, or embargo",9,443,0.020316027088036117
Reject,Demand that target yields,31,443,0.06997742663656885
Reject,Reduce or stop military assistance,11,443,0.024830699774266364
Reject,Express intent to cooperate on intelligence,22,443,0.04966139954853273
Reject,Demand material aid,0,443,0.0
Reject,Appeal for rights,20,443,0.045146726862302484
Reject,Demobilize armed forces,0,443,0.0
Reject,Reject request for military protection or peacekeeping,0,443,0.0
Reject,"Express intent to ease economic sanctions, boycott, or embargo",11,443,0.024830699774266364
Reject,Ease military blockade,4,443,0.009029345372460496
Reject,Appeal for military cooperation,0,443,0.0
Reject,Receive inspectors,6,443,0.013544018058690745
Reject,"Express intent to change institutions, regime",7,443,0.01580135440180587
Reject,Reject request for change in leadership,2,443,0.004514672686230248
Reject,Appeal for target to allow international involvement (non-mediation),1,443,0.002257336343115124
Reject,Threaten to impose curfew,1,443,0.002257336343115124
Reject,Halt mediation,0,443,0.0
Reject,Demand economic cooperation,0,443,0.0
Reject,Threaten to halt negotiations,5,443,0.011286681715575621
Reject,Reject request for humanitarian aid,8,443,0.01805869074492099
Reject,Demand easing of political dissent,0,443,0.0
Reject,"Reject request for change in institutions, regime",0,443,0.0
Reject,Ease curfew,4,443,0.009029345372460496
Reject,Reject request for economic aid,5,443,0.011286681715575621
Reject,Reject request for policy change,0,443,0.0
Engage in negotiation,"Use chemical, biological, or radiological weapons",6,1151,0.005212858384013901
Praise or endorse,Engage in negotiation,506,1738,0.2911392405063291
Engage in negotiation,Sign formal agreement,549,1151,0.4769765421372719
Engage in negotiation,Express intent to cooperate,538,1151,0.46741963509991313
Engage in negotiation,Express intent to engage in diplomatic cooperation (such as policy support),534,1151,0.4639443961772372
Engage in negotiation,Express intent to allow international involvement (non-mediation),0,1151,0.0
Engage in negotiation,Express intent to cooperate economically,345,1151,0.2997393570807993
Engage in negotiation,Cooperate economically,290,1151,0.2519548218940052
Engage in negotiation,"Threaten with sanctions, boycott, embargo",61,1151,0.052997393570807995
Engage in negotiation,Meet at a 'third' location,449,1151,0.39009556907037357
Engage in negotiation,Express intent to settle dispute,277,1151,0.24066029539530842
Engage in negotiation,Halt negotiations,220,1151,0.19113814074717636
Engage in negotiation,Accede to demands for change in policy,52,1151,0.045178105994787145
Engage in negotiation,Express intent to de-escalate military engagement,23,1151,0.01998262380538662
Engage in negotiation,Demonstrate military or police power,142,1151,0.12337098175499565
Engage in negotiation,"Impose embargo, boycott, or sanctions",102,1151,0.08861859252823631
Engage in negotiation,Provide military protection or peacekeeping,22,1151,0.019113814074717638
Engage in negotiation,"Ease economic sanctions, boycott, embargo",77,1151,0.06689834926151172
Engage in negotiation,Receive deployment of peacekeepers,33,1151,0.028670721112076455
Engage in negotiation,"Reject plan, agreement to settle dispute",294,1151,0.2554300608166811
Engage in negotiation,Reject judicial cooperation,33,1151,0.028670721112076455
Engage in negotiation,"Declare truce, ceasefire",243,1151,0.21112076455256298
Engage in negotiation,Express intent to cooperate militarily,182,1151,0.158123370981755
Engage in negotiation,Reduce or stop economic assistance,170,1151,0.1476976542137272
Engage in negotiation,Veto,1,1151,0.0008688097306689834
Engage in negotiation,"Demand change in institutions, regime",4,1151,0.0034752389226759338
Engage in negotiation,Threaten to reduce or stop aid,33,1151,0.028670721112076455
Engage in negotiation,Express intent to engage in material cooperation,26,1151,0.022589052997393572
Engage in negotiation,Forgive,5,1151,0.004344048653344918
Engage in negotiation,"Refuse to ease economic sanctions, boycott, or embargo",39,1151,0.03388357949609035
Engage in negotiation,Reduce or stop military assistance,9,1151,0.007819287576020852
Engage in negotiation,Express intent to cooperate on intelligence,106,1151,0.09209383145091225
Engage in negotiation,Demand material aid,2,1151,0.0017376194613379669
Engage in negotiation,Reject request for military protection or peacekeeping,0,1151,0.0
Engage in negotiation,"Express intent to ease economic sanctions, boycott, or embargo",21,1151,0.018245004344048653
Engage in negotiation,"Appeal for change in institutions, regime",3,1151,0.0026064291920069507
Engage in negotiation,Reject economic cooperation,28,1151,0.02432667245873154
Engage in negotiation,Appeal for military cooperation,0,1151,0.0
Engage in negotiation,"Appeal for easing of economic sanctions, boycott, or embargo",0,1151,0.0
Engage in negotiation,Receive inspectors,4,1151,0.0034752389226759338
Engage in negotiation,"Express intent to change institutions, regime",3,1151,0.0026064291920069507
Engage in negotiation,Reject military cooperation,0,1151,0.0
Engage in negotiation,Reject mediation,7,1151,0.006081668114682885
Engage in negotiation,Threaten to impose curfew,1,1151,0.0008688097306689834
Engage in negotiation,Demand economic cooperation,0,1151,0.0
Engage in negotiation,Threaten to halt negotiations,22,1151,0.019113814074717638
Engage in negotiation,Reject request for humanitarian aid,32,1151,0.02780191138140747
Engage in negotiation,"Reject request for change in institutions, regime",0,1151,0.0
Engage in negotiation,Threaten to halt international involvement (non-mediation),0,1151,0.0
Engage in negotiation,Reject request for policy change,0,1151,0.0
Accuse,"Protest violently, riot",100,1163,0.08598452278589853
Use conventional military force,"Protest violently, riot",259,995,0.26030150753768844
Make an appeal or request,"Protest violently, riot",200,2601,0.07689350249903883
fight with small arms and light weapons,"Protest violently, riot",115,526,0.21863117870722434
Coerce,"Protest violently, riot",7,50,0.14
Use tactics of violent repression,"Protest violently, riot",55,75,0.7333333333333333
"Protest violently, riot",Use tactics of violent repression,80,114,0.7017543859649122
"Protest violently, riot",Reject request for change in leadership,2,114,0.017543859649122806
Accuse,Threaten,465,1163,0.3998280309544282
Threaten,"Use chemical, biological, or radiological weapons",2,230,0.008695652173913044
Make an appeal or request,Threaten,882,2601,0.3391003460207612
Threaten,Accede to demands for rights,14,230,0.06086956521739131
Threaten,Express intent to allow international involvement (non-mediation),1,230,0.004347826086956522
Threaten,"Obstruct passage, block",0,230,0.0
Threaten,"Defy norms, law",39,230,0.16956521739130434
Threaten,"Threaten with sanctions, boycott, embargo",10,230,0.043478260869565216
Threaten,Halt negotiations,31,230,0.13478260869565217
Threaten,Express intent to de-escalate military engagement,19,230,0.08260869565217391
Threaten,"Impose embargo, boycott, or sanctions",12,230,0.05217391304347826
Threaten,Provide military protection or peacekeeping,4,230,0.017391304347826087
Threaten,Receive deployment of peacekeepers,8,230,0.034782608695652174
Threaten,Allow humanitarian access,0,230,0.0
Threaten,Give ultimatum,44,230,0.19130434782608696
Threaten,"Declare truce, ceasefire",24,230,0.10434782608695652
Threaten,"Return, release property",21,230,0.09130434782608696
Threaten,"Demand change in institutions, regime",3,230,0.013043478260869565
Threaten,Threaten to reduce or stop aid,1,230,0.004347826086956522
Threaten,Reject request for military protection or peacekeeping,1,230,0.004347826086956522
Threaten,Ease military blockade,0,230,0.0
Threaten,"Appeal for easing of economic sanctions, boycott, or embargo",0,230,0.0
Threaten,Receive inspectors,6,230,0.02608695652173913
Threaten,"Express intent to change institutions, regime",1,230,0.004347826086956522
Threaten,Reject request for change in leadership,0,230,0.0
Threaten,Reject mediation,3,230,0.013043478260869565
Threaten,Appeal for target to allow international involvement (non-mediation),0,230,0.0
Threaten,Threaten to impose curfew,1,230,0.004347826086956522
Threaten,Halt mediation,8,230,0.034782608695652174
Threaten,Reject request for humanitarian aid,1,230,0.004347826086956522
Threaten,Demand easing of political dissent,0,230,0.0
Threaten,Ease curfew,0,230,0.0
Threaten,Threaten to halt international involvement (non-mediation),0,230,0.0
Accuse,"Use chemical, biological, or radiological weapons",6,1163,0.005159071367153913
Accuse,Investigate,270,1163,0.23215821152192606
Make an appeal or request,Accuse,1237,2601,0.4755863129565552
Accuse,Accede to demands for rights,68,1163,0.058469475494411005
Accuse,Confiscate property,77,1163,0.06620808254514188
Accuse,Express intent to allow international involvement (non-mediation),2,1163,0.0017196904557179708
Accuse,Yield,318,1163,0.27343078245915736
Accuse,"Defy norms, law",195,1163,0.16766981943250214
Accuse,"Threaten with sanctions, boycott, embargo",53,1163,0.04557179707652623
Accuse,Appeal for intelligence,304,1163,0.26139294926913154
Accuse,Occupy territory,136,1163,0.11693895098882201
Accuse,Bring lawsuit against,352,1163,0.30266552020636284
Accuse,Deny responsibility,412,1163,0.354256233877902
Accuse,Halt negotiations,138,1163,0.11865864144453998
Accuse,Increase police alert status,0,1163,0.0
Accuse,"Impose embargo, boycott, or sanctions",36,1163,0.030954428202923472
Accuse,Torture,41,1163,0.0352536543422184
Accuse,Express intent to yield,175,1163,0.15047291487532244
Accuse,Complain officially,217,1163,0.18658641444539983
Accuse,"Accuse of crime, corruption",208,1163,0.17884780739466896
Accuse,Threaten non-force,137,1163,0.117798796216681
Accuse,Appeal for military aid,29,1163,0.024935511607910577
Accuse,Allow humanitarian access,0,1163,0.0
Accuse,"Impose blockade, restrict movement",71,1163,0.061049011177987965
Accuse,Give ultimatum,269,1163,0.23129836629406708
Accuse,"Reject plan, agreement to settle dispute",103,1163,0.0885640584694755
Accuse,Reject judicial cooperation,69,1163,0.05932932072226999
Accuse,"Declare truce, ceasefire",110,1163,0.09458297506448839
Accuse,"Return, release property",98,1163,0.08426483233018056
Accuse,Refuse to yield,201,1163,0.17282889079965605
Accuse,fight with artillery and tanks,31,1163,0.026655202063628546
Accuse,Express intent to ease administrative sanctions,30,1163,0.025795356835769563
Accuse,"Demand change in institutions, regime",13,1163,0.01117798796216681
Accuse,Seize or damage property,11,1163,0.009458297506448839
Accuse,Express intent to engage in material cooperation,31,1163,0.026655202063628546
Accuse,Demand intelligence cooperation,146,1163,0.12553740326741186
Accuse,Violate ceasefire,4,1163,0.0034393809114359416
Accuse,Appeal for aid,144,1163,0.12381771281169389
Accuse,Expel or withdraw,0,1163,0.0
Accuse,"Refuse to ease economic sanctions, boycott, or embargo",12,1163,0.010318142734307825
Accuse,Demand economic aid,17,1163,0.014617368873602751
Accuse,Accuse of aggression,21,1163,0.018056749785038694
Accuse,Reduce or stop military assistance,7,1163,0.0060189165950128975
Accuse,Express intent to cooperate on intelligence,25,1163,0.021496130696474634
Accuse,"Express intent to ease economic sanctions, boycott, or embargo",2,1163,0.0017196904557179708
