,head,relation,tail,time
5218,China,Consult,Japan,2009-11-27
5219,France,Host a visit,Julia Gillard,2011-09-01
5220,Abdullah Gül,Consult,Mahmoud Ahmadinejad,2011-05-10
5221,Mahmoud Abbas,Express intent to meet or negotiate,France,2006-04-10
5222,Police (Australia),Express intent to meet or negotiate,Citizen (Australia),2006-10-13
5223,Japan,Express intent to cooperate,South Korea,2014-09-12
5224,Ministry (Brazil),Criticize or denounce,José Dirceu de Oliveira e Silva,2012-10-09
5225,Iran,Consult,Kuwait,2005-05-24
5226,Grand National Party,Criticize or denounce,Lee Myung Bak,2009-09-08
5227,Member of Legislative (Govt) (South Korea),Praise or endorse,Iran,2014-01-27
5228,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-02-12
5229,Barack Obama,Make statement,Yemen,2011-09-30
5230,Japan,Express intent to meet or negotiate,South Korea,2008-06-19
5231,Police (Australia),Make an appeal or request,Citizen (Australia),2006-08-28
5232,Iran,Make a visit,Kuwait,2011-08-10
5233,Military Personnel (Thailand),Make an appeal or request,Citizen (Thailand),2015-09-09
5234,Thailand,Provide humanitarian aid,Citizen (Thailand),2007-04-15
5235,China,Praise or endorse,Uhuru Muigai Kenyatta,2013-03-31
5236,China,Express intent to meet or negotiate,Japan,2006-03-10
5237,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2007-09-04
5238,Police (Bulgaria),"Arrest, detain, or charge with legal action",Citizen (Bulgaria),2008-07-31
5239,Raúl Castro,Host a visit,Cristina Fernández de Kirchner,2009-01-21
5240,Citizen (Uganda),Make optimistic comment,Resistance Movement (Uganda),2008-04-18
5241,Iran,Reject,Cabinet / Council of Ministers / Advisors (United States),2011-02-15
5242,African Union,Make a visit,Ethiopia,2006-11-14
5243,Head of Government (Qatar),Host a visit,Isaias Afewerki,2011-07-01
5244,Japan,Make pessimistic comment,Iran,2012-05-01
5245,Pervez Musharraf,Make statement,Associated Press,2005-04-03
5246,Malaysia,Host a visit,Association of Southeast Asian Nations,2005-05-09
5247,UN Security Council,Make optimistic comment,France,2007-11-08
5248,Benedict XVI,Consult,Mahmoud Abbas,2009-10-12
5249,Mexico,"Arrest, detain, or charge with legal action",Pablo Salazar Mendiguchía,2011-06-10
5250,Police (Australia),Make an appeal or request,Citizen (Australia),2010-03-08
5251,Islam Karimov,Make empathetic comment,Muhammad VI,2011-07-28
5252,Iraq,Sign formal agreement,Iran,2008-11-10
5253,Police (Australia),Confiscate property,Citizen (Australia),2015-03-13
5254,UN Security Council,Praise or endorse,France,2013-12-06
5255,Police (Croatia),"Arrest, detain, or charge with legal action",Citizen (Croatia),2011-03-01
5256,Cambodia,Sign formal agreement,Thailand,2011-09-12
5257,Police (Australia),Investigate,Citizen (Australia),2007-04-15
5258,Criminal (Mexico),Criticize or denounce,Mexico,2005-08-02
5259,China,Express intent to engage in diplomatic cooperation (such as policy support),Iraq,2014-02-25
5260,Guatemala,Express intent to cooperate,Mexico,2011-07-28
5261,Chongwadai,Make statement,Roh Moo Hyun,2007-02-23
5262,Sudan,Engage in diplomatic cooperation,Ethiopia,2015-01-06
5263,Police (Egypt),Use tactics of violent repression,Islamic Militant (Egypt),2005-07-27
5264,Pakistan People's Party,Reduce relations,Government (Pakistan),2008-05-13
5265,Military Personnel (Yemen),Host a visit,Ali Abdullah Saleh,2005-03-10
5266,Japan,Accuse,Wang Yi,2008-06-27
5267,Tanzania,Sign formal agreement,Burundi,2015-07-13
5268,China,Sign formal agreement,Ma Ying Jeou,2010-02-22
5269,Court Judge (United Kingdom),Deny responsibility,Children (United Kingdom),2006-06-30
5270,Sudan,Host a visit,Bill Richardson,2007-01-07
5271,Citizen (Greece),Praise or endorse,Alexis Tsipras,2015-07-15
5272,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2008-02-13
5273,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2006-01-25
5274,Citizen (Bangladesh),Make an appeal or request,Employee (Bangladesh),2006-11-29
5275,Sudan,Host a visit,Qatar,2009-07-09
5276,Japan,Express intent to cooperate,Vietnam,2006-06-02
5277,Yemen,Host a visit,Pervez Musharraf,2008-05-07
5278,Ethiopia,Accuse,Sudan,2012-11-22
5279,Japan,Express intent to engage in diplomatic cooperation (such as policy support),United Arab Emirates,2007-12-17
5280,Barack Obama,Make a visit,Japan,2009-11-19
5281,International Government Organizations,Express intent to meet or negotiate,South Korea,2012-11-08
5282,Police (Uganda),"Arrest, detain, or charge with legal action",Citizen (Uganda),2013-01-11
5283,Police (Australia),Make statement,Member of Parliament (Australia),2012-06-25
5284,Thailand,Host a visit,Association of Southeast Asian Nations,2009-01-07
5285,Member of Parliament (Thailand),Criticize or denounce,Citizen (Thailand),2009-06-12
5286,Insurgent (Thailand),fight with small arms and light weapons,Citizen (Thailand),2012-05-15
5287,South Korea,Express intent to meet or negotiate,Japan,2013-01-16
5288,Malaysia,Make an appeal or request,Thailand,2005-09-08
5289,Japan,Cooperate economically,China,2006-04-13
5290,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2010-07-20
5291,Cristina Fernández de Kirchner,Criticize or denounce,Business (Argentina),2014-08-14
5292,Military Personnel (Philippines),Make statement,Police (Philippines),2011-01-04
5293,Abdel Fattah Al-Sisi,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-07-07
5294,Cristina Fernández de Kirchner,Engage in negotiation,Alberto Fernández,2007-11-24
5295,China,Host a visit,Envoy (United States),2009-05-08
5296,Israeli Defense Forces,fight with small arms and light weapons,"Children (Palestinian Territory, Occupied)",2006-11-03
5297,Abdoulaye Wade,Make a visit,Iran,2006-06-26
5298,Police (Saudi Arabia),"Arrest, detain, or charge with legal action",Citizen (Saudi Arabia),2008-01-10
5299,Ministry (Nigeria),Accuse,Oluṣẹgun Ọbasanjọ,2014-12-30
5300,Iran,Host a visit,Valentin Sobolev,2008-05-12
5301,Iran,Provide aid,Barack Obama,2010-01-07
5302,Men (South Africa),Use unconventional violence,Police (South Africa),2014-05-28
5303,Mahmoud Ahmadinejad,Make a visit,Iran,2007-08-27
5304,Japan,Engage in negotiation,China,2006-09-18
5305,Armed Band (South Sudan),Use unconventional violence,Military (South Sudan),2013-07-12
5306,Police (Australia),Investigate,Citizen (Australia),2007-09-06
5307,Police (Australia),Make an appeal or request,Citizen (Australia),2007-04-23
5308,Iran,Host a visit,Sergey Vladilenovich Kiriyenko,2006-12-12
5309,Thailand,Consider policy option,Cambodia,2009-11-06
5310,Ma Ying Jeou,Make statement,Kuomintang,2006-02-28
5311,Chongwadai,Make statement,Grand National Party,2014-06-05
5312,Bureaucrat (Australia),Criticize or denounce,Citizen (Australia),2006-12-14
5313,Ethiopia,Make optimistic comment,Sudan,2005-07-01
5314,Ma Ying Jeou,Make statement,Vincent C. Siew,2008-03-28
5315,Cambodia,Express intent to engage in diplomatic cooperation (such as policy support),Vietnam,2006-10-24
5316,Sudan,Consult,Eritrea,2007-03-05
5317,Shimon Peres,Criticize or denounce,Iran,2012-08-06
5318,Police (Israel),Make statement,Criminal (Israel),2010-05-07
5319,Iran,Criticize or denounce,Armed Rebel (Syria),2013-03-26
5320,Business (Argentina),Make statement,Cristina Fernández de Kirchner,2008-05-20
5321,Benedict XVI,Make statement,Middle East,2007-12-11
5322,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2012-01-31
5323,Citizen (Nigeria),Use unconventional violence,Royal Administration (Nigeria),2007-04-19
5324,Yemen,Express intent to meet or negotiate,Ethiopia,2005-06-21
5325,Ministry (Nigeria),Make statement,Government (Nigeria),2013-06-26
5326,Citizen (Nigeria),Bring lawsuit against,Government (Nigeria),2015-01-15
5327,Citizen (Kyrgyzstan),Rally support on behalf of,Member of Parliament (Kyrgyzstan),2013-11-29
5328,Ma Ying Jeou,Express intent to meet or negotiate,China,2013-12-25
5329,Citizen (Tanzania),Demand,Tanzania,2009-12-01
5330,Mahmoud Abbas,Express intent to meet or negotiate,Royal Administration (Saudi Arabia),2010-08-03
5331,Military Personnel (Thailand),Make statement,Thailand,2009-03-03
5332,Vietnam,Engage in diplomatic cooperation,China,2013-10-25
5333,Colombia,Host a visit,José Miguel Insulza,2007-12-14
5334,Sudan,Sign formal agreement,China,2011-03-31
5335,China,Cooperate economically,Iran,2008-10-06
5336,Muhammadu Buhari,Make a visit,Niger,2015-06-05
5337,Police (Australia),Express intent to meet or negotiate,Citizen (Australia),2010-11-02
5338,Armed Rebel (Yemen),Consult,Ali Abdullah Saleh,2009-08-22
5339,South Korea,Express intent to meet or negotiate,China,2008-07-08
5340,Head of Government (Egypt),Express intent to meet or negotiate,Benjamin Netanyahu,2010-08-29
5341,China,Make optimistic comment,Government (Sudan),2007-04-03
5342,Wang Yi,Make statement,China,2013-09-25
5343,Nuri al-Maliki,Consult,Iraq,2012-02-20
5344,Mahmoud Ahmadinejad,Make statement,Iran,2010-08-11
5345,Sudan,Receive deployment of peacekeepers,Ethiopia,2009-11-19
5346,Tony Blair,Engage in symbolic act,Mahmoud Abbas,2006-12-18
5347,Citizen (Nigeria),Demand,Government (Nigeria),2010-10-14
5348,Police (Australia),Appeal for intelligence,Citizen (Australia),2013-12-08
5349,Citizen (United Kingdom),Accuse,Tony Blair,2006-03-31
5350,China,Criticize or denounce,Barack Obama,2010-03-18
5351,Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Dmitry Anatolyevich Medvedev,2009-07-06
5352,Yoshihiko Noda,Make statement,Treasury/Finance Ministry (Japan),2010-10-21
5353,UN Security Council,Appeal for target to allow international involvement (non-mediation),Iran,2006-04-03
5354,Oluṣẹgun Ọbasanjọ,Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2015-12-16
5355,Lawyer/Attorney (Australia),Ease administrative sanctions,Citizen (Australia),2007-02-19
5356,Japan,Host a visit,Wen Jiabao,2007-05-16
5357,Citizen (Australia),Use unconventional violence,Police (Australia),2014-10-28
5358,Citizen (Nigeria),Accuse,Government (Nigeria),2014-10-08
5359,Roh Moo Hyun,Make a visit,Mexico,2005-09-09
5360,Iran,Make an appeal or request,United Arab Emirates,2006-10-30
5361,Japan,Sign formal agreement,Malaysia,2015-10-07
5362,Supreme Council (Iraq),Engage in negotiation,Nuri al-Maliki,2008-10-31
5363,Middle East,Host a visit,Dmitry Anatolyevich Medvedev,2011-01-20
5364,Mahmoud Abbas,Consult,Angela Merkel,2011-05-06
5365,Citizen (Nigeria),Criticize or denounce,Ministry (Nigeria),2014-10-23
5366,Vladimír Palko,Make statement,Police (Slovakia),2005-10-01
5367,Japan,Express intent to cooperate,China,2010-10-30
5368,Head of Government (Taiwan),Consult,Ma Ying Jeou,2010-03-19
5369,Bertie Ahern,Express intent to meet or negotiate,Tony Blair,2005-03-01
5370,Japan,Make pessimistic comment,China,2013-08-13
5371,Mikhail Yefimovich Fradkov,Express intent to meet or negotiate,China,2006-11-10
5372,Activist (Syria),Make statement,Armed Rebel (Syria),2014-09-24
5373,UN Security Council,Express intent to cooperate,China,2011-11-10
5374,Police (Australia),Use conventional military force,Citizen (Australia),2012-01-10
5375,Thailand,Consult,Vietnam,2005-09-23
5376,Iran,Express intent to engage in diplomatic cooperation (such as policy support),Yemen,2005-12-18
5377,China,Make statement,Angola,2006-06-21
5378,Wen Jiabao,Make a visit,South Korea,2011-02-25
5379,Japan,Make a visit,China,2008-07-11
5380,Ma Ying Jeou,Consult,Kuomintang,2005-12-15
5381,Cambodia,Consult,Thailand,2005-07-04
5382,Mahmoud Ahmadinejad,Make statement,Iran,2007-02-03
5383,Japan,Express intent to cooperate,South Korea,2015-04-05
5384,Rapid Action Battalion,"Arrest, detain, or charge with legal action",Citizen (Bangladesh),2007-02-13
5385,Court Judge (United Kingdom),Investigate,Julian Paul Assange,2011-12-07
5386,Japan,Consult,Iraq,2009-12-21
5387,Kazakhstan,Sign formal agreement,France,2010-10-27
5388,Japan,Express intent to meet or negotiate,China,2008-05-06
5389,Angela Merkel,Express intent to meet or negotiate,Benjamin Netanyahu,2009-11-23
5390,China,Consult,Laos,2009-09-19
5391,Wen Jiabao,Make statement,China,2007-11-22
5392,Japan,Praise or endorse,Cabinet / Council of Ministers / Advisors (Japan),2009-07-03
5393,South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2012-07-12
5394,Laos,Consult,Vietnam,2006-07-20
5395,Royal Administration (Saudi Arabia),Consult,Mahmoud Abbas,2014-07-28
5396,Barack Obama,Consult,Lee Myung Bak,2011-10-14
5397,Citizen (Australia),Threaten,Police (Australia),2008-11-28
5398,Japan,Make an appeal or request,China,2006-09-17
5399,Police (Australia),Demand,Citizen (Australia),2012-11-28
5400,Japan,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2014-10-21
5401,Ali Abdullah Saleh,Refuse to yield,Defense / Security Ministry (Yemen),2012-12-16
5402,Japan,Make a visit,South Korea,2005-10-23
5403,Ministry (Iran),Make an appeal or request,Iran,2013-10-29
5404,Iraq,Use conventional military force,Mahdi Army,2007-07-07
5405,Pascal Affi N'Guessan,Make a visit,Legislature (Cote d'Ivoire),2006-07-31
5406,Shaukat Aziz,Make statement,China,2006-04-27
5407,Police (Philippines),Make statement,Justice Department/Ministery (Philippines),2010-10-11
5408,Angela Merkel,Consult,Wen Jiabao,2010-10-12
5409,Iran,Express intent to meet or negotiate,UN Security Council,2013-02-07
5410,Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2015-09-29
5411,Boko Haram,Use conventional military force,Citizen (Nigeria),2015-04-25
5412,Yemen,Host a visit,Abu Bakr Abdullah al-Qirbi,2007-01-29
5413,Police (South Africa),Praise or endorse,Government (South Africa),2005-09-23
5414,Police (Australia),Express intent to meet or negotiate,Citizen (Australia),2007-04-03
5415,Yoshihiko Noda,Make statement,Japan,2011-12-03
5416,Pervez Musharraf,Consult,Wen Jiabao,2005-04-06
5417,Japan,Host a visit,Foreign Affairs (South Korea),2015-06-17
5418,Mahmoud Ahmadinejad,Make a visit,Iran,2008-01-30
5419,Iran,Reject,United Arab Emirates,2008-09-04
5420,Sudan,Express intent to cooperate,South Sudan,2012-09-09
5421,Police (Turkmenistan),Investigate,Head of Government (Turkmenistan),2005-08-13
5422,Police (Israel),"Arrest, detain, or charge with legal action",Criminal (Israel),2013-03-04
5423,China,Meet at a 'third' location,Xi Jinping,2015-10-20
5424,Police (Australia),Investigate,Citizen (Australia),2010-07-30
5425,China,Host a visit,Wen Jiabao,2007-07-16
5426,Rafael Correa,Make statement,Colombia,2009-07-23
5427,Cabinet / Council of Ministers / Advisors (United States),Make statement,Iran,2014-07-03
5428,Member of Parliament (Australia),Make statement,Cabinet / Council of Ministers / Advisors (Australia),2007-10-31
5429,Mahmoud Abbas,Express intent to meet or negotiate,Benjamin Netanyahu,2012-07-16
5430,Saud bin Faisal bin Abdul-Aziz,Consult,Head of Government (Egypt),2008-02-25
5431,China,Consult,Japan,2008-10-03
5432,Farm Worker (Nigeria),Accuse,Ministry (Nigeria),2011-05-20
5433,Kazakhstan,Sign formal agreement,China,2005-07-04
5434,China,Host a visit,Ali Abdullah Saleh,2006-04-07
5435,Protester (Egypt),"Protest violently, riot",Police (Egypt),2014-02-22
5436,Shimon Peres,Consult,Barack Obama,2012-11-14
5437,Citizen (Thailand),Express intent to meet or negotiate,Thailand,2010-03-19
5438,Citizen (Sudan),Appeal for intelligence,Government (Sudan),2011-09-08
5439,Iran,Host a visit,Massoud Barzani,2011-11-01
5440,Barack Obama,Consult,Royal Administration (Spain),2014-09-23
5441,South Korea,Make statement,Cambodia,2013-07-30
5442,Envoy (United States),Consult,Mahmoud Abbas,2010-12-14
5443,Military (Lebanon),fight with small arms and light weapons,Men (Lebanon),2014-09-27
5444,Citizen (Nigeria),Make an appeal or request,Other Authorities / Officials (Nigeria),2007-07-20
5445,South Korea,Make pessimistic comment,China,2014-07-03
5446,Ma Ying Jeou,Make statement,China,2009-05-01
5447,Head of Government (Egypt),Express intent to meet or negotiate,China,2014-11-23
5448,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2015-01-13
5449,South Korea,Express intent to cooperate,China,2005-01-06
5450,Japan,Reduce relations,South Korea,2014-03-26
5451,Iran,Express intent to engage in diplomatic cooperation (such as policy support),United Arab Emirates,2005-11-20
5452,North America,Host a visit,China,2005-08-20
5453,Lawyer/Attorney (Zambia),"Arrest, detain, or charge with legal action",Citizen (Zambia),2010-06-17
5454,Mahmoud Ahmadinejad,Make statement,Iran,2007-04-15
5455,Military (Russia),Use conventional military force,Armed Rebel (Russia),2006-10-07
5456,Citizen (Thailand),Threaten,Thailand,2008-08-25
5457,China,Host a visit,Sudan,2008-02-29
5458,Criminal (Australia),Use unconventional violence,Citizen (Australia),2015-08-17
5459,Thailand,Provide humanitarian aid,Citizen (Thailand),2008-02-17
5460,Ma Ying Jeou,Express intent to meet or negotiate,Japan,2008-03-26
5461,Herman Van Rompuy,Express intent to meet or negotiate,Citizen (Belgium),2010-10-23
5462,Police (Australia),Accuse,Citizen (Australia),2005-06-30
5463,Malaysia,Host a visit,Vietnam,2009-11-10
5464,Okada Katsuya,Make statement,Japan,2009-09-24
5465,China,Express intent to meet or negotiate,France,2006-10-09
5466,Citizen (Saudi Arabia),Express intent to provide economic aid,Saudi Arabian Defence Forces,2014-08-07
5467,Lawmaker (Japan),Criticize or denounce,Japan,2011-11-12
5468,Tony Blair,Make statement,Iran,2006-07-16
5469,Jian Yu,Make statement,China,2011-09-14
5470,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),China,2011-04-22
5471,Japan,Engage in negotiation,South Korea,2005-04-07
5472,Protester (Egypt),Demonstrate or rally,Police (Egypt),2013-10-09
5473,Japan,Host a visit,China,2008-05-06
5474,South Africa,Reduce relations,Foreign Affairs (South Africa),2015-12-23
5475,Undersecretary (United States),Make statement,China,2007-06-14
5476,Japan,Consult,UN Security Council,2009-04-07
5477,Iraq,Criticize or denounce,Supreme Council (Iraq),2014-03-23
5478,Yuriy Lutsenko,Make statement,Police (Ukraine),2009-12-11
5479,Police (Philippines),"Arrest, detain, or charge with legal action",City Mayor (Philippines),2008-06-20
5480,Government (Pakistan),Impose restrictions on political freedoms,Benazir Bhutto,2007-10-23
5481,France,Engage in diplomatic cooperation,Yemen,2008-02-18
5482,Vietnam,Cooperate economically,Cambodia,2008-08-25
5483,Insurgent (Thailand),Use unconventional violence,Citizen (Thailand),2006-04-25
5484,Insurgent (Thailand),fight with small arms and light weapons,Citizen (Thailand),2010-09-12
5485,Qatar,Express intent to cooperate,Kuwait,2005-02-07
5486,Thailand,Express intent to cooperate,Malaysia,2014-12-01
5487,Rajya Sabha,Express intent to meet or negotiate,Member of Parliament (India),2005-04-29
5488,Citizen (Nigeria),Make an appeal or request,Muslim (Nigeria),2013-02-18
5489,Evo Morales,Criticize or denounce,Colombia,2007-01-20
5490,France,Make an appeal or request,Iran,2007-05-31
5491,Barack Obama,Provide military protection or peacekeeping,Iraq,2014-06-17
5492,France,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2006-01-18
5493,France,Praise or endorse,African Union,2013-11-20
5494,Lawyer/Attorney (Argentina),Accuse,Attorney General (Argentina),2009-10-09
5495,Xi Jinping,Make statement,China,2013-06-05
5496,Ma Ying Jeou,Express intent to meet or negotiate,China,2008-07-17
5497,Villager (China),Criticize or denounce,China,2013-03-14
5498,Massoud Barzani,Praise or endorse,Iran,2014-08-13
5499,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,China,2010-06-27
5500,Citizen (International),Criticize or denounce,Barack Obama,2011-11-02
5501,Men (India),Complain officially,Court Judge (India),2008-06-10
5502,Rehman Malik,Make statement,Iran,2008-07-22
5503,Lawmaker (Japan),Make a visit,China,2006-07-04
5504,Jakaya Mrisho Kikwete,Make a visit,Sudan,2008-09-08
5505,Wen Jiabao,Make optimistic comment,Thailand,2009-04-11
5506,China,Consult,South Africa,2008-07-09
5507,China,Express intent to cooperate,Iran,2015-09-15
5508,Barack Obama,Make optimistic comment,Iraq,2015-12-29
5509,Angela Merkel,Consult,Antonis Samaras,2012-10-09
5510,Police (Australia),Investigate,Citizen (Australia),2008-08-26
5511,Tony Blair,Host a visit,Mahmoud Abbas,2006-12-18
5512,China,"Impose embargo, boycott, or sanctions",Iran,2010-04-15
5513,Cabinet / Council of Ministers / Advisors (United States),Make a visit,Mexico,2009-03-25
5514,Ethiopia,Make a visit,The Hague,2007-09-10
5515,Media Personnel (Pakistan),Make statement,Government (Pakistan),2010-04-16
5516,Iraq,Host a visit,Mahmoud Ahmadinejad,2008-03-06
5517,Envoy (United States),Make a visit,South Sudan,2013-09-14
5518,Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2006-03-14
5519,Dmitry Anatolyevich Medvedev,Praise or endorse,Shimon Peres,2009-08-18
5520,Moro Islamic Liberation Front,Use conventional military force,Military (Philippines),2006-07-06
5521,Education Ministry (China),Make statement,China,2009-04-22
5522,Tony Blair,Consult,Wen Jiabao,2005-09-05
5523,Djibouti,Engage in diplomatic cooperation,Iran,2009-02-25
5524,Rehman Malik,Make statement,Head of Government (Pakistan),2008-07-08
5525,Angela Merkel,Make statement,Government (Germany),2007-05-13
5526,Protester (Thailand),"Obstruct passage, block",Thailand,2008-10-06
5527,China,Make pessimistic comment,Iraq,2005-01-20
5528,Government (Nigeria),Praise or endorse,Boko Haram,2013-11-18
5529,State Security Service,"Arrest, detain, or charge with legal action",Citizen (Nigeria),2010-06-21
5530,Ministry (Iran),Express intent to meet or negotiate,Iran,2010-11-09
5531,Police (Indonesia),"Arrest, detain, or charge with legal action",Men (Indonesia),2010-04-21
5532,European Central Bank,Make an appeal or request,Government (Germany),2015-09-10
5533,France,Host a visit,Saifur Rahman,2005-02-27
5534,Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2005-12-02
5535,UN Security Council,Make an appeal or request,Eritrea,2005-11-28
5536,Sudan,Host a visit,Isaias Afewerki,2006-11-29
5537,Lee Myung Bak,Express intent to meet or negotiate,Cabinet / Council of Ministers / Advisors (South Korea),2012-07-18
5538,Barack Obama,Consult,Yoshihiko Noda,2012-03-29
5539,Iran,Engage in diplomatic cooperation,France,2013-12-10
5540,Japan,"Declare truce, ceasefire",South Korea,2015-03-16
5541,Police (Australia),Investigate,Citizen (Australia),2010-03-09
5542,Lawyer/Attorney (Australia),Accuse,Citizen (Australia),2009-06-30
5543,Thailand,Consult,Laos,2011-08-10
5544,Head of Government (Nigeria),Make an appeal or request,Government (Nigeria),2011-09-05
5545,Barack Obama,Praise or endorse,UN Security Council,2008-06-24
5546,Vietnam,Express intent to meet or negotiate,Laos,2010-03-29
5547,Mahmoud Abbas,Express intent to cooperate,Shimon Peres,2014-05-30
5548,South Korea,Express intent to meet or negotiate,China,2005-10-26
5549,Japan,Make a visit,China,2006-02-04
5550,Antonis Samaras,Make statement,Alexis Tsipras,2015-06-05
5551,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2015-02-13
5552,China,Engage in negotiation,France,2010-12-07
5553,Militant (Nigeria),Use unconventional violence,Citizen (Nigeria),2014-12-01
5554,Xi Jinping,Express intent to meet or negotiate,South Africa,2013-03-18
5555,Other Authorities / Officials (Greece),"Arrest, detain, or charge with legal action",Citizen (Greece),2005-03-06
5556,Iraq,Express intent to meet or negotiate,Iran,2006-04-10
5557,Shimon Peres,Praise or endorse,Barack Obama,2014-02-19
5558,Cambodia,Sign formal agreement,Vietnam,2006-12-06
5559,France,Use conventional military force,Iraq,2015-09-27
5560,Sudan,Expel or deport individuals,Doctors Without Borders,2008-06-26
5561,Barack Obama,Consult,Mahmoud Abbas,2014-03-20
5562,Vuk Jeremić,Make statement,UN Security Council,2011-02-16
5563,Japan,Express intent to cooperate,South Korea,2006-07-03
5564,China,Praise or endorse,Sudan,2007-10-28
5565,France,Make optimistic comment,Iran,2006-06-22
5566,African Union,Make a visit,Sudan,2009-05-17
5567,Barack Obama,Bring lawsuit against,China,2012-10-24
5568,New Patriotic Party,Conduct strike or boycott,Head of Government (Ghana),2013-01-09
5569,Catherine Ashton,Express intent to meet or negotiate,Benjamin Netanyahu,2010-07-16
5570,Citizen (Nigeria),Make optimistic comment,Muhammadu Buhari,2015-04-30
5571,State Security Service,"Arrest, detain, or charge with legal action",Citizen (Nigeria),2005-04-28
5572,Sudan,"Arrest, detain, or charge with legal action",Citizen (Sudan),2011-02-03
5573,Police (Tanzania),Consult,Ministry (Tanzania),2010-12-15
5574,South Sudan,Accuse,Armed Rebel (Lord's Resistance Army),2006-12-30
5575,Tanzania,"Return, release person(s)",Criminal (Tanzania),2006-04-17
5576,Court Judge (United Kingdom),Reject,Citizen (United Kingdom),2014-10-14
5577,Armed Gang (Russia),Use unconventional violence,Military (Russia),2008-08-22
5578,Royal Administration (Nigeria),Engage in symbolic act,Citizen (Nigeria),2015-10-01
5579,South Africa,Consult,China,2010-02-05
5580,Thailand,Use conventional military force,Military (Cambodia),2011-02-16
5581,China,Deny responsibility,Holy See,2006-05-04
5582,South Korea,Express intent to meet or negotiate,Roh Moo Hyun,2005-04-08
5583,Lawyer/Attorney (South Korea),Investigate,Samsung,2005-08-10
5584,China,Engage in diplomatic cooperation,France,2013-11-26
5585,Media Personnel (Australia),Make statement,Police (Australia),2011-04-22
5586,Lee Myung Bak,Make statement,South Korea,2012-03-21
5587,North America,Consult,Barack Obama,2014-02-20
5588,Yemen,Use conventional military force,Saudi Army,2015-11-15
5589,Thailand,Sign formal agreement,Japan,2005-03-11
5590,China,Express intent to engage in diplomatic cooperation (such as policy support),Vietnam,2010-07-02
5591,Barack Obama,Express intent to meet or negotiate,Japan,2010-11-01
5592,Xi Jinping,Express intent to meet or negotiate,South Africa,2010-11-23
5593,South Korea,"Arrest, detain, or charge with legal action",Criminal (South Korea),2012-08-31
5594,Men (Indonesia),fight with small arms and light weapons,Police (Indonesia),2011-05-31
5595,Evo Morales,Make statement,China,2010-02-10
5596,Sudan,Host a visit,South Sudan,2012-05-28
5597,Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2012-09-23
5598,China,Host a visit,Norodom Sihanouk,2010-03-31
5599,Dmitry Anatolyevich Medvedev,Consult,Magomedsalam Magomedov,2010-08-13
5600,Member of Legislative (Govt) (Nigeria),Make an appeal or request,Citizen (Nigeria),2006-01-06
5601,Yoshihiko Noda,Make statement,Japan,2011-11-15
5602,Okada Katsuya,Make an appeal or request,Japan,2009-11-16
5603,Angel Luis D'Elia,Make a visit,Iran,2010-04-07
5604,Tony Blair,Consult,Bertie Ahern,2006-10-12
5605,China,Make an appeal or request,Iran,2006-09-09
5606,Police (Uganda),Investigate,Citizen (Uganda),2005-08-24
5607,Tanzania,Consult,Burundi,2008-11-05
5608,Julia Gillard,Consult,Barack Obama,2010-11-15
5609,UN Security Council,Make a visit,Sudan,2011-01-05
5610,Police (Australia),Demand,Citizen (Australia),2006-05-27
5611,Yemen,Express intent to accept mediation,Qatar,2010-06-18
5612,Lawyer/Attorney (Australia),Reject,Citizen (Australia),2006-08-17
5613,UN Security Council,Criticize or denounce,Ethiopia,2005-11-07
5614,Military Personnel - Special (Afghanistan),fight with small arms and light weapons,Attacker (Afghanistan),2011-11-03
5615,South Korea,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2013-06-30
5616,Police (Tanzania),"Arrest, detain, or charge with legal action",Citizen (Tanzania),2015-01-07
5617,Jian Yu,Make statement,China,2007-09-27
5618,Rupiah Banda,Make statement,Michael Sata,2008-10-09
5619,Japan,Host a visit,China,2011-03-20
5620,Criminal (Australia),Make statement,Police (Australia),2015-11-03
5621,Lien Chan,Make statement,Ma Ying Jeou,2007-02-14
5622,Laos,Express intent to cooperate,China,2015-04-24
5623,Malaysia,Express intent to cooperate economically,China,2013-07-26
