,head,relation,tail,time
2723,Media Personnel (Somalia),Discuss by telephone,Associated Press,2006-10-06
2724,Mahmoud Abbas,Consult,Juan Carlos I,2011-07-20
2725,Pervez Musharraf,Consult,Head of Government (India),2005-04-23
2726,South Korea,Engage in diplomatic cooperation,Iran,2011-03-25
2727,Barack Obama,Praise or endorse,Angela Merkel,2011-08-08
2728,Barack Obama,Engage in negotiation,Iran,2015-04-14
2729,Criminal (Brazil),"Abduct, hijack, or take hostage",Citizen (Brazil),2006-10-05
2730,Benjamin Netanyahu,Make statement,Mahmoud Abbas,2014-06-16
2731,Iran,Engage in diplomatic cooperation,Iraq,2008-06-09
2732,Head of Government (India),Consult,Labor Union (India),2015-01-12
2733,Raúl Castro,Discuss by telephone,Barack Obama,2015-04-10
2734,Media Personnel (Iran),Make statement,Iran,2006-08-20
2735,Iraq,Consult,Iran,2013-07-20
2736,Norwegian Church Aid,Sign formal agreement,Ministry of International Cooperation (Sudan),2006-08-29
2737,Mahmoud Ahmadinejad,Make statement,Iran,2007-10-28
2738,Opposition Supporter (Pakistan),Make statement,Benazir Bhutto,2006-09-11
2739,Japan,Express intent to cooperate,South Korea,2006-05-04
2740,China,Express intent to meet or negotiate,Japan,2010-11-24
2741,South Korea,Consult,China,2006-05-12
2742,Head of Government (Qatar),Consult,Mahmoud Abbas,2012-05-20
2743,UN Security Council,Consult,African Union,2007-04-16
2744,Japan,Cooperate economically,Colombia,2012-09-25
2745,Japan,Consult,South Korea,2011-05-14
2746,Arseniy Yatsenyuk,Make statement,Member of Parliament (Ukraine),2008-06-26
2747,Iran,Engage in diplomatic cooperation,Oman,2014-03-07
2748,Insurgent (Thailand),Use unconventional violence,Citizen (Thailand),2008-05-13
2749,China,Consult,Japan,2012-09-26
2750,Javier Solana,Engage in negotiation,Iran,2006-07-05
2751,China,Make statement,South Korea,2006-01-05
2752,Cabinet / Council of Ministers / Advisors (United States),Consult,Mahmoud Abbas,2010-08-25
2753,Japan,Praise or endorse,Barack Obama,2009-04-06
2754,Citizen (Bangladesh),Make an appeal or request,Cabinet / Council of Ministers / Advisors (Bangladesh),2012-11-07
2755,John Odigie-Oyegun,Make an appeal or request,Citizen (Nigeria),2015-02-27
2756,Kuwait,Sign formal agreement,Mauritania,2006-08-02
2757,Education Ministry (Algeria),Consult,Representatives (Algeria),2014-11-17
2758,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2012-11-14
2759,Cambodia,Reduce relations,Thailand,2009-11-13
2760,Association of Southeast Asian Nations,Sign formal agreement,China,2009-07-09
2761,Japan,Criticize or denounce,China,2012-07-31
2762,Court Judge (United Kingdom),Demand,Citizen (United Kingdom),2007-08-22
2763,Cambodia,Reject,Thailand,2008-08-12
2764,South Korea,Consult,Japan,2011-05-14
2765,South Korea,Make an appeal or request,Japan,2005-07-18
2766,Military (Mexico),Cooperate militarily,Mexico,2006-09-27
2767,Lawyer/Attorney (Australia),Accuse,Citizen (Australia),2008-09-11
2768,China,Make optimistic comment,Japan,2005-04-17
2769,Umaru Musa Yar'Adua,Criticize or denounce,Citizen (Nigeria),2009-12-08
2770,China,Praise or endorse,Iran,2015-08-27
2771,China,Accuse,Benedict XVI,2005-09-11
2772,Ma Ying Jeou,Make statement,China,2007-09-04
2773,South Korea,Criticize or denounce,Japan,2006-05-01
2774,Citizen (Uganda),Accuse,Democratic Party,2010-05-25
2775,Israeli Defense Forces,fight with small arms and light weapons,al-Aqsa Martyrs' Brigades,2006-08-31
2776,Japan,Consult,China,2012-05-12
2777,China,Reduce relations,Japan,2006-04-30
2778,Japan,Express intent to cooperate,South Korea,2005-05-25
2779,Police (Australia),Accuse,Citizen (Australia),2008-04-03
2780,Iran,Express intent to meet or negotiate,France,2005-06-15
2781,China,Make statement,South Korea,2013-12-06
2782,Citizen (Uganda),Reject,Police (Uganda),2010-03-22
2783,China,Host a visit,Japan,2015-04-06
2784,Iran,Sign formal agreement,Yemen,2015-12-14
2785,Japan,Consult,South Korea,2011-05-16
2786,Yoshihiko Noda,Engage in negotiation,Wen Jiabao,2011-11-23
2787,Evo Morales,Make statement,Bolivia,2007-02-09
2788,France,Make statement,Iran,2006-10-21
2789,Ethiopia,Consult,Sudan,2014-08-29
2790,Cambodia,Express intent to meet or negotiate,China,2005-01-12
2791,Police (Australia),fight with small arms and light weapons,Citizen (Australia),2006-05-24
2792,Member of Parliament (Bangladesh),Make an appeal or request,Citizen (Bangladesh),2007-04-16
2793,Iraq,Host a visit,Kuwait,2007-03-06
2794,Media Personnel (Somalia),Discuss by telephone,Agence France-Presse,2005-08-18
2795,Media Personnel (Australia),Make statement,Police (Australia),2005-05-11
2796,Lawyer/Attorney (United States),Make statement,France,2011-10-13
2797,Police (Australia),Make an appeal or request,Citizen (Australia),2014-09-15
2798,Government (France),Make statement,France,2010-08-24
2799,China,Criticize or denounce,Japan,2005-07-22
2800,Police (Philippines),Make statement,City Mayor (Philippines),2013-09-26
2801,Japan,Express intent to meet or negotiate,China,2006-10-09
2802,Barack Obama,Consult,Benjamin Netanyahu,2009-05-14
2803,Iran,Engage in diplomatic cooperation,Vietnam,2007-04-18
2804,Citizen (Australia),Make optimistic comment,Lawyer/Attorney (Australia),2005-11-17
2805,Vietnam,Express intent to settle dispute,China,2015-03-11
2806,Citizen (Nigeria),Make an appeal or request,Edwin Clark,2012-05-07
2807,Lawyer/Attorney (Australia),Accuse,Citizen (Australia),2012-08-24
2808,China,Engage in diplomatic cooperation,Association of Southeast Asian Nations,2006-11-03
2809,China,Make optimistic comment,Japan,2006-01-24
2810,Abu Sayyaf,Use conventional military force,Military (Philippines),2005-11-12
2811,China,Express intent to meet or negotiate,Iran,2012-11-27
2812,Sudan,Engage in diplomatic cooperation,Eritrea,2006-06-11
2813,Citizen (United Kingdom),Express intent to meet or negotiate,Lawyer/Attorney (United Kingdom),2010-03-25
2814,Angela Merkel,Make statement,Business (Germany),2009-11-11
2815,Japan,Express intent to cooperate,China,2006-05-18
2816,Citizen (Thailand),Reject,Thailand,2006-04-12
2817,Military (Ukraine),Make statement,Verkhovna Rada,2006-07-25
2818,China,Engage in negotiation,Japan,2005-10-18
2819,Police (Australia),Accuse,Citizen (Australia),2015-10-09
2820,Iran,Engage in negotiation,Javier Solana,2007-10-23
2821,Mahmoud Ahmadinejad,Make statement,Iran,2007-11-17
2822,Mahmoud Abbas,Praise or endorse,"Government (Palestinian Territory, Occupied)",2007-03-15
2823,Wang Yi,Make statement,China,2013-07-02
2824,Japan,Engage in diplomatic cooperation,South Korea,2015-11-11
2825,China,Make statement,Japan,2005-12-08
2826,Ministry (Nigeria),Make statement,Government (Nigeria),2015-12-28
2827,South Korea,Consult,China,2013-12-18
2828,Malaysia,Engage in diplomatic cooperation,Cambodia,2015-02-23
2829,Japan,Express intent to meet or negotiate,Government Official (Japan),2010-06-15
2830,Vietnam,Engage in diplomatic cooperation,Laos,2012-09-07
2831,Japan,Make an appeal or request,China,2005-05-26
2832,China,Express intent to cooperate,Japan,2007-08-27
2833,Party President (Germany),Consult,Angela Merkel,2005-10-14
2834,Government (Nigeria),Sign formal agreement,Labor Union (Nigeria),2011-07-21
2835,Citizen (Nigeria),Make an appeal or request,Other Authorities / Officials (Nigeria),2009-02-12
2836,Citizen (Nigeria),Praise or endorse,Government (Nigeria),2010-05-31
2837,Vietnam,Engage in diplomatic cooperation,Cambodia,2008-01-31
2838,Citizen (Nigeria),Criticize or denounce,Bukola Saraki,2015-11-20
2839,Police (Philippines),fight with small arms and light weapons,Thief (Philippines),2008-07-26
2840,Ministry (Nigeria),Make statement,Government (Nigeria),2014-05-26
2841,China,Host a visit,Dmitry Anatolyevich Medvedev,2008-05-21
2842,South Korea,Reject,Japan,2008-07-17
2843,Chaudhry Nisar Ali Khan,Consult,Ishaq Dar,2012-02-24
2844,China,Consult,South Korea,2006-01-04
2845,Edgars Rinkevics,Consult,Giorgi Kvirikashvili,2015-09-29
2846,Police (Australia),Make an appeal or request,Citizen (Australia),2005-02-26
2847,Mahmoud Ahmadinejad,Make statement,Iran,2013-01-22
2848,China,Host a visit,Barack Obama,2009-12-01
2849,Legislature (Iraq),Consult,Nuri al-Maliki,2013-03-28
2850,Iran,Meet at a 'third' location,Catherine Ashton,2014-06-03
2851,Police (Australia),Make an appeal or request,Citizen (Australia),2014-08-20
2852,Angela Merkel,Consult,Mahmoud Abbas,2012-01-19
2853,South Korea,Express intent to meet or negotiate,China,2008-11-02
2854,South Korea,Make statement,Lee Myung Bak,2008-01-07
2855,China,Consult,France,2006-05-27
2856,China,Engage in diplomatic cooperation,South Korea,2007-04-14
2857,China,Criticize or denounce,Congress (United States),2007-10-16
2858,South Korea,Consult,Xi Jinping,2014-07-05
2859,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2011-10-31
2860,The Hague,Deny responsibility,The Hague,2005-03-03
2861,Sudan,Engage in diplomatic cooperation,Eritrea,2005-12-06
2862,United Democratic Movement,Make statement,William Ruto,2011-07-11
2863,Mahmoud Ahmadinejad,Make statement,Iran,2006-07-08
2864,Citizen (Australia),Engage in symbolic act,Police (Australia),2005-04-08
2865,Iran,Meet at a 'third' location,France,2005-05-24
2866,Envoy (United States),Consult,Kim Kye Gwan,2011-10-25
2867,Abhisit Vejjajiva,Make statement,Thailand,2009-02-25
2868,Militant (Taliban),Use unconventional violence,Military Personnel - Special (Afghanistan),2015-05-04
2869,Police (Australia),Make an appeal or request,Citizen (Australia),2015-04-13
2870,Lee Myung Bak,Consult,Grand National Party,2009-05-07
2871,Cambodia,Express intent to cooperate,Vietnam,2008-11-04
2872,Barack Obama,Criticize or denounce,China,2013-03-12
2873,Israeli Defense Forces,fight with small arms and light weapons,al-Aqsa Martyrs' Brigades,2007-06-29
2874,Lawyer/Attorney (Australia),Accuse,Citizen (Australia),2009-12-22
2875,Cabinet / Council of Ministers / Advisors (United States),Consult,Mahmoud Abbas,2013-03-05
2876,Lee Myung Bak,Praise or endorse,Yasuo Fukuda,2008-02-25
2877,China,Reject,Japan,2007-04-12
2878,Head of Government (India),Express intent to meet or negotiate,Shivraj Patil,2012-12-08
2879,Lee Myung Bak,Make statement,Chongwadai,2010-04-14
2880,China,Make a visit,Japan,2011-03-13
2881,Police (Australia),Demand,Citizen (Australia),2009-02-03
2882,Vietnam,Make pessimistic comment,China,2010-10-30
2883,France,Consult,Japan,2015-06-07
2884,Benjamin Netanyahu,Express intent to cooperate,Yair Lapid,2014-09-24
2885,Mahmoud Abbas,Express intent to meet or negotiate,Barack Obama,2010-06-07
2886,Media Personnel (Somalia),Make statement,Al-Shabaab,2014-06-30
2887,South Korea,Make statement,Japan,2011-08-10
2888,China,Express intent to engage in diplomatic cooperation (such as policy support),South Africa,2008-06-12
2889,Japan,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2014-09-21
2890,Mahmoud Ahmadinejad,Make statement,Iran,2005-09-30
2891,China,Express intent to meet or negotiate,Japan,2011-05-20
2892,Japan,Consult,Somsavat Lengsava,2005-08-01
2893,Employee (Bangladesh),Torture,Citizen (Bangladesh),2005-08-05
2894,Julia Gillard,Reject,Citizen (Australia),2010-11-18
2895,Citizen (Sudan),Accuse,Sudan,2011-02-15
2896,UN Security Council,Criticize or denounce,Sudan,2007-03-06
2897,Association of Southeast Asian Nations,Engage in diplomatic cooperation,China,2006-04-02
2898,China,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2012-05-07
2899,Sudan,Make a visit,Eritrea,2010-07-10
2900,Iran,Consult,Islamic Preacher (Iran),2008-04-23
2901,South Korea,Engage in diplomatic cooperation,Japan,2013-11-23
2902,Iran,Praise or endorse,Iraq,2014-08-07
2903,South Korea,Make statement,France,2005-12-06
2904,Insurgent (Thailand),Use unconventional violence,Citizen (Thailand),2012-12-14
2905,South Africa,Engage in diplomatic cooperation,Angola,2015-11-24
2906,France,Sign formal agreement,Iran,2005-01-18
2907,Undersecretary (United States),Consult,Shivshankar Menon,2008-02-29
2908,Police (Australia),Accuse,Citizen (Australia),2005-03-08
2909,The Sunday Times,Consult,Tony Blair,2007-02-16
2910,Iran,Sign formal agreement,Iraq,2005-11-18
2911,China,Express intent to meet or negotiate,Wang Yi,2015-02-13
2912,China,Engage in negotiation,Japan,2008-08-18
2913,Business (Iran),Make statement,Iran,2011-01-20
2914,Boko Haram,Use conventional military force,Niger,2015-11-06
2915,Abhisit Vejjajiva,Accuse,Citizen (Thailand),2010-02-17
2916,Iran,Engage in diplomatic cooperation,Iraq,2012-10-05
2917,Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-06-17
2918,Japan,Express intent to cooperate,South Korea,2006-09-09
2919,Military (Cambodia),Use conventional military force,Thailand,2009-04-28
2920,South Korea,Express intent to meet or negotiate,China,2005-05-03
2921,Insurgent (Thailand),Use unconventional violence,Citizen (Thailand),2010-06-15
2922,China,Meet at a 'third' location,France,2014-11-20
2923,Police (Australia),Make an appeal or request,Citizen (Australia),2005-08-11
2924,South Korea,Criticize or denounce,Japan,2006-07-20
2925,China,Consult,Mexico,2008-07-02
2926,Media (India),Consult,Election Commission (India),2010-11-02
2927,Vietnam,Sign formal agreement,Laos,2006-12-07
2928,China,Accuse,Barack Obama,2011-07-16
2929,China,Make optimistic comment,Iran,2005-10-13
2930,Kazakhstan,Express intent to engage in diplomatic cooperation (such as policy support),China,2005-07-02
2931,Gurbanguly Berdymukhammedov,Consult,Islam Karimov,2012-10-02
2932,Media Personnel (Australia),Make statement,Police (Australia),2009-12-29
2933,Member of Parliament (Thailand),Accuse,Citizen (Thailand),2010-02-08
2934,Government (Nigeria),Use conventional military force,Boko Haram,2015-03-04
2935,South Sudan,Accuse,Sudan,2011-09-20
2936,Member of Parliament (Iraq),Make statement,Council of Representatives,2012-03-07
2937,Government (Nigeria),Praise or endorse,Citizen (Nigeria),2012-07-04
2938,Dmitry Anatolyevich Medvedev,Consult,Shimon Peres,2010-05-14
2939,Lee Myung Bak,Make statement,South Korea,2008-04-16
2940,Benjamin Netanyahu,Make an appeal or request,Mahmoud Abbas,2014-06-18
2941,Japan,Express intent to meet or negotiate,Vietnam,2005-12-15
2942,Mahmoud Abbas,Engage in negotiation,Tzipi Livni,2006-09-19
2943,Police (South Africa),Physically assault,Men (South Africa),2013-09-08
2944,Angela Merkel,Engage in negotiation,Georgios Papandreou,2010-03-06
2945,Citizen (Nigeria),Make an appeal or request,Other Authorities / Officials (Nigeria),2009-02-16
2946,Abhisit Vejjajiva,Express intent to meet or negotiate,Thailand,2009-07-15
2947,Japan,Express intent to cooperate,China,2006-07-21
2948,Association of Southeast Asian Nations,Sign formal agreement,South Korea,2014-11-21
2949,Men (South Africa),fight with small arms and light weapons,Police (South Africa),2008-07-24
2950,Iraq,Consult,Haider Al-Abadi,2015-03-19
2951,China,Praise or endorse,France,2005-04-18
2952,Mahmoud Abbas,Praise or endorse,Barack Obama,2009-01-21
2953,Citizen (Thailand),fight with small arms and light weapons,Thailand,2012-02-21
2954,Jakaya Mrisho Kikwete,Make statement,Tanzania,2006-03-09
2955,Cabinet / Council of Ministers / Advisors (United States),Consult,Mahmoud Abbas,2009-03-04
2956,City Mayor (Philippines),Make statement,Police (Philippines),2009-02-05
2957,Cambodia,Consult,Vietnam,2013-09-25
2958,Japan,Express intent to meet or negotiate,China,2006-01-31
2959,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2015-02-02
2960,China,Host a visit,Laos,2011-10-31
2961,China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2005-02-16
2962,Mahmoud Ahmadinejad,Make statement,Iran,2012-08-21
2963,Militant (Nigeria),Use unconventional violence,Citizen (Nigeria),2014-10-30
2964,Romania,Praise or endorse,China,2009-06-26
2965,China,Express intent to meet or negotiate,Head of Government (Egypt),2012-08-22
2966,Media Personnel (Australia),Make statement,Police (Australia),2012-12-05
2967,Iran,Consult,United Arab Emirates,2012-10-09
2968,Criminal (Zambia),Use unconventional violence,Citizen (Zambia),2014-03-25
2969,UN Security Council,Criticize or denounce,Sudan,2006-11-23
2970,Iraq,Engage in diplomatic cooperation,Qatar,2015-05-04
2971,Japan,Express intent to cooperate,Vietnam,2015-07-06
2972,Pervez Musharraf,Make statement,Government (Pakistan),2005-09-29
2973,France,Express intent to meet or negotiate,Iran,2015-01-08
2974,Military Personnel (Thailand),Make an appeal or request,Citizen (Thailand),2007-04-26
2975,China,Express intent to cooperate,Thailand,2006-01-08
2976,Laos,Consult,Cambodia,2007-11-23
2977,Al-Shabaab,Use conventional military force,Ethiopia,2008-07-30
2978,Oman,Consult,Iran,2014-03-12
2979,Envoy (United States),Engage in negotiation,Iraq,2005-10-11
2980,Vietnam,Engage in diplomatic cooperation,Laos,2008-08-13
2981,Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2011-07-28
2982,France,Sign formal agreement,Kazakhstan,2008-07-02
2983,UN Security Council,Make statement,Iran,2013-04-20
2984,Ministry (Sudan),Make statement,Sudan,2006-06-15
2985,Qatar,Praise or endorse,Iran,2015-07-16
2986,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Angela Merkel,2008-07-07
2987,Japan,Engage in negotiation,China,2006-10-04
2988,Cambodia,Engage in diplomatic cooperation,Vietnam,2014-12-18
2989,France,Make statement,UN Security Council,2015-11-20
2990,South Korea,Criticize or denounce,Japan,2005-11-08
2991,Head of Government (Nigeria),Make statement,Government (Nigeria),2008-08-15
2992,China,Host a visit,Barack Obama,2015-06-11
2993,Pervez Musharraf,Make statement,Government (Pakistan),2005-11-04
2994,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Africa,2007-11-16
2995,Police (Australia),fight with small arms and light weapons,Citizen (Australia),2007-01-08
2996,South Korea,Express intent to meet or negotiate,Lee Myung Bak,2009-05-18
2997,Romania,Sign formal agreement,International Monetary Fund,2014-02-04
2998,Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-06-05
2999,Head of Government (Egypt),Consult,Nicos Anastasiades,2015-12-10
3000,Israeli Defense Forces,Make statement,Police (Israel),2008-03-20
3001,Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2010-08-22
3002,African Union,Sign formal agreement,Government (Sudan),2007-04-10
3003,Mauritania,Consult,Niger,2015-01-05
3004,Iraq,Host a visit,Donald Rumsfeld,2005-02-09
3005,Vietnam,Engage in diplomatic cooperation,Japan,2014-09-15
3006,Ministry (Nigeria),Make statement,Government (Nigeria),2012-10-09
3007,Japan,Host a visit,China,2009-12-11
3008,Iran,Make an appeal or request,Mahmoud Ahmadinejad,2006-08-25
3009,France,Express intent to meet or negotiate,Iran,2011-09-23
3010,South Korea,Host a visit,Japan,2006-05-23
3011,Police (Australia),Accuse,Citizen (Australia),2007-07-18
3012,China,Express intent to cooperate,South Korea,2015-03-26
3013,Dmitry Anatolyevich Medvedev,Consult,UN Security Council,2009-03-24
3014,France,Host a visit,Iraq,2006-11-03
3015,Member of Parliament (Australia),Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Australia),2011-10-16
3016,South Africa,Make statement,Police (South Africa),2008-12-22
3017,Vietnam,Make a visit,Malaysia,2011-07-11
3018,Police (New Zealand),Consult,Police (Australia),2014-12-11
3019,China,Express intent to meet or negotiate,France,2008-04-13
3020,Cambodia,Engage in diplomatic cooperation,China,2010-12-03
3021,Barack Obama,Discuss by telephone,Head of Government (Egypt),2012-11-19
3022,Oluṣẹgun Ọbasanjọ,Consult,Roh Moo Hyun,2006-03-10
3023,Mahmoud Abbas,Consult,Javier Solana,2007-01-19
3024,Media (India),Consult,Planning Commission (India),2009-05-19
3025,Iran,Sign formal agreement,France,2005-05-27
3026,Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2010-03-16
3027,Military Personnel (Thailand),Make statement,Sondhi Limthongkul,2005-11-11
3028,China,Host a visit,Barack Obama,2014-11-10
3029,Eritrea,Consult,Sudan,2014-05-08
3030,Yasuo Fukuda,Consult,Ma Ying Jeou,2008-08-02
3031,Militant (Nigeria),Use unconventional violence,Citizen (Nigeria),2007-11-22
3032,China,Criticize or denounce,Japan,2012-09-07
3033,Government (France),Make statement,France,2015-01-13
3034,Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Benjamin Netanyahu,2013-04-05
3035,Thailand,Engage in diplomatic cooperation,Cambodia,2012-04-26
3036,China,Sign formal agreement,Japan,2009-09-02
3037,Shinsuke Sugiyama,Consult,Liu Zhenmin,2014-09-12
3038,China,Praise or endorse,Islam Karimov,2006-09-19
3039,Police (Peru),Discuss by telephone,Associated Press,2007-05-02
3040,Thailand,Make an appeal or request,Citizen (Thailand),2008-07-11
3041,Japan,Consult,Association of Southeast Asian Nations,2011-02-10
3042,Thailand,Consult,Laos,2005-02-24
3043,Vietnam,Consult,Laos,2011-04-19
3044,Vietnam,Express intent to cooperate economically,Japan,2008-09-29
3045,China,Host a visit,Abdullah Gül,2009-06-30
3046,Ethiopia,Consult,Sudan,2005-12-29
3047,Barack Obama,Express intent to meet or negotiate,Mexico,2012-06-12
3048,Thailand,Criticize or denounce,Cambodia,2011-03-03
3049,Nasser Judeh,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2012-06-14
3050,Vietnam,Make a visit,Malaysia,2006-07-19
3051,South Sudan,Sign formal agreement,Sudan,2012-09-22
3052,Evo Morales,Express intent to meet or negotiate,Cristina Fernández de Kirchner,2015-07-14
3053,Benjamin Netanyahu,Discuss by telephone,Mahmoud Abbas,2012-11-29
3054,Head of Government (India),Make an appeal or request,Governor (India),2013-02-19
3055,Foreign Affairs (Slovakia),Consult,Foreign Affairs (Israel),2009-03-03
3056,Barack Obama,Praise or endorse,Japan,2013-02-15
3057,Mexico,Express intent to meet or negotiate,South Africa,2006-07-11
3058,Benjamin Netanyahu,Make an appeal or request,Barack Obama,2010-11-08
3059,Government (Sudan),Express intent to cooperate,Citizen (Sudan),2011-06-29
3060,Mahmoud Ahmadinejad,Express intent to meet or negotiate,Barack Obama,2009-05-26
3061,Ministry (Sudan),Make statement,Sudan,2014-06-09
3062,Member of Parliament (Australia),Criticize or denounce,Activist (Australia),2005-03-28
3063,Dmitry Anatolyevich Medvedev,Consult,Mahmoud Ahmadinejad,2010-11-18
3064,Police (Malaysia),Investigate,Malaysia,2005-01-24
3065,Mahmoud Ahmadinejad,Make statement,Iran,2009-11-23
3066,South Korea,Make statement,Ministry (South Korea),2009-05-25
3067,South Korea,Make statement,China,2006-10-17
3068,Barack Obama,Consult,Xi Jinping,2013-06-12
3069,Mahmoud Abbas,Consult,Royal Administration (Saudi Arabia),2007-03-01
3070,Niger,Use conventional military force,Boko Haram,2015-07-15
3071,Iran,Consult,Oman,2014-08-06
3072,China,Express intent to engage in diplomatic cooperation (such as policy support),Cambodia,2013-08-21
3073,Pervez Musharraf,Consult,Head of Government (India),2005-11-02
3074,"Government (Palestinian Territory, Occupied)",Praise or endorse,Mahmoud Abbas,2007-06-04
3075,Protester (Thailand),Make an appeal or request,Citizen (Thailand),2013-12-02
3076,China,Engage in diplomatic cooperation,Japan,2005-06-28
3077,China,Make statement,Japan,2013-12-09
3078,Sudan,Make statement,Qatar,2013-04-28
3079,South Korea,Make statement,Barack Obama,2009-07-27
3080,Kim Kye Gwan,Consult,Joon Young Woo,2007-03-04
3081,Angola,Express intent to engage in diplomatic cooperation (such as policy support),Vietnam,2011-07-05
3082,Mahmoud Abbas,Consult,Farouk al-Sharaa,2007-06-17
3083,Moro Islamic Liberation Front,Use conventional military force,Military (Philippines),2008-09-04
3084,Head of Government (Egypt),Engage in negotiation,Mahmoud Abbas,2013-07-29
3085,Thailand,Sign formal agreement,Malaysia,2006-04-14
3086,Ministry (Brazil),Accuse,Citizen (Brazil),2008-12-26
3087,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),Qatar,2009-03-12
3088,Iran,Make a visit,Kuwait,2006-04-16
3089,Japan,Engage in negotiation,South Korea,2015-03-16
3090,South Korea,Consult,Japan,2005-10-30
3091,Lee Myung Bak,Engage in negotiation,Japan,2010-05-30
3092,Thailand,Consult,China,2015-01-21
3093,Tony Blair,Express intent to meet or negotiate,Mahmoud Abbas,2005-01-10
3094,Ethiopia,Consult,Sudan,2013-11-05
3095,Dmitry Anatolyevich Medvedev,Consult,Yasuo Fukuda,2008-07-08
3096,Mahmoud Ahmadinejad,Make statement,Iran,2005-12-25
3097,City Mayor (Philippines),Make statement,Police (Philippines),2008-07-30
3098,Angela Merkel,Express intent to meet or negotiate,Gerhard Schröder,2005-10-06
3099,France,Demand,Iran,2012-05-03
3100,Iran,Consult,China,2011-01-03
3101,Barack Obama,Engage in negotiation,Angela Merkel,2014-06-04
3102,Kazakhstan,Consult,China,2007-07-03
3103,African Union,Sign formal agreement,Government (Sudan),2012-08-29
3104,Citizen (Nigeria),Make an appeal or request,Ministry (Nigeria),2012-10-18
3105,Dmitry Anatolyevich Medvedev,Sign formal agreement,Barack Obama,2010-06-25
3106,China,Host a visit,Barack Obama,2009-11-04
3107,Pervez Musharraf,Praise or endorse,Pakistan administered Kashmir,2005-04-26
3108,Citizen (Australia),Demand,Police (Australia),2010-04-01
3109,Qatar,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2010-10-30
3110,Japan,Make statement,Association of Southeast Asian Nations,2005-12-12
3111,Ministry (Iran),Make statement,Iran,2014-02-09
3112,Iraq,Consult,Iran,2014-10-27
3113,China,Express intent to cooperate,South Korea,2015-12-22
3114,Japan,Criticize or denounce,China,2013-11-25
3115,Party Member (United Kingdom),Make statement,Labor Party (United Kingdom),2006-02-11
3116,Nicos Anastasiades,Consult,Head of Government (Egypt),2015-12-10
3117,Sudan,Accuse,South Sudan,2012-06-09
3118,Foreign Affairs (Romania),Consult,Foreign Affairs (Singapore),2010-04-04
3119,Media Personnel (Australia),Make statement,Police (Australia),2008-03-04
3120,Ministry (Nigeria),Make statement,Government (Nigeria),2014-01-08
3121,UN Security Council,Make an appeal or request,Eritrea,2008-05-01
3122,Men (South Africa),fight with small arms and light weapons,Police (South Africa),2011-12-07
3123,South Korea,Engage in negotiation,Japan,2005-11-11
3124,Thailand,Express intent to cooperate,Cambodia,2008-02-15
3125,Mike Rann,Praise or endorse,Member of Parliament (Australia),2006-03-22
3126,Association of Southeast Asian Nations,Consult,Japan,2006-06-30
3127,Japan,Consult,South Korea,2007-10-22
3128,Sudan,Consult,Ethiopia,2014-09-23
3129,China,Express intent to meet or negotiate,South Korea,2005-12-13
3130,China,Sign formal agreement,South Korea,2008-01-31
3131,South Sudan,Make a visit,Ethiopia,2014-05-09
3132,France,Consult,Qatar,2008-09-04
3133,African Union,Sign formal agreement,Government (Sudan),2007-06-18
3134,Nuri al-Maliki,Make statement,Iraq,2007-04-21
3135,Other Authorities / Officials (Nigeria),Make an appeal or request,Citizen (Nigeria),2007-08-30
3136,Mahmoud Ahmadinejad,Make statement,Iran,2007-01-31
3137,France,Express intent to meet or negotiate,Iran,2015-09-15
3138,Citizen (Nigeria),Accuse,Head of Government (Nigeria),2012-12-27
3139,Barack Obama,Consult,Angela Merkel,2014-07-16
3140,Nuri al-Maliki,Make statement,Iraq,2011-09-27
3141,France,Engage in diplomatic cooperation,Iran,2008-10-11
3142,Association of Southeast Asian Nations,Make statement,China,2007-01-11
3143,Barack Obama,Consult,Benjamin Netanyahu,2012-03-07
3144,Mahmoud Ahmadinejad,Express intent to meet or negotiate,Iran,2005-07-31
3145,Antonis Samaras,Engage in negotiation,Angela Merkel,2012-03-01
3146,Georgios Papandreou,Consult,Angela Merkel,2011-11-03
3147,Police (Australia),Make an appeal or request,Citizen (Australia),2008-06-25
3148,Ministry (Nigeria),Make statement,Government (Nigeria),2012-10-06
3149,Thailand,Express intent to cooperate,Agence France-Presse,2005-09-04
