head	relation_x	tail	time
Malaysia	Host a visit	Moro Islamic Liberation Front	2007-12-31
China	Host a visit	Kim Kye Gwan	2007-09-26
Malaysia	Host a visit	Moro Islamic Liberation Front	2010-03-04
China	Host a visit	Vietnam	2005-11-15
China	Host a visit	Yasuo Fukuda	2009-04-17
Iran	Host a visit	Ahmad Chalabi	2005-11-13
Angola	Host a visit	Member of Legislative (Govt) (Botswana)	2007-07-09
Madagascar	Host a visit	Ahmed Abdallah Sambi	2007-01-16
China	Host a visit	Winston Peters	2007-05-18
Iran	Host a visit	Media Personnel (International)	2012-06-01
Malaysia	Host a visit	Islam Karimov	2005-10-02
Togo	Host a visit	African Union	2010-03-01
Japan	Host a visit	Grand National Party	2013-01-09
Bagong Alyansang Makabayan	Host a visit	Ali Abdullah Saleh	2006-01-17
China	Host a visit	Dragan Šutanovac	2008-11-03
Niger	Host a visit	Mahmoud Ahmadinejad	2013-04-15
Sudan	Host a visit	Mahmoud Ahmadinejad	2007-03-01
China	Host a visit	Media (United States)	2013-04-22
Shimon Peres	Host a visit	Benedict XVI	2009-05-10
France	Host a visit	Tzipi Livni	2006-08-23
Iran	Host a visit	Nonaligned Movement	2014-08-07
China	Host a visit	Kim Kye Gwan	2008-02-21
China	Host a visit	Hui Liangyu	2008-05-15
China	Host a visit	Alberto Fernández	2005-07-08
Tanzania	Host a visit	Mwai Kibaki	2013-02-22
Royal Administration (Saudi Arabia)	Host a visit	Head of Government (South Korea)	2007-03-25
China	Host a visit	Roh Moo Hyun	2007-04-10
Media (Africa)	Host a visit	M.R. Sharma	2012-07-27
China	Host a visit	Head of Government (Togo)	2006-02-13
National Front Malaysia	Host a visit	Malaysian People's Party	2008-03-03
Romania	Host a visit	International Monetary Fund	2009-01-28
Standard Chartered Bank	Host a visit	Barack Obama	2013-07-08
Iraq	Host a visit	Jack Straw	2006-04-05
Ethiopia	Host a visit	China	2013-11-29
France	Host a visit	Henri Konan Bedie	2005-09-12
South Korea	Host a visit	Ismaïl Omar Guelleh	2008-05-26
Japan	Host a visit	Head of Government (South Korea)	2012-08-12
Lal Krishna Advani	Host a visit	Opposition Supporter (Pakistan)	2006-05-20
Oman	Host a visit	Iran	2014-11-18
Japan	Host a visit	Iraq	2006-11-06
Hui Liangyu	Host a visit	Cristina Fernández de Kirchner	2009-02-13
Japan	Host a visit	Alberto Fujimori	2005-11-07
Kuwait	Host a visit	Haider Al-Abadi	2014-12-21
South Africa	Host a visit	Student (Nepal)	2010-08-17
China	Host a visit	Bernard Debré	2008-06-10
South Korea	Host a visit	Lee Myung Bak	2009-12-28
Japan	Host a visit	Lee Myung Bak	2008-04-20
Laos	Host a visit	Vietnam	2008-11-20
China	Host a visit	South Korea	2010-02-24
Iran	Host a visit	Abdoulaye Wade	2008-04-10
China	Host a visit	Joon Young Woo	2006-11-28
France	Host a visit	Tzipi Livni	2007-12-16
China	Host a visit	Yu Zhengsheng	2015-02-17
Iran	Host a visit	National Alliance (Iraq)	2013-07-19
China	Host a visit	Japan	2006-10-20
Japan	Host a visit	Barack Obama	2011-12-29
Malaysia	Host a visit	Vietnam	2011-01-14
China	Host a visit	South Korea	2009-10-23
France	Host a visit	Macky Sall	2013-02-27
Malaysia	Host a visit	Immigrants (Myanmar)	2015-01-13
Iran	Host a visit	Sergey Vladilenovich Kiriyenko	2006-12-13
China	Host a visit	Vietnam	2008-05-30
Angola	Host a visit	Uhuru Muigai Kenyatta	2015-01-23
Sudan	Host a visit	African Union	2007-12-24
China	Host a visit	Vietnam	2008-10-20
Japan	Host a visit	Lee Myung Bak	2012-08-29
Sudan	Host a visit	John Garang	2005-01-22
Nuri al-Maliki	Host a visit	Japan	2007-04-09
Benedict XVI	Host a visit	Foreign Affairs (Israel)	2008-05-12
Thailand	Host a visit	Associated Press	2005-09-16
France	Host a visit	Dmitry Anatolyevich Medvedev	2011-11-02
Mexico	Host a visit	Vietnam	2015-03-19
South Korea	Host a visit	Roh Moo Hyun	2005-04-16
Madrid	Host a visit	Augusto Pinochet	2006-10-13
Royal Administration (Spain)	Host a visit	Saud bin Faisal bin Abdul-Aziz	2006-04-09
China	Host a visit	Raúl Castro	2005-06-04
Mexico	Host a visit	Barack Obama	2009-04-20
Malaysia	Host a visit	Vietnam	2006-07-19
United Arab Emirates	Host a visit	Gurbanguly Berdymukhammedov	2007-08-27
Iran	Host a visit	Mahmoud Ahmadinejad	2006-07-26
South Korea	Host a visit	Silvia Cartwright	2006-04-20
South Africa	Host a visit	Xi Jinping	2010-11-24
China	Host a visit	Japan	2014-09-23
Japan	Host a visit	International Monetary Fund	2007-05-24
Japan	Host a visit	International Monetary Fund	2006-05-24
Japan	Host a visit	Evo Morales	2010-12-08
Middle East	Host a visit	Javier Solana	2007-05-21
Ireland	Host a visit	Mahmoud Abbas	2008-09-21
Vietnam	Host a visit	Laos	2007-01-29
Vietnam	Host a visit	Secretariat (Denmark)	2007-01-31
Thailand	Host a visit	Royal Administration (Jordan)	2005-12-16
South Korea	Host a visit	Barack Obama	2010-11-23
Iran	Host a visit	Koichiro Matsuura	2005-04-05
Mexico	Host a visit	Barack Obama	2014-02-20
Japan	Host a visit	Sergey Vladilenovich Kiriyenko	2007-04-10
Maldives	Host a visit	Xi Jinping	2014-11-04
France	Host a visit	Tzipi Livni	2009-01-05
South Africa	Host a visit	Xi Jinping	2010-11-26
France	Host a visit	Abdel Fattah Al-Sisi	2014-11-27
Japan	Host a visit	Wen Jiabao	2007-03-06
Colombia	Host a visit	Xi Jinping	2009-02-21
Niger	Host a visit	Mahmoud Ahmadinejad	2013-04-19
Abdullah Gül	Host a visit	Foreign Affairs (Kosovo)	2009-08-28
France	Host a visit	Immigrants (Middle East)	2015-08-14
China	Host a visit	Head of Government (Mongolia)	2005-11-29
Iran	Host a visit	Martin Lidegaard	2014-09-07
Rodolphe Adada	Host a visit	Abdulsalami Alhaji Abubakar	2009-04-03
United Arab Emirates	Host a visit	Bilawal Bhutto Zardari	2013-04-26
Tanzania	Host a visit	Xi Jinping	2013-03-19
Burundi	Host a visit	Ministry (Belgium)	2005-11-28
Japan	Host a visit	Lee Myung Bak	2008-10-10
Iran	Host a visit	Gurbanguly Berdymukhammedov	2015-03-02
Mauritania	Host a visit	Head of Government (Nigeria)	2013-03-03
South Korea	Host a visit	Chuck Hagel	2013-10-01
Iran	Host a visit	Foreign Affairs (Italy)	2013-12-21
Oman	Host a visit	Sheikh Ahmed Abdullah	2008-02-26
Civil Aviation Authority	Host a visit	Ministry (Tanzania)	2014-07-23
Mexico	Host a visit	Barack Obama	2013-05-02
Malaysia	Host a visit	Kamaladdin Heydarov	2010-03-12
Middle East	Host a visit	Central Intelligence Agency	2005-12-27
Vietnam	Host a visit	Cambodia	2007-10-12
Japan	Host a visit	China	2011-03-13
Sudan	Host a visit	African Union	2008-03-31
China	Host a visit	Joon Young Woo	2007-09-27
China	Host a visit	Norodom Sihanouk	2007-12-04
Sedki Sobhi	Host a visit	Djibouti	2015-04-06
China	Host a visit	Thailand	2015-07-20
Middle East	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2013-11-02
China	Host a visit	Abdoulaye Wade	2006-11-04
Mexico	Host a visit	Florencio Salazar Adame	2005-05-11
Japan	Host a visit	China	2012-08-16
Iraq	Host a visit	Nuri al-Maliki	2011-01-09
China	Host a visit	UN Security Council	2011-08-25
China	Host a visit	Media Personnel (Africa)	2006-11-02
Gurbanguly Berdymukhammedov	Host a visit	Government (Croatia)	2015-02-06
Vietnam	Host a visit	City Mayor (Philippines)	2015-09-21
China	Host a visit	Head of Government (Turkmenistan)	2010-04-30
Middle East	Host a visit	Benjamin Netanyahu	2013-03-21
Japan	Host a visit	Kim Kye Gwan	2006-04-09
Laos	Host a visit	Vietnam	2008-01-03
China	Host a visit	Vietnam	2009-07-18
Japan	Host a visit	Wen Jiabao	2010-06-10
Iran	Host a visit	Ali Abdullah Saleh	2005-06-09
Tony Tan Keng Yam	Host a visit	Tsakhiagiyn Elbegdorj	2013-11-25
China	Host a visit	South Korea	2013-11-13
Vietnam	Host a visit	Mikhail Yefimovich Fradkov	2006-02-17
Kazakhstan	Host a visit	Hilmi Özkök	2005-06-13
Iraq	Host a visit	Donald Rumsfeld	2006-04-26
Qatar	Host a visit	Nuri al-Maliki	2009-03-29
Thailand	Host a visit	Xi Jinping	2011-12-25
Court Judge (Mexico)	Host a visit	Manlio Fabio Beltrones	2012-02-05
Legislature (Turkey)	Host a visit	Abdullah Gül	2009-04-06
United Arab Emirates	Host a visit	Roh Moo Hyun	2006-04-26
Xi Jinping	Host a visit	Barack Obama	2014-11-13
China	Host a visit	Wen Jiabao	2008-05-23
France	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2014-02-18
China	Host a visit	Raheel Sharif	2015-01-25
South Korea	Host a visit	Samuel J. Locklear	2012-04-18
Kuwait	Host a visit	William J. Fallon	2007-04-05
Malaysia	Host a visit	Wen Jiabao	2005-12-15
France	Host a visit	Barack Obama	2011-11-08
China	Host a visit	Xi Jinping	2014-11-10
Iran	Host a visit	Elmar Mammadyarov	2011-03-07
Iran	Host a visit	Mohammad Reza Naqdi	2015-01-14
Barack Obama	Host a visit	Nuri al-Maliki	2009-07-31
South Korea	Host a visit	Lee Myung Bak	2012-01-02
France	Host a visit	Jan Jambon	2015-11-15
Japan	Host a visit	Gazprom	2005-04-23
Angola	Host a visit	Raúl Castro	2009-07-22
Romania	Host a visit	Mikhail Sergeyevich Gorbachev	2010-04-14
Abdullah Gül	Host a visit	Mahmoud Abbas	2007-11-13
South Korea	Host a visit	Envoy (United States)	2010-09-14
Cambodia	Host a visit	Vietnam	2005-04-14
China	Host a visit	USAID	2008-05-21
China	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2010-10-30
Kazakhstan	Host a visit	Xi Jinping	2015-06-25
Ethiopia	Host a visit	African Union	2015-01-31
Iraq	Host a visit	Nuri al-Maliki	2012-05-10
Iran	Host a visit	Ashraf Ghani Ahmadzai	2015-04-22
China	Host a visit	Head of Government (Chile)	2007-12-14
China	Host a visit	Pervez Musharraf	2006-02-14
Valdas Adamkus	Host a visit	Foreign Affairs (Belgium)	2006-10-11
Malawi	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2012-08-05
Middle East	Host a visit	Catherine Ashton	2011-08-29
South Africa	Host a visit	Citizen (Australia)	2007-03-23
South Korea	Host a visit	Lee Myung Bak	2010-02-10
The Hague	Host a visit	Uhuru Muigai Kenyatta	2011-03-15
China	Host a visit	Jakaya Mrisho Kikwete	2008-04-10
Vietnam	Host a visit	Roh Moo Hyun	2005-04-22
Head of Government (Cuba)	Host a visit	Evo Morales	2007-06-08
Iraq	Host a visit	Mahmoud Abbas	2009-04-14
Romania	Host a visit	Foreign Affairs (Denmark)	2005-05-20
Vietnam	Host a visit	Igor Ivanovich Shuvalov	2013-10-17
Thailand	Host a visit	Yoon Jeung Hyun	2009-02-24
Sudan	Host a visit	Bill Richardson	2006-09-07
South Korea	Host a visit	Wen Jiabao	2011-02-25
South Sudan	Host a visit	Uhuru Muigai Kenyatta	2013-12-30
China	Host a visit	Angela Merkel	2015-10-28
Iraq	Host a visit	Iran	2012-07-03
Ethiopia	Host a visit	African Union	2007-01-30
France	Host a visit	Mahmoud Abbas	2014-02-27
France	Host a visit	Alain Joyandet	2009-12-30
Iran	Host a visit	Angel Luis D'Elia	2010-03-08
Japan	Host a visit	Congress (Peru)	2005-06-23
France	Host a visit	Mahmoud Abbas	2012-06-08
Islamic Preacher (Iran)	Host a visit	Mahmoud Ahmadinejad	2009-06-02
Abdullah Gül	Host a visit	Treasury/Finance Ministry (Saudi Arabia)	2009-02-04
South Korea	Host a visit	Lee Myung Bak	2009-12-23
Malawi	Host a visit	Michael Sata	2006-08-30
Umaru Musa Yar'Adua	Host a visit	China	2008-05-19
Mexico	Host a visit	Angel Aguirre Rivero	2012-03-23
Colombia	Host a visit	Barack Obama	2012-04-19
Iran	Host a visit	Mahmoud Ahmadinejad	2008-06-26
China	Host a visit	Lee Myung Bak	2012-05-12
Foreign Affairs (South Korea)	Host a visit	Barack Obama	2009-12-11
Thailand	Host a visit	Tourist (Iran)	2011-01-19
Iran	Host a visit	Angel Luis D'Elia	2007-04-30
France	Host a visit	Xi Jinping	2014-03-25
Sudan	Host a visit	Ethiopia	2012-07-24
China	Host a visit	Steven Chu	2009-07-17
France	Host a visit	Dmitry Anatolyevich Medvedev	2011-05-24
South Africa	Host a visit	Wen Jiabao	2006-06-18
Iraq	Host a visit	John Baird	2014-09-03
China	Host a visit	Foreign Affairs (South Korea)	2006-01-11
Iraq	Host a visit	Romania	2005-12-06
Iran	Host a visit	Abdul Kadir	2007-06-08
Kazakhstan	Host a visit	Islam Karimov	2012-09-07
France	Host a visit	Angela Merkel	2014-02-19
China	Host a visit	Gholamali Haddad Adel	2015-09-24
South Korea	Host a visit	Okada Katsuya	2010-02-10
Japan	Host a visit	Wen Jiabao	2007-04-17
Macky Sall	Host a visit	Ibrahim Boubacar Keïta	2014-04-13
Detainee (United States)	Host a visit	Lawyer/Attorney (Australia)	2007-05-08
Foreign Affairs (France)	Host a visit	Nelson Azevedo Jobim	2011-02-22
Iran	Host a visit	Nabih Berri	2006-04-19
Barack Obama	Host a visit	Benjamin Netanyahu	2009-05-29
Sudan	Host a visit	UN Security Council	2011-01-05
Thailand	Host a visit	Abhisit Vejjajiva	2011-01-14
South Korea	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2007-03-05
Thailand	Host a visit	Anupong Paochinda	2009-10-05
Vietnam	Host a visit	China	2015-03-05
Saud bin Faisal bin Abdul-Aziz	Host a visit	Ministry (Oman)	2007-02-17
Madrid	Host a visit	Ministry (United States)	2006-07-18
Romania	Host a visit	South Africa	2013-05-13
China	Host a visit	Rupiah Banda	2010-03-04
Colombia	Host a visit	Barack Obama	2012-05-24
Sergey Kuzhugetovich Shoygu	Host a visit	Head of Government (Egypt)	2015-08-27
South Korea	Host a visit	Abdul Kalam	2006-01-29
South Korea	Host a visit	Defense / Security Ministry (United States)	2010-07-19
China	Host a visit	Cristina Fernández de Kirchner	2010-07-24
Middle East	Host a visit	Roh Moo Hyun	2007-12-11
Thailand	Host a visit	Prem Tinsulanonda	2006-07-12
Japan	Host a visit	Wen Jiabao	2010-05-31
South Korea	Host a visit	China	2014-07-01
United Arab Emirates	Host a visit	Pervez Musharraf	2007-08-07
Kuwait	Host a visit	Mahmoud Abbas	2008-05-14
Iran	Host a visit	Mahmoud Ahmadinejad	2010-11-02
Portugal	Host a visit	Head of Government (South Korea)	2006-06-14
China	Host a visit	Boris Johnson	2013-12-02
Wang Yi	Host a visit	Abdelilah Benkirane	2013-12-23
Yemen	Host a visit	George Yeo	2008-06-13
Global Policy Forum	Host a visit	Dmitry Anatolyevich Medvedev	2011-09-12
Colombia	Host a visit	Bolivia	2007-12-31
Iraq	Host a visit	Tim Pawlenty	2006-03-28
South Africa	Host a visit	Nevers Mumba	2013-02-15
Malaysia	Host a visit	Immigrants (Myanmar)	2015-03-31
Qatar	Host a visit	Isaias Afewerki	2011-07-13
Head of Government (Cyprus)	Host a visit	Vietnam	2010-11-30
Mexico	Host a visit	Barack Obama	2009-04-23
Thongsing Thammavong	Host a visit	Vietnam	2011-08-17
Angola	Host a visit	China	2014-05-09
Colombia	Host a visit	Ingrid Betancourt Pulecio	2010-07-02
Sudan	Host a visit	Envoy (United States)	2007-11-01
Oman	Host a visit	Islam Karimov	2009-10-06
Military (Brazil)	Host a visit	Nelson Azevedo Jobim	2009-11-15
Vietnam	Host a visit	China	2015-04-09
Ethiopia	Host a visit	Sudan	2005-04-11
Japan	Host a visit	Head of Government (Brazil)	2013-06-21
Thailand	Host a visit	Abhisit Vejjajiva	2008-09-22
Iraq	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2006-04-03
Angola	Host a visit	Head of Government (Togo)	2007-08-03
Iran	Host a visit	Foreign Affairs (Syria)	2013-03-02
China	Host a visit	Algirdas Butkevičius	2015-11-25
Bolivia	Host a visit	Evo Morales	2007-03-08
China	Host a visit	Wang Yi	2013-04-25
Yemen	Host a visit	Kuwait	2009-10-10
South Africa	Host a visit	Mohamed Ould Abdel Aziz	2013-12-10
France	Host a visit	Mahmoud Abbas	2006-06-11
China	Host a visit	Barack Obama	2008-11-05
France	Host a visit	Ibrahim Boubacar Keïta	2015-10-21
Ethiopia	Host a visit	UN Security Council	2006-04-13
Mexico	Host a visit	Lee Myung Bak	2010-07-07
Iran	Host a visit	Mahmoud Ahmadinejad	2013-05-27
China	Host a visit	Lien Chan	2005-05-03
Association of Southeast Asian Nations	Host a visit	Abhisit Vejjajiva	2011-05-09
Sérgio de Oliveira Cabral Santos Filho	Host a visit	Barack Obama	2011-03-19
France	Host a visit	Lee Myung Bak	2011-05-17
Iran	Host a visit	Aladdin Boroujerdi	2015-11-28
Ireland	Host a visit	Tony Blair	2010-09-04
Vietnam	Host a visit	Lee Myung Bak	2009-10-14
Qatar	Host a visit	Fishermen (India)	2014-10-05
China	Host a visit	Envoy (France)	2008-04-20
China	Host a visit	Bruce Golding	2011-09-21
Ministry of Public Security (China)	Host a visit	Lee Myung Bak	2012-07-13
United Arab Emirates	Host a visit	Benazir Bhutto	2007-07-29
Dominican Republic	Host a visit	Human Rights Commission (United States)	2013-12-10
Detainee (United States)	Host a visit	Lawyer/Attorney (Australia)	2007-05-09
Angola	Host a visit	Vietnam	2008-04-04
Japan	Host a visit	Ministry (South Korea)	2010-01-16
Sedki Sobhi	Host a visit	Abdel Fattah Al-Sisi	2014-09-18
Joschka Fischer	Host a visit	Jack Straw	2005-07-04
Iran	Host a visit	Foreign Affairs (Italy)	2013-12-17
Angola	Host a visit	John Dramani Mahama	2015-08-18
Japan	Host a visit	Barack Obama	2010-11-14
South Africa	Host a visit	Wen Jiabao	2011-05-24
Thailand	Host a visit	High Commission for Refugees	2009-02-11
South Korea	Host a visit	Julie Bishop	2015-05-21
South Korea	Host a visit	Barack Obama	2014-04-28
Romania	Host a visit	Angela Merkel	2010-10-12
China	Host a visit	Japan	2007-05-27
Iraq	Host a visit	Qatar	2012-03-29
France	Host a visit	Cristina Fernández de Kirchner	2011-09-15
Cambodia	Host a visit	Dmitry Anatolyevich Medvedev	2015-11-22
Tanzania	Host a visit	Mwai Kibaki	2012-11-28
Iran	Host a visit	Angel Luis D'Elia	2007-03-02
Foreign Affairs (India)	Host a visit	Pervez Musharraf	2005-04-16
Vietnam	Host a visit	Laos	2006-02-27
China	Host a visit	Angela Merkel	2007-10-29
Thailand	Host a visit	Joschka Fischer	2005-01-09
Sudan	Host a visit	Head of Government (Chad)	2007-08-29
Ethiopia	Host a visit	Abdel Fattah Al-Sisi	2015-03-24
Bolivia	Host a visit	Head of Government (Cuba)	2009-10-17
Angola	Host a visit	South Africa	2007-05-21
Iran	Host a visit	Staffan de Mistura	2014-10-30
South Africa	Host a visit	Evo Morales	2006-01-04
Madagascar	Host a visit	Foreign Affairs (Italy)	2015-09-28
Vietnam	Host a visit	Cabinet / Council of Ministers / Advisors (Hungary)	2012-05-09
Vietnam	Host a visit	Xi Jinping	2012-04-03
Kazakhstan	Host a visit	Robert Wexler	2006-06-11
Iran	Host a visit	Nuri al-Maliki	2008-06-11
Iran	Host a visit	Head of Government (Egypt)	2012-08-23
Cambodia	Host a visit	Abhisit Vejjajiva	2009-06-30
Colombia	Host a visit	Rafael Correa	2010-12-17
China	Host a visit	Angela Merkel	2006-05-15
Swaziland	Host a visit	South Africa	2008-10-20
South Africa	Host a visit	Barack Obama	2013-07-02
Tanzania	Host a visit	Naval (South Africa)	2011-04-05
Iran	Host a visit	Catherine Ashton	2014-04-11
The Hague	Host a visit	Ante Gotovina	2005-06-13
France	Host a visit	Other Authorities / Officials (Switzerland)	2007-06-25
Iran	Host a visit	Mohammad Reza Naqdi	2015-01-15
Kazakhstan	Host a visit	China	2011-06-20
Iran	Host a visit	France	2014-02-04
Iran	Host a visit	Nuri al-Maliki	2010-10-21
Barack Obama	Host a visit	Nuri al-Maliki	2011-12-13
United Arab Emirates	Host a visit	Foreign Affairs (South Korea)	2012-11-18
Guatemala	Host a visit	Special Rapporteurs of the United Nations	2009-05-08
Ethiopia	Host a visit	Mohamed Ibn Chambas	2008-02-01
Japan	Host a visit	Dmitry Anatolyevich Medvedev	2008-07-06
France	Host a visit	Adil Abdul-Mahdi	2006-06-30
China	Host a visit	Head of Government (Turkmenistan)	2006-04-06
Sudan	Host a visit	Envoy (United States)	2007-10-06
Ministry (Nigeria)	Host a visit	USAID	2013-01-18
Japan	Host a visit	International Monetary Fund	2012-10-16
Japan	Host a visit	Wen Jiabao	2006-10-08
Iran	Host a visit	Nuri al-Maliki	2008-12-19
China	Host a visit	Pervez Musharraf	2008-05-07
Kuwait	Host a visit	Yemen	2014-08-17
China	Host a visit	Catherine Ashton	2011-10-24
South Korea	Host a visit	Yasuo Fukuda	2013-08-21
China	Host a visit	Dmitry Anatolyevich Medvedev	2008-06-03
China	Host a visit	Cabinet / Council of Ministers / Advisors (Japan)	2014-06-28
Kuwait	Host a visit	Sheikh Hamad bin Isa al Khalifah	2012-10-16
Civil Aviation Authority	Host a visit	Ethiopia	2014-06-24
France	Host a visit	Dmitry Anatolyevich Medvedev	2012-09-17
Middle East	Host a visit	Nuri al-Maliki	2010-10-18
Mexico	Host a visit	National Action Party	2005-06-23
United Arab Emirates	Host a visit	Abdoulaye Wade	2007-04-16
Japan	Host a visit	International Monetary Fund	2012-08-29
China	Host a visit	Barack Obama	2009-11-13
Japan	Host a visit	Lee Myung Bak	2010-12-03
Iraq	Host a visit	Donald Rumsfeld	2005-08-16
Mexico	Host a visit	Antonio Guerrero Rodríguez	2006-02-22
Malaysia	Host a visit	Abdul Aziz	2014-02-12
Western Cape High Court	Host a visit	Shrien Dewani	2014-04-08
Thailand	Host a visit	George Yeo	2007-01-22
South Korea	Host a visit	Mikulas Dzurinda	2005-05-25
Japan	Host a visit	Alberto Fujimori	2008-08-14
The Hague	Host a visit	Barack Obama	2014-03-24
China	Host a visit	Head of Government (Turkmenistan)	2015-12-11
Iraq	Host a visit	Defense / Security Ministry (United States)	2007-12-05
Abdullah Gül	Host a visit	Saud bin Faisal bin Abdul-Aziz	2011-03-19
Qatar	Host a visit	South Korea	2009-05-25
France	Host a visit	Head of Government (Germany)	2010-07-07
Iran	Host a visit	Iraq	2005-07-16
South Korea	Host a visit	Linda Lingle	2005-06-20
Madagascar	Host a visit	Florent Rakotoarisoa	2013-03-05
China	Host a visit	Business (Africa)	2006-09-12
Vietnam	Host a visit	Thongsing Thammavong	2006-11-21
Malaysia	Host a visit	Shaukat Aziz	2005-10-03
Guatemala	Host a visit	Shirin Ebadi	2009-04-27
Sudan	Host a visit	Alberto Fernández	2008-04-06
Guatemala	Host a visit	Ma Ying Jeou	2009-05-30
Bolivia	Host a visit	Mahmoud Ahmadinejad	2012-06-20
China	Host a visit	A.K. Antony	2013-07-10
Adil Abdul-Mahdi	Host a visit	Company - Owner or Operator (Egypt)	2010-08-01
Iran	Host a visit	Head of Government (Turkmenistan)	2007-06-15
France	Host a visit	Evo Morales	2006-05-14
Iraq	Host a visit	Cabinet / Council of Ministers / Advisors (United States)	2009-04-24
Kuwait	Host a visit	James Wolfensohn	2006-02-15
People Associated with the Opposition (Egypt)	Host a visit	Abdel Fattah Al-Sisi	2013-07-01
China	Host a visit	Japan	2010-03-22
Iraq	Host a visit	Nuri al-Maliki	2008-03-24
China	Host a visit	Sondhi Limthongkul	2007-01-21
Japan	Host a visit	Lee Myung Bak	2010-03-16
China	Host a visit	Japan	2007-04-07
South Africa	Host a visit	Obed Bapela	2015-07-11
Sudan	Host a visit	Envoy (United States)	2009-04-02
Mexico	Host a visit	Martin Fronc	2005-04-13
Angela Merkel	Host a visit	Wolfgang Schüssel	2006-01-01
France	Host a visit	China	2008-05-23
Japan	Host a visit	Finance / Economy / Commerce / Trade Ministry (Russia)	2011-10-21
Iran	Host a visit	Pier Ferdinando Casini	2006-09-10
Laos	Host a visit	Vietnam	2007-04-23
South Korea	Host a visit	Lee Myung Bak	2010-03-24
United Arab Emirates	Host a visit	Romania	2007-12-17
France	Host a visit	Alexis Tsipras	2012-05-21
Barack Obama	Host a visit	Muhammadu Buhari	2015-07-29
Interim Leader (Tunisia)	Host a visit	Nasser Judeh	2011-10-11
France	Host a visit	Umaru Musa Yar'Adua	2008-06-10
Angola	Host a visit	Head of Government (Chad)	2014-04-16
Angola	Host a visit	Joao Miranda	2007-08-06
China	Host a visit	Ministry (Iran)	2015-04-14
China	Host a visit	Wen Jiabao	2010-06-28
South Korea	Host a visit	Wendy Sherman	2015-01-27
Iran	Host a visit	Valentin Sobolev	2008-04-27
Thailand	Host a visit	Foreign Affairs (India)	2009-07-24
China	Host a visit	Wen Jiabao	2010-01-16
Middle East	Host a visit	United Arab Emirates	2008-10-15
Mauritania	Host a visit	Abdoulaye Wade	2006-03-06
Iran	Host a visit	Mahmoud Ahmadinejad	2012-03-26
Iraq	Host a visit	Foreign Affairs (India)	2014-06-19
Mahmoud Ahmadinejad	Host a visit	Bolivia	2010-04-28
France	Host a visit	Tony Tan Keng Yam	2015-05-22
Iraq	Host a visit	Stephen Hadley	2006-11-29
South Korea	Host a visit	Mexico	2015-05-25
Kazakhstan	Host a visit	Iran	2013-04-03
Malaysia	Host a visit	National Front Malaysia	2013-04-08
Japan	Host a visit	Miguel d' Escoto Brockmann	2009-07-17
China	Host a visit	Xi Jinping	2012-12-17
Sudan	Host a visit	China	2007-02-03
Iran	Host a visit	Maria Isabel Salvador	2008-12-13
Tanzania	Host a visit	Barack Obama	2013-06-13
Iran	Host a visit	International Monetary Fund	2011-05-01
Japan	Host a visit	Monastery (China)	2007-04-10
Mauritania	Host a visit	Mohamed Ould Abdel Aziz	2012-02-06
Sudan	Host a visit	Military Personnel (Eritrea)	2006-08-03
Japan	Host a visit	Mikhail Yefimovich Fradkov	2007-02-27
Sudan	Host a visit	Peace and Security Council	2013-03-17
China	Host a visit	Lee Myung Bak	2012-01-05
Romania	Host a visit	Foreign Affairs (Hungary)	2006-08-29
Romania	Host a visit	Viktor Orban	2012-07-31
Colombia	Host a visit	Xi Jinping	2009-02-16
Cristina Fernández de Kirchner	Host a visit	Mahmoud Abbas	2009-11-22
Japan	Host a visit	Mikhail Sergeyevich Gorbachev	2005-05-21
South Korea	Host a visit	Shimon Peres	2010-06-07
China	Host a visit	Charlie McCreevy	2007-06-10
Mexico	Host a visit	Ernesto Cordero	2008-09-02
Comoros	Host a visit	Sudan	2008-03-21
Yemen	Host a visit	UN Security Council	2013-01-28
Ireland	Host a visit	Daniel Ortega	2013-08-12
Yemen	Host a visit	Ali Abdullah Saleh	2009-10-04
China	Host a visit	Japan	2011-01-11
Sudan	Host a visit	Barack Obama	2006-09-02
South Sudan	Host a visit	China	2012-02-04
Daniel Ortega	Host a visit	Patrick Manning	2009-03-21
China	Host a visit	Head of Government (India)	2010-05-28
China	Host a visit	Japan	2010-08-27
Ireland	Host a visit	Tony Blair	2010-09-06
United Arab Emirates	Host a visit	International Monetary Fund	2008-10-31
Iraq	Host a visit	Tim Pawlenty	2009-07-19
Mexico	Host a visit	Xi Jinping	2013-06-04
China	Host a visit	Islam Karimov	2012-11-17
Iran	Host a visit	Nonaligned Movement	2013-09-21
Kuwait	Host a visit	Angela Merkel	2007-02-08
Angola	Host a visit	Benedict XVI	2010-03-22
China	Host a visit	Barack Obama	2009-08-25
Royal Administration (Saudi Arabia)	Host a visit	Sheikh Hamad bin Isa al Khalifah	2014-09-06
Iran	Host a visit	Haider Al-Abadi	2015-06-16
Iran	Host a visit	Mahmoud Ahmadinejad	2010-07-19
