head	relation	tail	time_x
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-09-21
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-02-23
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-03-19
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-07-28
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-03
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-07-19
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-02
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-04-26
Sergey Viktorovich Lavrov	Discuss by telephone	Cabinet / Council of Ministers / Advisors (United States)	2014-06-01
China	Express intent to cooperate	Japan	2014-09-11
China	Express intent to cooperate	Japan	2014-11-08
China	Express intent to cooperate	Japan	2014-11-10
China	Express intent to cooperate	Japan	2014-08-09
China	Express intent to cooperate	Japan	2014-11-29
China	Express intent to cooperate	Japan	2014-11-11
China	Express intent to cooperate	Japan	2014-11-07
China	Express intent to cooperate	Japan	2014-09-12
China	Express intent to cooperate	Japan	2014-12-09
China	Express intent to cooperate	Japan	2014-11-13
China	Express intent to cooperate	Japan	2014-11-27
China	Express intent to cooperate	Japan	2014-09-24
China	Express intent to cooperate	Japan	2014-12-31
China	Express intent to cooperate	Japan	2014-11-21
China	Express intent to cooperate	Japan	2014-09-26
China	Express intent to cooperate	Japan	2014-09-19
China	Express intent to cooperate	Japan	2014-09-27
China	Express intent to cooperate	Japan	2014-12-30
China	Express intent to cooperate	Japan	2014-09-17
China	Express intent to cooperate	Japan	2014-09-25
China	Express intent to cooperate	Japan	2014-12-18
John Kerry	Engage in negotiation	Abdel Fattah Al-Sisi	2014-06-22
John Kerry	Engage in negotiation	Abdel Fattah Al-Sisi	2014-09-13
John Kerry	Engage in negotiation	Abdel Fattah Al-Sisi	2014-07-22
Canada	Express intent to cooperate	Japan	2014-11-09
Canada	Express intent to cooperate	Japan	2014-09-26
François Hollande	Consult	Angela Merkel	2014-10-17
François Hollande	Consult	Angela Merkel	2014-10-31
François Hollande	Consult	Angela Merkel	2014-05-26
François Hollande	Consult	Angela Merkel	2014-07-20
François Hollande	Consult	Angela Merkel	2014-06-26
François Hollande	Consult	Angela Merkel	2014-07-10
François Hollande	Consult	Angela Merkel	2014-04-23
François Hollande	Consult	Angela Merkel	2014-05-10
François Hollande	Consult	Angela Merkel	2014-05-12
François Hollande	Consult	Angela Merkel	2014-06-06
François Hollande	Consult	Angela Merkel	2014-06-30
François Hollande	Consult	Angela Merkel	2014-12-18
François Hollande	Consult	Angela Merkel	2014-12-14
François Hollande	Consult	Angela Merkel	2014-11-03
François Hollande	Consult	Angela Merkel	2014-05-24
François Hollande	Consult	Angela Merkel	2014-07-11
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-09-08
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-27
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-09-22
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-12
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-21
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-08-16
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-31
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-17
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-08-02
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-13
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-09-24
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-08-09
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-09-04
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-18
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-16
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-08
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-11-17
Iran	Consult	Catherine Ashton	2014-06-16
Iran	Consult	Catherine Ashton	2014-03-11
Iran	Consult	Catherine Ashton	2014-03-13
Iran	Consult	Catherine Ashton	2014-03-08
Iran	Consult	Catherine Ashton	2014-03-12
Iran	Consult	Catherine Ashton	2014-06-17
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-12
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-13
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-22
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-17
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-08-16
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-20
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-08-07
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-08-08
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-08
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-09
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-31
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-15
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-24
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-04
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-16
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-08
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-08-02
John Kerry	Engage in negotiation	Benjamin Netanyahu	2014-04-01
John Kerry	Engage in negotiation	Benjamin Netanyahu	2014-07-23
John Kerry	Engage in negotiation	Benjamin Netanyahu	2014-01-06
John Kerry	Engage in negotiation	Benjamin Netanyahu	2014-01-04
John Kerry	Engage in negotiation	Benjamin Netanyahu	2014-01-02
John Kerry	Engage in negotiation	Benjamin Netanyahu	2014-03-31
John Kerry	Engage in negotiation	Benjamin Netanyahu	2014-01-08
John Kerry	Engage in negotiation	Benjamin Netanyahu	2014-12-16
John Kerry	Engage in negotiation	Benjamin Netanyahu	2014-12-30
John Kerry	Engage in negotiation	Benjamin Netanyahu	2014-01-10
John Kerry	Engage in negotiation	Benjamin Netanyahu	2014-01-03
Ministry (Angola)	Consult	Governor (Angola)	2014-11-26
Ministry (Angola)	Consult	Governor (Angola)	2014-05-01
Ministry (Angola)	Consult	Governor (Angola)	2014-09-23
Ministry (Angola)	Consult	Governor (Angola)	2014-11-22
Ministry (Angola)	Consult	Governor (Angola)	2014-03-31
Iraq	Express intent to cooperate	Iran	2014-11-14
Iraq	Express intent to cooperate	Iran	2014-10-01
Iraq	Express intent to cooperate	Iran	2014-03-01
Iraq	Express intent to cooperate	Iran	2014-03-14
Federica Mogherini	Consult	Sergey Viktorovich Lavrov	2014-12-04
Federica Mogherini	Consult	Sergey Viktorovich Lavrov	2014-07-02
Federica Mogherini	Consult	Sergey Viktorovich Lavrov	2014-07-09
Federica Mogherini	Consult	Sergey Viktorovich Lavrov	2014-12-06
Federica Mogherini	Consult	Sergey Viktorovich Lavrov	2014-12-11
International Monetary Fund	Consult	Angola	2014-04-10
Mohammad Javad Zarif	Consult	Sergey Viktorovich Lavrov	2014-01-20
Mohammad Javad Zarif	Consult	Sergey Viktorovich Lavrov	2014-11-24
Mohammad Javad Zarif	Consult	Sergey Viktorovich Lavrov	2014-08-29
Mohammad Javad Zarif	Consult	Sergey Viktorovich Lavrov	2014-02-13
Mohammad Javad Zarif	Consult	Sergey Viktorovich Lavrov	2014-01-21
Mohammad Javad Zarif	Consult	Sergey Viktorovich Lavrov	2014-01-17
Mohammad Javad Zarif	Consult	Sergey Viktorovich Lavrov	2014-11-23
Mohammad Javad Zarif	Consult	Sergey Viktorovich Lavrov	2014-04-25
Mohammad Javad Zarif	Consult	Sergey Viktorovich Lavrov	2014-09-12
Mohammad Javad Zarif	Consult	Sergey Viktorovich Lavrov	2014-01-16
Xi Jinping	Consult	China	2014-07-15
Xi Jinping	Consult	China	2014-03-26
Xi Jinping	Consult	China	2014-09-23
Representatives (Iraq)	Consult	Massoud Barzani	2014-05-19
Representatives (Iraq)	Consult	Massoud Barzani	2014-07-10
China	Engage in diplomatic cooperation	New Zealand	2014-06-24
China	Engage in diplomatic cooperation	New Zealand	2014-04-24
China	Engage in diplomatic cooperation	New Zealand	2014-04-23
China	Engage in diplomatic cooperation	New Zealand	2014-03-20
China	Engage in diplomatic cooperation	New Zealand	2014-04-28
Other Authorities / Officials (Nigeria)	Consult	Vanguard	2014-06-17
Japan	Express intent to cooperate	China	2014-11-20
Japan	Express intent to cooperate	China	2014-09-12
Japan	Express intent to cooperate	China	2014-11-21
Japan	Express intent to cooperate	China	2014-11-11
Japan	Express intent to cooperate	China	2014-11-07
Japan	Express intent to cooperate	China	2014-09-19
Japan	Express intent to cooperate	China	2014-11-10
Japan	Express intent to cooperate	China	2014-08-10
Japan	Express intent to cooperate	China	2014-11-08
Japan	Express intent to cooperate	China	2014-09-26
Japan	Express intent to cooperate	China	2014-09-24
Japan	Express intent to cooperate	China	2014-12-09
Japan	Express intent to cooperate	China	2014-11-27
Japan	Express intent to cooperate	China	2014-12-30
Japan	Express intent to cooperate	China	2014-09-25
Japan	Express intent to cooperate	China	2014-11-29
Japan	Express intent to cooperate	China	2014-11-12
Japan	Express intent to cooperate	China	2014-11-13
Japan	Express intent to cooperate	China	2014-12-31
Japan	Express intent to cooperate	China	2014-11-23
Japan	Express intent to cooperate	China	2014-04-26
Japan	Express intent to cooperate	China	2014-09-11
Iran	Engage in diplomatic cooperation	Iraq	2014-01-07
Iran	Engage in diplomatic cooperation	Iraq	2014-12-19
Iran	Engage in diplomatic cooperation	Iraq	2014-10-21
Iran	Engage in diplomatic cooperation	Iraq	2014-01-21
Iran	Engage in diplomatic cooperation	Iraq	2014-08-25
Iran	Engage in diplomatic cooperation	Iraq	2014-11-04
Iran	Engage in diplomatic cooperation	Iraq	2014-08-05
Iran	Engage in diplomatic cooperation	Iraq	2014-11-12
Iran	Engage in diplomatic cooperation	Iraq	2014-12-09
Iran	Engage in diplomatic cooperation	Iraq	2014-08-24
Iran	Engage in diplomatic cooperation	Iraq	2014-08-26
Iran	Engage in diplomatic cooperation	Iraq	2014-02-21
Iran	Engage in diplomatic cooperation	Iraq	2014-05-18
Iran	Engage in diplomatic cooperation	Iraq	2014-12-08
Iran	Engage in diplomatic cooperation	Iraq	2014-12-11
Iran	Engage in diplomatic cooperation	Iraq	2014-10-19
Iran	Engage in diplomatic cooperation	Iraq	2014-04-11
Iran	Engage in diplomatic cooperation	Iraq	2014-08-27
Iran	Engage in diplomatic cooperation	Iraq	2014-12-31
Iran	Engage in diplomatic cooperation	Iraq	2014-09-10
Iran	Engage in diplomatic cooperation	Iraq	2014-01-09
Iran	Engage in diplomatic cooperation	Iraq	2014-09-29
Iran	Engage in diplomatic cooperation	Iraq	2014-02-19
Iran	Engage in diplomatic cooperation	Iraq	2014-10-15
Iran	Engage in diplomatic cooperation	Iraq	2014-12-30
Iran	Engage in diplomatic cooperation	Iraq	2014-01-14
Iran	Engage in diplomatic cooperation	Iraq	2014-12-21
Iran	Engage in diplomatic cooperation	Iraq	2014-12-17
Iran	Engage in diplomatic cooperation	Iraq	2014-05-12
Iran	Engage in diplomatic cooperation	Iraq	2014-11-10
Iran	Engage in diplomatic cooperation	Iraq	2014-12-02
Iran	Engage in diplomatic cooperation	Iraq	2014-10-20
Iran	Engage in diplomatic cooperation	Iraq	2014-01-15
Oman	Consult	Iran	2014-08-11
Oman	Consult	Iran	2014-04-22
Oman	Consult	Iran	2014-04-23
Oman	Consult	Iran	2014-09-05
Oman	Consult	Iran	2014-08-05
Oman	Consult	Iran	2014-11-29
Oman	Consult	Iran	2014-03-13
Oman	Consult	Iran	2014-08-07
Oman	Consult	Iran	2014-08-06
Sergey Viktorovich Lavrov	Discuss by telephone	Pavlo Klimkin	2014-08-15
Sergey Viktorovich Lavrov	Discuss by telephone	Pavlo Klimkin	2014-06-20
South Korea	Consult	Japan	2014-06-01
South Korea	Consult	Japan	2014-11-16
South Korea	Consult	Japan	2014-09-09
South Korea	Consult	Japan	2014-09-19
South Korea	Consult	Japan	2014-07-20
South Korea	Consult	Japan	2014-04-05
South Korea	Consult	Japan	2014-12-05
South Korea	Consult	Japan	2014-11-18
South Korea	Consult	Japan	2014-03-20
South Korea	Consult	Japan	2014-10-01
South Korea	Consult	Japan	2014-11-13
South Korea	Consult	Japan	2014-10-07
South Korea	Consult	Japan	2014-06-17
South Korea	Consult	Japan	2014-09-29
South Korea	Consult	Japan	2014-10-10
South Korea	Consult	Japan	2014-06-25
South Korea	Consult	Japan	2014-08-05
South Korea	Consult	Japan	2014-03-18
South Korea	Consult	Japan	2014-09-26
South Korea	Consult	Japan	2014-06-30
South Korea	Consult	Japan	2014-04-14
South Korea	Consult	Japan	2014-09-01
South Korea	Consult	Japan	2014-06-24
South Korea	Consult	Japan	2014-07-22
South Korea	Consult	Japan	2014-04-17
South Korea	Consult	Japan	2014-03-13
South Korea	Consult	Japan	2014-09-12
South Korea	Consult	Japan	2014-03-26
South Korea	Consult	Japan	2014-09-11
South Korea	Consult	Japan	2014-05-15
South Korea	Consult	Japan	2014-03-21
South Korea	Consult	Japan	2014-04-29
South Korea	Consult	Japan	2014-04-16
South Korea	Consult	Japan	2014-03-28
South Korea	Consult	Japan	2014-10-11
South Korea	Consult	Japan	2014-07-27
South Korea	Consult	Japan	2014-10-17
South Korea	Consult	Japan	2014-07-16
South Korea	Consult	Japan	2014-06-18
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-06
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-30
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-14
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-05
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-01-13
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-12-03
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-06-06
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-12-04
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-11-12
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-05-03
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-15
France	Engage in negotiation	Iran	2014-09-11
France	Engage in negotiation	Iran	2014-06-16
France	Engage in negotiation	Iran	2014-11-18
France	Engage in negotiation	Iran	2014-06-11
France	Engage in negotiation	Iran	2014-09-12
France	Engage in negotiation	Iran	2014-06-12
France	Engage in negotiation	Iran	2014-05-18
France	Engage in negotiation	Iran	2014-06-03
France	Engage in negotiation	Iran	2014-11-30
France	Engage in negotiation	Iran	2014-09-23
France	Engage in negotiation	Iran	2014-06-13
Foreign Affairs (Middle East)	Consult	John Kerry	2014-06-25
Media (Pakistan)	Consult	Ishaq Dar	2014-08-23
Media (Pakistan)	Consult	Ishaq Dar	2014-04-15
France	Consult	Iran	2014-06-17
France	Consult	Iran	2014-12-16
France	Consult	Iran	2014-06-16
France	Consult	Iran	2014-09-25
France	Consult	Iran	2014-09-19
France	Consult	Iran	2014-11-18
Other Authorities / Officials (Romania)	Express intent to cooperate	International Monetary Fund	2014-12-09
Japan	Engage in negotiation	China	2014-03-16
Japan	Engage in negotiation	China	2014-09-01
Japan	Engage in negotiation	China	2014-09-25
Japan	Engage in negotiation	China	2014-11-07
Japan	Engage in negotiation	China	2014-09-11
Japan	Engage in negotiation	China	2014-11-08
Japan	Engage in negotiation	China	2014-07-11
Japan	Engage in negotiation	China	2014-09-12
Japan	Engage in negotiation	China	2014-11-10
Japan	Engage in negotiation	China	2014-10-21
Japan	Engage in negotiation	China	2014-10-15
Japan	Engage in negotiation	China	2014-09-19
Japan	Engage in negotiation	China	2014-10-16
Japan	Engage in negotiation	China	2014-04-16
Iraq	Sign formal agreement	Iran	2014-03-05
Iraq	Sign formal agreement	Iran	2014-12-09
Iraq	Sign formal agreement	Iran	2014-04-09
Iraq	Sign formal agreement	Iran	2014-12-31
Iraq	Sign formal agreement	Iran	2014-03-12
Iraq	Sign formal agreement	Iran	2014-03-03
Iraq	Sign formal agreement	Iran	2014-02-26
Iraq	Sign formal agreement	Iran	2014-03-04
Iraq	Sign formal agreement	Iran	2014-06-15
Iraq	Sign formal agreement	Iran	2014-11-24
Iraq	Sign formal agreement	Iran	2014-03-09
Iraq	Sign formal agreement	Iran	2014-01-14
Iraq	Sign formal agreement	Iran	2014-03-02
Iraq	Sign formal agreement	Iran	2014-05-21
Iraq	Sign formal agreement	Iran	2014-05-19
Iraq	Sign formal agreement	Iran	2014-02-03
China	Engage in diplomatic cooperation	South Korea	2014-07-07
China	Engage in diplomatic cooperation	South Korea	2014-05-29
China	Engage in diplomatic cooperation	South Korea	2014-03-27
China	Engage in diplomatic cooperation	South Korea	2014-02-21
China	Engage in diplomatic cooperation	South Korea	2014-06-18
China	Engage in diplomatic cooperation	South Korea	2014-05-24
China	Engage in diplomatic cooperation	South Korea	2014-12-17
China	Engage in diplomatic cooperation	South Korea	2014-09-25
China	Engage in diplomatic cooperation	South Korea	2014-07-05
China	Engage in diplomatic cooperation	South Korea	2014-05-27
China	Engage in diplomatic cooperation	South Korea	2014-07-10
China	Engage in diplomatic cooperation	South Korea	2014-01-08
China	Engage in diplomatic cooperation	South Korea	2014-08-22
China	Engage in diplomatic cooperation	South Korea	2014-01-01
China	Engage in diplomatic cooperation	South Korea	2014-02-24
China	Engage in diplomatic cooperation	South Korea	2014-06-05
China	Engage in diplomatic cooperation	South Korea	2014-06-27
China	Engage in diplomatic cooperation	South Korea	2014-06-02
China	Consult	Foreign Affairs (United States)	2014-05-20
China	Consult	Foreign Affairs (United States)	2014-10-17
China	Consult	Foreign Affairs (United States)	2014-05-21
China	Consult	Foreign Affairs (United States)	2014-03-05
Business (Croatia)	Consult	Ministry (Croatia)	2014-03-25
China	Express intent to cooperate	South Korea	2014-09-17
China	Express intent to cooperate	South Korea	2014-05-19
China	Express intent to cooperate	South Korea	2014-07-03
China	Express intent to cooperate	South Korea	2014-09-21
China	Express intent to cooperate	South Korea	2014-02-24
China	Express intent to cooperate	South Korea	2014-11-10
China	Express intent to cooperate	South Korea	2014-11-12
China	Express intent to cooperate	South Korea	2014-01-21
China	Express intent to cooperate	South Korea	2014-09-11
China	Express intent to cooperate	South Korea	2014-09-19
China	Express intent to cooperate	South Korea	2014-09-12
China	Express intent to cooperate	South Korea	2014-11-19
China	Express intent to cooperate	South Korea	2014-05-16
China	Express intent to cooperate	South Korea	2014-10-31
China	Express intent to cooperate	South Korea	2014-08-09
China	Express intent to cooperate	South Korea	2014-07-07
China	Express intent to cooperate	South Korea	2014-07-04
China	Express intent to cooperate	South Korea	2014-11-03
China	Express intent to cooperate	South Korea	2014-01-18
China	Express intent to cooperate	South Korea	2014-04-12
China	Express intent to cooperate	South Korea	2014-02-21
China	Express intent to cooperate	South Korea	2014-11-09
China	Express intent to cooperate	South Korea	2014-07-23
Umar al Bashir	Consult	Royal Administration (Saudi Arabia)	2014-10-01
Umar al Bashir	Consult	Royal Administration (Saudi Arabia)	2014-10-10
Catherine Ashton	Consult	Iran	2014-06-17
Catherine Ashton	Consult	Iran	2014-03-10
Catherine Ashton	Consult	Iran	2014-03-11
Catherine Ashton	Consult	Iran	2014-03-13
Catherine Ashton	Consult	Iran	2014-05-28
Catherine Ashton	Consult	Iran	2014-03-08
Catherine Ashton	Consult	Iran	2014-03-12
John Kerry	Engage in negotiation	Presidential Candidate (Afghanistan)	2014-08-08
John Kerry	Engage in negotiation	Presidential Candidate (Afghanistan)	2014-08-07
John Kerry	Engage in negotiation	Presidential Candidate (Afghanistan)	2014-07-13
Catherine Ashton	Consult	John Kerry	2014-10-15
Catherine Ashton	Consult	John Kerry	2014-07-15
Catherine Ashton	Consult	John Kerry	2014-11-23
Catherine Ashton	Consult	John Kerry	2014-08-11
Catherine Ashton	Consult	John Kerry	2014-07-14
Catherine Ashton	Consult	John Kerry	2014-11-09
Catherine Ashton	Consult	John Kerry	2014-04-17
Catherine Ashton	Consult	John Kerry	2014-07-13
Catherine Ashton	Consult	John Kerry	2014-10-16
Catherine Ashton	Consult	John Kerry	2014-10-14
Catherine Ashton	Consult	John Kerry	2014-05-09
Catherine Ashton	Consult	John Kerry	2014-11-21
Catherine Ashton	Consult	John Kerry	2014-11-22
Catherine Ashton	Consult	John Kerry	2014-09-26
Catherine Ashton	Consult	John Kerry	2014-09-27
Catherine Ashton	Consult	John Kerry	2014-05-07
Catherine Ashton	Consult	John Kerry	2014-11-10
Catherine Ashton	Consult	John Kerry	2014-03-06
Catherine Ashton	Consult	John Kerry	2014-11-05
Catherine Ashton	Consult	Dissident (Iran)	2014-03-13
Catherine Ashton	Consult	Dissident (Iran)	2014-03-18
Catherine Ashton	Consult	Dissident (Iran)	2014-03-10
Presidential Candidate (Afghanistan)	Consult	John Kerry	2014-08-08
Presidential Candidate (Afghanistan)	Consult	John Kerry	2014-07-11
Presidential Candidate (Afghanistan)	Consult	John Kerry	2014-07-13
Maurice Williamson	Discuss by telephone	Police (New Zealand)	2014-06-03
Maurice Williamson	Discuss by telephone	Police (New Zealand)	2014-05-04
Maurice Williamson	Discuss by telephone	Police (New Zealand)	2014-05-02
Maurice Williamson	Discuss by telephone	Police (New Zealand)	2014-09-29
Angela Merkel	Consult	François Hollande	2014-12-18
Angela Merkel	Consult	François Hollande	2014-07-10
Angela Merkel	Consult	François Hollande	2014-02-20
Angela Merkel	Consult	François Hollande	2014-05-12
Angela Merkel	Consult	François Hollande	2014-07-11
Angela Merkel	Consult	François Hollande	2014-05-26
Angela Merkel	Consult	François Hollande	2014-06-30
Angela Merkel	Consult	François Hollande	2014-05-10
Angela Merkel	Consult	François Hollande	2014-10-31
Angela Merkel	Consult	François Hollande	2014-07-21
Angela Merkel	Consult	François Hollande	2014-06-26
Angela Merkel	Consult	François Hollande	2014-06-06
Angela Merkel	Consult	François Hollande	2014-11-03
Angela Merkel	Consult	François Hollande	2014-07-20
Angela Merkel	Consult	François Hollande	2014-05-24
Angela Merkel	Consult	François Hollande	2014-12-14
Angela Merkel	Consult	François Hollande	2014-04-23
Chuck Hagel	Discuss by telephone	Sergey Kuzhugetovich Shoygu	2014-04-30
Chuck Hagel	Discuss by telephone	Sergey Kuzhugetovich Shoygu	2014-01-05
Chuck Hagel	Discuss by telephone	Sergey Kuzhugetovich Shoygu	2014-03-21
Chuck Hagel	Discuss by telephone	Sergey Kuzhugetovich Shoygu	2014-01-04
Chuck Hagel	Discuss by telephone	Sergey Kuzhugetovich Shoygu	2014-03-01
Chuck Hagel	Discuss by telephone	Sergey Kuzhugetovich Shoygu	2014-04-29
Chuck Hagel	Discuss by telephone	Sergey Kuzhugetovich Shoygu	2014-03-20
Chuck Hagel	Discuss by telephone	Sergey Kuzhugetovich Shoygu	2014-04-28
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-05-26
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-07-04
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-07-08
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-07-15
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-11-24
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-02-21
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-03-08
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-09-27
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-05-12
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-06-16
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-09-26
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-07-10
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-02-20
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-11-30
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-07-18
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-01-26
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-09-02
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-11-21
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-12-03
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-03-10
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-04-11
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-02-18
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-05-27
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-09-22
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-11-18
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-11-11
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-11-10
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-06-17
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-12-01
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-01-31
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-05-13
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-07-13
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-07-17
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-01-24
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-09-01
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-05-16
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-05-14
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-09-04
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-11-09
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-03-12
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-07-05
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-11-04
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-02-19
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-09-21
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-10-14
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-03-07
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-07-21
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-03-19
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-10-20
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-12-02
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-10-15
Catherine Ashton	Consult	Mohammad Javad Zarif	2014-09-16
