head	relation_x	tail	time_x
Benjamin Netanyahu	Engage in negotiation	John Kerry	2014-04-01
Benjamin Netanyahu	Engage in negotiation	John Kerry	2014-12-30
Benjamin Netanyahu	Engage in negotiation	John Kerry	2014-01-03
Benjamin Netanyahu	Engage in negotiation	John Kerry	2014-01-06
Benjamin Netanyahu	Engage in negotiation	John Kerry	2014-07-24
Benjamin Netanyahu	Engage in negotiation	John Kerry	2014-01-02
Benjamin Netanyahu	Engage in negotiation	John Kerry	2014-01-10
François Hollande	Engage in negotiation	Angela Merkel	2014-12-22
François Hollande	Engage in negotiation	Angela Merkel	2014-07-03
Sergey Viktorovich Lavrov	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-03-05
Sergey Viktorovich Lavrov	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-03-07
Sergey Viktorovich Lavrov	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-12-15
Sergey Viktorovich Lavrov	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-01-13
Sergey Viktorovich Lavrov	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-04-23
Sergey Viktorovich Lavrov	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-07-19
Sergey Viktorovich Lavrov	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-06-09
Sergey Viktorovich Lavrov	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-03-24
Sergey Viktorovich Lavrov	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-03-14
Sergey Viktorovich Lavrov	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-09-28
Pavlo Klimkin	Engage in negotiation	Sergey Viktorovich Lavrov	2014-08-19
Iran	Engage in negotiation	Catherine Ashton	2014-03-10
Iran	Engage in negotiation	Catherine Ashton	2014-03-08
Iran	Engage in negotiation	Catherine Ashton	2014-10-20
Iran	Engage in negotiation	Catherine Ashton	2014-03-09
Iran	Engage in negotiation	Catherine Ashton	2014-03-13
Iran	Engage in negotiation	Catherine Ashton	2014-06-16
China	Engage in negotiation	Vietnam	2014-06-18
China	Engage in negotiation	Vietnam	2014-12-27
John Kerry	Engage in negotiation	Iraq	2014-09-10
Head of Government (China)	Engage in negotiation	Xi Jinping	2014-11-04
Mohammad Javad Zarif	Engage in negotiation	Sergey Viktorovich Lavrov	2014-01-16
Mohammad Javad Zarif	Engage in negotiation	Sergey Viktorovich Lavrov	2014-09-27
Mohammad Javad Zarif	Engage in negotiation	Sergey Viktorovich Lavrov	2014-11-24
Benjamin Netanyahu	Engage in negotiation	Angela Merkel	2014-02-24
China	Engage in negotiation	France	2014-07-19
China	Engage in negotiation	France	2014-07-14
China	Engage in negotiation	France	2014-01-02
China	Engage in negotiation	France	2014-05-11
China	Engage in negotiation	France	2014-06-20
China	Engage in negotiation	France	2014-05-17
China	Engage in negotiation	France	2014-11-24
China	Engage in negotiation	France	2014-03-07
China	Engage in negotiation	France	2014-03-19
China	Engage in negotiation	France	2014-09-25
China	Engage in negotiation	France	2014-11-30
Mohammad Javad Zarif	Engage in negotiation	John Kerry	2014-02-02
Mohammad Javad Zarif	Engage in negotiation	John Kerry	2014-07-14
Mohammad Javad Zarif	Engage in negotiation	John Kerry	2014-02-03
Mohammad Javad Zarif	Engage in negotiation	John Kerry	2014-11-09
Mohammad Javad Zarif	Engage in negotiation	John Kerry	2014-09-26
Mohammad Javad Zarif	Engage in negotiation	John Kerry	2014-11-23
Mohammad Javad Zarif	Engage in negotiation	John Kerry	2014-11-24
Mohammad Javad Zarif	Engage in negotiation	John Kerry	2014-07-16
Mohammad Javad Zarif	Engage in negotiation	John Kerry	2014-09-22
Mohammad Javad Zarif	Engage in negotiation	John Kerry	2014-10-15
John Kerry	Engage in negotiation	Mohammad Javad Zarif	2014-02-03
John Kerry	Engage in negotiation	Mohammad Javad Zarif	2014-07-14
John Kerry	Engage in negotiation	Mohammad Javad Zarif	2014-11-09
John Kerry	Engage in negotiation	Mohammad Javad Zarif	2014-11-24
John Kerry	Engage in negotiation	Mohammad Javad Zarif	2014-11-23
John Kerry	Engage in negotiation	Mohammad Javad Zarif	2014-09-26
John Kerry	Engage in negotiation	Mohammad Javad Zarif	2014-10-15
John Kerry	Engage in negotiation	Mohammad Javad Zarif	2014-07-15
John Kerry	Engage in negotiation	Mohammad Javad Zarif	2014-07-16
John Kerry	Engage in negotiation	Mohammad Javad Zarif	2014-02-02
Armenia	Engage in negotiation	Iran	2014-11-19
Armenia	Engage in negotiation	Iran	2014-02-13
Armenia	Engage in negotiation	Iran	2014-05-06
Armenia	Engage in negotiation	Iran	2014-11-21
Foreign Affairs (Russia)	Engage in negotiation	Foreign Affairs (Syria)	2014-06-27
Catherine Ashton	Engage in negotiation	Iran	2014-03-10
Catherine Ashton	Engage in negotiation	Iran	2014-03-09
Catherine Ashton	Engage in negotiation	Iran	2014-03-08
Catherine Ashton	Engage in negotiation	Iran	2014-06-16
Catherine Ashton	Engage in negotiation	Iran	2014-03-13
Catherine Ashton	Engage in negotiation	Iran	2014-10-20
Iran	Engage in negotiation	Barack Obama	2014-01-24
Iran	Engage in negotiation	Barack Obama	2014-03-20
Iran	Engage in negotiation	Barack Obama	2014-12-17
Iran	Engage in negotiation	Barack Obama	2014-10-24
Iran	Engage in negotiation	Barack Obama	2014-05-15
China	Engage in negotiation	South Africa	2014-07-16
François Hollande	Engage in negotiation	Barack Obama	2014-08-09
François Hollande	Engage in negotiation	Barack Obama	2014-06-23
Sudan	Engage in negotiation	Ethiopia	2014-01-16
John Kerry	Engage in negotiation	Presidential Candidate (Afghanistan)	2014-08-08
John Kerry	Engage in negotiation	Presidential Candidate (Afghanistan)	2014-08-07
John Kerry	Engage in negotiation	Presidential Candidate (Afghanistan)	2014-07-13
Presidential Candidate (Afghanistan)	Engage in negotiation	John Kerry	2014-08-08
Presidential Candidate (Afghanistan)	Engage in negotiation	John Kerry	2014-08-07
Iran	Engage in negotiation	France	2014-09-22
Iran	Engage in negotiation	France	2014-06-13
Iran	Engage in negotiation	France	2014-11-16
Iran	Engage in negotiation	France	2014-11-30
Iran	Engage in negotiation	France	2014-06-03
Iran	Engage in negotiation	France	2014-06-11
Iran	Engage in negotiation	France	2014-11-20
Iran	Engage in negotiation	France	2014-09-11
Iran	Engage in negotiation	France	2014-05-18
Iran	Engage in negotiation	France	2014-09-23
Thailand	Engage in negotiation	Cambodia	2014-07-15
Iran	Engage in negotiation	Japan	2014-07-06
Tajikistan	Engage in negotiation	Iran	2014-09-10
Japan	Engage in negotiation	South Korea	2014-03-12
Japan	Engage in negotiation	South Korea	2014-04-17
Japan	Engage in negotiation	South Korea	2014-07-22
Japan	Engage in negotiation	South Korea	2014-09-19
Japan	Engage in negotiation	South Korea	2014-04-16
Japan	Engage in negotiation	South Korea	2014-09-11
Japan	Engage in negotiation	South Korea	2014-09-30
Japan	Engage in negotiation	South Korea	2014-11-10
Japan	Engage in negotiation	South Korea	2014-10-21
Japan	Engage in negotiation	South Korea	2014-09-01
Japan	Engage in negotiation	South Korea	2014-03-16
Japan	Engage in negotiation	South Korea	2014-03-06
Japan	Engage in negotiation	South Korea	2014-09-25
Japan	Engage in negotiation	South Korea	2014-11-27
Japan	Engage in negotiation	South Korea	2014-07-23
Japan	Engage in negotiation	South Korea	2014-03-13
Benjamin Netanyahu	Engage in negotiation	Barack Obama	2014-03-04
Benjamin Netanyahu	Engage in negotiation	Barack Obama	2014-03-06
Benjamin Netanyahu	Engage in negotiation	Barack Obama	2014-04-01
Benjamin Netanyahu	Engage in negotiation	Barack Obama	2014-04-02
Benjamin Netanyahu	Engage in negotiation	Barack Obama	2014-03-01
Benjamin Netanyahu	Engage in negotiation	Barack Obama	2014-03-03
Pope Francis	Engage in negotiation	Barack Obama	2014-01-21
Pope Francis	Engage in negotiation	Barack Obama	2014-03-28
Pope Francis	Engage in negotiation	Barack Obama	2014-01-22
Pope Francis	Engage in negotiation	Barack Obama	2014-03-27
Sergey Viktorovich Lavrov	Engage in negotiation	Mohammad Javad Zarif	2014-01-16
Sergey Viktorovich Lavrov	Engage in negotiation	Mohammad Javad Zarif	2014-11-24
Sergey Viktorovich Lavrov	Engage in negotiation	Mohammad Javad Zarif	2014-09-27
Cambodia	Engage in negotiation	Thailand	2014-07-15
Catherine Ashton	Engage in negotiation	Sergey Viktorovich Lavrov	2014-03-04
Benjamin Netanyahu	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-01-24
Benjamin Netanyahu	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-01-06
Chuck Hagel	Engage in negotiation	Julie Bishop	2014-08-12
Sergey Viktorovich Lavrov	Engage in negotiation	Catherine Ashton	2014-03-04
Abdel Fattah Al-Sisi	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-07-22
Foreign Affairs (Russia)	Engage in negotiation	Sergey Viktorovich Lavrov	2014-09-18
Iran	Engage in negotiation	Kuwait	2014-06-03
Canada	Engage in negotiation	France	2014-06-06
Mohammad Javad Zarif	Engage in negotiation	Iraq	2014-04-28
Sebastian Kurz	Engage in negotiation	Mohammad Javad Zarif	2014-11-22
Government (Pakistan)	Engage in negotiation	Pakistan Tehreek-e-Insaf	2014-12-01
Government (Pakistan)	Engage in negotiation	Pakistan Tehreek-e-Insaf	2014-08-19
Barack Obama	Engage in negotiation	Abdel Fattah Al-Sisi	2014-09-29
Barack Obama	Engage in negotiation	François Hollande	2014-07-30
Barack Obama	Engage in negotiation	François Hollande	2014-06-23
Barack Obama	Engage in negotiation	François Hollande	2014-02-11
Barack Obama	Engage in negotiation	François Hollande	2014-10-16
Barack Obama	Engage in negotiation	François Hollande	2014-08-09
South Africa	Engage in negotiation	China	2014-07-16
Arseniy Yatsenyuk	Engage in negotiation	Joseph Robinette Biden	2014-11-21
Ma Ying Jeou	Engage in negotiation	Xi Jinping	2014-10-12
Sergey Viktorovich Lavrov	Engage in negotiation	Federica Mogherini	2014-07-15
Xi Jinping	Engage in negotiation	John Kerry	2014-02-14
Victor Ponta	Engage in negotiation	Ministry (Romania)	2014-12-14
Cabinet / Council of Ministers / Advisors (United States)	Engage in negotiation	Abdel Fattah Al-Sisi	2014-07-22
Ri Su Yong	Engage in negotiation	Sergey Viktorovich Lavrov	2014-10-01
Foreign Affairs (Syria)	Engage in negotiation	Foreign Affairs (Russia)	2014-06-27
Iran	Engage in negotiation	Tajikistan	2014-09-10
Giorgio Napolitano	Engage in negotiation	Abdel Fattah Al-Sisi	2014-11-24
John Kerry	Engage in negotiation	Xi Jinping	2014-02-14
Tajikistan	Engage in negotiation	China	2014-01-29
Mevlut Cavusoglu	Engage in negotiation	John Kerry	2014-09-12
John Kerry	Engage in negotiation	Abdullah Abdullah	2014-07-11
Abdullah Abdullah	Engage in negotiation	Cabinet / Council of Ministers / Advisors (United States)	2014-07-11
Abdel Fattah Al-Sisi	Engage in negotiation	Head of Government (Egypt)	2014-06-20
Xi Jinping	Engage in negotiation	Ashraf Ghani Ahmadzai	2014-10-28
Cabinet / Council of Ministers / Advisors (United States)	Engage in negotiation	Presidential Candidate (Afghanistan)	2014-07-11
China	Engage in negotiation	Canada	2014-11-09
China	Engage in negotiation	Canada	2014-11-08
China	Engage in negotiation	Canada	2014-12-28
Sabah Khaled Al-Hamad Al-Sabah	Engage in negotiation	Foreign Affairs (Kuwait)	2014-11-23
Nicos Anastasiades	Engage in negotiation	Joseph Robinette Biden	2014-05-22
France	Engage in negotiation	Poland	2014-04-04
France	Engage in negotiation	Poland	2014-02-20
France	Engage in negotiation	Poland	2014-02-21
Kuwait	Engage in negotiation	United Arab Emirates	2014-07-08
Chang Wanquan	Engage in negotiation	Phung Quang Thanh	2014-10-18
Barack Obama	Engage in negotiation	Royal Administration (Jordan)	2014-02-15
China	Engage in negotiation	Tajikistan	2014-01-29
Milos Zeman	Engage in negotiation	Xi Jinping	2014-10-28
Paolo Gentiloni	Engage in negotiation	Sergey Viktorovich Lavrov	2014-12-04
Arseniy Yatsenyuk	Engage in negotiation	John Kerry	2014-03-04
Heraldo Muñoz	Engage in negotiation	Sergey Viktorovich Lavrov	2014-04-30
Head of Government (Egypt)	Engage in negotiation	François Hollande	2014-11-26
Pavlo Klimkin	Engage in negotiation	John Kerry	2014-07-30
Representatives (United States)	Engage in negotiation	Iran	2014-09-11
Yu Zhengsheng	Engage in negotiation	Lawmaker (Japan)	2014-05-09
Head of Government (India)	Engage in negotiation	Barack Obama	2014-09-30
Julie Bishop	Engage in negotiation	Cabinet / Council of Ministers / Advisors (Australia)	2014-08-11
Julie Bishop	Engage in negotiation	Cabinet / Council of Ministers / Advisors (Australia)	2014-08-10
Abdel Fattah Al-Sisi	Engage in negotiation	Giorgio Napolitano	2014-11-24
Head of Government (Ukraine)	Engage in negotiation	John Kerry	2014-03-05
Head of Government (Pakistan)	Engage in negotiation	Royal Administration (Pakistan)	2014-03-19
Mohammad Javad Zarif	Engage in negotiation	Shivshankar Menon	2014-03-01
John Kerry	Engage in negotiation	Blogger (China)	2014-02-17
Riek Machar	Engage in negotiation	Uhuru Muigai Kenyatta	2014-05-29
Iran	Express intent to cooperate	China	2014-11-27
Iran	Express intent to cooperate	China	2014-02-23
Angela Merkel	Express intent to cooperate	Head of Government (Ukraine)	2014-02-28
Iraq	Express intent to cooperate	Iran	2014-11-14
Iraq	Express intent to cooperate	Iran	2014-10-01
Iraq	Express intent to cooperate	Iran	2014-03-01
Iraq	Express intent to cooperate	Iran	2014-03-14
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-12
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-13
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-22
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-17
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-08-16
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-20
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-08-07
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-08-08
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-08
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-09
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-31
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-15
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-24
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-09-04
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-16
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-07-08
Abdullah Abdullah	Express intent to cooperate	Ashraf Ghani Ahmadzai	2014-08-02
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-10-14
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-11-21
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-10-09
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-09-25
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-07-28
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-01-15
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-04-18
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-01-10
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-11-15
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-11-14
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-05-29
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-04-22
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-10-16
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-04-09
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-03-05
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-12-12
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-11-08
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-02-27
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-07-29
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-10-03
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-01-09
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-03-08
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-07-20
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-03-11
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-03-06
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-07-19
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-03-12
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-03-16
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-07-27
Sergey Viktorovich Lavrov	Express intent to cooperate	John Kerry	2014-05-09
Barack Obama	Express intent to cooperate	Xi Jinping	2014-03-24
Barack Obama	Express intent to cooperate	Xi Jinping	2014-07-15
Barack Obama	Express intent to cooperate	Xi Jinping	2014-11-12
Barack Obama	Express intent to cooperate	Xi Jinping	2014-11-13
Barack Obama	Express intent to cooperate	Xi Jinping	2014-11-14
Barack Obama	Express intent to cooperate	Xi Jinping	2014-04-09
Barack Obama	Express intent to cooperate	Xi Jinping	2014-12-19
Japan	Express intent to cooperate	China	2014-11-20
Japan	Express intent to cooperate	China	2014-09-12
Japan	Express intent to cooperate	China	2014-11-21
Japan	Express intent to cooperate	China	2014-11-11
Japan	Express intent to cooperate	China	2014-11-07
Japan	Express intent to cooperate	China	2014-09-19
Japan	Express intent to cooperate	China	2014-11-10
Japan	Express intent to cooperate	China	2014-08-10
Japan	Express intent to cooperate	China	2014-11-08
Japan	Express intent to cooperate	China	2014-09-26
Japan	Express intent to cooperate	China	2014-09-24
Japan	Express intent to cooperate	China	2014-12-09
Japan	Express intent to cooperate	China	2014-11-27
Japan	Express intent to cooperate	China	2014-12-30
Japan	Express intent to cooperate	China	2014-09-25
Japan	Express intent to cooperate	China	2014-11-29
Japan	Express intent to cooperate	China	2014-11-12
Japan	Express intent to cooperate	China	2014-11-13
Japan	Express intent to cooperate	China	2014-12-31
Japan	Express intent to cooperate	China	2014-11-23
Japan	Express intent to cooperate	China	2014-04-26
Japan	Express intent to cooperate	China	2014-09-11
Iran	Express intent to cooperate	Iraq	2014-11-14
Iran	Express intent to cooperate	Iraq	2014-03-14
Iran	Express intent to cooperate	Iraq	2014-02-26
Iran	Express intent to cooperate	Iraq	2014-03-01
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-03-12
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-03-15
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-01-15
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-04-02
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-11-08
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-03-11
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-10-16
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-11-21
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-03-16
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-09-25
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-07-28
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-10-14
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-07-27
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-01-09
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-07-19
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-12-12
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-04-18
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-03-06
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-04-09
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-05-29
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-03-08
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-11-14
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-07-30
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-01-10
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-10-09
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-07-29
John Kerry	Express intent to cooperate	Sergey Viktorovich Lavrov	2014-07-20
China	Express intent to cooperate	Japan	2014-09-11
China	Express intent to cooperate	Japan	2014-11-08
China	Express intent to cooperate	Japan	2014-11-10
China	Express intent to cooperate	Japan	2014-08-09
China	Express intent to cooperate	Japan	2014-11-29
China	Express intent to cooperate	Japan	2014-11-11
China	Express intent to cooperate	Japan	2014-11-07
China	Express intent to cooperate	Japan	2014-09-12
China	Express intent to cooperate	Japan	2014-12-09
China	Express intent to cooperate	Japan	2014-11-13
China	Express intent to cooperate	Japan	2014-11-27
China	Express intent to cooperate	Japan	2014-09-24
China	Express intent to cooperate	Japan	2014-12-31
China	Express intent to cooperate	Japan	2014-11-21
China	Express intent to cooperate	Japan	2014-09-26
China	Express intent to cooperate	Japan	2014-09-19
China	Express intent to cooperate	Japan	2014-09-27
China	Express intent to cooperate	Japan	2014-12-30
China	Express intent to cooperate	Japan	2014-09-17
China	Express intent to cooperate	Japan	2014-09-25
China	Express intent to cooperate	Japan	2014-12-18
France	Express intent to cooperate	Canada	2014-09-26
France	Express intent to cooperate	Canada	2014-06-06
Barack Obama	Express intent to cooperate	Pope Francis	2014-03-27
Japan	Express intent to cooperate	North Korea	2014-05-28
Japan	Express intent to cooperate	North Korea	2014-03-21
Japan	Express intent to cooperate	North Korea	2014-06-25
Japan	Express intent to cooperate	North Korea	2014-08-21
Japan	Express intent to cooperate	North Korea	2014-03-06
Japan	Express intent to cooperate	North Korea	2014-03-20
Japan	Express intent to cooperate	North Korea	2014-07-01
Japan	Express intent to cooperate	North Korea	2014-03-03
Japan	Express intent to cooperate	North Korea	2014-05-31
Japan	Express intent to cooperate	North Korea	2014-02-28
Angela Merkel	Express intent to cooperate	Barack Obama	2014-08-29
Angela Merkel	Express intent to cooperate	Barack Obama	2014-08-28
Angela Merkel	Express intent to cooperate	Barack Obama	2014-03-08
Angela Merkel	Express intent to cooperate	Barack Obama	2014-02-20
Angela Merkel	Express intent to cooperate	Barack Obama	2014-04-17
Angela Merkel	Express intent to cooperate	Barack Obama	2014-03-02
Pakistan Tehreek-e-Insaf	Express intent to cooperate	Government (Pakistan)	2014-08-15
Pakistan Tehreek-e-Insaf	Express intent to cooperate	Government (Pakistan)	2014-08-24
Angela Merkel	Express intent to cooperate	François Hollande	2014-10-18
Angela Merkel	Express intent to cooperate	François Hollande	2014-12-17
Angela Merkel	Express intent to cooperate	François Hollande	2014-12-15
Angela Merkel	Express intent to cooperate	François Hollande	2014-12-22
Angela Merkel	Express intent to cooperate	François Hollande	2014-07-20
Barack Obama	Express intent to cooperate	Benjamin Netanyahu	2014-03-04
Barack Obama	Express intent to cooperate	Benjamin Netanyahu	2014-03-03
Catherine Ashton	Express intent to cooperate	Mohammad Javad Zarif	2014-02-20
Catherine Ashton	Express intent to cooperate	Mohammad Javad Zarif	2014-01-31
Xi Jinping	Express intent to cooperate	Barack Obama	2014-03-24
Xi Jinping	Express intent to cooperate	Barack Obama	2014-11-14
Xi Jinping	Express intent to cooperate	Barack Obama	2014-11-13
Xi Jinping	Express intent to cooperate	Barack Obama	2014-07-15
Xi Jinping	Express intent to cooperate	Barack Obama	2014-04-10
Xi Jinping	Express intent to cooperate	Barack Obama	2014-12-19
Xi Jinping	Express intent to cooperate	Barack Obama	2014-11-12
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-09-08
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-27
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-09-22
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-12
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-21
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-08-16
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-31
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-17
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-08-02
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-13
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-09-24
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-08-09
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-09-04
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-18
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-16
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-07-08
Ashraf Ghani Ahmadzai	Express intent to cooperate	Abdullah Abdullah	2014-11-17
China	Express intent to cooperate	South Korea	2014-09-17
China	Express intent to cooperate	South Korea	2014-05-19
China	Express intent to cooperate	South Korea	2014-07-03
China	Express intent to cooperate	South Korea	2014-09-21
China	Express intent to cooperate	South Korea	2014-02-24
China	Express intent to cooperate	South Korea	2014-11-10
China	Express intent to cooperate	South Korea	2014-11-12
China	Express intent to cooperate	South Korea	2014-01-21
China	Express intent to cooperate	South Korea	2014-09-11
China	Express intent to cooperate	South Korea	2014-09-19
China	Express intent to cooperate	South Korea	2014-09-12
China	Express intent to cooperate	South Korea	2014-11-19
China	Express intent to cooperate	South Korea	2014-05-16
China	Express intent to cooperate	South Korea	2014-10-31
China	Express intent to cooperate	South Korea	2014-08-09
China	Express intent to cooperate	South Korea	2014-07-07
China	Express intent to cooperate	South Korea	2014-07-04
China	Express intent to cooperate	South Korea	2014-11-03
China	Express intent to cooperate	South Korea	2014-01-18
China	Express intent to cooperate	South Korea	2014-04-12
China	Express intent to cooperate	South Korea	2014-02-21
China	Express intent to cooperate	South Korea	2014-11-09
China	Express intent to cooperate	South Korea	2014-07-23
North Korea	Express intent to cooperate	Japan	2014-03-06
North Korea	Express intent to cooperate	Japan	2014-05-29
North Korea	Express intent to cooperate	Japan	2014-06-02
North Korea	Express intent to cooperate	Japan	2014-10-31
North Korea	Express intent to cooperate	Japan	2014-05-31
North Korea	Express intent to cooperate	Japan	2014-03-21
North Korea	Express intent to cooperate	Japan	2014-03-03
North Korea	Express intent to cooperate	Japan	2014-05-28
North Korea	Express intent to cooperate	Japan	2014-07-01
North Korea	Express intent to cooperate	Japan	2014-03-20
North Korea	Express intent to cooperate	Japan	2014-06-06
South Korea	Express intent to cooperate	China	2014-04-12
South Korea	Express intent to cooperate	China	2014-07-04
South Korea	Express intent to cooperate	China	2014-07-23
