head	relation_x	tail	time_x
Barack Obama	Discuss by telephone	Haider Al-Abadi	2014-09-08
Barack Obama	Discuss by telephone	Haider Al-Abadi	2014-08-14
Barack Obama	Discuss by telephone	Haider Al-Abadi	2014-09-09
Mevlut Cavusoglu	Discuss by telephone	Mohammad Javad Zarif	2014-10-02
Fuad Masum	Discuss by telephone	Joseph Robinette Biden	2014-08-08
Head of Government (India)	Discuss by telephone	Barack Obama	2014-05-20
Reuven Rivlin	Discuss by telephone	Benjamin Netanyahu	2014-05-29
Reuven Rivlin	Discuss by telephone	Benjamin Netanyahu	2014-05-28
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-18
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-01-31
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-06
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-11-24
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-04-17
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-01-13
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-07
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-04-01
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-04-02
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-01-16
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-10-14
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-13
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-10-15
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-15
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-04-04
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-12-14
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-05
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-31
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-14
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-01-14
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-12-04
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-05-06
Barack Obama	Meet at a 'third' location	Xi Jinping	2014-03-25
Barack Obama	Meet at a 'third' location	Xi Jinping	2014-03-03
John Kerry	Meet at a 'third' location	Catherine Ashton	2014-11-02
John Kerry	Meet at a 'third' location	Catherine Ashton	2014-04-07
Japan	Meet at a 'third' location	China	2014-11-16
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-07
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-12-13
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-04-17
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-18
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-01-14
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-04-01
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-04-04
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-11-24
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-05
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-11-08
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-12-04
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-01-16
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-10-15
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-06
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-31
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-13
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-05-06
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-15
China	Meet at a 'third' location	Japan	2014-11-16
France	Meet at a 'third' location	Canada	2014-06-04
Japan	Meet at a 'third' location	North Korea	2014-01-28
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-03-05
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-04-17
Barack Obama	Meet at a 'third' location	Benjamin Netanyahu	2014-07-18
Barack Obama	Meet at a 'third' location	Benjamin Netanyahu	2014-08-13
Barack Obama	Meet at a 'third' location	Benjamin Netanyahu	2014-08-14
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-06-17
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-10-30
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-11-10
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-07-19
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-11-18
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-09-01
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-09-05
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-05-27
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-05-26
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-10-15
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-10-16
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-02-18
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-03-25
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-03-03
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-03-27
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-03-26
North Korea	Meet at a 'third' location	Japan	2014-01-28
North Korea	Meet at a 'third' location	Japan	2014-03-02
Barack Obama	Meet at a 'third' location	Angela Merkel	2014-08-09
Barack Obama	Meet at a 'third' location	Angela Merkel	2014-04-17
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-11-18
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-05-27
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-10-16
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-07-19
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-09-05
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-10-15
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-10-30
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-11-09
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-09-01
Mohammad Javad Zarif	Meet at a 'third' location	Catherine Ashton	2014-05-26
France	Meet at a 'third' location	China	2014-01-13
France	Meet at a 'third' location	China	2014-05-13
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-06
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-30
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-14
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-05
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-01-13
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-06-06
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-11-12
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-05-03
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-15
South Korea	Meet at a 'third' location	Japan	2014-03-26
South Korea	Meet at a 'third' location	Japan	2014-11-16
South Korea	Meet at a 'third' location	Japan	2014-03-27
Catherine Ashton	Meet at a 'third' location	John Kerry	2014-04-07
Xi Jinping	Meet at a 'third' location	China	2014-07-21
Benjamin Netanyahu	Meet at a 'third' location	John Kerry	2014-07-24
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-03-14
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-06-09
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-03-31
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-03-30
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-05-03
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-06-06
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-03-06
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-04-17
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-03-05
Sergey Viktorovich Lavrov	Meet at a 'third' location	Cabinet / Council of Ministers / Advisors (United States)	2014-03-15
John Kerry	Meet at a 'third' location	Iraq	2014-06-23
China	Meet at a 'third' location	France	2014-05-13
Mohammad Javad Zarif	Meet at a 'third' location	John Kerry	2014-02-03
John Kerry	Meet at a 'third' location	Mohammad Javad Zarif	2014-02-03
John Kerry	Meet at a 'third' location	Mohammad Javad Zarif	2014-02-04
John Kerry	Meet at a 'third' location	Mohammad Javad Zarif	2014-11-10
China	Meet at a 'third' location	Xi Jinping	2014-07-21
China	Meet at a 'third' location	South Africa	2014-07-15
François Hollande	Meet at a 'third' location	Barack Obama	2014-05-17
François Hollande	Meet at a 'third' location	Barack Obama	2014-08-09
Iran	Meet at a 'third' location	France	2014-06-18
Tajikistan	Meet at a 'third' location	Iran	2014-03-29
Japan	Meet at a 'third' location	South Korea	2014-04-08
Japan	Meet at a 'third' location	South Korea	2014-03-26
Japan	Meet at a 'third' location	South Korea	2014-05-31
Catherine Ashton	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-03-04
Sergey Viktorovich Lavrov	Meet at a 'third' location	Catherine Ashton	2014-03-04
Barack Obama	Meet at a 'third' location	François Hollande	2014-08-09
Barack Obama	Meet at a 'third' location	François Hollande	2014-05-16
Barack Obama	Meet at a 'third' location	François Hollande	2014-05-17
South Africa	Meet at a 'third' location	China	2014-07-15
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Nasser Judeh	2014-01-14
Pavlo Klimkin	Meet at a 'third' location	John Kerry	2014-06-25
Nonaligned Movement	Meet at a 'third' location	Foreign Affairs (Venezuela)	2014-08-05
Head of Government (Guatemala)	Meet at a 'third' location	John Kerry	2014-07-01
Barack Obama	Express intent to settle dispute	Xi Jinping	2014-05-18
Barack Obama	Express intent to settle dispute	Xi Jinping	2014-01-23
Barack Obama	Express intent to settle dispute	Xi Jinping	2014-01-01
Japan	Express intent to settle dispute	China	2014-09-11
China	Express intent to settle dispute	Japan	2014-09-11
Xi Jinping	Express intent to settle dispute	Barack Obama	2014-09-09
Xi Jinping	Express intent to settle dispute	Barack Obama	2014-11-12
Xi Jinping	Express intent to settle dispute	Barack Obama	2014-01-23
Xi Jinping	Express intent to settle dispute	Barack Obama	2014-05-18
South Korea	Express intent to settle dispute	China	2014-07-07
France	Express intent to settle dispute	China	2014-02-27
South Korea	Express intent to settle dispute	Japan	2014-09-11
Vietnam	Express intent to settle dispute	China	2014-03-11
China	Express intent to settle dispute	Vietnam	2014-02-25
China	Express intent to settle dispute	Vietnam	2014-10-17
China	Express intent to settle dispute	France	2014-02-27
Japan	Express intent to settle dispute	South Korea	2014-09-11
Jack Straw	Ease economic sanctions, boycott, embargo	Iran	2014-01-09
John Kerry	Accede to demands for change in institutions, regime	Iraq	2014-06-25
South Korea	Express intent to cooperate on intelligence	Japan	2014-12-29
South Korea	Express intent to cooperate on intelligence	Japan	2014-12-26
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
North Korea	Appeal for easing of economic sanctions, boycott, or embargo	South Korea	2014-06-26
South Korea	Reject judicial cooperation	Japan	2014-07-18
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-31
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-11
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-29
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-05
China	Express intent to ease economic sanctions, boycott, or embargo	Iran	2014-01-13
Iraq	Express intent to cooperate militarily	Iran	2014-07-02
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-07
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-01
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-31
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-11
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-17
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-22
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-29
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-07-16
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-05
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-25
China	Express intent to ease economic sanctions, boycott, or embargo	Iran	2014-01-13
South Korea	Reject judicial cooperation	Japan	2014-07-18
Bahrain	Accede to demands for change in policy	Qatar	2014-03-08
Iraq	Express intent to cooperate militarily	Iran	2014-07-02
Vietnam	Express intent to cooperate militarily	China	2014-10-18
Qatar	Express intent to cooperate militarily	Iran	2014-07-16
Qatar	Express intent to cooperate militarily	Iran	2014-07-15
Qatar	Express intent to cooperate militarily	Iran	2014-07-14
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
South Korea	Reject judicial cooperation	Japan	2014-07-18
South Korea	Express intent to provide humanitarian aid	North Korea	2014-03-26
South Korea	Express intent to provide humanitarian aid	North Korea	2014-07-15
South Korea	Express intent to provide humanitarian aid	North Korea	2014-02-24
Government (Nigeria)	Express intent to provide humanitarian aid	Citizen (Nigeria)	2014-08-18
Government (Nigeria)	Express intent to provide humanitarian aid	Citizen (Nigeria)	2014-07-22
Election Commission (India)	Express intent to provide humanitarian aid	Citizen (India)	2014-04-21
Governor (Kenya)	Express intent to provide humanitarian aid	Citizen (Kenya)	2014-08-06
Governor (Kenya)	Express intent to provide humanitarian aid	Citizen (Kenya)	2014-10-06
Member of Parliament (Australia)	Express intent to provide humanitarian aid	Citizen (Australia)	2014-04-04
Abdullah Abdullah	Expel or withdraw peacekeepers	Election Commission (Afghanistan)	2014-06-23
Citizen (India)	Appeal to others to settle dispute	Employee (India)	2014-02-25
Barack Obama	Appeal to others to settle dispute	China	2014-04-25
Police (Australia)	Appeal for aid	Citizen (Australia)	2014-02-10
Police (Australia)	Appeal for aid	Citizen (Australia)	2014-07-08
Police (Australia)	Appeal for aid	Citizen (Australia)	2014-06-20
Police (Australia)	Appeal for aid	Citizen (Australia)	2014-08-19
Citizen (Nigeria)	Appeal for aid	Government (Nigeria)	2014-10-01
Barack Obama	Appeal for aid	China	2014-03-25
Barack Obama	Appeal for aid	China	2014-03-26
Citizen (Nigeria)	Appeal for material cooperation	Government (Nigeria)	2014-03-03
Head of Government (Nigeria)	Appeal for material cooperation	Government (Nigeria)	2014-03-03
Head of Government (India)	Appeal for material cooperation	Citizen (India)	2014-06-11
Mohammad Javad Zarif	Ease economic sanctions, boycott, embargo	Iran	2014-03-02
Mohammad Javad Zarif	Ease economic sanctions, boycott, embargo	Iran	2014-03-03
UN Security Council	Express intent to provide military protection or peacekeeping	South Sudan	2014-05-27
Ministry (Nigeria)	Appeal for military aid	Government (Nigeria)	2014-04-21
Citizen (Nigeria)	Appeal for military aid	Government (Nigeria)	2014-05-06
Citizen (Nigeria)	Appeal for military aid	Government (Nigeria)	2014-05-05
Citizen (Nigeria)	Appeal for military aid	Government (Nigeria)	2014-05-07
Citizen (Nigeria)	Appeal for military aid	Government (Nigeria)	2014-03-21
Citizen (Nigeria)	Appeal for military aid	Government (Nigeria)	2014-05-22
Citizen (Nigeria)	Appeal for military aid	Government (Nigeria)	2014-04-21
Head of Government (India)	Demand material cooperation	Citizen (India)	2014-03-30
Governor (Kenya)	Demand material cooperation	Citizen (Kenya)	2014-07-23
Citizen (Kenya)	Demand policy change	Government (Kenya)	2014-06-18
Citizen (Kenya)	Reject economic cooperation	Government (Kenya)	2014-08-04
Citizen (Nigeria)	Appeal to yield	Government (Nigeria)	2014-11-29
Court Judge (India)	Reduce or stop humanitarian assistance	Citizen (India)	2014-03-20
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-08-29
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-08-25
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-05-16
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-04-14
Governor (Thailand)	Demand material aid	Citizen (Thailand)	2014-04-23
South Korea	Reject judicial cooperation	Japan	2014-07-18
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-05-16
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-04-14
North Korea	Appeal for easing of economic sanctions, boycott, or embargo	South Korea	2014-06-26
Benjamin Netanyahu	Accuse of war crimes	Hamas	2014-09-30
Citizen (Kenya)	Demand policy change	Government (Kenya)	2014-06-18
Citizen (Kenya)	Reject economic cooperation	Government (Kenya)	2014-08-04
North Korea	Appeal for easing of economic sanctions, boycott, or embargo	South Korea	2014-06-26
North Korea	Threaten to halt negotiations	South Korea	2014-11-02
Head of Government (India)	Appeal for material cooperation	Citizen (India)	2014-06-11
Citizen (Kenya)	Demand policy change	Government (Kenya)	2014-06-18
Citizen (Kenya)	Reject economic cooperation	Government (Kenya)	2014-08-04
Citizen (Kenya)	Demand judicial cooperation	Police (Kenya)	2014-06-17
Citizen (Namibia)	Demand rights	Government (Namibia)	2014-09-03
Governor (Thailand)	Demand material aid	Citizen (Thailand)	2014-04-23
Head of Government (India)	Demand material cooperation	Citizen (India)	2014-03-30
Citizen (Kenya)	Demand policy change	Government (Kenya)	2014-06-18
Citizen (Kenya)	Reject economic cooperation	Government (Kenya)	2014-08-04
Citizen (Kenya)	Demand judicial cooperation	Police (Kenya)	2014-06-17
Democratic Party (Nigeria)	Appeal for military protection or peacekeeping	Citizen (Nigeria)	2014-02-10
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-08-29
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-08-25
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-05-16
Government (Nigeria)	Accede to demands for rights	Citizen (Nigeria)	2014-04-14
North Korea	Appeal for easing of economic sanctions, boycott, or embargo	South Korea	2014-06-26
Protester (Hong Kong)	Obstruct passage, block	China	2014-10-15
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-04
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-31
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-11
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-30
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-22
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-05-29
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-05
Japan	Express intent to ease economic sanctions, boycott, or embargo	North Korea	2014-06-25
China	Express intent to ease economic sanctions, boycott, or embargo	Iran	2014-01-13
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-04-11
Japan	Ease economic sanctions, boycott, embargo	North Korea	2014-06-09
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
South Korea	Reject judicial cooperation	Japan	2014-07-18
Police (Australia)	Use tactics of violent repression	Citizen (Australia)	2014-05-29
Police (Kenya)	Use tactics of violent repression	Citizen (Kenya)	2014-01-02
Police (Egypt)	Use tactics of violent repression	Protester (Egypt)	2014-01-04
Police (Egypt)	Use tactics of violent repression	Protester (Egypt)	2014-01-27
Police (Egypt)	Use tactics of violent repression	Protester (Egypt)	2014-01-14
Police (Egypt)	Use tactics of violent repression	Protester (Egypt)	2014-01-03
Police (Egypt)	Use tactics of violent repression	Protester (Egypt)	2014-01-08
Police (Egypt)	Use tactics of violent repression	Protester (Egypt)	2014-02-07
Police (Egypt)	Use tactics of violent repression	Protester (Egypt)	2014-01-31
Police (Egypt)	Use tactics of violent repression	Protester (Egypt)	2014-01-05
Police (Egypt)	Use tactics of violent repression	Protester (Egypt)	2014-01-29
Police (Egypt)	Use tactics of violent repression	Protester (Egypt)	2014-01-21
Police (Egypt)	Use tactics of violent repression	Protester (Egypt)	2014-01-25
Police (Egypt)	Use tactics of violent repression	Protester (Egypt)	2014-02-14
Police (Egypt)	Use tactics of violent repression	Protester (Egypt)	2014-01-17
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-02-08
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-01-29
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-01-30
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-02-20
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-03-05
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-01-26
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-02-13
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-02-27
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-01-13
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-02-11
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-02-25
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-01-11
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-02-23
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-01-23
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-01-12
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-01-28
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-01-17
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-02-10
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-01-22
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-02-21
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-02-26
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-02-28
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-02-19
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-01-21
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-01-19
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-01-25
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-02-09
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-02-22
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-02-17
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-02-24
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-01-20
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-01-27
Police (Ukraine)	Use tactics of violent repression	Protester (Ukraine)	2014-01-24
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-10-16
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-09-28
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-10-14
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-07-04
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-07-02
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-10-17
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-07-03
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-10-05
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-10-15
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-09-30
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-06-14
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-10-01
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-09-29
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-10-03
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-10-04
Police (Hong Kong)	Use tactics of violent repression	Protester (Hong Kong)	2014-06-17
Police (South Africa)	Use tactics of violent repression	Legislature (South Africa)	2014-08-21
Military (Thailand)	Impose state of emergency or martial law	Thailand	2014-05-19
Military (Thailand)	Impose state of emergency or martial law	Thailand	2014-05-21
Military (Thailand)	Impose state of emergency or martial law	Thailand	2014-05-20
Military (Thailand)	Impose state of emergency or martial law	Thailand	2014-05-26
Military (Thailand)	Impose state of emergency or martial law	Thailand	2014-05-22
North Korea	Increase police alert status	South Korea	2014-05-27
Police (South Africa)	Increase police alert status	South Africa	2014-03-06
Police (South Africa)	Increase police alert status	South Africa	2014-01-30
Police (South Africa)	Increase police alert status	South Africa	2014-05-30
Police (South Africa)	Increase police alert status	South Africa	2014-04-24
Police (South Africa)	Increase police alert status	South Africa	2014-01-17
Police (South Africa)	Increase police alert status	South Africa	2014-06-11
Police (Japan)	Increase police alert status	Japan	2014-10-31
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
North Korea	Appeal for easing of economic sanctions, boycott, or embargo	South Korea	2014-06-26
North Korea	Threaten to halt negotiations	South Korea	2014-11-02
Police (Ukraine)	Engage in mass expulsion	Protester (Ukraine)	2014-02-02
John Kerry	Appeal to others to settle dispute	China	2014-08-10
Barack Obama	Appeal to others to settle dispute	China	2014-06-20
Barack Obama	Appeal to others to settle dispute	China	2014-04-25
China	Appeal to others to settle dispute	South Sudan	2014-01-06
China	Appeal to others to settle dispute	South Sudan	2014-01-08
China	Veto	UN Security Council	2014-06-21
China	Veto	UN Security Council	2014-05-14
China	Veto	UN Security Council	2014-05-24
China	Veto	UN Security Council	2014-01-21
Iran	Appeal for target to allow international involvement (non-mediation)	Government (Syria)	2014-01-06
Iran	Express intent to change institutions, regime	Iraq	2014-08-06
China	Express intent to ease economic sanctions, boycott, or embargo	Iran	2014-01-13
China	Express intent to cooperate militarily	Thailand	2014-11-02
Iran	Reduce or stop military assistance	Iraq	2014-07-09
Iran	Reduce or stop military assistance	Iraq	2014-07-06
Government (Nigeria)	Reduce or stop military assistance	Citizen (Nigeria)	2014-11-03
