,head,relation,tail,time
7278,Malaysia,Engage in diplomatic cooperation,Cambodia,2015-02-23
7279,Sudan,Receive deployment of peacekeepers,African Union,2006-12-15
7280,Citizen (Uganda),Criticize or denounce,Police (Uganda),2009-12-03
7281,Police (Australia),"Arrest, detain, or charge with legal action",Women (Australia),2014-03-24
7282,Zillur Rahman,Make empathetic comment,Citizen (Bangladesh),2010-12-20
7283,Daniel Ortega,Make an appeal or request,Tomas Borge,2009-08-06
7284,Rehman Malik,Express intent to meet or negotiate,Mahmoud Ahmadinejad,2010-08-22
7285,Police (Australia),Investigate,Citizen (Australia),2009-07-21
7286,Qatar,Host a visit,Mahmoud Ahmadinejad,2011-11-15
7287,Iran,Host a visit,Santos Edelmar Lopez,2014-05-01
7288,Head of Government (Nigeria),Make pessimistic comment,Citizen (Nigeria),2011-09-05
7289,Middle East,Host a visit,Tony Blair,2006-12-19
7290,Vietnam,Engage in diplomatic cooperation,Laos,2012-09-07
7291,Japan,Make an appeal or request,China,2005-05-26
7292,China,Express intent to cooperate,Japan,2007-08-27
7293,Barack Obama,Praise or endorse,Ali Bongo Ondimba,2011-06-09
7294,Sondhi Limthongkul,"Defy norms, law",Thailand,2013-10-03
7295,France,Use conventional military force,Armed Rebel (Mali),2013-01-21
7296,Government (Nigeria),Sign formal agreement,Labor Union (Nigeria),2011-07-21
7297,Citizen (Nigeria),Make an appeal or request,Other Authorities / Officials (Nigeria),2009-02-12
7298,Ma Ying Jeou,Express intent to meet or negotiate,Japan,2006-07-03
7299,Protester (Thailand),"Obstruct passage, block",Thailand,2008-09-04
7300,Police (Australia),Investigate,Citizen (Australia),2012-04-18
7301,Citizen (Nigeria),Praise or endorse,Government (Nigeria),2010-05-31
7302,South Korea,Make empathetic comment,Citizen (North Korea),2011-12-21
7303,Vietnam,Engage in diplomatic cooperation,Cambodia,2008-01-31
7304,Committee for State Security,Deny responsibility,Citizen (Belarus),2012-06-04
7305,Citizen (Nigeria),Criticize or denounce,Bukola Saraki,2015-11-20
7306,China,Host a visit,Kim Kye Gwan,2010-02-22
7307,International Monetary Fund,Make statement,Iran,2012-11-10
7308,UN Security Council,Engage in diplomatic cooperation,African Union,2008-01-25
7309,City Mayor (Australia),Consult,Member of Parliament (Australia),2009-06-12
7310,Police (Philippines),"Arrest, detain, or charge with legal action",Men (Philippines),2008-12-06
7311,Police (Philippines),fight with small arms and light weapons,Thief (Philippines),2008-07-26
7312,Shaukat Aziz,Make statement,Malaysia,2005-03-13
7313,Abhisit Vejjajiva,Criticize or denounce,Thailand,2010-08-19
7314,Farm Worker (South Korea),Demonstrate or rally,South Korea,2005-04-07
7315,The Hague,Host a visit,William Ruto,2011-08-30
7316,Women (Australia),Use unconventional violence,Police (Australia),2013-10-15
7317,Cambodia,"Arrest, detain, or charge with legal action",Citizen (Thailand),2011-01-10
7318,Ministry (Nigeria),Make statement,Government (Nigeria),2014-05-26
7319,China,Host a visit,Dmitry Anatolyevich Medvedev,2008-05-21
7320,Iran,Cooperate economically,Iraq,2008-03-03
7321,South Korea,Reject,Japan,2008-07-17
7322,Armed Gang (Somalia),fight with small arms and light weapons,Intelligence Officer (Somalia),2008-03-05
7323,Oluṣẹgun Ọbasanjọ,Make an appeal or request,Government (Nigeria),2011-12-06
7324,Student (France),Demand that target yields,Government (France),2006-04-10
7325,Huang Kun-huei,Praise or endorse,Ma Ying Jeou,2008-03-22
7326,China,Consult,South Korea,2006-01-04
7327,Media Personnel (South Sudan),Make statement,Military (South Sudan),2014-11-10
7328,Benjamin Netanyahu,Reject,Barack Obama,2009-05-28
7329,Member of Legislative (Govt) (Kenya),Make statement,Martin Wambora,2014-09-29
7330,Tony Blair,Praise or endorse,Nuri al-Maliki,2006-12-17
7331,Human Rights Watch,Make an appeal or request,Thailand,2012-09-17
7332,Police (Australia),Make an appeal or request,Citizen (Australia),2005-02-26
7333,Mahmoud Ahmadinejad,Make statement,Iran,2013-01-22
7334,China,Host a visit,Barack Obama,2009-12-01
7335,UN Security Council,"Impose embargo, boycott, or sanctions",Iran,2007-12-04
7336,Daniel Scioli,Reduce or break diplomatic relations,Senate (Argentina),2013-11-19
7337,Legislature (Iraq),Consult,Nuri al-Maliki,2013-03-28
7338,Iran,Meet at a 'third' location,Catherine Ashton,2014-06-03
7339,Police (Australia),Make an appeal or request,Citizen (Australia),2014-08-20
7340,Angela Merkel,Consult,Mahmoud Abbas,2012-01-19
7341,Shivshankar Menon,Make statement,China,2008-04-23
7342,Ma Ying Jeou,Make a visit,Dominican Republic,2008-08-18
7343,Thief (Thailand),Use unconventional violence,Citizen (Thailand),2011-03-16
7344,South Korea,Express intent to meet or negotiate,China,2008-11-02
7345,Police (Australia),"Arrest, detain, or charge with legal action",Women (Australia),2006-08-01
7346,Police (South Korea),Make statement,South Korea,2010-02-11
7347,France,Host a visit,Ibrahim Boubacar Keïta,2015-10-23
7348,Mahmoud Ahmadinejad,Reduce or break diplomatic relations,Iran,2013-06-03
7349,South Korea,Make statement,Lee Myung Bak,2008-01-07
7350,China,Consult,France,2006-05-27
7351,Democratic Party,Make statement,Grand National Party,2014-01-22
7352,Eric Besson,Make statement,France,2010-09-13
7353,China,Engage in diplomatic cooperation,South Korea,2007-04-14
7354,Raúl Castro,Consult,María Ángela Holguín,2012-02-09
7355,Klaus Johannis,Make optimistic comment,Romania,2014-12-21
7356,China,Criticize or denounce,Congress (United States),2007-10-16
7357,Lawyer/Attorney (Australia),Make statement,Member of Parliament (Australia),2015-11-11
7358,Wen Jiabao,Make statement,China,2005-06-07
7359,Citizen (Australia),Criticize or denounce,Ombudsman (Australia),2015-01-30
7360,South Korea,Consult,Xi Jinping,2014-07-05
7361,Defense / Security Ministry (United States),Express intent to meet or negotiate,South Korea,2015-03-31
7362,Vietnam,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2011-10-31
7363,Bolivia,Sign formal agreement,Evo Morales,2012-12-07
7364,William Ruto,Make a visit,The Hague,2010-11-15
7365,The Hague,Deny responsibility,The Hague,2005-03-03
7366,City Mayor (Philippines),Demand,Police (Philippines),2010-03-24
7367,Farm Worker (Nigeria),Use conventional military force,Citizen (Nigeria),2009-09-17
7368,Sudan,Engage in diplomatic cooperation,Eritrea,2005-12-06
7369,Tony Blair,Make an appeal or request,Labor Party (United Kingdom),2005-02-12
7370,Military (Philippines),Use conventional military force,Militant (Philippines),2014-12-05
7371,Mahmoud Ahmadinejad,Make statement,Iran,2006-07-08
7372,Military (Mexico),Mobilize or increase armed forces,Mexico,2009-03-16
7373,Citizen (Nigeria),Reject,Royal Administration (Nigeria),2011-04-25
7374,Detainee (South Sudan),Engage in negotiation,Head of Government (Ethiopia),2013-12-28
7375,Military (Philippines),Make statement,Abu Sayyaf,2010-02-23
7376,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,China,2011-04-13
7377,Lee Myung Bak,Make a visit,United Arab Emirates,2011-03-13
7378,Wen Jiabao,Make a visit,Malaysia,2005-12-15
7379,Moro Islamic Liberation Front,Use conventional military force,Military Personnel (Philippines),2008-08-22
7380,Citizen (Australia),Engage in symbolic act,Police (Australia),2005-04-08
7381,Court Judge (United Kingdom),"Arrest, detain, or charge with legal action",Citizen (United Kingdom),2014-02-10
7382,France,"Impose embargo, boycott, or sanctions",Iran,2008-02-22
7383,Iran,Meet at a 'third' location,France,2005-05-24
7384,African Union,Make a visit,Sudan,2008-01-17
7385,Envoy (United States),Consult,Kim Kye Gwan,2011-10-25
7386,Abhisit Vejjajiva,Make statement,Thailand,2009-02-25
7387,Yoshihiko Noda,Threaten,Japan,2012-12-03
7388,Militant (Taliban),Use unconventional violence,Military Personnel - Special (Afghanistan),2015-05-04
7389,Chen Zhili,Make statement,China,2012-01-09
7390,Police (Australia),Make an appeal or request,Citizen (Australia),2015-04-13
7391,Lee Myung Bak,Consult,Grand National Party,2009-05-07
7392,Cambodia,Express intent to cooperate,Vietnam,2008-11-04
7393,Barack Obama,Criticize or denounce,China,2013-03-12
7394,Mahmoud Abbas,Express intent to meet or negotiate,Iraq,2012-03-30
7395,Envoy (United States),Express intent to meet or negotiate,South Korea,2014-03-31
7396,Nuri al-Maliki,Make a visit,Iraq,2007-03-14
7397,Israeli Defense Forces,fight with small arms and light weapons,al-Aqsa Martyrs' Brigades,2007-06-29
7398,Lawyer/Attorney (Australia),Accuse,Citizen (Australia),2009-12-22
7399,Cabinet / Council of Ministers / Advisors (United States),Consult,Mahmoud Abbas,2013-03-05
7400,South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2012-07-16
7401,Defense / Security Ministry (Spain),Engage in negotiation,Donald Rumsfeld,2005-05-03
7402,Okada Katsuya,Express intent to engage in diplomatic cooperation (such as policy support),China,2009-10-09
7403,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Cambodia,2015-11-22
7404,Lee Myung Bak,Praise or endorse,Yasuo Fukuda,2008-02-25
7405,China,Reject,Japan,2007-04-12
7406,Sudan,"Arrest, detain, or charge with legal action",Criminal (Sudan),2010-05-26
7407,Lee Myung Bak,Make statement,Chongwadai,2010-04-14
7408,China,Make a visit,Japan,2011-03-13
7409,Citizen (Nigeria),Express intent to cooperate,Farm Worker (Nigeria),2011-12-27
7410,Police (Australia),Demand,Citizen (Australia),2009-02-03
7411,Eshaq Jahangiri,Make statement,Iran,2014-01-23
7412,Jack Straw,Express intent to meet or negotiate,Iran,2013-07-23
7413,Eritrea,Host a visit,Isaias Afewerki,2008-02-17
7414,Royal Administration (Nigeria),Make an appeal or request,Government (Nigeria),2015-09-17
7415,Dominican Republic,Sign formal agreement,Guatemala,2007-10-07
7416,Uhuru Muigai Kenyatta,Make a visit,The Hague,2013-09-10
7417,African Union,Provide military protection or peacekeeping,Sudan,2005-06-10
7418,Thailand,Host a visit,Anupong Paochinda,2008-07-14
7419,Head of Government (South Korea),Make statement,South Korea,2011-10-25
7420,Bertie Ahern,Engage in negotiation,Wen Jiabao,2005-01-19
7421,Head of Government (Ukraine),Make statement,Military (Ukraine),2012-04-20
7422,Chen Deming,Make statement,China,2008-12-05
7423,Bukola Saraki,Make an appeal or request,Citizen (Nigeria),2014-05-29
7424,Lee Myung Bak,Investigate,South Korea,2010-05-04
7425,Vietnam,Make pessimistic comment,China,2010-10-30
7426,France,Consult,Japan,2015-06-07
7427,Tony Blair,Mobilize or increase armed forces,Iraq,2010-02-02
7428,City Mayor (China),Make statement,China,2005-10-12
7429,Police (Ukraine),"Return, release person(s)",Yuriy Lutsenko,2014-01-11
7430,Benjamin Netanyahu,Express intent to cooperate,Yair Lapid,2014-09-24
7431,Tanzania,Host a visit,Jakaya Mrisho Kikwete,2015-03-07
7432,Mahmoud Abbas,Express intent to meet or negotiate,Barack Obama,2010-06-07
7433,Malaysia,Host a visit,Association of Southeast Asian Nations,2015-08-07
7434,Benjamin Netanyahu,Make a visit,Barack Obama,2010-03-24
7435,Police (Australia),Confiscate property,Citizen (Australia),2014-09-23
7436,Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2013-04-25
7437,South Korea,Host a visit,Envoy (United States),2014-12-05
7438,Combatant (Yemen),Mobilize or increase armed forces,Yemen,2010-01-07
7439,Military (Mexico),Use conventional military force,Criminal (Mexico),2011-12-19
7440,Tony Blair,Make statement,Iran,2007-03-27
7441,Liberal Party (Hong Kong),Make statement,Lawmaker (Hong Kong),2008-10-07
7442,Police (Australia),Investigate,Citizen (Australia),2007-08-01
7443,Police (South Africa),Retreat or surrender militarily,South Africa,2012-06-19
7444,Chevron,Sign formal agreement,Government (Nigeria),2008-10-08
7445,Media Personnel (Somalia),Make statement,Al-Shabaab,2014-06-30
7446,Cabinet / Council of Ministers / Advisors (United States),Make statement,China,2013-06-07
7447,South Korea,Make statement,Japan,2011-08-10
7448,China,Express intent to engage in diplomatic cooperation (such as policy support),South Africa,2008-06-12
7449,Japan,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2014-09-21
7450,Other Authorities / Officials (Guatemala),Investigate,Guatemala,2006-05-24
7451,Governor (Japan),Make an appeal or request,Japan,2005-03-16
7452,Other Authorities / Officials (Nigeria),Deny responsibility,Citizen (Nigeria),2014-05-29
7453,China,Express intent to provide material aid,South Sudan,2011-08-09
7454,Mahmoud Ahmadinejad,Make statement,Iran,2005-09-30
7455,Police (New Zealand),"Arrest, detain, or charge with legal action",Children (New Zealand),2007-01-23
7456,Daniel Ortega,Accuse,Colombia,2008-03-06
7457,Sergey Vladilenovich Kiriyenko,Make a visit,Iran,2006-12-13
7458,Lawyer/Attorney (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2010-10-01
7459,China,Express intent to meet or negotiate,Japan,2011-05-20
7460,Police (Ukraine),Make statement,Rioter (Ukraine),2014-02-20
7461,Police (Kenya),"Return, release person(s)",Media (Kenya),2012-05-08
7462,Comoros,Host a visit,Yemen,2013-06-14
7463,Employee (Bangladesh),Torture,Citizen (Bangladesh),2005-08-05
7464,Julia Gillard,Reject,Citizen (Australia),2010-11-18
7465,Governor (Kenya),Make statement,Police (Kenya),2013-04-19
7466,Citizen (Sudan),Accuse,Sudan,2011-02-15
7467,UN Security Council,Criticize or denounce,Sudan,2007-03-06
7468,Citizen (Sudan),Use unconventional violence,Police (Sudan),2011-05-07
7469,Association of Southeast Asian Nations,Engage in diplomatic cooperation,China,2006-04-02
7470,Criminal (Sudan),Use unconventional violence,Citizen (Sudan),2013-10-24
7471,China,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2012-05-07
7472,Japan,Consult,Emperor Akihito,2008-04-06
7473,China,Consult,Mahmoud Abbas,2009-08-17
7474,Sudan,Make a visit,Eritrea,2010-07-10
7475,Barack Obama,Make statement,Iraq,2014-07-17
7476,Islam Karimov,Make a visit,Romania,2008-04-04
7477,Police (Indonesia),"Arrest, detain, or charge with legal action",Men (Indonesia),2005-08-25
7478,Ministry (Egypt),Make statement,China,2015-09-18
7479,Citizen (Australia),Use unconventional violence,Police (Australia),2006-07-16
7480,Police (Kenya),Make statement,Student (Kenya),2009-02-10
7481,Angela Merkel,Reject,Barack Obama,2010-06-25
7482,Iran,Consult,Islamic Preacher (Iran),2008-04-23
7483,South Korea,Engage in diplomatic cooperation,Japan,2013-11-23
7484,Iran,Praise or endorse,Iraq,2014-08-07
7485,South Korea,Make statement,France,2005-12-06
7486,Oluṣẹgun Ọbasanjọ,Praise or endorse,Muhammadu Buhari,2015-05-25
7487,Insurgent (Thailand),Use unconventional violence,Citizen (Thailand),2012-12-14
7488,South Africa,Engage in diplomatic cooperation,Angola,2015-11-24
7489,Barack Obama,Express intent to meet or negotiate,Iran,2009-09-24
7490,Governor (Thailand),Make statement,Thailand,2012-10-12
7491,France,Sign formal agreement,Iran,2005-01-18
7492,China,Criticize or denounce,Cabinet / Council of Ministers / Advisors (Japan),2005-04-22
7493,Undersecretary (United States),Consult,Shivshankar Menon,2008-02-29
7494,Foreign Affairs (Israel),Consult,Algirdas Butkevičius,2015-02-17
7495,Police (Australia),Accuse,Citizen (Australia),2005-03-08
7496,Roh Moo Hyun,Express intent to meet or negotiate,Wen Jiabao,2007-01-12
7497,Congress (United States),Make an appeal or request,Jusuf Kalla,2009-02-09
7498,Lawyer/Attorney (Australia),Ease administrative sanctions,Citizen (Australia),2009-05-15
7499,Abdullah Gül,Host a visit,Angela Merkel,2010-03-29
7500,Japan,Host a visit,Tsai Ing-wen,2009-12-16
7501,Cabinet / Council of Ministers / Advisors (United States),Make statement,China,2014-05-15
7502,Iraq,Share intelligence or information,Iran,2007-01-21
7503,Court Judge (Egypt),Make an appeal or request,Police (Egypt),2011-04-03
7504,Barack Obama,Demonstrate military or police power,Japan,2012-10-02
7505,Head of Government (South Korea),Make an appeal or request,China,2012-01-10
7506,Iran,Sign formal agreement,Iraq,2005-11-18
7507,China,Express intent to meet or negotiate,Wang Yi,2015-02-13
7508,Sali Berisha,Express intent to meet or negotiate,China,2009-04-14
7509,China,Engage in negotiation,Japan,2008-08-18
7510,Ramtane Lamamra,Make a visit,Mauritania,2014-05-16
7511,Business (Iran),Make statement,Iran,2011-01-20
7512,Boko Haram,Use conventional military force,Niger,2015-11-06
7513,Foreign Affairs (Italy),Halt negotiations,Iran,2009-05-20
7514,Ireland,Make a visit,Iran,2014-01-14
7515,Dmitry Anatolyevich Medvedev,Praise or endorse,China,2008-05-24
7516,Citizen (United Kingdom),Threaten,Margaret Hodge,2006-05-05
7517,Malaysia,Host a visit,Wen Jiabao,2011-05-01
7518,Dražen Bošnjaković,Express intent to meet or negotiate,Snežana Malović,2011-01-12
7519,Abhisit Vejjajiva,Accuse,Citizen (Thailand),2010-02-17
7520,China,"Arrest, detain, or charge with legal action",Criminal (China),2009-08-28
7521,Iran,Engage in diplomatic cooperation,Iraq,2012-10-05
7522,Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-06-17
7523,Japan,Host a visit,Mikhail Yefimovich Fradkov,2007-05-24
7524,Middle East,Host a visit,Tony Blair,2006-12-14
7525,Lawyer/Attorney (Australia),Make statement,Medical Personnel (Australia),2008-07-28
7526,Jakaya Mrisho Kikwete,Make statement,Madagascar,2008-10-09
7527,UN Mission in Sudan,Provide military aid,South Sudan,2009-09-02
7528,Japan,Express intent to cooperate,South Korea,2006-09-09
7529,Military (Cambodia),Use conventional military force,Thailand,2009-04-28
7530,South Korea,Express intent to meet or negotiate,China,2005-05-03
7531,Insurgent (Thailand),Use unconventional violence,Citizen (Thailand),2010-06-15
7532,China,Meet at a 'third' location,France,2014-11-20
7533,Nuri al-Maliki,Threaten,Iran,2007-02-02
7534,Bolivia,Praise or endorse,Evo Morales,2005-12-27
7535,Armed Gang (Thailand),Use unconventional violence,Citizen (Thailand),2005-10-12
7536,Police (Australia),Make an appeal or request,Citizen (Australia),2005-08-11
7537,South Korea,Criticize or denounce,Japan,2006-07-20
7538,Xi Jinping,Meet at a 'third' location,Ma Ying Jeou,2015-11-06
7539,China,Consult,Mexico,2008-07-02
7540,Ethiopia,Engage in negotiation,Eritrea,2007-05-03
7541,Media (India),Consult,Election Commission (India),2010-11-02
7542,Men (South Africa),Use unconventional violence,South Africa,2008-07-28
7543,Vietnam,Sign formal agreement,Laos,2006-12-07
7544,Arturas Paulauskas,Appeal to others to meet or negotiate,Valdas Adamkus,2005-12-14
7545,China,Accuse,Barack Obama,2011-07-16
7546,China,Make optimistic comment,Iran,2005-10-13
7547,Barack Obama,Express intent to meet or negotiate,Japan,2009-10-23
7548,Abdullah Gül,Make a visit,China,2005-01-27
7549,Chen Deming,Make statement,China,2010-02-01
7550,Ombudsman (Mexico),Express intent to meet or negotiate,Mexico,2008-04-03
7551,Protester (Egypt),Demonstrate or rally,Police (Egypt),2012-05-30
7552,Kazakhstan,Express intent to engage in diplomatic cooperation (such as policy support),China,2005-07-02
7553,Lee Myung Bak,Make statement,Barack Obama,2009-11-19
7554,Bolivia,Sign formal agreement,Evo Morales,2005-12-23
7555,Abhisit Vejjajiva,Make statement,Cabinet / Council of Ministers / Advisors (Thailand),2009-01-21
7556,Jonah David Jang,Make an appeal or request,Citizen (Nigeria),2011-06-17
7557,Military (Ecuador),Host a visit,Rafael Correa,2007-01-25
7558,Gurbanguly Berdymukhammedov,Consult,Islam Karimov,2012-10-02
7559,Media Personnel (China),Make statement,Industry (China),2005-11-02
7560,Japan,Express intent to cooperate economically,Iran,2015-05-25
7561,Representative to the United Nations (Iran),Consult,UN Security Council,2014-07-27
7562,Kuomintang,Make statement,China,2008-05-28
7563,Media Personnel (Australia),Make statement,Police (Australia),2009-12-29
7564,Donald Rumsfeld,Accuse,China,2005-06-04
7565,Rafael Correa,Criticize or denounce,Colombia,2008-03-29
7566,Member of Parliament (Thailand),Accuse,Citizen (Thailand),2010-02-08
7567,Ma Biao,Express intent to engage in diplomatic cooperation (such as policy support),China,2010-09-15
7568,Lawyer/Attorney (Romania),Investigate,Romania,2010-12-29
7569,Ronnie Shikapwasha,Make statement,Rupiah Banda,2010-10-26
7570,Government (Nigeria),Use conventional military force,Boko Haram,2015-03-04
7571,South Sudan,Accuse,Sudan,2011-09-20
7572,Member of Parliament (Iraq),Make statement,Council of Representatives,2012-03-07
7573,Government (Nigeria),Praise or endorse,Citizen (Nigeria),2012-07-04
7574,Governor (Japan),Make a visit,China,2014-10-28
7575,Thief (Thailand),Use unconventional violence,Citizen (Thailand),2006-04-10
7576,Dmitry Anatolyevich Medvedev,Consult,Shimon Peres,2010-05-14
7577,Lee Myung Bak,Make statement,South Korea,2008-04-16
7578,Benjamin Netanyahu,Make an appeal or request,Mahmoud Abbas,2014-06-18
7579,Police (Canada),Consult,Attorney General (Canada),2013-01-24
7580,Citizen (North Korea),fight with small arms and light weapons,South Korea,2009-11-10
7581,Japan,Express intent to meet or negotiate,Vietnam,2005-12-15
7582,China,Host a visit,Special Rapporteurs of the United Nations,2005-11-27
7583,Head of Government (Greece),Make an appeal or request,Citizen (Greece),2007-08-17
7584,Boko Haram,Use conventional military force,Citizen (Nigeria),2013-09-22
7585,Mahmoud Abbas,Engage in negotiation,Tzipi Livni,2006-09-19
7586,Citizen (Australia),Discuss by telephone,Police (Australia),2006-07-07
7587,Citizen (International),Refuse to de-escalate military engagement,Iraq,2008-03-29
7588,Insurgent (Thailand),Use unconventional violence,Thailand,2005-10-21
7589,Police (South Africa),Physically assault,Men (South Africa),2013-09-08
7590,Ijaw Youth Council,Make statement,Government (Nigeria),2014-09-08
7591,France,Host a visit,Macky Sall,2013-03-04
7592,Angela Merkel,Engage in negotiation,Georgios Papandreou,2010-03-06
7593,Dmitry Anatolyevich Medvedev,Express intent to meet or negotiate,Ivan Gasparovic,2010-04-06
7594,Organized Crime (Mexico),Criticize or denounce,Mexico,2012-02-10
7595,Romania,Consult,France,2005-04-30
7596,Lawyer/Attorney (South Korea),Accede to demands for change in leadership,South Korea,2012-12-01
7597,Citizen (Nigeria),Make an appeal or request,Other Authorities / Officials (Nigeria),2009-02-16
7598,Barack Obama,Reduce or break diplomatic relations,Head of Government (Egypt),2013-08-17
7599,Laos,Express intent to meet or negotiate,Association of Southeast Asian Nations,2005-07-26
7600,Police (Australia),Make statement,China,2005-06-09
7601,Abhisit Vejjajiva,Express intent to meet or negotiate,Thailand,2009-07-15
7602,Japan,Express intent to cooperate,China,2006-07-21
7603,UN Security Council,Make an appeal or request,Government (Sudan),2006-12-19
7604,Cabinet / Council of Ministers / Advisors (United States),Praise or endorse,Islam Karimov,2012-03-23
7605,Association of Southeast Asian Nations,Sign formal agreement,South Korea,2014-11-21
7606,Lawyer/Attorney (Belgium),Demand,Police (Belgium),2008-03-27
7607,Sudan,Host a visit,UN Security Council,2006-06-28
7608,Men (South Africa),fight with small arms and light weapons,Police (South Africa),2008-07-24
7609,Malaysia,Host a visit,Roh Moo Hyun,2005-12-13
7610,Roh Moo Hyun,Make statement,South Korea,2007-04-24
7611,Police (Egypt),Use tactics of violent repression,Protester (Egypt),2014-01-14
7612,Iraq,Consult,Haider Al-Abadi,2015-03-19
7613,China,Expel or deport individuals,Citizen (North Korea),2006-12-14
7614,Angela Merkel,Consult,Iran,2006-07-13
7615,Court Judge (India),Make an appeal or request,Director General (India),2009-10-26
7616,Police (Australia),Confiscate property,Citizen (Australia),2015-12-30
7617,China,Praise or endorse,France,2005-04-18
7618,Mahmoud Abbas,Praise or endorse,Barack Obama,2009-01-21
7619,Treasury/Finance Ministry (Egypt),Express intent to meet or negotiate,International Monetary Fund,2013-10-31
7620,Citizen (Thailand),fight with small arms and light weapons,Thailand,2012-02-21
7621,Jakaya Mrisho Kikwete,Make statement,Tanzania,2006-03-09
7622,Citizen (Nigeria),"Defy norms, law",Government (Nigeria),2011-03-16
7623,Vietnam,Praise or endorse,Nonaligned Movement,2005-03-08
7624,Kuwait,Reduce or break diplomatic relations,Iraq,2008-07-18
7625,France,Make an appeal or request,European Central Bank,2008-07-05
7626,Mexico,"Arrest, detain, or charge with legal action",Criminal (Mexico),2008-06-08
7627,Cabinet / Council of Ministers / Advisors (United States),Consult,Mahmoud Abbas,2009-03-04
7628,City Mayor (Philippines),Make statement,Police (Philippines),2009-02-05
7629,Head of Government (Brazil),Make an appeal or request,Barack Obama,2010-03-10
7630,Cambodia,Consult,Vietnam,2013-09-25
7631,Japan,Express intent to meet or negotiate,China,2006-01-31
7632,Barack Obama,Make a visit,Middle East,2014-01-29
7633,Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2015-02-02
7634,Government (Sudan),Engage in diplomatic cooperation,African Union,2008-08-04
7635,Other Authorities / Officials (Guatemala),Provide humanitarian aid,Guatemala,2014-12-26
7636,China,Host a visit,Laos,2011-10-31
7637,Iran,Host a visit,United Arab Emirates,2014-06-05
7638,China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2005-02-16
7639,Mahmoud Ahmadinejad,Make statement,Iran,2012-08-21
7640,Militant (Nigeria),Use unconventional violence,Citizen (Nigeria),2014-10-30
7641,Julia Gillard,Make a visit,Vietnam,2010-11-11
7642,Head of Government (Nigeria),Consult,Barack Obama,2015-07-21
7643,Romania,Praise or endorse,China,2009-06-26
7644,Nuri al-Maliki,Make a visit,Iraq,2006-06-03
7645,Police (South Africa),Use conventional military force,South Africa,2007-07-12
7646,China,Express intent to meet or negotiate,Head of Government (Egypt),2012-08-22
7647,Media Personnel (Australia),Make statement,Police (Australia),2012-12-05
7648,African Union,Make a visit,Sudan,2006-01-21
7649,Zhang Dejiang,Make statement,China,2014-06-13
7650,Iran,Consult,United Arab Emirates,2012-10-09
7651,Criminal (Zambia),Use unconventional violence,Citizen (Zambia),2014-03-25
7652,UN Security Council,Criticize or denounce,Sudan,2006-11-23
7653,Shimon Peres,Praise or endorse,Iran,2009-11-12
7654,Head of Government (Turkmenistan),Express intent to meet or negotiate,Dmitry Anatolyevich Medvedev,2009-03-23
7655,China,Host a visit,Jason C. Hu,2005-10-07
7656,Iraq,Engage in diplomatic cooperation,Qatar,2015-05-04
7657,China,Reject,Citizen (Australia),2010-03-22
7658,Japan,Express intent to cooperate,Vietnam,2015-07-06
7659,Refugee (Afghanistan),Make a visit,Iran,2011-12-27
7660,Pervez Musharraf,Make statement,Government (Pakistan),2005-09-29
7661,France,Express intent to meet or negotiate,Iran,2015-01-08
7662,Niger,Express intent to cooperate,Mauritania,2010-03-18
7663,Haider Al-Abadi,Engage in diplomatic cooperation,Nuri al-Maliki,2014-08-21
7664,Xi Jinping,Make optimistic comment,Japan,2015-12-01
7665,Dmitry Anatolyevich Medvedev,Praise or endorse,Gazprom,2008-05-28
7666,Women (Australia),Use unconventional violence,Police (Australia),2006-03-15
7667,Military Personnel (Thailand),Make an appeal or request,Citizen (Thailand),2007-04-26
7668,China,Express intent to cooperate,Thailand,2006-01-08
7669,Raúl Castro,Make a visit,Angola,2009-07-22
7670,Head of Government (Pakistan),Make statement,Government (Pakistan),2013-07-16
7671,Laos,Consult,Cambodia,2007-11-23
7672,Al-Shabaab,Use conventional military force,Ethiopia,2008-07-30
7673,Oman,Consult,Iran,2014-03-12
7674,Defense / Security Ministry (Yemen),Make statement,Combatant (Yemen),2014-08-17
7675,Envoy (United States),Engage in negotiation,Iraq,2005-10-11
7676,Qatar,Grant diplomatic recognition,Ethiopia,2012-10-19
7677,Vietnam,Engage in diplomatic cooperation,Laos,2008-08-13
7678,Mikhail Yefimovich Fradkov,Consult,Wen Jiabao,2005-10-25
7679,Armed Gang (Thailand),Use unconventional violence,Citizen (Thailand),2005-09-15
7680,Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2011-07-28
7681,Chang Song Taek,Consult,China,2012-08-17
7682,France,Sign formal agreement,Kazakhstan,2008-07-02
7683,Head of Government (Ukraine),Meet at a 'third' location,Barack Obama,2014-03-13
7684,UN Security Council,Make statement,Iran,2013-04-20
